# Eelst 		 Emultipole 
     -0.00565567      -0.00268583
     -0.00200015      -0.00093680
     -0.00067339      -0.00050193
     -0.00403256      -0.00145603
      0.00037161       0.00049845
     -0.00156813      -0.00140082
     -0.00089725      -0.00056962
      0.00118851       0.00136445
     -0.00456069      -0.00104616
     -0.00003551       0.00026640
     -0.00190009      -0.00048412
      0.00007339       0.00112811
     -0.00068627      -0.00028669
     -0.00264704      -0.00206477
     -0.00051709      -0.00023123
     -0.00247124      -0.00016156
     -0.00522983      -0.00095662
     -0.00201687      -0.00035029
      0.00117312       0.00191663
     -0.00213757      -0.00094412
     -0.00004880       0.00003002
     -0.00357669       0.00125658
     -0.00086423      -0.00075221
     -0.00263700      -0.00009094
     -0.00084848       0.00066056
     -0.00872118       0.00204900
     -0.00155029       0.00028683
     -0.00060044      -0.00040237
     -0.00023532      -0.00019414
     -0.00396007      -0.00062756
     -0.00169364      -0.00100497
     -0.00041571       0.00061769
     -0.01294364      -0.00129118
     -0.00749013       0.00485827
     -0.00196076      -0.00006945
      0.00091671       0.00279848
     -0.00139448      -0.00010649
     -0.00044975      -0.00024614
     -0.00087997      -0.00034784
     -0.00472333      -0.00381698
     -0.00059537      -0.00042004
      0.00090204       0.00109659
     -0.00242791       0.00103033
     -0.00524484       0.00018060
      0.00011512       0.00035221
     -0.00027827      -0.00007581
     -0.00190413      -0.00081842
      0.00235079       0.00408717
     -0.00485696      -0.00091508
      0.00026318       0.00046660
     -0.00267934       0.00127434
     -0.00043223       0.00008103
     -0.00057789      -0.00026591
     -0.00897288      -0.00567264
     -0.00515707      -0.00153148
     -0.00418066       0.00002056
      0.00042407       0.00438936
     -0.00268414      -0.00010841
     -0.00875717      -0.00290917
      0.00078624       0.00135868
     -0.00064272      -0.00049041
     -0.00150088      -0.00057815
     -0.00947495      -0.00160845
     -0.00016428      -0.00009184
     -0.00021393       0.00060135
      0.00014235       0.00047514
      0.00000334       0.00017733
     -0.00044451      -0.00033795
     -0.00084851      -0.00003485
     -0.01303310      -0.00013318
     -0.00085271       0.00043691
      0.00066284       0.00081861
      0.00182001       0.00294769
     -0.00163750      -0.00019119
     -0.00336161      -0.00051035
      0.00010869       0.00027795
     -0.00221277      -0.00122054
     -0.00248057       0.00021246
     -0.00046483      -0.00040167
     -0.00591397       0.00009576
     -0.00069715      -0.00046399
     -0.00065138       0.00011569
     -0.00459626      -0.00368041
      0.00052099       0.00062351
     -0.01041034      -0.00545701
      0.00013014       0.00050503
     -0.00318069       0.00031684
     -0.00061072      -0.00030214
     -0.00107439      -0.00003631
     -0.00050009      -0.00020362
     -0.00092399      -0.00046297
     -0.00628609      -0.00153427
     -0.00056606      -0.00027866
     -0.00171062      -0.00124942
     -0.00119115      -0.00061254
      0.00024037       0.00068076
     -0.00527599      -0.00115230
      0.00158658       0.00172757
      0.00298047       0.00762158
      0.00006703       0.00010834
      0.00087917       0.00089397
      0.00032220       0.00413581
     -0.00140644      -0.00082139
     -0.00093678      -0.00018383
     -0.00051211      -0.00028036
     -0.00034192      -0.00016948
     -0.00447894      -0.00399243
     -0.00116939       0.00043851
     -0.00147764      -0.00099537
     -0.00276342       0.00018609
      0.00002396       0.00018921
     -0.00089000      -0.00052652
     -0.00750316       0.00038535
      0.00148608       0.00178760
     -0.00269960      -0.00079301
     -0.00042426      -0.00035172
     -0.00095380      -0.00028143
     -0.01698402       0.00064533
      0.00049614       0.00070935
     -0.00469577       0.00000827
      0.00006028       0.00036841
     -0.00326145      -0.00021594
     -0.00105596       0.00090270
     -0.00148659       0.00037872
     -0.00145703       0.00008044
     -0.00042176      -0.00034018
     -0.00517368      -0.00128239
      0.00091895       0.00095867
     -0.00228223       0.00079809
     -0.00096590      -0.00064261
     -0.00407085      -0.00022044
     -0.00714840      -0.00267518
     -0.00020024      -0.00016106
     -0.00132028      -0.00067259
     -0.00128977      -0.00032503
     -0.00005648       0.00009107
     -0.00127617      -0.00089117
     -0.00470388      -0.00025989
     -0.00023876       0.00000818
     -0.00354829       0.00016330
      0.00005942       0.00060677
     -0.00911194      -0.00073339
     -0.00118697       0.00070631
     -0.00014652      -0.00005788
     -0.00347595      -0.00188005
     -0.00028359       0.00144370
      0.00018967       0.00125627
     -0.00125536      -0.00083229
     -0.00118145       0.00025870
     -0.00765771      -0.00097511
      0.00037125       0.00188041
     -0.00123358      -0.00064088
     -0.00084407      -0.00062793
     -0.00181922       0.00001649
     -0.00890912      -0.00239844
      0.00026098       0.00050562
      0.00022005       0.00057090
     -0.01158273      -0.00193848
     -0.00149180      -0.00077859
      0.00096289       0.00119640
     -0.00281877       0.00000656
     -0.00026698      -0.00004785
     -0.01498235      -0.00160595
      0.00012603       0.00033984
     -0.00013579       0.00019926
      0.00167153       0.00248642
     -0.00323731      -0.00116037
     -0.01166831      -0.00128166
     -0.00147869      -0.00094266
     -0.00680978      -0.00142489
      0.00007783       0.00038304
     -0.00219753      -0.00211742
      0.00006057       0.00026590
      0.00035873       0.00052871
     -0.00881793      -0.00159208
     -0.00063308      -0.00001381
     -0.00070700       0.00006334
      0.00024073       0.00038559
      0.00200108       0.00214547
     -0.00036384      -0.00005730
     -0.00691097      -0.00309810
     -0.00160080       0.00145802
      0.00016121       0.00031381
     -0.01129427      -0.00065527
     -0.00766562      -0.00045352
     -0.00008480      -0.00000687
     -0.00155646      -0.00144323
     -0.00435042       0.00027198
      0.00026017       0.00038171
     -0.00226359      -0.00067941
     -0.00271312      -0.00098773
      0.00043848       0.00062119
     -0.00047309       0.00004621
     -0.00074700      -0.00031720
     -0.00138668      -0.00055818
     -0.00517907       0.00052888
     -0.00071598      -0.00016006
      0.00047425       0.00200515
     -0.00068989      -0.00019890
     -0.00592172       0.00055951
     -0.01064536      -0.00049370
     -0.00118626       0.00016732
     -0.00367737       0.00376840
      0.00007763       0.00016766
     -0.00059266       0.00042658
     -0.00195345      -0.00047054
     -0.00036424      -0.00024961
     -0.00420658      -0.00210289
      0.00015591       0.00034229
     -0.00964650      -0.00119791
     -0.00018419       0.00087003
     -0.00067091      -0.00042184
