QM Energy	FF Energy
    -0.000555903    -0.000640116
    -0.000308114     -0.00031874
     -3.1958e-05    -4.40245e-05
    -0.000516351    -0.000511223
     -2.5258e-05     -3.4135e-05
     -2.9517e-05    -2.62409e-05
     -5.2945e-05    -5.53996e-05
     -1.2241e-05    -1.56784e-05
    -0.000871203    -0.000872092
     -8.7691e-05    -8.55925e-05
    -0.000276975    -0.000307931
    -0.000167014    -0.000174768
      -9.297e-05    -0.000103011
    -0.000140291    -0.000165888
     -7.8099e-05    -0.000107742
    -0.000340946    -0.000387113
    -0.000787405    -0.000799577
    -0.000264753    -0.000261119
    -0.000138877    -0.000191262
    -0.000271188    -0.000245361
     -1.6817e-05    -2.40564e-05
     -0.00124889     -0.00111419
     -2.4764e-05    -3.74882e-05
    -0.000564646    -0.000598146
      -0.0002131    -0.000246982
     -0.00145678     -0.00135947
     -0.00047545    -0.000483703
     -3.7308e-05    -4.04053e-05
     -1.2883e-05    -1.55291e-05
    -0.000727922    -0.000766284
    -0.000143959     -0.00016349
    -0.000352995    -0.000350481
     -0.00212508     -0.00207205
      -0.0014158     -0.00108145
    -0.000500627     -0.00051867
    -0.000330575    -0.000362364
      -0.0002262    -0.000232326
     -3.0991e-05    -3.87322e-05
    -0.000116141    -0.000148467
     -0.00025764    -0.000226671
     -5.0343e-05    -6.68792e-05
    -0.000100059    -0.000118534
    -0.000512361    -0.000523006
     -0.00123241     -0.00131327
     -1.8603e-05    -1.87245e-05
     -2.8561e-05    -3.59709e-05
    -0.000201664    -0.000180777
    -0.000206575    -0.000141807
     -0.00091902    -0.000845625
     -3.8171e-05    -5.34484e-05
    -0.000628844    -0.000651716
     -7.1061e-05    -9.34791e-05
     -4.0003e-05    -5.44652e-05
     -0.00112707    -0.000895713
    -0.000769002    -0.000655713
     -0.00107996     -0.00105574
    -0.000688609    -0.000889669
    -0.000584401    -0.000589997
     -0.00106604    -0.000978512
     -9.8415e-05    -0.000120793
     -3.2843e-05    -4.55181e-05
    -0.000342483    -0.000339548
     -0.00123669     -0.00126126
     -1.3145e-05    -1.34643e-05
     -8.3145e-05    -9.13814e-05
     -2.2956e-05    -2.94841e-05
     -4.1835e-05    -5.26622e-05
     -3.5673e-05    -4.83061e-05
    -0.000177517    -0.000192108
     -0.00204024     -0.00198138
    -0.000372107    -0.000424909
     -3.4983e-05    -5.30329e-05
    -0.000161376    -0.000151924
    -0.000221209    -0.000238909
    -0.000548921    -0.000535008
     -3.1336e-05    -4.46041e-05
    -0.000252627    -0.000261098
    -0.000542653    -0.000586063
     -1.4497e-05    -1.84589e-05
    -0.000864208    -0.000969105
     -8.4117e-05    -9.75286e-05
    -0.000165088    -0.000210357
    -0.000260084     -0.00021088
     -2.2542e-05    -3.36648e-05
     -0.00132717    -0.000956914
     -3.5868e-05    -3.83603e-05
    -0.000748931    -0.000773261
     -5.6673e-05    -6.96423e-05
    -0.000238428     -0.00026471
     -6.3868e-05     -8.4534e-05
     -7.8599e-05    -0.000107246
     -0.00112539      -0.0011252
     -3.6322e-05    -3.81035e-05
     -8.0143e-05    -7.50021e-05
     -9.7915e-05    -0.000131117
     -8.2318e-05    -0.000106067
     -0.00109968     -0.00118949
     -1.1437e-05    -1.85988e-05
    -0.000609617    -0.000411418
     -1.1739e-05    -1.53232e-05
      -8.573e-06    -1.24719e-05
    -0.000558953    -0.000589346
    -0.000126975    -0.000145507
    -0.000106919    -0.000127118
     -2.9005e-05      -3.486e-05
     -4.5709e-05    -4.84435e-05
      -0.0001919    -0.000173203
    -0.000347686    -0.000320649
    -0.000137878    -0.000154534
    -0.000561752    -0.000615529
     -1.7969e-05    -2.48364e-05
     -6.2207e-05    -6.22568e-05
     -0.00173607     -0.00159406
     -4.2942e-05    -5.77266e-05
    -0.000497213    -0.000547353
     -2.9615e-05    -3.31941e-05
     -9.5738e-05    -0.000105424
     -0.00180259     -0.00238422
     -2.9457e-05    -3.58909e-05
     -0.00131113     -0.00120225
     -5.3101e-05    -6.98331e-05
    -0.000625019    -0.000655757
    -0.000714293    -0.000613251
     -0.00046603    -0.000473017
    -0.000395136    -0.000472151
     -1.7123e-05    -2.85931e-05
     -0.00102338    -0.000869501
     -1.4383e-05    -2.15885e-05
    -0.000422029    -0.000442241
    -0.000134458    -0.000119503
      -0.0011074    -0.000990994
    -0.000845346    -0.000951601
      -6.515e-06    -1.06877e-05
    -0.000103757    -0.000130818
    -0.000190901     -0.00017979
     -2.0029e-05    -2.85507e-05
     -8.3792e-05    -0.000117765
     -0.00115621      -0.0010867
      -3.102e-05     -4.0424e-05
    -0.000849586    -0.000775167
       -6.64e-05    -8.79241e-05
     -0.00124459     -0.00129811
     -0.00031752    -0.000396737
     -1.5964e-05    -2.24991e-05
    -0.000270109    -0.000312706
    -0.000264644    -0.000239117
    -0.000199171    -0.000289066
     -4.7416e-05    -5.31206e-05
    -0.000241341    -0.000289524
     -0.00132237     -0.00136162
     -0.00045669    -0.000480027
    -0.000100493    -0.000128041
     -2.0187e-05    -2.68559e-05
    -0.000397105    -0.000503574
     -0.00122153     -0.00116476
     -5.4993e-05    -5.32588e-05
     -6.6948e-05    -9.62876e-05
     -0.00129994     -0.00157219
    -0.000160555    -0.000220837
     -3.9285e-05    -4.09655e-05
    -0.000477999    -0.000569694
     -5.9417e-05    -7.61141e-05
     -0.00196369     -0.00202561
     -3.3905e-05    -5.38168e-05
     -4.8724e-05    -6.49599e-05
    -0.000161388    -0.000193438
    -0.000484601    -0.000445144
     -0.00154009     -0.00164653
     -0.00011483    -0.000117372
     -0.00118457     -0.00116689
     -6.5922e-05    -8.80045e-05
     -5.5388e-05    -4.40499e-05
      -3.916e-05    -5.61096e-05
     -3.4853e-05    -4.80509e-05
     -0.00186862     -0.00152286
    -0.000184293    -0.000199098
    -0.000134688    -0.000107362
     -1.7389e-05    -2.66726e-05
      -3.456e-06    -1.68073e-06
     -9.7819e-05    -0.000131116
     -0.00116191    -0.000906696
    -0.000662779    -0.000719313
     -3.0151e-05    -4.08762e-05
     -0.00184045     -0.00179745
     -0.00137535     -0.00136851
     -2.1495e-05    -2.72356e-05
     -2.3415e-05    -1.54781e-05
    -0.000739125    -0.000821985
     -2.4816e-05    -3.75019e-05
    -0.000491277    -0.000469197
    -0.000328609    -0.000351792
      -4.733e-05    -4.50189e-05
    -0.000115556    -0.000135985
     -8.7981e-05    -0.000100023
    -0.000181516    -0.000179012
     -0.00121142     -0.00115779
    -0.000111275    -0.000147167
    -0.000183531    -0.000147709
     -7.7897e-05      -0.0001033
     -0.00111841     -0.00103329
     -0.00152262     -0.00173138
    -0.000275526    -0.000315872
     -0.00114396     -0.00113122
     -1.3158e-05    -1.40578e-05
    -0.000202209    -0.000235812
     -0.00030974    -0.000336655
     -1.4236e-05    -1.51254e-05
    -0.000561116    -0.000497591
     -3.7718e-05    -5.16593e-05
     -0.00171028     -0.00162725
    -0.000266923     -0.00029295
