QM Energy	FF Energy
    -0.000768004    -0.000792666
    -0.000229664    -0.000260845
    -0.000129247    -0.000124352
    -0.000568548    -0.000731631
     -5.3616e-05    -6.32049e-05
    -0.000167768    -0.000112075
    -0.000131605    -0.000129069
    -0.000130488    -0.000148672
    -0.000898447     -0.00101117
    -0.000248501    -0.000247493
    -0.000276856    -0.000264818
    -0.000233783    -0.000199388
    -0.000317204    -0.000322462
    -0.000207667    -0.000229013
    -0.000148645    -0.000151415
     -0.00045248     -0.00057773
    -0.000681733    -0.000662213
    -0.000245627     -0.00025935
    -0.000310653    -0.000317641
    -0.000436747    -0.000425417
     -3.2175e-05     -4.2604e-05
      -0.0010493     -0.00109484
     -7.0499e-05    -8.27135e-05
    -0.000214859    -0.000253136
    -0.000238856    -0.000287064
    -0.000939662     -0.00153416
    -0.000346664    -0.000302927
      -0.0001304    -0.000123273
     -9.8364e-05    -0.000102716
    -0.000740021    -0.000816546
    -0.000369476    -0.000338594
    -0.000266564    -0.000220913
     -0.00160193     -0.00168275
    -0.000894839     -0.00142267
    -0.000276382     -0.00025439
     -0.00100476    -0.000866226
    -0.000336276    -0.000308564
    -0.000119444    -0.000115625
     -6.8945e-05    -9.22344e-05
    -0.000573064    -0.000418602
    -0.000222689    -0.000173675
    -0.000304035    -0.000322058
    -0.000435803    -0.000475192
     -0.00103218     -0.00115466
    -0.000224989    -0.000222184
     -7.7912e-05    -8.35167e-05
    -0.000272405    -0.000262554
    -0.000510771    -0.000589778
    -0.000800987     -0.00100939
    -0.000119119    -0.000121244
     -0.00054672    -0.000668709
     -0.00013071    -0.000132107
    -0.000100277    -0.000102256
     -0.00156234      -0.0011103
    -0.000797833    -0.000848605
     -0.00065944    -0.000629028
     -0.00100938    -0.000974971
    -0.000277518    -0.000312622
     -0.00152021     -0.00137101
     -0.00029545    -0.000313537
     -4.8424e-05    -6.59177e-05
    -0.000231247    -0.000174015
    -0.000867219    -0.000942042
     -9.2041e-05    -9.65291e-05
    -0.000268406    -0.000279567
    -0.000115341    -0.000124791
    -0.000122521    -0.000118754
     -4.5902e-05    -4.33997e-05
    -0.000108352    -0.000124975
     -0.00184445     -0.00198794
    -0.000602244    -0.000627247
     -8.2454e-05    -9.61907e-05
    -0.000431873    -0.000468914
    -0.000347495    -0.000431547
    -0.000584392    -0.000827915
     -3.6699e-05    -4.12525e-05
     -0.00064129    -0.000562964
    -0.000398341    -0.000412705
    -0.000104126    -0.000102688
    -0.000566374    -0.000813252
    -0.000262906    -0.000278531
    -0.000131727    -0.000155624
    -0.000651145    -0.000463258
     -4.2176e-05    -5.40095e-05
     -0.00183224     -0.00113552
    -0.000200661    -0.000178642
    -0.000631531    -0.000631106
     -0.00018517    -0.000209145
    -0.000131769    -0.000179748
     -6.5427e-05    -8.96845e-05
    -0.000216533    -0.000225509
     -0.00107637     -0.00101135
    -0.000162441    -0.000180428
    -0.000177559    -0.000147642
    -0.000198981    -0.000236742
    -0.000115082    -0.000169462
     -0.00151589     -0.00148924
    -0.000185389    -0.000176288
    -0.000910967     -0.00139488
     -8.1499e-05    -9.68807e-05
     -8.0583e-05    -7.59792e-05
    -0.000996318    -0.000910679
    -0.000149264     -0.00017991
    -0.000272966    -0.000328553
    -0.000125525    -0.000129668
    -0.000150078    -0.000157016
    -0.000545205    -0.000320091
    -0.000583276    -0.000645258
    -0.000140568    -0.000157848
     -0.00052371    -0.000702614
     -9.4743e-05    -9.83016e-05
    -0.000159954    -0.000149207
     -0.00124739     -0.00137536
    -0.000288182    -0.000281433
    -0.000707257    -0.000708798
      -9.688e-05    -9.87448e-05
    -0.000141457    -0.000140282
     -0.00173984     -0.00199898
    -0.000104235    -9.71549e-05
    -0.000748296    -0.000580223
     -9.1079e-05    -0.000135041
    -0.000251962    -0.000312147
    -0.000423959    -0.000267929
    -0.000173128     -0.00017203
    -0.000430058    -0.000420779
     -3.9158e-05    -4.19056e-05
    -0.000757947     -0.00081218
     -5.9891e-05    -6.78491e-05
    -0.000432357    -0.000538577
    -0.000280147    -0.000282797
     -0.00157517     -0.00171647
     -0.00137725     -0.00122604
     -9.1707e-05    -0.000102499
    -0.000256043    -0.000339287
    -0.000344029    -0.000367844
    -0.000142904    -0.000159101
    -0.000118344    -0.000135913
    -0.000609561    -0.000589161
    -0.000154423    -0.000194077
    -0.000327867    -0.000367857
    -0.000216272    -0.000270023
    -0.000772688     -0.00116736
    -0.000615895    -0.000696758
     -7.4326e-05    -7.33432e-05
    -0.000493431    -0.000579806
    -0.000608122    -0.000650526
    -0.000303295    -0.000301071
    -0.000230998    -0.000222353
    -0.000426202    -0.000456109
    -0.000978078     -0.00118146
    -0.000873423    -0.000857124
    -0.000249848    -0.000308345
    -0.000144865    -0.000155395
     -0.00052641    -0.000606613
     -0.00128379     -0.00149838
    -0.000192252    -0.000184463
    -0.000167197    -0.000175039
     -0.00152496     -0.00163361
     -0.00016221    -0.000175134
    -0.000230138    -0.000182124
    -0.000443912    -0.000517583
     -5.7799e-05    -5.64163e-05
     -0.00119644     -0.00142886
     -9.9314e-05    -0.000103303
    -0.000133318     -0.00013568
    -0.000313131    -0.000368566
    -0.000551006    -0.000628035
     -0.00101379     -0.00109313
    -0.000249734     -0.00028565
    -0.000792594    -0.000965633
    -0.000140054    -0.000136356
    -0.000280452    -0.000209188
    -0.000146176    -0.000178551
     -7.2404e-05    -7.70833e-05
     -0.00118443     -0.00108866
    -0.000127037    -0.000125135
    -0.000410791    -0.000280917
     -6.0207e-05    -6.76922e-05
    -0.000202862    -0.000219092
    -0.000217755    -0.000237108
     -0.00165377     -0.00112352
    -0.000674956    -0.000760275
      -7.222e-05    -8.65833e-05
     -0.00126023     -0.00166697
     -0.00099288     -0.00115553
     -9.4761e-05    -8.81011e-05
    -0.000159799    -0.000110909
     -0.00056395      -0.0007097
    -0.000106909    -0.000121956
    -0.000293922    -0.000279209
    -0.000319371    -0.000282612
    -0.000254929    -0.000259799
    -0.000226281    -0.000220214
    -0.000171789    -0.000180605
    -0.000324248    -0.000357121
    -0.000727313    -0.000886204
     -7.0003e-05    -9.09917e-05
    -0.000396755    -0.000359342
    -0.000109057    -0.000122521
