QM Energy	FF Energy
    -0.000555903    -0.000636606
    -0.000308114    -0.000318532
     -3.1958e-05    -4.34508e-05
    -0.000516351    -0.000499929
     -2.5258e-05    -3.41125e-05
     -2.9517e-05    -2.63065e-05
     -5.2945e-05    -5.40044e-05
     -1.2241e-05    -1.72382e-05
    -0.000871203    -0.000880674
     -8.7691e-05    -8.64904e-05
    -0.000276975    -0.000311036
    -0.000167014      -0.0001802
      -9.297e-05    -0.000101303
    -0.000140291    -0.000160745
     -7.8099e-05    -0.000108062
    -0.000340946    -0.000381659
    -0.000787405    -0.000810045
    -0.000264753    -0.000260503
    -0.000138877    -0.000188993
    -0.000271188    -0.000248057
     -1.6817e-05    -2.40081e-05
     -0.00124889     -0.00111901
     -2.4764e-05    -3.70533e-05
    -0.000564646    -0.000596061
      -0.0002131    -0.000246002
     -0.00145678       -0.001298
     -0.00047545    -0.000480646
     -3.7308e-05    -4.13189e-05
     -1.2883e-05    -1.48928e-05
    -0.000727922    -0.000761111
    -0.000143959    -0.000167419
    -0.000352995    -0.000349854
     -0.00212508     -0.00210689
      -0.0014158     -0.00102633
    -0.000500627    -0.000515872
    -0.000330575    -0.000364788
      -0.0002262    -0.000242882
     -3.0991e-05    -3.84794e-05
    -0.000116141    -0.000148249
     -0.00025764    -0.000229065
     -5.0343e-05    -6.70671e-05
    -0.000100059    -0.000116059
    -0.000512361    -0.000520282
     -0.00123241      -0.0013049
     -1.8603e-05    -2.00577e-05
     -2.8561e-05     -3.5613e-05
    -0.000201664    -0.000180368
    -0.000206575    -0.000141531
     -0.00091902    -0.000863286
     -3.8171e-05     -5.3903e-05
    -0.000628844    -0.000645275
     -7.1061e-05    -9.39345e-05
     -4.0003e-05    -5.41615e-05
     -0.00112707    -0.000898636
    -0.000769002    -0.000656953
     -0.00107996     -0.00104706
    -0.000688609    -0.000889537
    -0.000584401    -0.000591667
     -0.00106604    -0.000991375
     -9.8415e-05    -0.000121623
     -3.2843e-05    -4.37059e-05
    -0.000342483    -0.000336183
     -0.00123669     -0.00126799
     -1.3145e-05     -1.3273e-05
     -8.3145e-05    -9.50805e-05
     -2.2956e-05    -2.80974e-05
     -4.1835e-05    -5.31962e-05
     -3.5673e-05    -4.77648e-05
    -0.000177517    -0.000192847
     -0.00204024     -0.00194712
    -0.000372107    -0.000424051
     -3.4983e-05    -5.35299e-05
