QM Energy	FF Energy
      -0.0058401     -0.00580245
     -0.00342457     -0.00351786
     -0.00165806     -0.00169083
     -0.00494671     -0.00490246
     -0.00114487      -0.0011268
     -0.00126805     -0.00120321
     -0.00149947       -0.001388
     -0.00143196     -0.00138088
      -0.0058326     -0.00587954
     -0.00150525     -0.00144453
     -0.00355517     -0.00365617
     -0.00284091     -0.00281013
     -0.00214622     -0.00213998
     -0.00261643     -0.00261967
     -0.00158541      -0.0015668
     -0.00492721     -0.00490498
     -0.00627187     -0.00639033
     -0.00357342     -0.00353994
     -0.00290777     -0.00296938
     -0.00295653     -0.00292343
     -0.00104064     -0.00103994
     -0.00818694     -0.00804986
     -0.00132765     -0.00134855
     -0.00576885     -0.00592862
     -0.00409536     -0.00414597
       -0.010584      -0.0106051
     -0.00471048     -0.00463357
     -0.00103653    -0.000938056
    -0.000817594    -0.000804688
     -0.00575871     -0.00583138
     -0.00262843     -0.00258671
     -0.00303534     -0.00297301
      -0.0122617      -0.0121731
     -0.00847957     -0.00824583
     -0.00501168     -0.00512913
     -0.00415749     -0.00404978
     -0.00327608     -0.00333424
     -0.00132555     -0.00126988
     -0.00247962     -0.00258788
     -0.00286451     -0.00273794
     -0.00140628     -0.00134693
     -0.00243439     -0.00249004
     -0.00453271     -0.00441223
     -0.00882464     -0.00900625
     -0.00140883      -0.0012669
     -0.00146376     -0.00143885
     -0.00270578     -0.00256657
      -0.0037146     -0.00351373
     -0.00552493     -0.00553183
     -0.00129827     -0.00127606
     -0.00504786     -0.00492564
     -0.00206283      -0.0020304
     -0.00187454     -0.00183792
     -0.00530911     -0.00520909
     -0.00567216     -0.00557541
     -0.00689367     -0.00707121
     -0.00726903      -0.0075463
     -0.00598343     -0.00615114
     -0.00692581     -0.00679632
     -0.00319261     -0.00319345
     -0.00136923     -0.00138675
     -0.00276509     -0.00268743
     -0.00863605     -0.00876315
    -0.000719253    -0.000695755
      -0.0028318     -0.00278399
     -0.00126367      -0.0011727
     -0.00142735     -0.00138822
     -0.00103816     -0.00101934
     -0.00292944     -0.00302406
      -0.0105179      -0.0101494
     -0.00336822      -0.0033778
     -0.00164411       -0.001686
      -0.0036307     -0.00351877
     -0.00334733     -0.00324848
      -0.0056749     -0.00577002
     -0.00150528     -0.00154133
      -0.0036718     -0.00369606
      -0.0064125     -0.00649653
    -0.000959292    -0.000938948
     -0.00869806     -0.00877877
     -0.00210252     -0.00215896
     -0.00314502     -0.00329675
     -0.00315931     -0.00303158
     -0.00106695     -0.00109057
     -0.00755288     -0.00772258
     -0.00199945     -0.00183735
      -0.0047464     -0.00473596
     -0.00160541     -0.00154385
     -0.00372918     -0.00378394
     -0.00211255     -0.00214704
     -0.00236452     -0.00235913
     -0.00617789       -0.006138
     -0.00149163     -0.00143935
     -0.00177498     -0.00170727
     -0.00272822     -0.00276764
     -0.00229613     -0.00240638
     -0.00792434     -0.00826269
     -0.00140149     -0.00139193
      -0.0055001     -0.00527395
     -0.00108839     -0.00110415
    -0.000837427    -0.000796319
     -0.00573017     -0.00571969
     -0.00250929     -0.00254005
     -0.00254288     -0.00245011
     -0.00144894     -0.00135569
     -0.00132328     -0.00128707
     -0.00209178     -0.00196696
      -0.0036193     -0.00352038
     -0.00219903     -0.00218224
      -0.0065273     -0.00671545
     -0.00106694    -0.000983894
     -0.00154141     -0.00147583
     -0.00792777     -0.00778174
     -0.00211226     -0.00197974
     -0.00425817     -0.00438816
      -0.0012299     -0.00118407
     -0.00237228     -0.00233113
      -0.0137477       -0.013575
      -0.0014175     -0.00140641
      -0.0074914      -0.0073428
     -0.00175608     -0.00181537
     -0.00621781      -0.0064472
     -0.00380993     -0.00342744
     -0.00413831     -0.00414895
     -0.00310077     -0.00310649
     -0.00107733     -0.00108965
     -0.00465029     -0.00443634
    -0.000890821    -0.000868646
     -0.00512414     -0.00507948
     -0.00219137     -0.00215407
     -0.00718803     -0.00726296
     -0.00630395     -0.00642008
    -0.000791506    -0.000736631
     -0.00275025      -0.0026794
     -0.00243876     -0.00235829
     -0.00124064     -0.00118851
     -0.00258683     -0.00270462
     -0.00827562     -0.00809516
     -0.00161091     -0.00159156
      -0.0064492     -0.00659206
     -0.00277659     -0.00283318
      -0.0107569      -0.0109848
     -0.00444351     -0.00441136
    -0.000877852    -0.000820256
      -0.0038839     -0.00371454
     -0.00433752     -0.00417137
     -0.00385823     -0.00400647
     -0.00194539     -0.00186934
      -0.0050322     -0.00528137
      -0.0080448     -0.00797405
     -0.00409072      -0.0041602
     -0.00217421     -0.00203126
     -0.00121611     -0.00116581
     -0.00445849     -0.00461193
     -0.00785941     -0.00790878
     -0.00129049     -0.00123828
     -0.00184059     -0.00186622
      -0.0102507      -0.0104765
     -0.00267846     -0.00278479
     -0.00143084      -0.0012678
     -0.00464299     -0.00466078
     -0.00146038      -0.0014801
      -0.0122591      -0.0121495
     -0.00119836     -0.00115475
     -0.00194256     -0.00193093
     -0.00356639     -0.00369404
     -0.00436715     -0.00433643
      -0.0102999      -0.0103749
     -0.00227882     -0.00226085
     -0.00875377     -0.00913143
     -0.00145005     -0.00139719
     -0.00125248     -0.00112926
     -0.00178068     -0.00184835
