QM Energy	FF Energy
    -0.000157364    -0.000122211
     -0.00119119     -0.00120898
     -0.00204172     -0.00185562
     -6.3659e-05    -4.47209e-05
     -0.00130126     -0.00143767
    -0.000116703    -0.000149391
     -6.6998e-05    -4.49254e-05
    -0.000320921     -0.00041853
     -8.9782e-05     -4.2767e-05
     -6.3435e-05    -4.53939e-05
    -0.000319549    -0.000409003
     -4.7334e-05     -4.2555e-05
    -0.000197101    -0.000123729
      -4.973e-05    -2.60795e-05
     -8.0689e-05    -0.000110954
     -5.9615e-05    -6.63601e-05
     -3.4777e-05    -2.19737e-05
     -3.4051e-05    -1.85999e-05
      -0.0010876    -0.000831672
    -0.000988987     -0.00128873
      -0.0007445    -0.000583169
     -1.9106e-05     -1.5847e-05
    -0.000272932    -0.000284879
     -0.00338914     -0.00248372
    -0.000399036    -0.000566876
     -9.7374e-05    -7.98628e-05
    -0.000710341    -0.000632139
     -0.00012749    -0.000179989
     -0.00267394     -0.00440112
     -0.00134697     -0.00167978
     -0.00278361     -0.00211234
     -6.6496e-05    -4.76266e-05
     -6.8813e-05    -4.05672e-05
    -0.000527179    -0.000802391
    -0.000126027    -7.01569e-05
    -0.000864279    -0.000525616
    -0.000857097    -0.000659955
    -0.000446591     -0.00043634
     -1.9067e-05    -2.59596e-05
    -0.000366713    -0.000224749
    -0.000456184    -0.000546639
    -0.000544888     -0.00043613
    -0.000677583    -0.000879081
    -0.000400563    -0.000377583
     -0.00127846     -0.00113727
     -7.7411e-05    -6.27816e-05
    -0.000291361    -0.000298418
     -3.2299e-05    -2.32779e-05
     -1.9679e-05    -1.79673e-05
     -2.7523e-05    -1.45474e-05
       -4.15e-05    -7.65144e-05
    -0.000157955    -0.000177661
    -0.000378272     -0.00039401
     -0.00299796     -0.00249205
    -0.000676322    -0.000971202
     -1.6578e-05    -1.43526e-05
     -7.8902e-05    -7.41119e-05
    -0.000651925    -0.000467515
     -0.00308106     -0.00249297
     -2.8594e-05    -1.83861e-05
     -0.00010885    -6.86666e-05
     -2.9782e-05    -3.82936e-05
    -0.000733475    -0.000890287
     -0.00209939     -0.00133178
     -2.6281e-05    -2.23927e-05
    -0.000804985    -0.000628497
    -0.000529347    -0.000465587
    -0.000129581    -0.000102331
     -1.1543e-05    -1.49045e-05
     -1.7325e-05    -1.42192e-05
    -0.000921163    -0.000556841
     -7.6738e-05    -8.35208e-05
     -0.00216378     -0.00200701
     -4.4322e-05    -4.64552e-05
     -0.00450888     -0.00416742
    -0.000377624    -0.000288355
     -6.3365e-05    -6.97102e-05
    -0.000399676    -0.000413852
     -0.00011847    -7.76526e-05
     -7.0017e-05    -4.90823e-05
     -0.00166986     -0.00209384
     -0.00103899    -0.000789772
     -0.00297417     -0.00254017
     -0.00119741     -0.00132803
     -4.4796e-05    -2.53014e-05
      -7.982e-06     -1.3869e-05
    -0.000167807    -0.000219417
    -0.000222281    -0.000295567
    -0.000989444    -0.000757595
     -0.00034723    -0.000346912
    -0.000964793    -0.000632973
     -5.6282e-05    -3.42147e-05
    -0.000221799    -0.000192336
    -0.000486158    -0.000711367
     -0.00125264     -0.00158593
    -0.000332734    -0.000321037
     -0.00105141     -0.00128939
     -0.00125256     -0.00154708
     -0.00140543     -0.00163413
     -4.6107e-05    -2.93164e-05
     -3.9043e-05    -2.18618e-05
    -0.000920808    -0.000699255
     -0.00120722     -0.00147188
     -0.00255197     -0.00216158
     -6.3192e-05    -5.09479e-05
     -0.00159883     -0.00185033
     -5.4846e-05    -3.33618e-05
      -2.322e-05    -1.21014e-05
     -7.0192e-05    -9.27684e-05
    -0.000233496    -0.000249908
     -3.2406e-05    -1.78244e-05
      -4.911e-05    -3.95474e-05
    -0.000176378    -9.56082e-05
     -2.9445e-05    -1.74458e-05
    -0.000232895    -0.000193247
    -0.000472769     -0.00028387
     -2.6492e-05    -2.84185e-05
     -2.4056e-05    -1.65434e-05
     -2.3144e-05    -1.64489e-05
     -0.00350094     -0.00295629
    -0.000182282    -0.000157137
     -0.00112423     -0.00122206
     -7.8229e-05      -0.0001137
     -3.5579e-05    -3.26445e-05
     -0.00296286     -0.00329821
     -0.00033346    -0.000426619
    -0.000318495    -0.000303547
    -0.000317038    -0.000420271
    -0.000571191    -0.000671549
     -0.00067277    -0.000746177
     -0.00058467    -0.000503766
    -0.000117059    -7.44258e-05
     -0.00020789    -0.000144549
    -0.000762089    -0.000663284
     -2.1223e-05    -3.24467e-05
    -0.000418653    -0.000270488
    -0.000458942     -0.00033239
    -0.000118529    -0.000130721
     -0.00167229     -0.00147735
    -0.000728685    -0.000495163
     -4.0555e-05    -3.77541e-05
     -5.6676e-05    -5.90659e-05
     -2.2317e-05     -1.4847e-05
     -2.3846e-05    -2.59291e-05
     -0.00124659    -0.000867675
    -0.000694355    -0.000500911
    -0.000905834    -0.000720022
    -0.000275371    -0.000271665
      -6.134e-05    -4.58462e-05
     -0.00069329    -0.000416612
     -0.00105913    -0.000621962
     -1.3349e-05    -1.14242e-05
     -4.3735e-05    -2.90332e-05
    -0.000190309    -0.000224904
