# Eelst 		 Emultipole 
     -0.00024811       0.00035544
     -0.00750956       0.00200350
     -0.00705215      -0.00084760
     -0.00040288      -0.00019474
     -0.00437465       0.00039529
     -0.00064229      -0.00013518
     -0.00039972      -0.00016568
     -0.00129975       0.00004676
     -0.00064474      -0.00039897
      0.00018296       0.00048826
     -0.00029857       0.00054594
     -0.00013667       0.00006419
     -0.00024158       0.00052553
     -0.00037149      -0.00025928
     -0.00018223       0.00015298
     -0.00026009      -0.00003140
      0.00006528       0.00022730
     -0.00013211       0.00000868
     -0.00339578      -0.00086726
     -0.00409783      -0.00025288
     -0.00318652      -0.00042269
      0.00008318       0.00013649
     -0.00074969       0.00022829
     -0.01527942      -0.00040810
     -0.00125640       0.00019720
     -0.00066047      -0.00035767
     -0.00232200       0.00032191
     -0.00031964       0.00021813
     -0.01679316      -0.00010359
     -0.00590045      -0.00070573
     -0.01051657      -0.00109188
      0.00002279       0.00030427
     -0.00053756      -0.00035322
     -0.00243311      -0.00007223
     -0.00064689      -0.00023654
     -0.00307859      -0.00011646
     -0.00345622      -0.00074529
     -0.00154811       0.00032646
      0.00012647       0.00021579
     -0.00139762      -0.00028800
     -0.00169452      -0.00010306
     -0.00194030      -0.00003615
     -0.00113586       0.00077615
     -0.00172644      -0.00050397
     -0.00559100      -0.00092156
     -0.00049968      -0.00026829
     -0.00134765      -0.00023233
     -0.00023690      -0.00011745
     -0.00007148      -0.00000665
     -0.00017792      -0.00009892
     -0.00022285      -0.00000437
     -0.00065931       0.00000758
     -0.00173544      -0.00042990
     -0.01291413       0.00044799
     -0.00264934       0.00008596
     -0.00024005      -0.00019730
     -0.00032315      -0.00011081
     -0.00287958      -0.00056700
     -0.01647121       0.00084850
     -0.00029383      -0.00019359
     -0.00036911       0.00003447
     -0.00029621      -0.00018302
     -0.00233261       0.00048881
     -0.00744701       0.00157169
     -0.00024046      -0.00012419
     -0.00244741       0.00109527
     -0.00249421      -0.00058264
     -0.00046459      -0.00013454
      0.00004820       0.00010926
     -0.00015406      -0.00009079
     -0.00359653      -0.00055701
      0.00001624       0.00029655
     -0.00816039      -0.00019657
     -0.00015980       0.00001116
     -0.02440319      -0.00023366
     -0.00188647      -0.00067164
     -0.00034077      -0.00008816
     -0.00134478       0.00005635
     -0.00055641      -0.00020082
     -0.00046057      -0.00023161
     -0.00641539      -0.00020685
     -0.00443753       0.00172571
     -0.01167029      -0.00063875
     -0.00521156      -0.00013494
     -0.00040926      -0.00031018
      0.00006218       0.00011433
     -0.00059246      -0.00002790
     -0.00010817       0.00053830
     -0.00305985      -0.00059873
     -0.00124553      -0.00023082
     -0.00415978      -0.00091010
     -0.00034958      -0.00019333
     -0.00087815       0.00003766
     -0.00148956       0.00044508
     -0.00418506      -0.00000856
     -0.00092020       0.00035841
     -0.00312348       0.00040004
     -0.00486333      -0.00022357
     -0.00481871       0.00120468
     -0.00002532       0.00015007
      0.00005034       0.00023465
     -0.00374162      -0.00075262
     -0.00437429       0.00008175
     -0.01118007      -0.00019202
     -0.00049157      -0.00032467
     -0.00654728      -0.00079393
     -0.00042444      -0.00028639
     -0.00019776      -0.00010944
     -0.00001219       0.00025288
     -0.00077999      -0.00002058
     -0.00020746      -0.00008074
     -0.00018572       0.00001996
     -0.00063979       0.00003369
     -0.00018038      -0.00008603
     -0.00094486      -0.00011726
     -0.00118746       0.00078393
     -0.00014697      -0.00007076
     -0.00031136      -0.00022509
     -0.00029733      -0.00023575
     -0.01652158      -0.00063947
     -0.00018004       0.00058124
     -0.00446622      -0.00040036
     -0.00025488       0.00004358
     -0.00027024      -0.00012292
     -0.01535733      -0.00238500
     -0.00106564       0.00038747
     -0.00067235       0.00062740
     -0.00044414       0.00047467
     -0.00154818       0.00049917
     -0.00266803      -0.00048188
     -0.00154888       0.00033384
     -0.00016552       0.00030366
     -0.00121819      -0.00058484
     -0.00256940      -0.00033610
      0.00001038       0.00009526
     -0.00160201      -0.00017558
     -0.00183282      -0.00019783
     -0.00070521      -0.00026835
     -0.00581551      -0.00028908
     -0.00311408      -0.00061353
     -0.00018643      -0.00003653
      0.00009098       0.00031011
      0.00026225       0.00037042
      0.00016016       0.00022962
     -0.00504641      -0.00064712
     -0.00300689      -0.00079996
     -0.00393112       0.00151085
     -0.00092944      -0.00022634
      0.00011857       0.00041298
     -0.00263957      -0.00054432
     -0.00358179       0.00016583
      0.00019022       0.00024829
      0.00000596       0.00017867
     -0.00056015       0.00022959
     -0.00100443      -0.00027738
     -0.00040943      -0.00028133
     -0.00374513      -0.00001873
     -0.00030215      -0.00010294
     -0.00091243      -0.00043137
     -0.00029686      -0.00009024
     -0.00001283       0.00008108
     -0.01105281      -0.00017209
     -0.00049409       0.00057791
     -0.00630170      -0.00124662
     -0.01210954       0.00180539
     -0.00131315      -0.00022018
     -0.01472982      -0.00059806
      0.00032824       0.00049733
     -0.00023870      -0.00002274
     -0.00178912      -0.00002127
     -0.00152506       0.00083528
     -0.00020898      -0.00008143
     -0.00021964       0.00008346
     -0.00089389      -0.00001178
     -0.00249773       0.00047360
     -0.00439807       0.00036286
     -0.00091182       0.00039962
     -0.00098902       0.00124728
     -0.00022560      -0.00006645
     -0.00150308      -0.00000450
     -0.00199141       0.00000136
     -0.00152968      -0.00036951
      0.00002761       0.00014390
     -0.00025118      -0.00012446
     -0.00171541      -0.00006625
     -0.00320939      -0.00085095
     -0.00069237      -0.00024908
     -0.00039759      -0.00000670
     -0.00189708      -0.00019130
     -0.00015229      -0.00004684
     -0.00009937       0.00010862
     -0.00034451      -0.00007593
     -0.00327072      -0.00044283
