QM Energy	FF Energy
    -0.000157364     -0.00012553
     -0.00119119     -0.00129359
     -0.00204172     -0.00169269
     -6.3659e-05    -4.82435e-05
     -0.00130126     -0.00142186
    -0.000116703    -0.000133247
     -6.6998e-05    -4.69514e-05
    -0.000320921    -0.000386097
     -8.9782e-05    -4.16973e-05
     -6.3435e-05    -5.01529e-05
    -0.000319549    -0.000312989
     -4.7334e-05    -4.50936e-05
    -0.000197101     -0.00013544
      -4.973e-05    -2.36613e-05
     -8.0689e-05    -9.17782e-05
     -5.9615e-05    -5.49086e-05
     -3.4777e-05    -2.65271e-05
     -3.4051e-05    -2.20765e-05
      -0.0010876    -0.000747099
    -0.000988987     -0.00117087
      -0.0007445    -0.000586136
     -1.9106e-05    -1.60133e-05
    -0.000272932    -0.000262264
     -0.00338914     -0.00239311
    -0.000399036    -0.000451498
     -9.7374e-05    -7.57279e-05
    -0.000710341    -0.000569948
     -0.00012749    -0.000157004
     -0.00267394     -0.00428472
     -0.00134697     -0.00154717
     -0.00278361     -0.00209451
     -6.6496e-05    -5.52922e-05
     -6.8813e-05    -4.08287e-05
    -0.000527179    -0.000709901
    -0.000126027    -8.06237e-05
    -0.000864279    -0.000510167
    -0.000857097    -0.000628492
    -0.000446591     -0.00043867
     -1.9067e-05    -1.63885e-05
    -0.000366713    -0.000217036
    -0.000456184    -0.000473428
    -0.000544888    -0.000402283
    -0.000677583    -0.000762044
    -0.000400563    -0.000318537
     -0.00127846     -0.00112765
     -7.7411e-05    -6.91376e-05
    -0.000291361     -0.00031382
     -3.2299e-05    -2.55048e-05
     -1.9679e-05    -1.81833e-05
     -2.7523e-05    -1.56715e-05
       -4.15e-05    -6.68373e-05
    -0.000157955    -0.000170324
    -0.000378272    -0.000364251
     -0.00299796       -0.002345
    -0.000676322    -0.000837773
     -1.6578e-05     -1.5715e-05
     -7.8902e-05    -6.30257e-05
    -0.000651925    -0.000481221
     -0.00308106     -0.00263051
     -2.8594e-05     -2.1842e-05
     -0.00010885     -7.1152e-05
