QM Energy	FF Energy
     -5.7355e-05    -7.63715e-05
    -0.000346669    -0.000893918
    -0.000926244    -0.000711805
     -2.7529e-05    -4.20905e-05
    -0.000547955    -0.000590236
     -5.5754e-05    -6.55652e-05
     -2.9053e-05    -3.95185e-05
      -9.596e-05    -0.000176795
     -5.9572e-05    -4.38803e-05
     -4.8452e-05    -5.25074e-05
    -0.000257837    -0.000135017
     -3.0631e-05    -3.15119e-05
     -6.3987e-05    -9.33921e-05
     -3.8852e-05    -2.68217e-05
       -4.76e-05    -4.48146e-05
     -3.0828e-05    -3.00289e-05
     -3.6953e-05    -3.33745e-05
      -3.247e-05    -2.88669e-05
    -0.000432578    -0.000361724
     -0.00043955    -0.000436754
     -9.9118e-05    -0.000326218
     -1.4696e-05    -1.33747e-05
    -0.000106106    -0.000122457
     -0.00135198     -0.00146065
    -0.000227565    -0.000180853
     -4.2973e-05    -5.31195e-05
    -0.000166032    -0.000291191
     -6.6469e-05    -7.00835e-05
     -0.00209592     -0.00170113
    -0.000654866    -0.000588367
     -0.00121282     -0.00113879
      -3.541e-05     -4.4049e-05
     -4.2352e-05    -3.53977e-05
    -0.000227028    -0.000277456
     -5.8543e-05    -6.40728e-05
    -0.000133418    -0.000334978
    -0.000178877    -0.000337727
     -8.4446e-05    -0.000214504
     -2.4375e-05    -1.40937e-05
    -0.000121018    -0.000148781
    -0.000177002    -0.000200523
    -0.000159191    -0.000203812
    -0.000438535    -0.000287518
     -0.00018069     -0.00013623
    -0.000418925    -0.000573128
     -4.6534e-05    -4.06689e-05
    -0.000101116    -0.000154122
     -1.9905e-05    -2.52791e-05
     -1.5261e-05    -1.40662e-05
     -2.6246e-05    -2.06715e-05
     -2.5746e-05    -3.49687e-05
     -3.9929e-05    -8.94989e-05
    -0.000142912    -0.000167124
     -0.00120623     -0.00134623
     -0.00031136    -0.000333105
     -1.1087e-05    -1.32752e-05
     -4.0029e-05    -3.79384e-05
    -0.000110206    -0.000286063
      -0.0013296     -0.00164087
     -1.8765e-05    -2.10673e-05
     -3.6824e-05    -5.92263e-05
     -2.2079e-05    -2.49978e-05
    -0.000282835     -0.00033889
