QM Energy	FF Energy
    -0.000157364    -0.000125306
     -0.00119119     -0.00129059
     -0.00204172     -0.00170453
     -6.3659e-05    -4.84305e-05
     -0.00130126     -0.00141926
    -0.000116703    -0.000133239
     -6.6998e-05    -4.69629e-05
    -0.000320921     -0.00038704
     -8.9782e-05     -4.2633e-05
     -6.3435e-05    -4.99182e-05
    -0.000319549    -0.000304464
     -4.7334e-05    -4.52179e-05
    -0.000197101    -0.000135025
      -4.973e-05    -2.41637e-05
     -8.0689e-05    -9.18843e-05
     -5.9615e-05    -5.48641e-05
     -3.4777e-05     -2.6448e-05
     -3.4051e-05    -2.20447e-05
      -0.0010876    -0.000757485
    -0.000988987     -0.00117275
      -0.0007445    -0.000586693
     -1.9106e-05     -1.6093e-05
    -0.000272932    -0.000263207
     -0.00338914     -0.00239893
    -0.000399036    -0.000449066
     -9.7374e-05    -7.62495e-05
    -0.000710341    -0.000567651
     -0.00012749    -0.000156981
     -0.00267394     -0.00427637
     -0.00134697      -0.0015522
     -0.00278361       -0.002131
     -6.6496e-05    -5.52061e-05
     -6.8813e-05     -4.1304e-05
    -0.000527179    -0.000709736
    -0.000126027    -8.18892e-05
    -0.000864279    -0.000509672
    -0.000857097    -0.000630186
    -0.000446591     -0.00043832
     -1.9067e-05    -1.60207e-05
    -0.000366713    -0.000218604
    -0.000456184    -0.000474254
    -0.000544888    -0.000402731
    -0.000677583    -0.000748204
    -0.000400563    -0.000318827
     -0.00127846     -0.00113287
     -7.7411e-05    -6.91709e-05
    -0.000291361     -0.00031414
     -3.2299e-05    -2.56116e-05
     -1.9679e-05    -1.83181e-05
     -2.7523e-05    -1.58174e-05
       -4.15e-05    -6.69119e-05
    -0.000157955    -0.000170569
    -0.000378272    -0.000365773
     -0.00299796     -0.00234943
    -0.000676322     -0.00083399
     -1.6578e-05    -1.57765e-05
     -7.8902e-05    -6.34974e-05
    -0.000651925    -0.000482265
     -0.00308106     -0.00263897
     -2.8594e-05    -2.19077e-05
     -0.00010885     -7.1137e-05
     -2.9782e-05    -4.42605e-05
    -0.000733475    -0.000779731
     -0.00209939     -0.00124319
     -2.6281e-05    -2.74506e-05
    -0.000804985    -0.000664605
    -0.000529347    -0.000479241
    -0.000129581    -8.96016e-05
     -1.1543e-05    -1.51113e-05
