QM Energy	FF Energy
    -0.000157364    -0.000122206
     -0.00119119     -0.00120883
     -0.00204172     -0.00185562
     -6.3659e-05    -4.47236e-05
     -0.00130126     -0.00143767
    -0.000116703    -0.000149389
     -6.6998e-05    -4.49243e-05
    -0.000320921    -0.000418531
     -8.9782e-05    -4.27644e-05
     -6.3435e-05    -4.54606e-05
    -0.000319549    -0.000408997
     -4.7334e-05    -4.25549e-05
    -0.000197101    -0.000123742
      -4.973e-05    -2.60805e-05
     -8.0689e-05    -0.000110959
     -5.9615e-05    -6.63757e-05
     -3.4777e-05     -2.1965e-05
     -3.4051e-05    -1.86056e-05
      -0.0010876    -0.000831673
    -0.000988987     -0.00128876
      -0.0007445    -0.000583178
     -1.9106e-05    -1.58616e-05
    -0.000272932    -0.000284895
     -0.00338914     -0.00248366
    -0.000399036    -0.000566869
     -9.7374e-05    -7.98565e-05
    -0.000710341    -0.000632141
     -0.00012749     -0.00017999
     -0.00267394     -0.00440114
     -0.00134697     -0.00167973
     -0.00278361     -0.00211232
     -6.6496e-05     -4.7621e-05
     -6.8813e-05    -4.05692e-05
    -0.000527179    -0.000802396
    -0.000126027    -7.01594e-05
    -0.000864279    -0.000525623
    -0.000857097    -0.000659958
    -0.000446591    -0.000436303
     -1.9067e-05    -2.59599e-05
    -0.000366713    -0.000224768
    -0.000456184    -0.000546645
    -0.000544888    -0.000436151
    -0.000677583    -0.000879076
    -0.000400563    -0.000377589
     -0.00127846     -0.00113727
     -7.7411e-05     -6.2781e-05
    -0.000291361    -0.000298415
     -3.2299e-05    -2.32746e-05
     -1.9679e-05    -1.79679e-05
     -2.7523e-05    -1.45484e-05
       -4.15e-05    -7.65123e-05
    -0.000157955    -0.000177669
    -0.000378272    -0.000394008
     -0.00299796     -0.00249206
    -0.000676322    -0.000971191
     -1.6578e-05     -1.4351e-05
     -7.8902e-05    -7.41062e-05
    -0.000651925    -0.000467515
     -0.00308106     -0.00249301
     -2.8594e-05    -1.83857e-05
     -0.00010885    -6.86771e-05
     -2.9782e-05    -3.82943e-05
    -0.000733475     -0.00089028
     -0.00209939     -0.00133178
     -2.6281e-05    -2.24116e-05
    -0.000804985    -0.000628595
    -0.000529347    -0.000465597
    -0.000129581    -0.000102328
     -1.1543e-05     -1.4907e-05
     -1.7325e-05    -1.42218e-05
    -0.000921163    -0.000556833
     -7.6738e-05    -8.35238e-05
     -0.00216378     -0.00200699
     -4.4322e-05    -4.64542e-05
     -0.00450888     -0.00416726
    -0.000377624    -0.000288358
     -6.3365e-05    -6.97123e-05
    -0.000399676    -0.000413841
     -0.00011847     -7.7645e-05
     -7.0017e-05    -4.90815e-05
     -0.00166986     -0.00209386
     -0.00103899    -0.000789651
     -0.00297417     -0.00254018
     -0.00119741     -0.00132804
     -4.4796e-05    -2.52972e-05
      -7.982e-06    -1.38667e-05
    -0.000167807    -0.000219415
    -0.000222281    -0.000295567
    -0.000989444    -0.000757596
     -0.00034723    -0.000346911
    -0.000964793    -0.000632978
     -5.6282e-05    -3.42192e-05
    -0.000221799    -0.000192323
    -0.000486158    -0.000711372
     -0.00125264     -0.00158593
    -0.000332734    -0.000321034
     -0.00105141     -0.00128937
     -0.00125256     -0.00154709
     -0.00140543     -0.00163416
     -4.6107e-05     -2.9314e-05
     -3.9043e-05    -2.18941e-05
    -0.000920808     -0.00069926
     -0.00120722     -0.00147188
     -0.00255197     -0.00216158
     -6.3192e-05    -5.09462e-05
     -0.00159883     -0.00185036
     -5.4846e-05    -3.33612e-05
      -2.322e-05    -1.21025e-05
     -7.0192e-05    -9.27658e-05
    -0.000233496    -0.000249909
     -3.2406e-05    -1.78289e-05
      -4.911e-05    -3.95446e-05
    -0.000176378    -9.56053e-05
     -2.9445e-05    -1.74421e-05
    -0.000232895    -0.000193244
    -0.000472769    -0.000283842
     -2.6492e-05    -2.84084e-05
     -2.4056e-05    -1.65433e-05
     -2.3144e-05    -1.64488e-05
     -0.00350094     -0.00295636
    -0.000182282    -0.000157127
     -0.00112423     -0.00122206
     -7.8229e-05    -0.000113713
     -3.5579e-05    -3.26357e-05
     -0.00296286     -0.00329828
     -0.00033346    -0.000426639
    -0.000318495    -0.000303544
    -0.000317038    -0.000420271
    -0.000571191    -0.000671587
     -0.00067277    -0.000746194
     -0.00058467    -0.000503795
    -0.000117059     -7.4413e-05
     -0.00020789    -0.000144552
    -0.000762089    -0.000663275
     -2.1223e-05    -3.24454e-05
    -0.000418653    -0.000270505
    -0.000458942    -0.000332392
    -0.000118529     -0.00013072
     -0.00167229     -0.00147735
    -0.000728685    -0.000495169
     -4.0555e-05    -3.77509e-05
     -5.6676e-05    -5.90566e-05
     -2.2317e-05    -1.48448e-05
     -2.3846e-05    -2.59236e-05
     -0.00124659    -0.000867669
    -0.000694355    -0.000500905
    -0.000905834    -0.000719854
    -0.000275371    -0.000271669
      -6.134e-05    -4.58453e-05
     -0.00069329    -0.000416611
     -0.00105913    -0.000621937
     -1.3349e-05    -1.14265e-05
     -4.3735e-05    -2.90462e-05
    -0.000190309    -0.000224917
    -0.000182415     -0.00020995
     -5.3343e-05    -4.58329e-05
      -0.0011496     -0.00118665
     -6.9179e-05    -4.94197e-05
    -0.000152254    -0.000134257
     -5.6202e-05     -4.9745e-05
     -3.1295e-05     -2.6792e-05
     -0.00201817     -0.00200812
     -0.00026069    -0.000388638
     -0.00199776     -0.00158228
     -0.00263845     -0.00187287
    -0.000275726    -0.000227864
     -0.00337341      -0.0024798
     -3.5432e-05    -2.61188e-05
     -4.6707e-05    -6.19634e-05
    -0.000452864    -0.000570274
     -0.00063449    -0.000413022
     -3.1957e-05    -2.87753e-05
     -8.3407e-05    -0.000105734
    -0.000231043    -0.000172066
    -0.000900794     -0.00107742
     -0.00132144     -0.00163213
    -0.000323458    -0.000426566
    -0.000424393    -0.000310751
     -3.3556e-05    -4.72031e-05
     -0.00051654    -0.000595849
    -0.000494863     -0.00051113
    -0.000355022    -0.000345446
     -2.1151e-05    -1.71384e-05
     -3.9673e-05    -4.87071e-05
    -0.000453189    -0.000347937
    -0.000735107    -0.000496925
    -0.000134506    -8.95854e-05
    -0.000125541    -0.000104695
    -0.000432093    -0.000342405
     -3.3304e-05    -2.50956e-05
     -5.1823e-05    -4.29299e-05
     -6.1151e-05    -5.70978e-05
    -0.000660656     -0.00092712
     -6.4197e-05    -5.16698e-05
     -0.00139824     -0.00121523
      -6.237e-05    -5.12975e-05
    -0.000609981    -0.000577501
      -8.986e-06    -1.47885e-05
     -2.6249e-05    -3.68296e-05
    -0.000284255    -0.000172295
     -0.00047181    -0.000554533
    -0.000160238    -0.000170754
    -0.000182415    -0.000113041
     -0.00165332     -0.00117032
     -2.2858e-05    -1.40609e-05
      -0.0014266     -0.00156266
    -0.000416805    -0.000500489
     -0.00250551     -0.00213089
     -0.00100176     -0.00118196
    -0.000175237    -0.000130498
     -2.3421e-05    -1.81872e-05
     -1.8857e-05    -2.34388e-05
     -4.2106e-05      -2.464e-05
     -3.7739e-05    -2.28753e-05
      -7.784e-06    -1.27559e-05
       -2.31e-05    -1.88043e-05
    -0.000666009    -0.000903832
     -1.8762e-05    -1.60006e-05
     -0.00277517     -0.00295086
     -8.4494e-05    -4.59529e-05
     -7.1411e-05    -7.74396e-05
    -0.000805661    -0.000595943
    -0.000901315    -0.000676678
    -0.000973169     -0.00301359
    -0.000934164    -0.000962783
    -0.000111333    -7.00987e-05
    -0.000802877     -0.00104215
     -6.7773e-05    -4.79244e-05
    -0.000234431    -0.000232943
    -0.000880832    -0.000960979
     -7.6334e-05    -5.73905e-05
     -0.00140682    -0.000996029
     -0.00140148     -0.00132932
     -4.9563e-05    -4.15237e-05
     -4.0666e-05    -4.02754e-05
     -2.2692e-05    -1.93521e-05
     -3.8992e-05    -3.91452e-05
    -0.000152329    -0.000116962
     -4.6645e-05    -3.78308e-05
     -1.7689e-05    -1.32511e-05
     -0.00036454    -0.000421619
     -8.8292e-05    -5.84825e-05
    -0.000552626    -0.000406061
     -0.00255398     -0.00287672
     -6.2244e-05    -3.46592e-05
     -0.00217737     -0.00183748
     -3.4683e-05    -2.15097e-05
     -3.4995e-05    -2.37607e-05
     -2.9491e-05     -2.1406e-05
      -0.0013169    -0.000819076
     -0.00227198     -0.00140063
    -0.000294288    -0.000271748
    -0.000395945    -0.000260083
      -2.819e-05    -1.77529e-05
    -0.000783675    -0.000690589
    -0.000305287    -0.000222776
     -0.00114054      -0.0011812
    -0.000191421    -0.000227285
    -0.000780951    -0.000534368
    -0.000256267    -0.000287356
     -1.7207e-05     -1.5248e-05
      -4.386e-05    -4.98688e-05
     -0.00018545    -0.000132057
     -4.7842e-05    -3.70752e-05
    -0.000426599     -0.00027049
     -3.2828e-05    -1.81357e-05
     -0.00167584     -0.00175498
     -6.8359e-05    -7.07259e-05
      -0.0013732     -0.00108029
    -0.000391721    -0.000215329
    -0.000254181    -0.000192533
     -7.6407e-05    -4.73649e-05
     -0.00175629     -0.00254484
    -0.000228638    -0.000160536
     -0.00119886    -0.000854404
     -3.4198e-05    -2.30495e-05
     -2.2183e-05    -1.42513e-05
    -0.000781739    -0.000499209
     -4.5329e-05    -3.02896e-05
     -0.00213366     -0.00142643
     -0.00012958    -8.35977e-05
     -4.8104e-05    -2.85303e-05
      -0.0019515     -0.00275103
    -0.000943475    -0.000712921
    -0.000209697    -0.000184185
    -0.000427307    -0.000471542
    -0.000194949    -0.000185004
     -6.5897e-05    -5.22361e-05
    -0.000380694    -0.000223488
     -0.00123612    -0.000680882
      -0.0036237     -0.00325143
     -5.0208e-05    -3.21088e-05
     -8.4962e-05    -5.10139e-05
     -8.4338e-05    -0.000125818
     -0.00134378     -0.00115404
     -6.7156e-05    -7.13308e-05
     -0.00278765     -0.00283569
    -0.000516818    -0.000545141
     -0.00130214     -0.00123088
    -0.000436617    -0.000301793
     -0.00335009     -0.00336045
    -0.000685118    -0.000775795
     -0.00218598     -0.00226794
     -0.00110277     -0.00156371
     -3.6533e-05    -2.77397e-05
    -0.000181696     -0.00023193
    -0.000332926    -0.000382236
     -2.7509e-05     -1.6509e-05
     -6.5371e-05    -3.61348e-05
     -2.7653e-05    -2.15346e-05
    -0.000420343    -0.000471106
     -4.1573e-05    -3.40394e-05
    -0.000159151    -0.000203631
     -0.00162367     -0.00187772
     -0.00114827     -0.00110043
    -0.000248578    -0.000147398
     -4.4495e-05    -6.79508e-05
     -0.00038689    -0.000452933
     -0.00143503     -0.00122928
     -0.00138647     -0.00214696
     -2.3075e-05     -1.7479e-05
    -0.000668112    -0.000401323
    -0.000544394    -0.000443783
      -7.966e-05    -7.18035e-05
     -4.7447e-05    -6.18815e-05
     -2.1124e-05    -2.72767e-05
     -2.0353e-05    -3.58507e-05
     -0.00146398     -0.00121703
     -7.5411e-05    -4.68631e-05
    -0.000117773    -0.000126494
     -3.1182e-05    -2.71287e-05
     -0.00017093     -0.00011128
     -0.00131364      -0.0017101
      -7.331e-05    -5.49026e-05
     -0.00109969     -0.00073695
     -1.0745e-05    -1.72509e-05
     -0.00101181    -0.000724331
     -0.00285287     -0.00234188
    -0.000169549    -0.000172907
    -0.000134338    -7.63399e-05
     -0.00175566     -0.00174861
     -6.0058e-05    -8.51124e-05
     -0.00206431     -0.00194086
     -0.00246213      -0.0033997
    -0.000183876    -0.000221191
     -0.00051335    -0.000498776
    -0.000171096    -0.000192443
     -0.00162613     -0.00224875
     -0.00245869     -0.00180207
    -0.000113627    -6.37108e-05
    -0.000303715    -0.000227023
    -0.000495436    -0.000338017
     -8.8245e-05    -5.89754e-05
    -0.000358991    -0.000313225
    -0.000434948    -0.000595681
    -0.000464903    -0.000431362
    -0.000902962     -0.00093155
    -0.000162241    -0.000166973
    -0.000208701    -0.000191316
     -7.3309e-05    -4.42826e-05
      -7.763e-05    -4.50957e-05
    -0.000158821    -0.000139043
      -2.958e-05    -2.03966e-05
     -0.00270006     -0.00193009
    -0.000930696    -0.000817999
    -0.000108721    -0.000144494
     -2.7426e-05    -4.10408e-05
     -4.4621e-05      -3.765e-05
    -0.000617952    -0.000724081
    -0.000842793    -0.000956319
     -3.1388e-05    -5.28744e-05
    -0.000229137    -0.000192578
    -0.000503592    -0.000568949
    -0.000142983    -9.33626e-05
     -0.00229002     -0.00221666
    -0.000848871    -0.000640719
     -4.0136e-05    -5.03297e-05
    -0.000596176    -0.000388234
     -4.1555e-05    -4.16234e-05
     -0.00309485     -0.00284976
     -2.2847e-05    -2.24821e-05
     -0.00302022     -0.00247657
    -0.000398185    -0.000231053
    -0.000136313    -0.000148188
     -4.8987e-05     -4.1811e-05
     -7.2356e-05     -5.8656e-05
     -0.00014444    -7.96122e-05
     -1.1253e-05    -2.11062e-05
     -0.00294691     -0.00331876
     -0.00020389    -0.000113016
    -0.000977436    -0.000590523
    -0.000714902    -0.000393475
    -0.000295457    -0.000399089
    -0.000560156    -0.000357141
    -0.000136788    -0.000139872
     -0.00280764       -0.002228
     -1.8784e-05    -2.53561e-05
     -0.00172041     -0.00123863
     -2.8675e-05    -3.07751e-05
     -1.7949e-05    -1.99367e-05
     -0.00116753     -0.00139107
    -0.000530081    -0.000549769
     -2.0277e-05    -1.43134e-05
     -0.00164067     -0.00138231
    -0.000956413     -0.00111054
    -0.000237929    -0.000222205
    -0.000747388    -0.000534299
     -0.00012298    -7.02116e-05
     -8.5428e-05    -9.66673e-05
     -1.3413e-05    -1.70176e-05
    -0.000546647    -0.000330919
    -0.000141974    -0.000139771
     -0.00194521     -0.00180394
     -0.00222755     -0.00201005
    -0.000135352    -0.000163599
     -0.00308446     -0.00370287
     -0.00125553    -0.000867073
     -5.8354e-05    -6.90683e-05
    -0.000266467    -0.000327984
     -0.00119799      -0.0013212
     -2.7315e-05    -1.81769e-05
    -0.000586763    -0.000388816
     -6.7898e-05    -0.000104936
    -0.000165032    -0.000138104
     -7.8321e-05    -6.14516e-05
     -2.9234e-05    -3.21614e-05
     -0.00281265     -0.00216599
    -0.000244516    -0.000332637
       -0.000104    -0.000134097
     -0.00167559     -0.00172258
     -2.0376e-05    -2.10977e-05
    -0.000410876    -0.000316279
     -0.00123203     -0.00145802
    -0.000865632    -0.000532727
    -0.000187314     -0.00010706
     -0.00104809     -0.00134393
    -0.000174272    -0.000111793
     -6.0823e-05    -6.03795e-05
     -0.00332406     -0.00339882
      -0.0011304     -0.00169317
    -0.000441718    -0.000556732
     -0.00010386    -0.000140627
     -0.00228358     -0.00166663
    -0.000588769    -0.000525419
     -3.3175e-05    -2.99206e-05
    -0.000639735     -0.00079809
     -4.4403e-05    -2.55911e-05
    -0.000576598    -0.000334224
     -0.00212189      -0.0016994
      -0.0016201     -0.00201384
     -0.00183594     -0.00113023
      -0.0018635     -0.00114223
    -0.000192959    -0.000100329
     -0.00288522     -0.00217554
     -4.8626e-05    -3.89136e-05
     -0.00258406     -0.00173962
     -5.2265e-05    -6.19092e-05
    -0.000162211    -9.22596e-05
      -8.595e-06    -1.53606e-05
     -2.3478e-05    -3.26438e-05
    -0.000339774    -0.000221256
      -9.868e-05    -6.76477e-05
     -5.1917e-05    -5.40416e-05
    -0.000526985        -0.00061
    -0.000471656    -0.000322664
    -0.000866359     -0.00112643
     -0.00100548     -0.00121258
     -4.6323e-05    -3.28464e-05
    -0.000137848    -0.000165493
     -2.8025e-05     -2.4949e-05
    -0.000538814    -0.000374707
     -2.8238e-05    -1.57485e-05
    -0.000186516    -0.000126038
    -0.000195285    -0.000194511
     -3.6926e-05    -2.09571e-05
    -0.000244841    -0.000276359
     -7.7142e-05    -5.59959e-05
    -0.000307532    -0.000391296
    -0.000547583    -0.000313802
     -0.00016387     -0.00011119
    -0.000951873    -0.000642907
    -0.000415213    -0.000382269
     -0.00102904    -0.000827792
    -0.000826491    -0.000902668
