QM Energy	FF Energy
     -5.7355e-05    -7.47335e-05
    -0.000346669    -0.000906165
    -0.000926244    -0.000789828
     -2.7529e-05    -4.36803e-05
    -0.000547955    -0.000555743
     -5.5754e-05    -6.49976e-05
     -2.9053e-05    -4.17312e-05
      -9.596e-05    -0.000148778
     -5.9572e-05    -5.91054e-05
     -4.8452e-05    -5.75966e-05
    -0.000257837    -0.000310644
     -3.0631e-05    -3.16051e-05
     -6.3987e-05    -9.15887e-05
     -3.8852e-05    -3.79686e-05
       -4.76e-05    -5.69513e-05
     -3.0828e-05    -3.11922e-05
     -3.6953e-05    -3.75688e-05
      -3.247e-05    -3.27785e-05
    -0.000432578    -0.000514584
     -0.00043955    -0.000418606
     -9.9118e-05    -0.000297002
     -1.4696e-05    -1.50454e-05
    -0.000106106    -0.000135407
     -0.00135198     -0.00149842
    -0.000227565    -0.000225231
     -4.2973e-05    -5.52815e-05
    -0.000166032    -0.000272873
     -6.6469e-05     -8.5323e-05
     -0.00209592     -0.00145867
    -0.000654866    -0.000592718
     -0.00121282     -0.00128756
      -3.541e-05    -4.42468e-05
     -4.2352e-05    -4.53803e-05
    -0.000227028    -0.000257116
     -5.8543e-05    -7.10745e-05
    -0.000133418    -0.000342892
    -0.000178877    -0.000318741
     -8.4446e-05     -0.00017707
     -2.4375e-05    -2.54997e-05
    -0.000121018    -0.000174903
    -0.000177002    -0.000211625
    -0.000159191    -0.000192929
    -0.000438535    -0.000406768
     -0.00018069    -0.000151926
    -0.000418925    -0.000536616
     -4.6534e-05    -4.54306e-05
    -0.000101116     -0.00014062
     -1.9905e-05    -2.67805e-05
     -1.5261e-05    -1.65652e-05
     -2.6246e-05    -2.49922e-05
     -2.5746e-05    -3.33129e-05
     -3.9929e-05    -7.71707e-05
    -0.000142912    -0.000180898
     -0.00120623     -0.00136037
     -0.00031136    -0.000278963
     -1.1087e-05    -1.35682e-05
     -4.0029e-05    -5.10396e-05
    -0.000110206    -0.000273121
      -0.0013296     -0.00164967
     -1.8765e-05    -2.23902e-05
     -3.6824e-05     -6.1181e-05
     -2.2079e-05    -2.28032e-05
    -0.000282835    -0.000306632
    -0.000466609    -0.000875029
     -1.4445e-05    -1.83166e-05
    -0.000208064    -0.000347525
    -0.000137077    -0.000220096
     -6.6515e-05    -7.50875e-05
      -9.898e-06    -1.04966e-05
     -1.3028e-05    -1.68735e-05
    -0.000219737    -0.000366181
     -5.8003e-05    -5.39079e-05
    -0.000672432    -0.000887369
     -4.2317e-05    -3.90021e-05
     -0.00256765     -0.00218201
     -0.00014482    -0.000169888
     -2.8873e-05    -3.58235e-05
    -0.000189616     -0.00017091
     -5.2077e-05    -6.48876e-05
     -4.0956e-05    -4.19284e-05
    -0.000968388    -0.000718044
     -0.00020141    -0.000614884
     -0.00118561     -0.00105905
     -0.00041172    -0.000503994
     -3.3557e-05    -3.34548e-05
     -1.1144e-05    -1.19025e-05
    -0.000122394    -0.000108196
    -0.000176197     -0.00020301
    -0.000350152    -0.000475396
    -0.000173017    -0.000163544
    -0.000281607    -0.000404656
     -3.8289e-05    -3.88797e-05
    -0.000100706    -0.000106396
     -0.00025561    -0.000273921
    -0.000728281    -0.000650852
     -9.9758e-05    -0.000136112
    -0.000594105    -0.000517414
    -0.000594724     -0.00060532
    -0.000632777     -0.00057663
     -2.8054e-05    -3.40498e-05
     -3.1124e-05    -3.18445e-05
    -0.000331519    -0.000367487
    -0.000620579     -0.00051604
    -0.000952365     -0.00111953
     -3.0138e-05    -3.25809e-05
    -0.000771837    -0.000707209
     -3.5977e-05    -3.89972e-05
      -2.341e-05    -2.20358e-05
     -6.5009e-05    -6.82908e-05
    -0.000103921    -0.000125357
     -2.7481e-05    -2.86904e-05
     -3.4458e-05    -3.54528e-05
     -6.0869e-05    -9.30273e-05
      -2.442e-05    -2.36805e-05
     -6.3002e-05    -0.000111032
    -0.000107425    -0.000230012
     -1.6835e-05    -2.09995e-05
     -1.7869e-05    -1.54796e-05
     -1.5852e-05    -1.74891e-05
     -0.00136097     -0.00152859
     -6.4678e-05    -8.91401e-05
     -0.00047237    -0.000396793
     -4.6244e-05    -5.50205e-05
     -1.7961e-05    -2.40097e-05
      -0.0021076     -0.00151333
    -0.000121996    -0.000139618
     -7.4756e-05     -0.00012877
    -0.000225603    -0.000228006
    -0.000272935    -0.000244445
    -0.000270759    -0.000317999
    -0.000193524    -0.000264351
     -5.7204e-05    -7.63659e-05
     -6.9396e-05    -9.18465e-05
    -0.000314018    -0.000327377
     -1.7828e-05    -1.92649e-05
     -6.4069e-05    -0.000183949
      -8.676e-05    -0.000207235
     -4.1012e-05    -5.74096e-05
    -0.000674729    -0.000629823
    -0.000173585     -0.00026351
     -2.4153e-05    -2.53854e-05
     -4.4273e-05    -3.99318e-05
     -3.0469e-05    -2.69025e-05
     -2.1385e-05    -1.98339e-05
    -0.000278941    -0.000542544
     -0.00018598    -0.000268683
    -0.000162382    -0.000555607
    -0.000124657    -0.000169955
     -4.4198e-05    -4.86501e-05
    -0.000204378    -0.000311472
    -0.000148724    -0.000403883
     -1.2212e-05    -1.14996e-05
     -2.6257e-05    -2.71623e-05
     -7.0075e-05    -8.01653e-05
     -4.1882e-05      -9.756e-05
     -2.8521e-05    -3.23706e-05
    -0.000534256    -0.000411787
     -4.1613e-05    -4.37657e-05
