QM Energy	FF Energy
    -0.000157364     -0.00012553
     -0.00119119     -0.00129384
     -0.00204172      -0.0016927
     -6.3659e-05      -4.824e-05
     -0.00130126     -0.00142186
    -0.000116703    -0.000133249
     -6.6998e-05     -4.6952e-05
    -0.000320921    -0.000386103
     -8.9782e-05    -4.16983e-05
     -6.3435e-05    -5.01728e-05
    -0.000319549     -0.00031299
     -4.7334e-05    -4.50934e-05
    -0.000197101    -0.000135451
      -4.973e-05    -2.36571e-05
     -8.0689e-05    -9.17744e-05
     -5.9615e-05    -5.49028e-05
     -3.4777e-05     -2.6526e-05
     -3.4051e-05    -2.20776e-05
      -0.0010876    -0.000747098
    -0.000988987     -0.00117085
      -0.0007445    -0.000586137
     -1.9106e-05    -1.60181e-05
    -0.000272932    -0.000262262
     -0.00338914     -0.00239308
    -0.000399036    -0.000451498
     -9.7374e-05    -7.57268e-05
    -0.000710341    -0.000569932
     -0.00012749    -0.000156995
     -0.00267394      -0.0042847
     -0.00134697     -0.00154716
     -0.00278361      -0.0020945
     -6.6496e-05    -5.52866e-05
     -6.8813e-05    -4.08445e-05
    -0.000527179    -0.000709904
    -0.000126027    -8.06251e-05
    -0.000864279    -0.000510172
    -0.000857097    -0.000628492
    -0.000446591    -0.000438763
     -1.9067e-05    -1.63883e-05
    -0.000366713    -0.000217037
    -0.000456184     -0.00047343
    -0.000544888    -0.000402285
    -0.000677583    -0.000762035
    -0.000400563     -0.00031857
     -0.00127846     -0.00112765
     -7.7411e-05    -6.91337e-05
    -0.000291361    -0.000313816
     -3.2299e-05    -2.55021e-05
     -1.9679e-05    -1.81789e-05
     -2.7523e-05    -1.56708e-05
       -4.15e-05    -6.68371e-05
    -0.000157955    -0.000170346
    -0.000378272    -0.000364257
     -0.00299796     -0.00234495
    -0.000676322    -0.000837776
     -1.6578e-05     -1.5717e-05
     -7.8902e-05    -6.30169e-05
    -0.000651925    -0.000481225
     -0.00308106     -0.00263051
     -2.8594e-05    -2.18419e-05
     -0.00010885    -7.11608e-05
     -2.9782e-05    -4.42425e-05
    -0.000733475     -0.00078461
     -0.00209939     -0.00124861
     -2.6281e-05     -2.7363e-05
    -0.000804985    -0.000666411
    -0.000529347    -0.000477716
    -0.000129581     -8.8747e-05
     -1.1543e-05    -1.51018e-05
     -1.7325e-05    -1.79977e-05
    -0.000921163    -0.000538327
     -7.6738e-05    -6.35273e-05
     -0.00216378     -0.00185011
     -4.4322e-05    -4.45879e-05
     -0.00450888     -0.00424785
    -0.000377624    -0.000316265
     -6.3365e-05     -7.5005e-05
    -0.000399676    -0.000356106
     -0.00011847    -8.65764e-05
     -7.0017e-05    -5.05507e-05
     -0.00166986     -0.00240512
     -0.00103899    -0.000795229
     -0.00297417     -0.00246277
     -0.00119741     -0.00130355
     -4.4796e-05    -2.27995e-05
      -7.982e-06    -1.10574e-05
    -0.000167807     -0.00021289
    -0.000222281     -0.00020921
    -0.000989444    -0.000649546
     -0.00034723    -0.000279143
    -0.000964793     -0.00070297
     -5.6282e-05    -3.40233e-05
    -0.000221799    -0.000191582
    -0.000486158    -0.000679114
     -0.00125264     -0.00168129
    -0.000332734    -0.000325402
     -0.00105141      -0.0012189
     -0.00125256     -0.00150838
     -0.00140543     -0.00187814
     -4.6107e-05    -3.10593e-05
     -3.9043e-05    -2.33818e-05
    -0.000920808    -0.000764504
     -0.00120722     -0.00151329
     -0.00255197     -0.00202435
     -6.3192e-05    -4.64848e-05
     -0.00159883      -0.0018124
     -5.4846e-05    -3.17273e-05
      -2.322e-05    -1.40049e-05
     -7.0192e-05    -6.32361e-05
    -0.000233496    -0.000205542
     -3.2406e-05    -2.10138e-05
      -4.911e-05    -4.44735e-05
    -0.000176378      -0.0001052
     -2.9445e-05    -2.09351e-05
    -0.000232895    -0.000187112
    -0.000472769    -0.000290126
     -2.6492e-05    -2.54915e-05
     -2.4056e-05    -1.69049e-05
     -2.3144e-05    -1.73552e-05
     -0.00350094     -0.00339827
    -0.000182282    -0.000183355
     -0.00112423     -0.00119642
     -7.8229e-05    -0.000106796
     -3.5579e-05    -3.74411e-05
     -0.00296286     -0.00375797
     -0.00033346    -0.000368988
    -0.000318495    -0.000289031
    -0.000317038    -0.000345617
    -0.000571191    -0.000707567
     -0.00067277    -0.000691857
     -0.00058467     -0.00051645
    -0.000117059    -9.33403e-05
     -0.00020789    -0.000139209
    -0.000762089    -0.000589725
     -2.1223e-05    -3.38719e-05
    -0.000418653    -0.000266151
    -0.000458942    -0.000327771
    -0.000118529    -0.000123547
     -0.00167229     -0.00137888
    -0.000728685    -0.000515352
     -4.0555e-05    -3.43217e-05
     -5.6676e-05    -4.95657e-05
     -2.2317e-05    -1.69762e-05
     -2.3846e-05    -3.08336e-05
     -0.00124659    -0.000837714
    -0.000694355    -0.000534916
    -0.000905834    -0.000725398
    -0.000275371    -0.000228185
      -6.134e-05    -5.53854e-05
     -0.00069329    -0.000380145
     -0.00105913    -0.000611002
     -1.3349e-05    -1.24965e-05
     -4.3735e-05    -3.50213e-05
    -0.000190309    -0.000197339
    -0.000182415    -0.000205906
     -5.3343e-05    -4.10527e-05
      -0.0011496      -0.0010955
     -6.9179e-05     -5.2173e-05
    -0.000152254    -0.000128415
     -5.6202e-05    -5.83481e-05
     -3.1295e-05    -2.45951e-05
     -0.00201817     -0.00198434
     -0.00026069    -0.000360536
     -0.00199776     -0.00147181
     -0.00263845     -0.00179513
    -0.000275726    -0.000249265
     -0.00337341     -0.00233516
     -3.5432e-05    -3.23221e-05
     -4.6707e-05    -5.87677e-05
    -0.000452864    -0.000561012
     -0.00063449    -0.000413563
     -3.1957e-05    -2.80281e-05
     -8.3407e-05    -7.62272e-05
    -0.000231043    -0.000176046
    -0.000900794    -0.000984147
     -0.00132144     -0.00170715
    -0.000323458    -0.000408875
    -0.000424393    -0.000341696
     -3.3556e-05     -4.7052e-05
     -0.00051654    -0.000492624
    -0.000494863    -0.000523992
    -0.000355022    -0.000351933
     -2.1151e-05     -1.8265e-05
     -3.9673e-05    -5.24212e-05
    -0.000453189    -0.000336335
    -0.000735107    -0.000492931
    -0.000134506    -0.000116826
    -0.000125541    -0.000110988
    -0.000432093    -0.000344574
     -3.3304e-05    -2.29968e-05
     -5.1823e-05    -4.45231e-05
     -6.1151e-05    -6.33418e-05
    -0.000660656    -0.000847279
     -6.4197e-05    -5.45022e-05
     -0.00139824     -0.00130967
      -6.237e-05    -4.43817e-05
    -0.000609981    -0.000633293
      -8.986e-06    -1.21348e-05
     -2.6249e-05    -2.56235e-05
    -0.000284255    -0.000170187
     -0.00047181    -0.000491838
    -0.000160238    -0.000157507
    -0.000182415    -0.000130294
     -0.00165332     -0.00100983
     -2.2858e-05    -1.53822e-05
      -0.0014266     -0.00147601
    -0.000416805    -0.000410697
     -0.00250551     -0.00230094
     -0.00100176     -0.00101277
    -0.000175237    -0.000156089
     -2.3421e-05    -1.73541e-05
     -1.8857e-05    -1.94035e-05
     -4.2106e-05    -2.64622e-05
     -3.7739e-05    -2.84007e-05
      -7.784e-06    -1.13914e-05
       -2.31e-05    -1.80155e-05
    -0.000666009    -0.000835412
     -1.8762e-05    -1.70386e-05
     -0.00277517     -0.00323237
     -8.4494e-05    -5.27782e-05
     -7.1411e-05    -6.04433e-05
    -0.000805661    -0.000564756
    -0.000901315    -0.000747608
    -0.000973169     -0.00316789
    -0.000934164    -0.000911761
    -0.000111333    -7.21049e-05
    -0.000802877    -0.000857742
     -6.7773e-05    -5.01227e-05
    -0.000234431    -0.000228036
    -0.000880832    -0.000900964
     -7.6334e-05    -5.89142e-05
     -0.00140682     -0.00107702
     -0.00140148     -0.00123581
     -4.9563e-05    -3.78027e-05
     -4.0666e-05    -4.16591e-05
     -2.2692e-05    -2.19825e-05
     -3.8992e-05    -3.93558e-05
    -0.000152329    -0.000113877
     -4.6645e-05    -3.50652e-05
     -1.7689e-05    -1.46009e-05
     -0.00036454    -0.000370678
     -8.8292e-05    -5.95881e-05
    -0.000552626    -0.000458549
     -0.00255398     -0.00306477
     -6.2244e-05    -3.87432e-05
     -0.00217737     -0.00174409
     -3.4683e-05    -1.97495e-05
     -3.4995e-05    -2.46846e-05
     -2.9491e-05    -2.06313e-05
      -0.0013169    -0.000832594
     -0.00227198     -0.00147822
    -0.000294288    -0.000246789
    -0.000395945    -0.000245822
      -2.819e-05    -2.00702e-05
    -0.000783675    -0.000752437
    -0.000305287    -0.000191803
     -0.00114054       -0.001037
    -0.000191421    -0.000239158
    -0.000780951    -0.000512803
    -0.000256267    -0.000279182
     -1.7207e-05    -1.45961e-05
      -4.386e-05    -5.01566e-05
     -0.00018545    -0.000149257
     -4.7842e-05    -4.31643e-05
    -0.000426599    -0.000266378
     -3.2828e-05    -1.91583e-05
     -0.00167584     -0.00181997
     -6.8359e-05    -7.18305e-05
      -0.0013732     -0.00105485
    -0.000391721    -0.000195539
    -0.000254181    -0.000204424
     -7.6407e-05    -5.08314e-05
     -0.00175629      -0.0023593
    -0.000228638    -0.000172225
     -0.00119886    -0.000807209
     -3.4198e-05    -2.37722e-05
     -2.2183e-05     -1.5909e-05
    -0.000781739     -0.00051406
     -4.5329e-05     -3.2043e-05
     -0.00213366     -0.00135584
     -0.00012958    -8.51083e-05
     -4.8104e-05    -3.10905e-05
      -0.0019515     -0.00272922
    -0.000943475    -0.000657101
    -0.000209697     -0.00015844
    -0.000427307    -0.000483143
    -0.000194949    -0.000182317
     -6.5897e-05    -5.19038e-05
    -0.000380694    -0.000259567
     -0.00123612    -0.000646293
      -0.0036237      -0.0035909
     -5.0208e-05    -3.43337e-05
     -8.4962e-05    -4.95662e-05
     -8.4338e-05    -0.000118792
     -0.00134378     -0.00102971
     -6.7156e-05    -6.99782e-05
     -0.00278765     -0.00310861
    -0.000516818    -0.000533093
     -0.00130214     -0.00129845
    -0.000436617    -0.000294205
     -0.00335009     -0.00353028
    -0.000685118    -0.000643208
     -0.00218598     -0.00208621
     -0.00110277     -0.00138197
     -3.6533e-05    -2.47776e-05
    -0.000181696    -0.000181608
    -0.000332926    -0.000339538
     -2.7509e-05    -1.87925e-05
     -6.5371e-05    -3.61841e-05
     -2.7653e-05    -2.20868e-05
    -0.000420343     -0.00048845
     -4.1573e-05    -3.37727e-05
    -0.000159151     -0.00020241
     -0.00162367     -0.00169966
     -0.00114827      -0.0010128
    -0.000248578    -0.000153703
     -4.4495e-05    -7.39164e-05
     -0.00038689    -0.000373619
     -0.00143503     -0.00114629
     -0.00138647     -0.00200334
     -2.3075e-05    -1.73559e-05
