QM Energy	FF Energy
    -0.000248113    -0.000480704
     -0.00750956     -0.00833166
     -0.00705215     -0.00583176
    -0.000402876    -0.000495203
     -0.00437465     -0.00492872
    -0.000642295    -0.000583374
    -0.000399716    -0.000468426
     -0.00129975     -0.00175166
    -0.000644744    -0.000473551
     0.000182965    -4.43282e-05
    -0.000298568     -0.00029527
    -0.000136665     -0.00015902
    -0.000241581    -0.000558931
    -0.000371493    -0.000290052
     -0.00018223    -0.000184416
    -0.000260085    -0.000299878
      6.5275e-05     -3.9859e-05
    -0.000132108    -0.000172568
     -0.00339578     -0.00328421
     -0.00409783     -0.00380319
     -0.00318652     -0.00362451
      8.3181e-05     2.43566e-05
     -0.00074969    -0.000877596
      -0.0152794      -0.0146623
      -0.0012564    -0.000948827
    -0.000660472    -0.000627812
       -0.002322     -0.00273068
    -0.000319641    -0.000411704
      -0.0167932      -0.0173378
     -0.00590045     -0.00520579
      -0.0105166     -0.00988102
       2.279e-05    -0.000170133
    -0.000537559     -0.00046097
     -0.00243311     -0.00240434
    -0.000646893    -0.000550444
     -0.00307859     -0.00357387
     -0.00345622     -0.00385993
     -0.00154811     -0.00209062
     0.000126467     9.31999e-05
     -0.00139762     -0.00133535
     -0.00169452     -0.00183316
      -0.0019403     -0.00179519
     -0.00113586     -0.00136103
     -0.00172644     -0.00125778
       -0.005591     -0.00559013
    -0.000499684    -0.000547561
     -0.00134765     -0.00156061
    -0.000236897    -0.000311663
     -7.1484e-05    -6.07197e-05
    -0.000177916    -0.000174424
    -0.000222846    -0.000255236
    -0.000659305     -0.00095704
     -0.00173544     -0.00164202
      -0.0129141      -0.0130612
     -0.00264934     -0.00253843
    -0.000240049     -0.00025126
     -0.00032315    -0.000361529
     -0.00287958      -0.0031884
      -0.0164712      -0.0163214
    -0.000293831    -0.000295993
    -0.000369106    -0.000540512
    -0.000296209    -0.000341276
     -0.00233261     -0.00259641
     -0.00744701     -0.00799997
    -0.000240459    -0.000266034
     -0.00244741     -0.00291046
     -0.00249421     -0.00267803
    -0.000464591    -0.000461608
      4.8195e-05     5.78822e-06
    -0.000154057    -0.000232076
     -0.00359653     -0.00352472
       1.624e-05    -7.16623e-07
     -0.00816039     -0.00889554
    -0.000159799    -0.000212077
      -0.0244032        -0.02421
     -0.00188647     -0.00194034
     -0.00034077    -0.000454637
     -0.00134478     -0.00100519
    -0.000556413    -0.000583414
    -0.000460574    -0.000434544
     -0.00641539     -0.00746152
     -0.00443753       -0.005067
      -0.0116703      -0.0117776
     -0.00521156     -0.00555287
    -0.000409256    -0.000288169
      6.2184e-05     4.45485e-05
    -0.000592461    -0.000778504
    -0.000108169    -7.81865e-05
     -0.00305985     -0.00292197
     -0.00124553     -0.00092529
     -0.00415978     -0.00413293
    -0.000349581    -0.000287758
    -0.000878151    -0.000766882
     -0.00148956     -0.00198103
     -0.00418506     -0.00468599
    -0.000920203     -0.00126694
     -0.00312348     -0.00335005
     -0.00486333      -0.0050033
     -0.00481871     -0.00626328
      -2.532e-05    -0.000136339
      5.0339e-05    -6.58789e-05
     -0.00374162     -0.00375321
     -0.00437429     -0.00501143
      -0.0111801      -0.0109525
    -0.000491565     -0.00045412
     -0.00654728     -0.00616328
    -0.000424442     -0.00038263
    -0.000197756    -0.000202842
     -1.2187e-05      2.2506e-05
     -0.00077999    -0.000786538
    -0.000207459    -0.000224447
    -0.000185717    -0.000278323
     -0.00063979    -0.000767932
    -0.000180378    -0.000182761
    -0.000944861      -0.0011441
     -0.00118746     -0.00161792
    -0.000146975     -0.00019295
    -0.000311357    -0.000195079
    -0.000297331    -0.000269033
      -0.0165216      -0.0177739
    -0.000180037    -0.000674043
     -0.00446622     -0.00439159
    -0.000254883    -0.000392972
    -0.000270241    -0.000319514
      -0.0153573      -0.0149083
     -0.00106564     -0.00113617
     -0.00067235     -0.00114503
     -0.00044414    -0.000604244
     -0.00154818      -0.0021511
     -0.00266803     -0.00268721
     -0.00154888      -0.0021895
    -0.000165521    -0.000391934
     -0.00121819     -0.00117681
      -0.0025694     -0.00212589
      1.0378e-05    -0.000113707
     -0.00160201     -0.00192791
     -0.00183282     -0.00210812
    -0.000705211    -0.000766086
