QM Energy	FF Energy
     -0.00216484     -0.00217475
     -0.00932953      -0.0086646
     -0.00719644     -0.00775485
     -0.00135935     -0.00130468
     -0.00712351     -0.00811717
     -0.00196178     -0.00204752
     -0.00132068     -0.00126431
     -0.00347654     -0.00370208
     -0.00128966     -0.00123214
     -0.00156562     -0.00144488
     -0.00246547     -0.00279547
     -0.00133699     -0.00133631
      -0.0023612     -0.00231659
    -0.000943423    -0.000875546
     -0.00157375     -0.00161382
     -0.00126911     -0.00125242
     -0.00115851     -0.00108621
     -0.00101639    -0.000965095
     -0.00485705     -0.00506316
     -0.00577693     -0.00653676
     -0.00497848     -0.00498071
    -0.000780114    -0.000746528
     -0.00286532     -0.00299691
      -0.0119216      -0.0110556
      -0.0030985     -0.00347822
      -0.0015731     -0.00152974
     -0.00444424     -0.00457367
     -0.00206396     -0.00220216
      -0.0137502      -0.0147518
      -0.0067634     -0.00760625
     -0.00987198     -0.00994039
     -0.00151038      -0.0014776
     -0.00122233     -0.00118108
     -0.00433227     -0.00490332
     -0.00193853     -0.00190606
     -0.00479653     -0.00455499
      -0.0048779     -0.00489718
     -0.00397512     -0.00415479
    -0.000691918    -0.000643577
     -0.00279572     -0.00270407
     -0.00359992     -0.00387065
     -0.00371447     -0.00378554
     -0.00416571     -0.00494706
     -0.00294349     -0.00311803
     -0.00662869     -0.00693634
     -0.00163674     -0.00171096
     -0.00335666     -0.00360333
    -0.000976117    -0.000944167
    -0.000828638    -0.000809776
    -0.000830707    -0.000788532
     -0.00135663     -0.00139468
     -0.00234481     -0.00239365
     -0.00336089     -0.00356497
      -0.0113339      -0.0106206
      -0.0046259     -0.00523026
    -0.000757357    -0.000739113
      -0.0013535     -0.00131589
     -0.00449768     -0.00446919
      -0.0135579      -0.0127461
    -0.000949343    -0.000923445
     -0.00166588     -0.00157884
     -0.00127109     -0.00135729
      -0.0047678      -0.0052351
     -0.00860176      -0.0078245
     -0.00105498     -0.00105961
     -0.00574597     -0.00579614
     -0.00426721     -0.00445259
      -0.0016432     -0.00162641
    -0.000739942    -0.000737195
    -0.000843232     -0.00084308
     -0.00482577     -0.00461282
     -0.00134827      -0.0013555
     -0.00863946     -0.00878662
     -0.00131492     -0.00137827
      -0.0166923      -0.0159875
        -0.00355     -0.00374496
     -0.00165228     -0.00171277
     -0.00326696     -0.00349541
     -0.00187881     -0.00190341
     -0.00138294     -0.00137735
     -0.00918961      -0.0113716
     -0.00697992     -0.00635234
      -0.0103404      -0.0105225
       -0.006933      -0.0076018
    -0.000921463    -0.000866514
    -0.000616507    -0.000597879
     -0.00258176     -0.00298982
     -0.00196176     -0.00210862
      -0.0044338      -0.0044527
      -0.0026251     -0.00277682
     -0.00566418     -0.00584663
     -0.00113205     -0.00110279
     -0.00280277     -0.00288436
     -0.00457305     -0.00538695
     -0.00701105     -0.00865306
     -0.00335365     -0.00356061
     -0.00598092      -0.0069346
     -0.00696616     -0.00810559
     -0.00899117      -0.0105391
     -0.00111538     -0.00105573
    -0.000993739    -0.000935765
      -0.0059299      -0.0064456
      -0.0071021     -0.00832845
     -0.00982767     -0.00947181
     -0.00124678     -0.00120339
     -0.00758802     -0.00869404
     -0.00107008     -0.00100644
    -0.000792463    -0.000759568
     -0.00122765     -0.00123568
     -0.00232929     -0.00239004
    -0.000967741    -0.000929866
     -0.00135546     -0.00136902
     -0.00216442     -0.00205109
    -0.000952549    -0.000949805
      -0.0025752     -0.00255216
     -0.00379004     -0.00351959
    -0.000892699    -0.000862174
     -0.00085676    -0.000846647
    -0.000810603    -0.000785566
      -0.0143228      -0.0148781
     -0.00275506     -0.00285178
     -0.00633059     -0.00714792
     -0.00179794     -0.00192719
     -0.00120548     -0.00120367
      -0.0126279      -0.0140802
     -0.00319621     -0.00343827
     -0.00314581      -0.0032122
      -0.0027989     -0.00321141
     -0.00496629     -0.00579985
     -0.00451152     -0.00501058
     -0.00447305     -0.00472667
      -0.0021416     -0.00208945
     -0.00222453     -0.00215759
     -0.00413813     -0.00443152
     -0.00110207     -0.00115131
     -0.00334445      -0.0031632
     -0.00357136     -0.00347926
     -0.00197461      -0.0020084
     -0.00666641     -0.00709626
     -0.00461422      -0.0046621
      -0.0010873     -0.00106161
     -0.00133081     -0.00135388
    -0.000904126    -0.000853978
     -0.00116086     -0.00122561
     -0.00594292      -0.0057643
     -0.00472054     -0.00492116
     -0.00670045     -0.00607043
     -0.00244163     -0.00251039
     -0.00161397     -0.00156603
     -0.00388097      -0.0036474
     -0.00546944     -0.00514879
    -0.000707009    -0.000686563
       -0.001205     -0.00120237
     -0.00239914     -0.00251443
