QM Energy	FF Energy
     -5.7355e-05    -7.97928e-05
    -0.000346669    -0.000907026
    -0.000926244    -0.000726057
     -2.7529e-05    -4.63742e-05
    -0.000547955    -0.000590275
     -5.5754e-05    -6.48809e-05
     -2.9053e-05    -4.45554e-05
      -9.596e-05    -0.000167568
     -5.9572e-05    -5.37389e-05
     -4.8452e-05    -6.04544e-05
    -0.000257837    -0.000169161
     -3.0631e-05    -3.47964e-05
     -6.3987e-05    -9.94128e-05
     -3.8852e-05    -3.36262e-05
       -4.76e-05    -4.59903e-05
     -3.0828e-05    -3.17231e-05
     -3.6953e-05    -3.97389e-05
      -3.247e-05    -3.46706e-05
    -0.000432578    -0.000390376
     -0.00043955    -0.000414679
     -9.9118e-05    -0.000324499
     -1.4696e-05    -1.57036e-05
    -0.000106106    -0.000124935
     -0.00135198      -0.0014861
    -0.000227565    -0.000182092
     -4.2973e-05    -5.70132e-05
    -0.000166032    -0.000293564
     -6.6469e-05    -6.99184e-05
     -0.00209592     -0.00157745
    -0.000654866    -0.000567736
     -0.00121282     -0.00117408
      -3.541e-05    -4.84591e-05
     -4.2352e-05    -4.11257e-05
    -0.000227028    -0.000257069
     -5.8543e-05    -7.32053e-05
    -0.000133418    -0.000347059
    -0.000178877    -0.000346863
     -8.4446e-05    -0.000204678
     -2.4375e-05    -1.78304e-05
    -0.000121018    -0.000161238
    -0.000177002    -0.000200726
    -0.000159191    -0.000208744
    -0.000438535    -0.000315974
     -0.00018069    -0.000143046
    -0.000418925    -0.000578314
     -4.6534e-05    -4.57359e-05
    -0.000101116    -0.000151728
     -1.9905e-05    -2.84394e-05
     -1.5261e-05    -1.65761e-05
     -2.6246e-05    -2.56299e-05
     -2.5746e-05    -3.30152e-05
     -3.9929e-05    -8.79573e-05
    -0.000142912    -0.000170375
     -0.00120623     -0.00135511
     -0.00031136    -0.000318885
     -1.1087e-05    -1.48906e-05
     -4.0029e-05     -4.2564e-05
    -0.000110206    -0.000291651
      -0.0013296      -0.0016563
     -1.8765e-05    -2.42509e-05
     -3.6824e-05    -6.49557e-05
     -2.2079e-05    -2.59348e-05
    -0.000282835    -0.000339106
    -0.000466609     -0.00084522
     -1.4445e-05    -2.10561e-05
    -0.000208064    -0.000388606
    -0.000137077    -0.000244377
     -6.6515e-05    -6.10422e-05
      -9.898e-06    -1.11879e-05
     -1.3028e-05    -1.86625e-05
    -0.000219737    -0.000380405
     -5.8003e-05    -4.29343e-05
    -0.000672432    -0.000878764
     -4.2317e-05    -3.57604e-05
     -0.00256765     -0.00219324
     -0.00014482    -0.000182878
     -2.8873e-05    -4.03749e-05
    -0.000189616    -0.000168673
     -5.2077e-05    -6.60813e-05
     -4.0956e-05    -4.15634e-05
    -0.000968388    -0.000805797
     -0.00020141     -0.00060567
     -0.00118561     -0.00113848
     -0.00041172    -0.000574635
     -3.3557e-05    -2.92752e-05
     -1.1144e-05    -9.95314e-06
    -0.000122394    -9.83213e-05
    -0.000176197     -0.00011696
    -0.000350152    -0.000358935
    -0.000173017    -0.000130631
    -0.000281607    -0.000431774
     -3.8289e-05    -3.33842e-05
    -0.000100706     -0.00011751
     -0.00025561    -0.000253827
    -0.000728281    -0.000589824
     -9.9758e-05      -0.0001515
    -0.000594105    -0.000524618
    -0.000594724    -0.000564892
    -0.000632777    -0.000721568
     -2.8054e-05    -3.58308e-05
     -3.1124e-05    -3.30745e-05
    -0.000331519    -0.000401091
    -0.000620579    -0.000603049
    -0.000952365     -0.00113081
     -3.0138e-05    -3.36027e-05
    -0.000771837    -0.000675274
     -3.5977e-05    -3.79297e-05
      -2.341e-05    -2.30955e-05
     -6.5009e-05    -4.49462e-05
    -0.000103921    -0.000105389
     -2.7481e-05    -3.04472e-05
     -3.4458e-05    -3.81509e-05
     -6.0869e-05     -9.8548e-05
      -2.442e-05    -2.44028e-05
     -6.3002e-05    -0.000121192
    -0.000107425    -0.000237718
     -1.6835e-05    -2.00025e-05
     -1.7869e-05    -1.57966e-05
     -1.5852e-05    -1.84228e-05
     -0.00136097     -0.00168081
     -6.4678e-05    -0.000103025
     -0.00047237    -0.000471693
     -4.6244e-05    -4.89783e-05
     -1.7961e-05    -2.72714e-05
      -0.0021076     -0.00161993
    -0.000121996    -0.000154241
     -7.4756e-05    -0.000142437
    -0.000225603    -0.000161358
    -0.000272935    -0.000272201
    -0.000270759     -0.00027904
    -0.000193524    -0.000259933
     -5.7204e-05    -8.32073e-05
     -6.9396e-05    -9.88773e-05
    -0.000314018    -0.000279111
