QM Energy	FF Energy
     -0.00038637    -0.000446985
     -6.4542e-05    -7.89135e-05
       -3.47e-06    -6.01324e-06
    -0.000105005    -0.000115695
     -0.00017521    -0.000193622
     -0.00012512     -0.00012338
    -0.000368882    -0.000332906
     -8.4433e-05    -0.000114857
     -5.0757e-05    -5.98815e-05
     -2.2116e-05    -3.19988e-05
     -3.1678e-05    -3.23629e-05
     -8.2046e-05    -9.57024e-05
      -9.645e-06    -1.61835e-05
     -2.0042e-05    -2.85628e-05
    -0.000579022    -0.000555101
      -2.489e-06    -6.60609e-06
    -0.000129628    -0.000158205
     -2.3581e-05     -3.2811e-05
    -0.000955799     -0.00112224
    -0.000122792    -0.000119918
     -2.8972e-05    -3.64485e-05
    -0.000695377    -0.000700378
     -0.00145323     -0.00178505
     -4.5793e-05    -5.33202e-05
     -3.5619e-05    -4.87108e-05
     -2.6176e-05     -3.8656e-05
      -4.858e-06    -8.14392e-06
     -0.00158703     -0.00140453
    -0.000202035     -0.00019468
    -0.000317326    -0.000368537
    -0.000646731    -0.000631458
    -0.000134804    -0.000151324
     -5.4054e-05     -8.1891e-05
     -0.00074743     -0.00072094
      -7.831e-06    -1.26576e-05
    -0.000814142    -0.000809383
    -0.000791548    -0.000705586
    -0.000533806    -0.000569274
     -0.00074206    -0.000667315
    -0.000294792    -0.000328582
    -0.000159061    -0.000224563
       -2.46e-06     -3.9681e-06
     -5.5476e-05    -6.44533e-05
     -4.0607e-05     -6.2698e-05
    -0.000522737    -0.000654673
     -7.4154e-05    -9.98836e-05
      -7.876e-06    -9.51123e-06
      -1.549e-05    -2.32137e-05
     -6.9915e-05    -7.90504e-05
    -0.000139588    -0.000179479
     -0.00145865     -0.00152739
       -6.89e-06    -1.12521e-05
     -9.0563e-05     -0.00010385
    -0.000135841    -0.000129816
    -0.000742268    -0.000727027
    -0.000823667    -0.000741783
      -6.592e-06     -9.4204e-06
     -1.7384e-05    -2.40022e-05
     -5.0395e-05     -6.6937e-05
     -1.0439e-05    -1.60166e-05
      -5.832e-06    -8.29255e-06
      -3.796e-06    -7.20965e-06
     -2.0694e-05    -3.78079e-05
     -0.00162977     -0.00142592
     -3.8975e-05    -5.78185e-05
      -8.033e-06    -1.22444e-05
      -7.105e-06    -1.03043e-05
    -0.000185611    -0.000239769
    -0.000326284    -0.000363087
       -0.001171     -0.00116411
    -0.000142427    -0.000164359
    -0.000754966    -0.000859083
       -7.76e-05    -0.000100749
      -7.633e-06    -1.57747e-05
     -0.00159601     -0.00166211
     -0.00139654     -0.00148038
     -1.2036e-05    -2.21219e-05
    -0.000852224     -0.00105806
    -0.000118973    -0.000141929
    -0.000367042    -0.000356457
    -0.000904437    -0.000962115
     -0.00113526     -0.00127005
     -3.8585e-05    -6.50832e-05
      -9.524e-06    -1.02719e-05
     -2.2474e-05    -3.18939e-05
     -0.00149772     -0.00151933
    -0.000639607    -0.000630441
     -8.7501e-05    -0.000133994
    -0.000235233    -0.000247678
     -1.8242e-05    -2.45088e-05
     -0.00023977    -0.000297192
     -3.9785e-05    -4.68396e-05
     -7.3774e-05    -0.000103994
     -4.2596e-05    -5.04835e-05
     -5.7456e-05    -5.92813e-05
      -1.225e-05    -1.93556e-05
    -0.000473661    -0.000517729
    -0.000269564    -0.000295682
    -0.000830498    -0.000737913
     -2.0799e-05    -2.50717e-05
     -0.00088113     -0.00097926
    -0.000118864    -0.000122102
    -0.000679061    -0.000748573
      -9.243e-06    -1.23002e-05
     -4.1065e-05    -5.47601e-05
    -0.000513542    -0.000477544
    -0.000356873    -0.000359395
     -0.00104544     -0.00103526
     -8.3581e-05    -0.000104267
    -0.000143516    -0.000165647
    -0.000186018    -0.000243851
    -0.000430027    -0.000455073
     -2.1847e-05    -3.50657e-05
      -7.828e-06    -1.19934e-05
    -0.000128476    -0.000153563
     -1.6135e-05    -2.29337e-05
      -4.578e-05    -5.33959e-05
     -2.7905e-05    -3.30909e-05
      -2.663e-06    -6.18963e-06
     -1.9821e-05    -2.97515e-05
     -0.00014677    -0.000159033
     -6.0173e-05    -9.91853e-05
     -0.00124902    -0.000963395
    -0.000333884    -0.000372575
     -0.00119966      -0.0012565
    -0.000283136    -0.000287782
