QM Energy	FF Energy
     -0.00038637    -0.000446994
     -6.4542e-05    -7.89068e-05
       -3.47e-06    -6.01168e-06
    -0.000105005    -0.000115698
     -0.00017521    -0.000193621
     -0.00012512    -0.000123386
    -0.000368882    -0.000332905
     -8.4433e-05    -0.000114867
     -5.0757e-05    -5.98816e-05
     -2.2116e-05    -3.19988e-05
     -3.1678e-05    -3.23362e-05
     -8.2046e-05    -9.57029e-05
      -9.645e-06    -1.61873e-05
     -2.0042e-05    -2.85642e-05
    -0.000579022    -0.000555099
      -2.489e-06    -6.60623e-06
    -0.000129628    -0.000158195
     -2.3581e-05    -3.27974e-05
    -0.000955799     -0.00112224
    -0.000122792    -0.000119917
     -2.8972e-05    -3.64494e-05
    -0.000695377    -0.000700371
     -0.00145323     -0.00178508
     -4.5793e-05     -5.3317e-05
     -3.5619e-05    -4.87101e-05
     -2.6176e-05    -3.86548e-05
      -4.858e-06    -8.13986e-06
     -0.00158703     -0.00140456
    -0.000202035    -0.000194674
    -0.000317326    -0.000368537
    -0.000646731    -0.000631475
    -0.000134804    -0.000151325
     -5.4054e-05    -8.18913e-05
     -0.00074743    -0.000720952
      -7.831e-06    -1.26578e-05
    -0.000814142    -0.000809389
    -0.000791548    -0.000705584
    -0.000533806    -0.000569264
     -0.00074206    -0.000667346
    -0.000294792    -0.000328541
    -0.000159061    -0.000224567
       -2.46e-06    -3.96795e-06
     -5.5476e-05    -6.44552e-05
     -4.0607e-05     -6.2709e-05
    -0.000522737    -0.000654668
     -7.4154e-05    -9.98729e-05
      -7.876e-06    -9.51174e-06
      -1.549e-05    -2.32224e-05
     -6.9915e-05     -7.9051e-05
    -0.000139588    -0.000179479
     -0.00145865     -0.00152742
       -6.89e-06    -1.12506e-05
     -9.0563e-05    -0.000103849
    -0.000135841    -0.000129816
    -0.000742268    -0.000727023
    -0.000823667    -0.000741797
      -6.592e-06    -9.42304e-06
     -1.7384e-05    -2.39999e-05
     -5.0395e-05    -6.69374e-05
     -1.0439e-05    -1.60152e-05
      -5.832e-06    -8.29202e-06
      -3.796e-06    -7.21164e-06
     -2.0694e-05    -3.78077e-05
     -0.00162977     -0.00142593
     -3.8975e-05    -5.78196e-05
      -8.033e-06    -1.22424e-05
      -7.105e-06    -1.03043e-05
    -0.000185611    -0.000239772
    -0.000326284    -0.000363087
       -0.001171     -0.00116406
    -0.000142427    -0.000164377
    -0.000754966    -0.000859084
       -7.76e-05    -0.000100749
      -7.633e-06    -1.57785e-05
     -0.00159601     -0.00166208
     -0.00139654     -0.00148048
     -1.2036e-05    -2.21191e-05
    -0.000852224     -0.00105807
    -0.000118973    -0.000141933
    -0.000367042    -0.000356463
    -0.000904437    -0.000962142
     -0.00113526     -0.00127008
     -3.8585e-05    -6.50846e-05
      -9.524e-06    -1.02717e-05
     -2.2474e-05     -3.1885e-05
     -0.00149772     -0.00151933
    -0.000639607    -0.000630465
     -8.7501e-05    -0.000133998
    -0.000235233    -0.000247677
     -1.8242e-05     -2.4508e-05
     -0.00023977    -0.000297171
     -3.9785e-05    -4.68376e-05
     -7.3774e-05    -0.000103995
     -4.2596e-05     -5.0483e-05
     -5.7456e-05    -5.92816e-05
      -1.225e-05    -1.93559e-05
    -0.000473661    -0.000517734
    -0.000269564    -0.000295676
    -0.000830498    -0.000737902
     -2.0799e-05    -2.50776e-05
     -0.00088113     -0.00097926
    -0.000118864    -0.000122103
    -0.000679061    -0.000748592
      -9.243e-06    -1.23125e-05
     -4.1065e-05    -5.47603e-05
    -0.000513542    -0.000477542
    -0.000356873    -0.000359388
     -0.00104544     -0.00103527
     -8.3581e-05    -0.000104267
    -0.000143516    -0.000165643
    -0.000186018    -0.000243852
    -0.000430027    -0.000455073
     -2.1847e-05    -3.50657e-05
      -7.828e-06    -1.19936e-05
    -0.000128476    -0.000153567
     -1.6135e-05    -2.29345e-05
      -4.578e-05    -5.33968e-05
     -2.7905e-05    -3.30901e-05
      -2.663e-06    -6.18991e-06
     -1.9821e-05    -2.97544e-05
     -0.00014677    -0.000159029
     -6.0173e-05    -9.91782e-05
     -0.00124902    -0.000963419
    -0.000333884    -0.000372578
     -0.00119966     -0.00125652
    -0.000283136    -0.000287783
    -0.000480755    -0.000440805
     -4.5782e-05    -5.41013e-05
    -0.000137564    -0.000150936
     -8.4576e-05    -0.000112783
    -0.000745486    -0.000799148
    -0.000245256    -0.000262239
     -1.6492e-05    -2.26162e-05
    -0.000887348    -0.000865724
    -0.000729178     -0.00066528
    -0.000459908     -0.00048347
     -1.3421e-05    -2.29465e-05
    -0.000184766    -0.000242667
    -0.000351346    -0.000405035
     -5.2269e-05    -6.52744e-05
    -0.000965975    -0.000918011
    -0.000817929    -0.000703718
    -0.000244978    -0.000259187
     -0.00159258      -0.0017744
    -0.000186316    -0.000209514
     -3.0049e-05     -3.8918e-05
    -0.000859968    -0.000746909
     -3.5083e-05    -4.97877e-05
    -0.000179443    -0.000197344
    -0.000198099    -0.000247573
      -9.618e-06    -1.30816e-05
    -0.000876884    -0.000709114
    -0.000629404    -0.000720236
    -0.000121999    -0.000183138
     -1.5466e-05     -2.4407e-05
     -1.3509e-05    -1.96713e-05
     -3.6948e-05    -4.55565e-05
     -2.5099e-05    -2.87021e-05
     -9.1376e-05     -0.00010215
     -0.00109576     -0.00100155
     -1.6565e-05    -2.55144e-05
    -0.000170228    -0.000197414
     -7.3775e-05    -9.74376e-05
     -0.00105017    -0.000859151
    -0.000239283    -0.000261592
     -9.8737e-05    -0.000104998
    -0.000495739    -0.000491907
    -0.000428941    -0.000472617
    -0.000681488    -0.000652417
      -8.557e-06    -1.26745e-05
      -9.472e-06    -1.04483e-05
     -0.00101673     -0.00111797
     -2.3116e-05    -3.41604e-05
      -0.0013694     -0.00169874
     -7.0593e-05    -9.52888e-05
    -0.000828376    -0.000837846
    -0.000119639    -0.000136333
    -0.000539465    -0.000473316
      -8.243e-06    -1.17837e-05
    -0.000804731    -0.000744399
    -0.000737208    -0.000670984
     -4.8111e-05    -6.76498e-05
      -3.513e-06     -5.5398e-06
      -4.549e-06    -6.99475e-06
     -1.2051e-05    -2.47516e-05
    -0.000217611    -0.000266672
     -7.1224e-05    -6.97382e-05
      -4.404e-06    -9.55298e-06
     -0.00102779     -0.00100363
     -1.6674e-05    -2.68786e-05
     -5.4464e-05    -7.41211e-05
    -0.000139701    -0.000134798
     -0.00052411    -0.000497005
    -0.000250634    -0.000318622
     -0.00098875    -0.000918284
     -0.00171768     -0.00163296
    -0.000113208    -0.000115684
      -4.232e-06    -8.35286e-06
     -0.00080102    -0.000901174
    -0.000356142    -0.000417473
     -3.8956e-05    -4.95679e-05
     -1.2989e-05    -2.01266e-05
      -4.734e-05    -7.49256e-05
      -5.468e-06    -9.89047e-06
    -0.000134822     -0.00017658
      -3.058e-06    -7.90786e-06
    -0.000871694    -0.000764791
        2.53e-07    -2.12331e-06
      -2.419e-06    -5.45719e-06
     -2.5623e-05    -3.45667e-05
      -5.724e-06    -9.56411e-06
    -0.000329079     -0.00037748
     -7.5054e-05    -8.88757e-05
     -8.6436e-05    -9.63613e-05
      -3.693e-06    -6.21963e-06
    -0.000325998    -0.000374312
    -0.000145393     -0.00018725
     -1.7885e-05    -2.50042e-05
    -0.000134927    -0.000149207
      -5.204e-06    -9.71246e-06
       -5.24e-07    -3.09355e-06
    -0.000161552    -0.000174617
     -0.00168549     -0.00165771
     -2.9107e-05    -4.20909e-05
