QM Energy	FF Energy
    -0.000812179    -0.000816831
    -0.000203081    -0.000173434
     -7.7921e-05    -7.48991e-05
    -0.000321107    -0.000308486
    -0.000498561    -0.000497115
    -0.000328684    -0.000383543
    -0.000484598    -0.000647003
    -0.000323159    -0.000291089
    -0.000248152    -0.000204281
    -0.000187575    -0.000196787
      -0.0001956    -0.000146667
    -0.000293072    -0.000332924
    -0.000130368    -0.000109546
     -0.00014217    -0.000120519
    -0.000521637    -0.000801125
     -6.3245e-05    -6.85885e-05
    -0.000341552    -0.000321105
    -0.000155382    -0.000130772
     -0.00134344     -0.00134658
    -0.000323868    -0.000358661
    -0.000157446    -0.000135757
     -0.00104841    -0.000862688
     -0.00130141     -0.00181204
    -0.000178082    -0.000150675
     -0.00020782    -0.000185177
    -0.000180006    -0.000161683
     -6.9015e-05     -6.5421e-05
     -0.00255256     -0.00225837
    -0.000331277    -0.000377413
    -0.000639159    -0.000563962
    -0.000785127    -0.000896603
    -0.000418832    -0.000507796
     -0.00038937    -0.000393002
    -0.000844002    -0.000826048
     -8.0832e-05    -7.42209e-05
     -0.00115627    -0.000962908
     -0.00137457     -0.00119419
     -0.00104958     -0.00100158
     -0.00109626     -0.00100768
    -0.000544922    -0.000593533
    -0.000489091    -0.000454692
     -6.5822e-05    -5.94723e-05
    -0.000234118    -0.000185952
    -0.000230933    -0.000212612
     -0.00082441    -0.000901176
    -0.000271879    -0.000237237
     -8.4957e-05    -6.89145e-05
    -0.000178053    -0.000170404
    -0.000274386    -0.000213054
    -0.000432389    -0.000389094
      -0.0011951     -0.00161852
      -7.963e-05    -7.80274e-05
    -0.000305508    -0.000235962
    -0.000326181    -0.000360094
    -0.000720696    -0.000878506
     -0.00133575     -0.00106016
     -8.6761e-05    -7.40982e-05
    -0.000136768    -0.000129291
    -0.000252332    -0.000277695
    -0.000112359    -9.87816e-05
     -8.4713e-05    -7.03897e-05
          -7e-05    -7.19552e-05
     -0.00017949     -0.00019475
     -0.00135133     -0.00191416
    -0.000222461    -0.000188495
     -9.1995e-05    -8.47682e-05
    -0.000109286    -0.000100704
      -0.0004982    -0.000464371
    -0.000768752    -0.000625248
     -0.00112045     -0.00116615
    -0.000543882    -0.000538223
      -0.0013197     -0.00117216
    -0.000318116     -0.00029827
    -0.000123626    -0.000123758
     -0.00135758     -0.00174033
     -0.00131976      -0.0012881
    -0.000112918    -0.000117974
     -0.00126461     -0.00128714
    -0.000303606    -0.000270808
     -0.00052964    -0.000666001
     -0.00114143     -0.00126429
     -0.00143749     -0.00141777
     -0.00027522    -0.000297826
     -8.7396e-05     -6.9021e-05
    -0.000146403     -0.00012583
     -0.00138286     -0.00155095
    -0.000772549    -0.000953584
    -0.000509709     -0.00055429
    -0.000520712    -0.000672507
    -0.000129056    -0.000111238
    -0.000619021    -0.000655926
    -0.000196199    -0.000169854
    -0.000310697    -0.000283482
    -0.000188683    -0.000170172
    -0.000235966    -0.000238484
    -0.000123008    -0.000119325
    -0.000763481    -0.000675164
    -0.000596888    -0.000491972
    -0.000674321     -0.00108887
    -0.000135271    -0.000104876
     -0.00134924     -0.00117653
    -0.000319355    -0.000349473
    -0.000937236    -0.000891438
     -9.4176e-05    -8.33031e-05
    -0.000219366    -0.000186123
