# Eelst 		 Emultipole 
      0.00016384       0.00379671
     -0.00156234      -0.00292298
      0.00054997       0.00098786
      0.00219922       0.00381788
      0.00138683       0.00393639
      0.00220647       0.00378252
      0.00075651       0.00384360
     -0.00191711      -0.00114765
     -0.00154413      -0.00041300
      0.00276306       0.00441890
      0.00025341       0.00172878
      0.00339549       0.00461066
      0.00008050       0.00113823
     -0.00150186      -0.00252566
     -0.00385135      -0.00114601
     -0.00117229      -0.00098315
     -0.00201366      -0.00262094
     -0.00165754      -0.00303185
     -0.00576611      -0.00077676
      0.00246476       0.00411623
     -0.00135876      -0.00236164
     -0.00920729      -0.00648853
     -0.01837347      -0.00073138
      0.00098881       0.00180711
     -0.00269732      -0.00394857
     -0.00189932      -0.00302878
     -0.00023739      -0.00015797
     -0.01408135      -0.00281186
     -0.00094293      -0.00142720
     -0.00621499      -0.00398425
     -0.00669894      -0.00322227
      0.00330204       0.00714405
      0.00332875       0.00396370
     -0.00707830      -0.00164016
     -0.00197500      -0.00281900
     -0.00835270      -0.00467815
     -0.00868395      -0.00208913
     -0.00251024       0.00183247
     -0.00172710       0.00321724
      0.00015667       0.00354206
     -0.00349024      -0.00197460
      0.00136531       0.00157672
     -0.00009797       0.00209973
     -0.00167576      -0.00143876
     -0.00325181       0.00158591
     -0.00202186      -0.00236057
     -0.00050689      -0.00022568
      0.00117831       0.00145769
     -0.00301827      -0.00168556
     -0.00335654      -0.00514143
     -0.01014391       0.00211372
     -0.00095224      -0.00201385
     -0.00284619      -0.00275106
      0.00309579       0.00446201
     -0.00865753      -0.00469394
     -0.00494302       0.00092240
      0.00050773       0.00024982
     -0.00043536      -0.00049140
      0.00341047       0.00401819
     -0.00123617      -0.00232226
      0.00169379       0.00231149
     -0.00041709      -0.00151841
      0.00304614       0.00383838
     -0.00534880       0.00913039
     -0.00226149      -0.00301661
     -0.00065221      -0.00167768
      0.00062612       0.00058601
     -0.00203933      -0.00317271
     -0.00567452      -0.00547757
     -0.00911330      -0.00157359
      0.00099508       0.00272347
     -0.00847983      -0.00920083
      0.00140091       0.00206256
      0.00138220       0.00287186
     -0.01352883       0.00070442
     -0.01346809      -0.00615288
     -0.00034437      -0.00078392
     -0.00522239      -0.00000405
     -0.00243566      -0.00105977
      0.00066950       0.00628893
     -0.00316580       0.00214501
     -0.01577701      -0.00919614
      0.00135972       0.00099100
     -0.00159255      -0.00177981
     -0.00023139       0.00069091
     -0.00968913       0.00009273
     -0.00010878       0.00606898
      0.00392132       0.00427626
      0.00395008       0.00845108
     -0.00074811      -0.00175500
     -0.00059541      -0.00291843
      0.00054348       0.00090761
     -0.00357879      -0.00328185
     -0.00055427      -0.00137810
      0.00231823       0.00287839
      0.00242866       0.00286280
     -0.00603255      -0.00550118
     -0.00365410      -0.00236461
     -0.00201233       0.00475508
     -0.00091980      -0.00044777
     -0.00825992      -0.00541965
      0.00239410       0.00306328
     -0.00554610      -0.00609936
      0.00058823       0.00074025
     -0.00223480      -0.00292391
     -0.00131062       0.00299212
      0.00143361       0.00494367
     -0.01254955      -0.01012115
     -0.00175300      -0.00255069
     -0.00293438      -0.00267470
      0.00259151       0.00217721
     -0.00624016      -0.00515811
     -0.00262866      -0.00364316
     -0.00075756      -0.00063538
      0.00223226       0.00417360
     -0.00146609      -0.00243254
     -0.00289371      -0.00193472
      0.00161894       0.00216981
      0.00051098       0.00085167
     -0.00189526      -0.00235293
      0.00244588       0.00569022
      0.00120298       0.00288384
     -0.00216039       0.00701629
      0.00444836       0.00374081
     -0.00979333      -0.00511021
     -0.00725192      -0.00641877
      0.00382568       0.00743290
      0.00028487       0.00221228
     -0.00079192       0.00031213
      0.00268186       0.00382822
     -0.01167351      -0.00442028
     -0.00270208       0.00015275
     -0.00120789      -0.00064032
     -0.00740781       0.00176589
     -0.00494105       0.00105067
     -0.00808058      -0.00681841
     -0.00055448       0.00071360
     -0.00425193      -0.00585381
     -0.00478710      -0.00606782
     -0.00167815      -0.00126972
     -0.01104650      -0.00547137
     -0.00095730       0.00692879
     -0.00228290       0.00016781
     -0.02041309      -0.00686717
     -0.00431384      -0.00433922
      0.00008386      -0.00124183
      0.00027383       0.00734172
     -0.00223417      -0.00228658
     -0.00112286       0.00088574
     -0.00301176       0.00061336
      0.00142562       0.00167301
      0.00149938       0.01120348
     -0.00804226      -0.00189959
      0.00083004      -0.00076929
     -0.00086252      -0.00153587
     -0.00240120      -0.00260914
      0.00261625       0.00422695
     -0.00044944       0.00078340
      0.00097848       0.00200657
     -0.00128755       0.01101875
     -0.00104231      -0.00044886
     -0.00060095       0.00233142
     -0.00300562      -0.00383291
     -0.00091760       0.00411963
     -0.00374922      -0.00144966
     -0.00063230      -0.00179059
     -0.00511679      -0.00254566
     -0.00469823      -0.00116415
     -0.00898845      -0.00228613
     -0.00127866      -0.00124297
     -0.00104748      -0.00112189
     -0.00993770      -0.00767229
      0.00210695       0.00373353
     -0.02039966      -0.00618475
     -0.00110893      -0.00081753
     -0.00976794      -0.00557272
     -0.00247137      -0.00233054
     -0.00121863       0.00122523
     -0.00165688      -0.00235712
     -0.00190442       0.00545268
     -0.00363673       0.00074478
     -0.00282167      -0.00355471
      0.00156749       0.00178033
      0.00025970      -0.00074071
      0.00000807       0.00092480
     -0.00292612      -0.00204267
      0.00178251       0.00203408
      0.00031630       0.00063801
     -0.00277610       0.00498319
     -0.00234957      -0.00352112
     -0.00009349      -0.00035897
      0.00138898       0.00281467
     -0.00064548       0.00410401
     -0.00458757      -0.00417586
     -0.00935343      -0.00028236
     -0.01418688       0.00260928
      0.00329589       0.00594192
      0.00132340       0.00190808
     -0.00718037      -0.00377102
     -0.00509042      -0.00416357
     -0.00160201      -0.00137434
     -0.00102687      -0.00096484
      0.00024347      -0.00088133
      0.00078550       0.00102476
     -0.00393818      -0.00494132
     -0.00027967       0.00023602
      0.00023815       0.00352718
      0.00127071       0.00182557
      0.00116192       0.00208521
     -0.00175396      -0.00213635
      0.00083825       0.00042436
     -0.00189217       0.00251213
      0.00030290       0.00158706
     -0.00097916      -0.00119867
      0.00174928       0.00267774
     -0.00536763      -0.00517173
     -0.00447449      -0.00500152
     -0.00123361      -0.00128769
     -0.00272814      -0.00193202
     -0.00058152      -0.00053415
      0.00149741       0.00221073
     -0.00453405      -0.00458873
     -0.00887761       0.00749167
     -0.00234051      -0.00281413
     -0.00059656      -0.00080759
      0.00072997       0.00076343
     -0.00881924      -0.00383068
      0.00190066       0.00297397
     -0.00318714      -0.00512896
      0.00056792       0.00047529
      0.00203235       0.00877778
      0.00129623       0.00219549
     -0.00219917      -0.00290325
     -0.00458997      -0.00377357
      0.00000750      -0.00056875
     -0.00081203       0.00031687
     -0.00183680      -0.00112792
     -0.00120539      -0.00168841
     -0.00131851      -0.00121877
     -0.01146606      -0.00618511
     -0.00376337      -0.00524083
     -0.00199893      -0.00171263
      0.00212738       0.00260168
      0.00169024       0.00175648
      0.00182518       0.00330076
      0.00053902       0.00117379
     -0.00049462      -0.00034032
      0.00019430       0.00146199
     -0.00140698      -0.00072195
      0.00261689       0.00718449
      0.00310185       0.00417089
     -0.00309897       0.01048388
      0.00168354       0.00307777
     -0.00047824       0.00016315
     -0.00155913      -0.00198023
     -0.01049584      -0.00353629
     -0.01218130      -0.00367460
     -0.00472793      -0.00355588
      0.00087332       0.00131273
     -0.00837158      -0.00577923
     -0.00167630       0.01036971
     -0.00000485       0.00004732
      0.00057381      -0.00029151
     -0.00521124       0.00066950
     -0.00109976      -0.00100496
      0.00137955       0.00727812
      0.00225751       0.00536493
      0.00132653       0.00131010
     -0.00263061      -0.00309199
      0.00269601       0.00300816
     -0.00334967      -0.00162617
      0.00237642       0.00324654
      0.00050598       0.00045780
     -0.00043920       0.00067696
     -0.00599143      -0.00675654
      0.00088311       0.00414562
      0.00150432       0.00153671
     -0.00381059       0.00075557
     -0.00162980      -0.00043511
     -0.00039830      -0.00014498
      0.00172436       0.00257238
