QM Energy	FF Energy
     -0.00038637    -0.000465534
     -6.4542e-05    -8.67742e-05
       -3.47e-06    -5.32299e-06
    -0.000105005    -0.000115706
     -0.00017521     -0.00019597
     -0.00012512    -7.09244e-05
    -0.000368882     -0.00024424
     -8.4433e-05    -0.000108089
     -5.0757e-05    -7.26994e-05
     -2.2116e-05    -2.72889e-05
     -3.1678e-05    -4.17017e-05
     -8.2046e-05    -0.000118756
      -9.645e-06     -2.9406e-05
     -2.0042e-05    -2.83425e-05
    -0.000579022    -0.000443919
      -2.489e-06    -8.90747e-06
    -0.000129628    -0.000187257
     -2.3581e-05    -3.45457e-05
    -0.000955799     -0.00106779
    -0.000122792    -9.50794e-05
     -2.8972e-05    -4.40794e-05
    -0.000695377    -0.000638436
     -0.00145323     -0.00178553
     -4.5793e-05    -6.07308e-05
     -3.5619e-05    -4.91847e-05
     -2.6176e-05    -4.60132e-05
      -4.858e-06    -1.04811e-05
     -0.00158703     -0.00147229
    -0.000202035    -0.000158311
    -0.000317326    -0.000395347
    -0.000646731    -0.000680683
    -0.000134804    -8.39981e-05
     -5.4054e-05    -5.06048e-05
     -0.00074743    -0.000702377
      -7.831e-06    -1.88442e-05
    -0.000814142     -0.00071637
    -0.000791548    -0.000728605
    -0.000533806     -0.00062798
     -0.00074206    -0.000590709
    -0.000294792    -0.000325231
    -0.000159061    -0.000206954
       -2.46e-06    -4.78546e-06
     -5.5476e-05    -6.69221e-05
     -4.0607e-05    -6.09122e-05
    -0.000522737     -0.00069051
     -7.4154e-05    -0.000111971
      -7.876e-06    -1.17542e-05
      -1.549e-05    -3.52856e-05
     -6.9915e-05    -8.57577e-05
    -0.000139588    -0.000171178
     -0.00145865     -0.00146653
       -6.89e-06    -1.56535e-05
     -9.0563e-05    -0.000106993
    -0.000135841    -0.000145147
    -0.000742268    -0.000773748
    -0.000823667    -0.000584689
      -6.592e-06    -7.41243e-06
     -1.7384e-05     -2.0352e-05
     -5.0395e-05    -8.27948e-05
     -1.0439e-05    -1.81735e-05
      -5.832e-06    -1.58503e-05
      -3.796e-06    -1.21706e-05
     -2.0694e-05    -5.23163e-05
     -0.00162977     -0.00147111
     -3.8975e-05    -6.40571e-05
      -8.033e-06    -1.73143e-05
      -7.105e-06    -6.68158e-06
    -0.000185611    -0.000237221
    -0.000326284    -0.000284772
       -0.001171     -0.00112253
    -0.000142427    -0.000151072
    -0.000754966    -0.000730434
       -7.76e-05    -0.000107704
      -7.633e-06    -1.57648e-05
     -0.00159601      -0.0018308
     -0.00139654     -0.00151063
     -1.2036e-05    -2.95777e-05
    -0.000852224     -0.00104872
    -0.000118973    -0.000161631
    -0.000367042    -0.000305919
    -0.000904437    -0.000989151
     -0.00113526     -0.00135764
     -3.8585e-05    -5.78294e-05
      -9.524e-06    -1.25245e-05
     -2.2474e-05    -3.78892e-05
     -0.00149772     -0.00148532
    -0.000639607    -0.000685214
     -8.7501e-05    -5.98635e-05
    -0.000235233    -0.000151978
     -1.8242e-05    -2.90194e-05
     -0.00023977    -0.000288618
     -3.9785e-05    -4.09235e-05
     -7.3774e-05    -0.000100553
     -4.2596e-05    -6.89192e-05
     -5.7456e-05    -4.17952e-05
      -1.225e-05    -2.77216e-05
    -0.000473661    -0.000466874
    -0.000269564     -0.00025394
    -0.000830498    -0.000621922
     -2.0799e-05    -2.85285e-05
     -0.00088113    -0.000813513
    -0.000118864    -0.000118903
    -0.000679061    -0.000762525
      -9.243e-06     -2.1327e-05
     -4.1065e-05    -5.38639e-05
    -0.000513542    -0.000493404
    -0.000356873    -0.000298292
     -0.00104544     -0.00110928
     -8.3581e-05    -9.51246e-05
    -0.000143516    -0.000155267
    -0.000186018    -0.000142131
    -0.000430027    -0.000449695
     -2.1847e-05    -4.81057e-05
      -7.828e-06    -1.53859e-05
    -0.000128476    -9.93003e-05
     -1.6135e-05     -2.5688e-05
      -4.578e-05    -6.62635e-05
     -2.7905e-05    -3.39388e-05
      -2.663e-06    -4.91845e-06
     -1.9821e-05    -3.23806e-05
     -0.00014677    -0.000104568
     -6.0173e-05    -0.000112219
     -0.00124902       -0.001167
    -0.000333884    -0.000137097
     -0.00119966    -0.000994094
    -0.000283136    -0.000361455
    -0.000480755    -0.000359503
     -4.5782e-05    -6.92043e-05
    -0.000137564    -0.000139389
     -8.4576e-05    -9.90549e-05
    -0.000745486     -0.00087592
    -0.000245256    -0.000245569
     -1.6492e-05    -3.10775e-05
    -0.000887348     -0.00103949
    -0.000729178    -0.000674198
    -0.000459908    -0.000426717
     -1.3421e-05      -2.942e-05
    -0.000184766    -0.000250128
    -0.000351346    -0.000349825
     -5.2269e-05     -7.4712e-05
    -0.000965975    -0.000981825
    -0.000817929     -0.00065587
    -0.000244978    -0.000248947
     -0.00159258     -0.00200903
    -0.000186316    -0.000201092
     -3.0049e-05    -4.40511e-05
    -0.000859968    -0.000570394
     -3.5083e-05    -5.13828e-05
    -0.000179443    -0.000174154
    -0.000198099    -0.000268385
      -9.618e-06    -6.70846e-06
    -0.000876884    -0.000849242
    -0.000629404     -0.00085692
    -0.000121999    -0.000158665
     -1.5466e-05    -2.53375e-05
     -1.3509e-05    -2.72529e-05
     -3.6948e-05    -2.04884e-05
     -2.5099e-05    -3.18548e-05
     -9.1376e-05    -8.26854e-05
     -0.00109576    -0.000958181
     -1.6565e-05    -3.03949e-05
    -0.000170228    -0.000226625
     -7.3775e-05    -9.26389e-05
     -0.00105017    -0.000858389
    -0.000239283    -0.000267059
     -9.8737e-05    -8.69775e-05
    -0.000495739    -0.000517822
    -0.000428941    -0.000394185
    -0.000681488     -0.00071292
      -8.557e-06    -1.52776e-05
      -9.472e-06    -1.43094e-05
     -0.00101673    -0.000812603
     -2.3116e-05    -1.65127e-05
      -0.0013694     -0.00189819
     -7.0593e-05    -9.56038e-05
    -0.000828376    -0.000915503
    -0.000119639    -0.000150361
    -0.000539465     -0.00055502
      -8.243e-06    -1.40588e-05
    -0.000804731    -0.000666701
    -0.000737208    -0.000648645
     -4.8111e-05    -7.59581e-05
      -3.513e-06    -8.27706e-06
      -4.549e-06    -6.14468e-06
     -1.2051e-05    -2.41138e-05
    -0.000217611     -0.00024624
     -7.1224e-05     -5.0161e-05
      -4.404e-06    -7.12035e-06
     -0.00102779     -0.00108209
     -1.6674e-05    -3.14804e-05
