# Eelst 		 Emultipole 
      0.00016384       0.00180473
     -0.00156234      -0.00083964
      0.00054997       0.00063129
      0.00219922       0.00315023
      0.00138683       0.00287204
      0.00220647       0.00354665
      0.00075651       0.00379289
     -0.00191711      -0.00148431
     -0.00154413      -0.00122480
      0.00276306       0.00305416
      0.00025341       0.00045017
      0.00339549       0.00413696
      0.00008050       0.00024504
     -0.00150186      -0.00131188
     -0.00385135       0.00218412
     -0.00117229      -0.00114803
     -0.00201366      -0.00115707
     -0.00165754      -0.00144164
     -0.00576611      -0.00153091
      0.00246476       0.00364483
     -0.00135876      -0.00112676
     -0.00920729      -0.00573923
     -0.01837347       0.00147331
      0.00098881       0.00164621
     -0.00269732      -0.00262972
     -0.00189932      -0.00174516
     -0.00023739      -0.00020817
     -0.01408135      -0.00524285
     -0.00094293       0.00122727
     -0.00621499      -0.00378473
     -0.00669894      -0.00046060
      0.00330204       0.00441775
      0.00332875       0.00354300
     -0.00707830      -0.00117164
     -0.00197500      -0.00198073
     -0.00835270      -0.00442613
     -0.00868395      -0.00457774
     -0.00251024      -0.00029989
     -0.00172710       0.00223859
      0.00015667       0.00206735
     -0.00349024      -0.00292713
      0.00136531       0.00142249
     -0.00009797       0.00016781
     -0.00167576      -0.00150272
     -0.00325181      -0.00002009
     -0.00202186      -0.00136112
     -0.00050689      -0.00048416
      0.00117831       0.00129107
     -0.00301827      -0.00264482
     -0.00335654      -0.00303983
     -0.01014391       0.00342215
     -0.00095224      -0.00096559
     -0.00284619      -0.00239850
      0.00309579       0.00435441
     -0.00865753      -0.00193777
     -0.00494302      -0.00257399
      0.00050773       0.00065370
     -0.00043536      -0.00021713
      0.00341047       0.00392008
     -0.00123617      -0.00121255
      0.00169379       0.00180029
     -0.00041709      -0.00042848
      0.00304614       0.00332884
     -0.00534880       0.00808090
     -0.00226149      -0.00203244
     -0.00065221      -0.00064508
      0.00062612       0.00074727
     -0.00203933      -0.00158673
     -0.00567452      -0.00485630
     -0.00911330      -0.00042548
      0.00099508       0.00167797
     -0.00847983      -0.00673478
      0.00140091       0.00185432
      0.00138220       0.00150819
     -0.01352883       0.00086057
     -0.01346809      -0.00190831
