QM Energy	FF Energy
     -0.00038637    -0.000447036
     -6.4542e-05    -7.89214e-05
       -3.47e-06     -6.0078e-06
    -0.000105005    -0.000115703
     -0.00017521     -0.00019362
     -0.00012512    -0.000123386
    -0.000368882    -0.000332906
     -8.4433e-05    -0.000114875
     -5.0757e-05    -5.98813e-05
     -2.2116e-05    -3.19988e-05
     -3.1678e-05    -3.23411e-05
     -8.2046e-05    -9.57027e-05
      -9.645e-06    -1.61674e-05
     -2.0042e-05    -2.85616e-05
    -0.000579022    -0.000555099
      -2.489e-06    -6.60594e-06
    -0.000129628    -0.000158204
     -2.3581e-05    -3.28184e-05
    -0.000955799     -0.00112223
    -0.000122792    -0.000119918
     -2.8972e-05      -3.645e-05
    -0.000695377    -0.000700372
     -0.00145323     -0.00178509
     -4.5793e-05    -5.33064e-05
     -3.5619e-05    -4.87107e-05
     -2.6176e-05    -3.86564e-05
      -4.858e-06    -8.13762e-06
     -0.00158703     -0.00140455
    -0.000202035    -0.000194689
    -0.000317326     -0.00036854
    -0.000646731    -0.000631486
    -0.000134804    -0.000151324
     -5.4054e-05    -8.18896e-05
     -0.00074743    -0.000720889
      -7.831e-06    -1.26578e-05
    -0.000814142    -0.000809384
    -0.000791548    -0.000705583
    -0.000533806    -0.000569264
     -0.00074206    -0.000667319
    -0.000294792    -0.000328554
    -0.000159061    -0.000224564
       -2.46e-06    -3.96822e-06
     -5.5476e-05    -6.44549e-05
     -4.0607e-05    -6.27077e-05
    -0.000522737    -0.000654673
     -7.4154e-05    -9.98788e-05
      -7.876e-06    -9.51211e-06
      -1.549e-05    -2.32223e-05
     -6.9915e-05    -7.90506e-05
    -0.000139588    -0.000179478
     -0.00145865     -0.00152742
       -6.89e-06    -1.12559e-05
     -9.0563e-05    -0.000103854
    -0.000135841    -0.000129817
    -0.000742268    -0.000727004
    -0.000823667    -0.000741784
      -6.592e-06    -9.42725e-06
     -1.7384e-05    -2.40003e-05
     -5.0395e-05    -6.69373e-05
     -1.0439e-05    -1.60158e-05
      -5.832e-06    -8.29427e-06
      -3.796e-06    -7.21005e-06
     -2.0694e-05    -3.78072e-05
     -0.00162977     -0.00142589
     -3.8975e-05    -5.78134e-05
      -8.033e-06     -1.2234e-05
      -7.105e-06    -1.03032e-05
    -0.000185611    -0.000239766
    -0.000326284    -0.000363085
       -0.001171     -0.00116409
    -0.000142427    -0.000164365
    -0.000754966    -0.000859079
       -7.76e-05    -0.000100749
      -7.633e-06    -1.57779e-05
     -0.00159601       -0.001662
     -0.00139654     -0.00148042
     -1.2036e-05    -2.21243e-05
    -0.000852224     -0.00105807
