QM Energy	FF Energy
     -0.00038637    -0.000446978
     -6.4542e-05    -7.89162e-05
       -3.47e-06    -6.01236e-06
    -0.000105005    -0.000115702
     -0.00017521    -0.000193621
     -0.00012512    -0.000123378
    -0.000368882    -0.000332907
     -8.4433e-05    -0.000114864
     -5.0757e-05    -5.98815e-05
     -2.2116e-05    -3.19989e-05
     -3.1678e-05    -3.23609e-05
     -8.2046e-05    -9.57031e-05
      -9.645e-06    -1.61794e-05
     -2.0042e-05    -2.85645e-05
    -0.000579022    -0.000555102
      -2.489e-06     -6.6062e-06
    -0.000129628    -0.000158204
     -2.3581e-05    -3.28222e-05
    -0.000955799     -0.00112224
    -0.000122792    -0.000119919
     -2.8972e-05    -3.64489e-05
    -0.000695377    -0.000700372
     -0.00145323     -0.00178504
     -4.5793e-05    -5.33138e-05
     -3.5619e-05    -4.87108e-05
     -2.6176e-05    -3.86554e-05
      -4.858e-06    -8.14352e-06
     -0.00158703     -0.00140454
    -0.000202035    -0.000194659
    -0.000317326    -0.000368537
    -0.000646731    -0.000631476
    -0.000134804    -0.000151323
     -5.4054e-05    -8.18905e-05
     -0.00074743    -0.000720903
      -7.831e-06    -1.26578e-05
    -0.000814142    -0.000809384
    -0.000791548    -0.000705583
    -0.000533806    -0.000569257
     -0.00074206    -0.000667341
    -0.000294792    -0.000328567
    -0.000159061    -0.000224565
       -2.46e-06    -3.96822e-06
     -5.5476e-05    -6.44488e-05
     -4.0607e-05    -6.27035e-05
    -0.000522737    -0.000654667
     -7.4154e-05    -9.98723e-05
      -7.876e-06    -9.50772e-06
      -1.549e-05    -2.32199e-05
     -6.9915e-05    -7.90508e-05
    -0.000139588    -0.000179478
     -0.00145865      -0.0015274
       -6.89e-06     -1.1252e-05
     -9.0563e-05    -0.000103855
    -0.000135841    -0.000129816
    -0.000742268    -0.000727026
    -0.000823667    -0.000741788
      -6.592e-06    -9.42541e-06
     -1.7384e-05    -2.39993e-05
     -5.0395e-05    -6.69371e-05
     -1.0439e-05    -1.60163e-05
      -5.832e-06    -8.29041e-06
      -3.796e-06    -7.20943e-06
     -2.0694e-05    -3.78074e-05
     -0.00162977     -0.00142589
     -3.8975e-05    -5.77968e-05
      -8.033e-06    -1.22405e-05
      -7.105e-06    -1.03035e-05
    -0.000185611    -0.000239765
    -0.000326284    -0.000363087
       -0.001171      -0.0011641
    -0.000142427    -0.000164358
    -0.000754966     -0.00085908
       -7.76e-05     -0.00010075
      -7.633e-06     -1.5778e-05
     -0.00159601      -0.0016621
     -0.00139654     -0.00148049
     -1.2036e-05    -2.21222e-05
    -0.000852224     -0.00105807
    -0.000118973    -0.000141936
    -0.000367042    -0.000356456
    -0.000904437    -0.000962135
     -0.00113526     -0.00127009
     -3.8585e-05    -6.50864e-05
      -9.524e-06    -1.02719e-05
     -2.2474e-05    -3.18951e-05
     -0.00149772     -0.00151934
    -0.000639607    -0.000630461
     -8.7501e-05    -0.000133998
    -0.000235233    -0.000247675
     -1.8242e-05    -2.45095e-05
     -0.00023977    -0.000297163
     -3.9785e-05     -4.6839e-05
     -7.3774e-05    -0.000103994
     -4.2596e-05    -5.04832e-05
     -5.7456e-05    -5.92838e-05
      -1.225e-05    -1.93556e-05
    -0.000473661    -0.000517731
    -0.000269564    -0.000295675
    -0.000830498    -0.000737927
     -2.0799e-05    -2.50766e-05
     -0.00088113    -0.000979253
    -0.000118864    -0.000122103
    -0.000679061    -0.000748563
      -9.243e-06    -1.23111e-05
     -4.1065e-05    -5.47601e-05
    -0.000513542    -0.000477549
    -0.000356873    -0.000359392
     -0.00104544     -0.00103526
     -8.3581e-05    -0.000104266
    -0.000143516    -0.000165646
    -0.000186018    -0.000243849
    -0.000430027    -0.000455073
     -2.1847e-05    -3.50656e-05
      -7.828e-06    -1.19954e-05
    -0.000128476    -0.000153566
     -1.6135e-05    -2.29339e-05
      -4.578e-05     -5.3397e-05
     -2.7905e-05    -3.30911e-05
      -2.663e-06    -6.18925e-06
     -1.9821e-05    -2.97537e-05
     -0.00014677    -0.000159024
     -6.0173e-05    -9.91912e-05
     -0.00124902    -0.000963423
    -0.000333884    -0.000372574
     -0.00119966      -0.0012565
    -0.000283136    -0.000287784
    -0.000480755      -0.0004408
     -4.5782e-05    -5.40989e-05
    -0.000137564    -0.000150931
     -8.4576e-05    -0.000112781
    -0.000745486    -0.000799154
    -0.000245256    -0.000262245
     -1.6492e-05    -2.26167e-05
    -0.000887348    -0.000865733
    -0.000729178    -0.000665279
    -0.000459908    -0.000483468
     -1.3421e-05     -2.2946e-05
    -0.000184766    -0.000242703
    -0.000351346    -0.000405035
     -5.2269e-05    -6.52718e-05
    -0.000965975    -0.000918024
    -0.000817929    -0.000703725
    -0.000244978     -0.00025919
     -0.00159258     -0.00177445
    -0.000186316    -0.000209518
     -3.0049e-05    -3.89311e-05
    -0.000859968    -0.000746901
     -3.5083e-05    -4.97858e-05
    -0.000179443    -0.000197337
    -0.000198099    -0.000247574
      -9.618e-06    -1.30791e-05
    -0.000876884     -0.00070912
    -0.000629404    -0.000720232
    -0.000121999    -0.000183124
     -1.5466e-05    -2.44056e-05
     -1.3509e-05    -1.96716e-05
     -3.6948e-05     -4.5557e-05
     -2.5099e-05    -2.87071e-05
     -9.1376e-05    -0.000102163
     -0.00109576     -0.00100154
     -1.6565e-05    -2.55141e-05
    -0.000170228    -0.000197414
     -7.3775e-05    -9.74375e-05
     -0.00105017    -0.000859162
    -0.000239283    -0.000261601
     -9.8737e-05    -0.000105014
    -0.000495739    -0.000491907
    -0.000428941    -0.000472616
    -0.000681488    -0.000652423
      -8.557e-06    -1.26728e-05
      -9.472e-06    -1.04486e-05
     -0.00101673     -0.00111796
     -2.3116e-05     -3.4163e-05
      -0.0013694      -0.0016987
     -7.0593e-05    -9.52879e-05
    -0.000828376    -0.000837868
    -0.000119639     -0.00013633
    -0.000539465      -0.0004733
      -8.243e-06    -1.17854e-05
    -0.000804731     -0.00074441
    -0.000737208    -0.000670981
     -4.8111e-05    -6.76521e-05
      -3.513e-06    -5.53879e-06
      -4.549e-06    -6.99316e-06
     -1.2051e-05    -2.47495e-05
    -0.000217611    -0.000266679
     -7.1224e-05    -6.97398e-05
      -4.404e-06    -9.54993e-06
     -0.00102779     -0.00100366
     -1.6674e-05    -2.68777e-05
     -5.4464e-05    -7.41341e-05
    -0.000139701    -0.000134801
     -0.00052411       -0.000497
    -0.000250634    -0.000318631
     -0.00098875    -0.000918284
     -0.00171768     -0.00163294
    -0.000113208    -0.000115685
      -4.232e-06    -8.35239e-06
     -0.00080102    -0.000901167
    -0.000356142    -0.000417472
     -3.8956e-05    -4.95487e-05
     -1.2989e-05    -2.01087e-05
      -4.734e-05    -7.49247e-05
      -5.468e-06    -9.89407e-06
    -0.000134822    -0.000176576
      -3.058e-06     -7.9108e-06
    -0.000871694      -0.0007648
        2.53e-07    -2.12289e-06
      -2.419e-06    -5.45824e-06
     -2.5623e-05    -3.45703e-05
      -5.724e-06     -9.5627e-06
    -0.000329079    -0.000377479
     -7.5054e-05    -8.88612e-05
     -8.6436e-05    -9.63615e-05
      -3.693e-06    -6.22013e-06
    -0.000325998    -0.000374312
    -0.000145393     -0.00018725
     -1.7885e-05    -2.50018e-05
    -0.000134927    -0.000149209
      -5.204e-06     -9.7207e-06
       -5.24e-07    -3.09278e-06
    -0.000161552    -0.000174616
     -0.00168549     -0.00165764
     -2.9107e-05    -4.20916e-05
     -5.7863e-05    -7.89483e-05
      -8.955e-06    -1.23438e-05
    -0.000641132    -0.000693957
        6.71e-07     -1.4792e-06
     -0.00013744    -0.000191464
      -9.968e-06    -1.53989e-05
    -0.000670875    -0.000586679
       -8.68e-06    -1.54904e-05
     -1.4904e-05    -2.37806e-05
    -0.000427166    -0.000430875
      -5.515e-06    -9.87325e-06
