QM Energy	FF Energy
     -0.00038637    -0.000444988
     -6.4542e-05    -9.11206e-05
       -3.47e-06    -4.55953e-06
    -0.000105005    -0.000113122
     -0.00017521    -0.000184099
     -0.00012512    -7.01692e-05
    -0.000368882    -0.000246693
     -8.4433e-05    -0.000106513
     -5.0757e-05    -7.14653e-05
     -2.2116e-05    -2.10236e-05
     -3.1678e-05    -3.72784e-05
     -8.2046e-05    -0.000111843
      -9.645e-06    -2.62979e-05
     -2.0042e-05    -3.12728e-05
    -0.000579022    -0.000476053
      -2.489e-06    -7.92276e-06
    -0.000129628    -0.000187518
     -2.3581e-05    -3.98385e-05
    -0.000955799     -0.00102945
    -0.000122792    -9.15344e-05
     -2.8972e-05    -5.01553e-05
    -0.000695377    -0.000663337
     -0.00145323     -0.00185265
     -4.5793e-05    -6.08425e-05
     -3.5619e-05    -5.37246e-05
     -2.6176e-05    -5.13687e-05
      -4.858e-06    -9.89885e-06
     -0.00158703     -0.00138563
    -0.000202035    -0.000172263
    -0.000317326    -0.000396589
    -0.000646731    -0.000694533
    -0.000134804    -5.84953e-05
     -5.4054e-05     -4.8733e-05
     -0.00074743    -0.000722579
      -7.831e-06    -2.02599e-05
    -0.000814142    -0.000731545
    -0.000791548    -0.000692317
    -0.000533806    -0.000605157
     -0.00074206    -0.000570171
    -0.000294792    -0.000306676
    -0.000159061    -0.000199902
       -2.46e-06    -4.92545e-06
     -5.5476e-05    -6.04933e-05
     -4.0607e-05    -6.10622e-05
    -0.000522737    -0.000645487
     -7.4154e-05    -0.000112386
      -7.876e-06    -1.17376e-05
      -1.549e-05    -3.46621e-05
     -6.9915e-05    -8.39485e-05
    -0.000139588    -0.000186975
     -0.00145865     -0.00150292
       -6.89e-06     -1.7111e-05
     -9.0563e-05    -0.000108916
    -0.000135841    -0.000147435
    -0.000742268    -0.000797039
    -0.000823667    -0.000519999
      -6.592e-06    -8.23489e-06
     -1.7384e-05    -1.99305e-05
     -5.0395e-05    -8.11477e-05
     -1.0439e-05    -2.10301e-05
      -5.832e-06     -1.5105e-05
      -3.796e-06    -1.38203e-05
     -2.0694e-05    -5.08501e-05
     -0.00162977     -0.00144376
     -3.8975e-05    -6.81097e-05
      -8.033e-06    -1.91053e-05
      -7.105e-06    -6.39257e-06
    -0.000185611     -0.00025264
    -0.000326284    -0.000290921
       -0.001171     -0.00120659
    -0.000142427    -0.000146063
    -0.000754966    -0.000780205
       -7.76e-05    -0.000107693
      -7.633e-06    -1.19231e-05
     -0.00159601     -0.00177358
     -0.00139654     -0.00171222
     -1.2036e-05    -3.14732e-05
    -0.000852224     -0.00100279
    -0.000118973    -0.000165233
    -0.000367042     -0.00028253
    -0.000904437     -0.00096085
     -0.00113526     -0.00140221
     -3.8585e-05    -6.11693e-05
      -9.524e-06    -1.23148e-05
     -2.2474e-05    -3.56067e-05
     -0.00149772     -0.00156054
    -0.000639607     -0.00064012
     -8.7501e-05    -6.32003e-05
    -0.000235233    -0.000114098
     -1.8242e-05     -3.2394e-05
     -0.00023977    -0.000324112
     -3.9785e-05    -4.26417e-05
     -7.3774e-05    -9.94318e-05
     -4.2596e-05    -7.56486e-05
     -5.7456e-05    -4.21268e-05
      -1.225e-05    -2.79001e-05
    -0.000473661    -0.000515935
    -0.000269564    -0.000256472
    -0.000830498    -0.000630112
     -2.0799e-05    -2.71005e-05
     -0.00088113    -0.000835141
    -0.000118864    -0.000115193
    -0.000679061    -0.000866988
      -9.243e-06    -2.24284e-05
     -4.1065e-05    -5.81637e-05
    -0.000513542    -0.000492439
    -0.000356873    -0.000264749
     -0.00104544     -0.00120593
     -8.3581e-05    -0.000100855
    -0.000143516    -0.000162229
    -0.000186018    -0.000156579
    -0.000430027    -0.000464843
     -2.1847e-05    -5.06193e-05
      -7.828e-06    -1.58744e-05
    -0.000128476    -8.91179e-05
     -1.6135e-05    -2.96416e-05
      -4.578e-05    -6.39573e-05
     -2.7905e-05    -3.40157e-05
      -2.663e-06    -3.90771e-06
     -1.9821e-05    -3.40273e-05
     -0.00014677    -8.72417e-05
     -6.0173e-05    -0.000102158
     -0.00124902     -0.00118202
    -0.000333884    -0.000155547
     -0.00119966    -0.000975805
    -0.000283136    -0.000363364
    -0.000480755    -0.000340451
     -4.5782e-05    -6.51169e-05
    -0.000137564    -0.000133993
     -8.4576e-05    -9.33069e-05
    -0.000745486     -0.00087266
    -0.000245256    -0.000243052
     -1.6492e-05    -3.03897e-05
    -0.000887348    -0.000982851
    -0.000729178    -0.000637366
    -0.000459908    -0.000425159
     -1.3421e-05    -2.72136e-05
    -0.000184766    -0.000286487
    -0.000351346    -0.000378491
     -5.2269e-05    -7.63273e-05
    -0.000965975    -0.000925264
    -0.000817929    -0.000656258
    -0.000244978     -0.00023856
