QM Energy	FF Energy
     -0.00038637    -0.000445013
     -6.4542e-05    -9.11167e-05
       -3.47e-06    -4.55836e-06
    -0.000105005    -0.000113123
     -0.00017521      -0.0001841
     -0.00012512    -7.01683e-05
    -0.000368882    -0.000246694
     -8.4433e-05    -0.000106515
     -5.0757e-05    -7.14652e-05
     -2.2116e-05    -2.10239e-05
     -3.1678e-05    -3.72781e-05
     -8.2046e-05    -0.000111843
      -9.645e-06    -2.63096e-05
     -2.0042e-05    -3.12726e-05
    -0.000579022    -0.000476042
      -2.489e-06    -7.92379e-06
    -0.000129628    -0.000187518
     -2.3581e-05    -3.98512e-05
    -0.000955799     -0.00102945
    -0.000122792    -9.15342e-05
     -2.8972e-05     -5.0149e-05
    -0.000695377    -0.000663351
     -0.00145323     -0.00185258
     -4.5793e-05    -6.08433e-05
     -3.5619e-05    -5.37245e-05
     -2.6176e-05    -5.13693e-05
      -4.858e-06    -9.89649e-06
     -0.00158703     -0.00138563
    -0.000202035    -0.000172251
    -0.000317326    -0.000396589
    -0.000646731    -0.000694512
    -0.000134804    -5.84937e-05
     -5.4054e-05    -4.87331e-05
     -0.00074743    -0.000722588
      -7.831e-06    -2.02598e-05
    -0.000814142    -0.000731548
    -0.000791548    -0.000692318
    -0.000533806    -0.000605166
     -0.00074206    -0.000570171
    -0.000294792    -0.000306662
    -0.000159061    -0.000199904
       -2.46e-06    -4.92601e-06
     -5.5476e-05    -6.04912e-05
     -4.0607e-05    -6.10527e-05
    -0.000522737    -0.000645508
     -7.4154e-05     -0.00011238
      -7.876e-06    -1.17384e-05
      -1.549e-05    -3.46612e-05
     -6.9915e-05    -8.39481e-05
    -0.000139588    -0.000186972
     -0.00145865     -0.00150291
       -6.89e-06    -1.71099e-05
     -9.0563e-05    -0.000108906
    -0.000135841    -0.000147435
    -0.000742268    -0.000797008
    -0.000823667    -0.000520006
      -6.592e-06    -8.23284e-06
     -1.7384e-05    -1.99304e-05
     -5.0395e-05    -8.11476e-05
     -1.0439e-05    -2.10295e-05
      -5.832e-06    -1.51061e-05
      -3.796e-06    -1.38187e-05
     -2.0694e-05    -5.08492e-05
     -0.00162977     -0.00144368
     -3.8975e-05    -6.80938e-05
      -8.033e-06    -1.91168e-05
      -7.105e-06    -6.39249e-06
    -0.000185611    -0.000252638
    -0.000326284    -0.000290921
       -0.001171     -0.00120656
    -0.000142427    -0.000146065
    -0.000754966    -0.000780207
       -7.76e-05    -0.000107693
      -7.633e-06    -1.19224e-05
     -0.00159601     -0.00177346
     -0.00139654     -0.00171242
     -1.2036e-05    -3.14746e-05
    -0.000852224     -0.00100279
    -0.000118973    -0.000165234
    -0.000367042    -0.000282527
    -0.000904437     -0.00096084
     -0.00113526     -0.00140223
     -3.8585e-05    -6.11706e-05
      -9.524e-06    -1.23156e-05
     -2.2474e-05    -3.56091e-05
     -0.00149772     -0.00156053
    -0.000639607    -0.000640092
     -8.7501e-05    -6.31979e-05
    -0.000235233    -0.000114097
     -1.8242e-05    -3.23931e-05
     -0.00023977    -0.000324117
     -3.9785e-05    -4.26394e-05
     -7.3774e-05    -9.94315e-05
     -4.2596e-05    -7.56568e-05
     -5.7456e-05    -4.21271e-05
      -1.225e-05    -2.78999e-05
    -0.000473661    -0.000515933
    -0.000269564    -0.000256468
    -0.000830498    -0.000630096
     -2.0799e-05    -2.71004e-05
     -0.00088113    -0.000835142
