QM Energy	FF Energy
     -0.00038637    -0.000465527
     -6.4542e-05    -8.67665e-05
       -3.47e-06    -5.32478e-06
    -0.000105005    -0.000115711
     -0.00017521    -0.000195973
     -0.00012512    -7.09328e-05
    -0.000368882     -0.00024424
     -8.4433e-05    -0.000108083
     -5.0757e-05    -7.27012e-05
     -2.2116e-05    -2.72888e-05
     -3.1678e-05    -4.17185e-05
     -8.2046e-05    -0.000118758
      -9.645e-06    -2.94085e-05
     -2.0042e-05    -2.83425e-05
    -0.000579022    -0.000443921
      -2.489e-06    -8.90791e-06
    -0.000129628     -0.00018726
     -2.3581e-05    -3.45569e-05
    -0.000955799      -0.0010678
    -0.000122792    -9.50801e-05
     -2.8972e-05    -4.40786e-05
    -0.000695377    -0.000638441
     -0.00145323     -0.00178544
     -4.5793e-05    -6.07319e-05
     -3.5619e-05     -4.9186e-05
     -2.6176e-05    -4.60147e-05
      -4.858e-06    -1.04788e-05
     -0.00158703     -0.00147231
    -0.000202035    -0.000158316
    -0.000317326    -0.000395351
    -0.000646731    -0.000680672
    -0.000134804    -8.39997e-05
     -5.4054e-05    -5.06064e-05
     -0.00074743    -0.000702352
      -7.831e-06    -1.88445e-05
    -0.000814142    -0.000716375
    -0.000791548    -0.000728616
    -0.000533806    -0.000627982
     -0.00074206    -0.000590741
    -0.000294792    -0.000325215
    -0.000159061    -0.000206958
       -2.46e-06     -4.7872e-06
     -5.5476e-05    -6.69355e-05
     -4.0607e-05    -6.09188e-05
    -0.000522737    -0.000690503
     -7.4154e-05    -0.000111983
      -7.876e-06    -1.17528e-05
      -1.549e-05    -3.52818e-05
     -6.9915e-05    -8.57589e-05
    -0.000139588     -0.00017118
     -0.00145865      -0.0014665
       -6.89e-06    -1.56688e-05
     -9.0563e-05    -0.000106986
    -0.000135841    -0.000145148
    -0.000742268    -0.000773757
    -0.000823667    -0.000584691
      -6.592e-06    -7.41287e-06
     -1.7384e-05    -2.03528e-05
     -5.0395e-05    -8.27961e-05
     -1.0439e-05    -1.81736e-05
      -5.832e-06    -1.58521e-05
      -3.796e-06    -1.21676e-05
     -2.0694e-05     -5.2317e-05
     -0.00162977     -0.00147116
     -3.8975e-05    -6.40762e-05
      -8.033e-06    -1.73172e-05
      -7.105e-06    -6.68227e-06
    -0.000185611    -0.000237225
    -0.000326284    -0.000284778
       -0.001171     -0.00112256
    -0.000142427    -0.000151075
    -0.000754966     -0.00073044
       -7.76e-05    -0.000107706
      -7.633e-06    -1.57641e-05
