QM Energy	FF Energy
    -0.000812179    -0.000839185
    -0.000203081    -0.000197852
     -7.7921e-05    -7.77152e-05
    -0.000321107    -0.000337381
    -0.000498561    -0.000528403
    -0.000328684    -0.000393395
    -0.000484598    -0.000661736
    -0.000323159    -0.000305275
    -0.000248152    -0.000238944
    -0.000187575    -0.000205068
      -0.0001956    -0.000185422
    -0.000293072    -0.000355346
    -0.000130368    -0.000142137
     -0.00014217    -0.000128175
    -0.000521637    -0.000831091
     -6.3245e-05    -7.15592e-05
    -0.000341552    -0.000344364
    -0.000155382    -0.000138738
     -0.00134344     -0.00139573
    -0.000323868    -0.000377097
    -0.000157446    -0.000147611
     -0.00104841    -0.000908722
     -0.00130141       -0.001891
    -0.000178082    -0.000179189
     -0.00020782    -0.000197233
    -0.000180006    -0.000175994
     -6.9015e-05    -7.13267e-05
     -0.00255256     -0.00184617
    -0.000331277    -0.000399426
    -0.000639159    -0.000605379
    -0.000785127    -0.000899706
    -0.000418832    -0.000511668
     -0.00038937    -0.000452542
    -0.000844002    -0.000870844
     -8.0832e-05      -8.365e-05
     -0.00115627     -0.00100989
     -0.00137457     -0.00111472
     -0.00104958    -0.000963873
     -0.00109626     -0.00102823
    -0.000544922    -0.000622287
    -0.000489091    -0.000474853
     -6.5822e-05    -6.37169e-05
    -0.000234118    -0.000211366
    -0.000230933    -0.000221298
     -0.00082441     -0.00093243
    -0.000271879    -0.000274702
     -8.4957e-05    -7.62983e-05
    -0.000178053    -0.000210897
    -0.000274386    -0.000242815
    -0.000432389    -0.000421888
      -0.0011951     -0.00165824
      -7.963e-05    -8.86594e-05
    -0.000305508    -0.000261105
    -0.000326181    -0.000388927
    -0.000720696    -0.000922917
     -0.00133575     -0.00113058
     -8.6761e-05    -7.87328e-05
    -0.000136768    -0.000134417
    -0.000252332    -0.000302514
    -0.000112359    -0.000103353
     -8.4713e-05    -9.17715e-05
          -7e-05    -8.40339e-05
     -0.00017949    -0.000218394
     -0.00135133     -0.00190292
    -0.000222461    -0.000209199
     -9.1995e-05    -9.69259e-05
    -0.000109286    -0.000103133
      -0.0004982    -0.000500215
    -0.000768752    -0.000662822
     -0.00112045     -0.00122201
    -0.000543882    -0.000565243
      -0.0013197     -0.00121391
    -0.000318116    -0.000329316
    -0.000123626    -0.000129298
     -0.00135758     -0.00178568
     -0.00131976     -0.00134895
    -0.000112918    -0.000137517
     -0.00126461     -0.00133321
    -0.000303606    -0.000310256
     -0.00052964    -0.000692677
     -0.00114143     -0.00130184
     -0.00143749     -0.00145271
     -0.00027522    -0.000340359
     -8.7396e-05    -7.68604e-05
    -0.000146403    -0.000138889
     -0.00138286     -0.00160261
    -0.000772549    -0.000986069
    -0.000509709    -0.000610192
    -0.000520712    -0.000677986
    -0.000129056     -0.00012225
    -0.000619021    -0.000689421
    -0.000196199    -0.000180575
    -0.000310697    -0.000299315
    -0.000188683    -0.000194253
    -0.000235966    -0.000250929
    -0.000123008    -0.000141665
    -0.000763481    -0.000708369
    -0.000596888    -0.000524124
    -0.000674321     -0.00112666
    -0.000135271    -0.000118519
     -0.00134924     -0.00122185
    -0.000319355    -0.000369779
    -0.000937236    -0.000938881
     -9.4176e-05    -0.000101155
    -0.000219366    -0.000196242
    -0.000680101    -0.000772844
     -0.00100085    -0.000974638
     -0.00141884     -0.00125082
    -0.000287669    -0.000274715
    -0.000397189    -0.000351409
    -0.000720284    -0.000858567
    -0.000790622     -0.00072486
    -0.000145802    -0.000156624
      -8.234e-05      -7.687e-05
    -0.000551626    -0.000573289
    -0.000138068    -0.000127716
    -0.000208612    -0.000185091
    -0.000150024    -0.000148456
     -8.8869e-05     -8.6064e-05
     -0.00014813    -0.000139727
    -0.000388333    -0.000476954
    -0.000272907    -0.000305465
     -0.00136856     -0.00144842
     -0.00115566     -0.00133985
     -0.00173421     -0.00152274
    -0.000589727    -0.000534818
     -0.00112566     -0.00119702
    -0.000207207    -0.000193278
    -0.000410846    -0.000370541
    -0.000392053    -0.000425969
     -0.00104063     -0.00104068
    -0.000400513    -0.000496517
    -0.000112235     -0.00011001
    -0.000857932     -0.00108207
     -0.00136525     -0.00123493
    -0.000901963    -0.000784426
    -0.000114085    -0.000118517
    -0.000467923    -0.000444202
    -0.000760131    -0.000701749
    -0.000192331    -0.000187638
     -0.00150074     -0.00133162
    -0.000664231     -0.00108677
    -0.000412509    -0.000514001
     -0.00204434     -0.00196529
    -0.000509688    -0.000469708
    -0.000151355    -0.000147627
    -0.000716587     -0.00120506
    -0.000202456     -0.00018972
    -0.000408262     -0.00041017
    -0.000408935     -0.00048685
    -0.000120936    -0.000114574
     -0.00080598     -0.00117984
    -0.000779947    -0.000973003
    -0.000492619    -0.000611569
    -0.000139175    -0.000129437
    -0.000107224    -0.000107056
    -0.000242659    -0.000263679
    -0.000144792    -0.000128482
    -0.000298235    -0.000311656
    -0.000900869     -0.00132766
    -0.000124874    -0.000125649
      -0.0004875    -0.000521749
    -0.000308246    -0.000298003
     -0.00106507     -0.00144579
    -0.000402876    -0.000454077
    -0.000257117    -0.000266047
    -0.000930192    -0.000813749
    -0.000881342    -0.000787867
     -0.00103231    -0.000938795
     -9.1042e-05    -9.42334e-05
     -8.9996e-05    -8.16182e-05
     -0.00164508     -0.00146537
    -0.000216568    -0.000230543
     -0.00185545     -0.00166131
    -0.000272982    -0.000266759
    -0.000840886     -0.00101782
    -0.000389515    -0.000381575
    -0.000614905    -0.000717878
     -8.7137e-05    -8.47566e-05
     -0.00133703     -0.00120351
     -0.00152922      -0.0013562
    -0.000233491    -0.000227368
     -6.7261e-05    -6.89038e-05
     -7.9122e-05    -6.77867e-05
    -0.000146229    -0.000152969
    -0.000506056    -0.000499656
     -0.00022601    -0.000245669
    -0.000105668    -0.000105378
     -0.00110144     -0.00130802
    -0.000156129    -0.000146252
    -0.000299858    -0.000340161
    -0.000324726    -0.000369724
       -0.000558    -0.000815503
    -0.000636875    -0.000592237
     -0.00138845     -0.00131855
     -0.00149306     -0.00172122
    -0.000329713    -0.000398161
    -0.000113917    -0.000111743
     -0.00123173     -0.00125521
    -0.000718438    -0.000693901
    -0.000171438     -0.00015825
    -0.000125751    -0.000117214
     -0.00028352    -0.000341101
    -0.000113854    -0.000111412
    -0.000449086    -0.000407007
     -7.8795e-05    -8.55295e-05
      -0.0013919     -0.00140504
     -8.5182e-05    -8.42461e-05
     -6.7191e-05     -7.1569e-05
    -0.000177037     -0.00015765
     -9.5904e-05    -8.99593e-05
    -0.000523513    -0.000651405
    -0.000269675    -0.000294965
    -0.000251739    -0.000253612
    -0.000116288    -0.000133181
    -0.000686951    -0.000655196
    -0.000479932    -0.000437662
    -0.000145399    -0.000151527
    -0.000287135    -0.000319264
      -8.916e-05    -9.06944e-05
     -9.2003e-05    -9.16182e-05
    -0.000463645    -0.000407419
     -0.00131977      -0.0019918
    -0.000176398    -0.000169395
    -0.000233485    -0.000244083
     -9.6524e-05    -8.89556e-05
      -0.0010153    -0.000930682
     -7.3492e-05    -7.83059e-05
     -0.00044528    -0.000481142
     -0.00010538    -0.000103429
    -0.000666596     -0.00104284
    -0.000123579    -0.000127115
    -0.000125771    -0.000116747
    -0.000425076    -0.000604536
     -8.2455e-05    -9.58676e-05
    -0.000127818     -0.00012434
     -0.00010531    -9.94071e-05
    -0.000185905    -0.000169798
     -8.7289e-05    -8.99484e-05
     -0.00134343     -0.00135371
     -0.00028595     -0.00026697
    -0.000659931    -0.000678606
    -0.000195583    -0.000203502
    -0.000224159    -0.000238069
    -0.000195171    -0.000209914
    -0.000123811    -0.000137902
    -0.000140639    -0.000143743
    -0.000214172     -0.00021124
    -0.000169271    -0.000156599
    -0.000884575    -0.000951239
    -0.000403712    -0.000454983
    -0.000990815     -0.00158494
    -0.000759493    -0.000792744
    -0.000267231    -0.000293541
     -8.5345e-05    -8.22312e-05
     -0.00156158     -0.00155331
    -0.000831212     -0.00107896
    -0.000597283    -0.000573904
    -0.000143791    -0.000136387
     -0.00173486      -0.0014764
    -0.000901528     -0.00137191
     -9.4995e-05    -0.000110954
    -0.000110888    -9.87386e-05
    -0.000683891    -0.000961993
    -0.000132877    -0.000133401
    -0.000707764     -0.00100179
    -0.000334587    -0.000389675
     -6.5377e-05    -6.98201e-05
    -0.000118161    -0.000118555
    -0.000220045    -0.000260372
    -0.000509505    -0.000532783
    -0.000866661    -0.000973732
    -0.000104033    -9.96263e-05
    -0.000432941    -0.000440473
    -0.000703918    -0.000631659
    -0.000390531    -0.000487435
    -0.000119716     -0.00011091
    -0.000589102    -0.000602068
    -0.000270727    -0.000268807
    -0.000153871    -0.000159771
    -0.000134018    -0.000135427
    -0.000264604    -0.000294533
    -0.000312176    -0.000321397
    -0.000914541    -0.000911135
    -0.000797524    -0.000818977
    -0.000940886    -0.000929978
     -0.00126163     -0.00119152
    -0.000312706      -0.0003857
    -0.000314593     -0.00038048
     -0.00027281    -0.000297502
    -0.000280577    -0.000330445
    -0.000992842    -0.000986573
     -8.2158e-05    -8.19576e-05
    -0.000855647     -0.00127056
     -0.00179945     -0.00161496
    -0.000231454    -0.000220628
    -0.000228496     -0.00022765
    -0.000184148    -0.000189535
    -0.000230695    -0.000225814
    -0.000729822    -0.000953492
    -0.000237676    -0.000267114
     -0.00142372     -0.00147643
     -0.00158751     -0.00141492
    -0.000151327    -0.000146687
    -0.000247487    -0.000238721
    -0.000459635    -0.000418691
     -0.00032197    -0.000342921
     -9.7422e-05    -9.69241e-05
    -0.000218933    -0.000217017
    -0.000807975    -0.000698646
      -0.0012544     -0.00132415
    -0.000148939    -0.000143165
    -0.000335705    -0.000325701
    -0.000503717     -0.00051381
    -0.000479038    -0.000442827
    -0.000232992    -0.000246238
    -0.000233426    -0.000204713
     -0.00158573     -0.00138285
    -0.000659757    -0.000591193
    -0.000300099     -0.00033489
    -0.000485787    -0.000540491
    -0.000629003    -0.000869393
    -0.000518867    -0.000696875
    -0.000253698    -0.000233326
    -0.000211684    -0.000236852
    -0.000533982    -0.000517854
    -0.000164816    -0.000168086
    -0.000315047     -0.00027785
    -0.000886285     -0.00076471
     -7.5197e-05    -8.05283e-05
    -0.000352951    -0.000392862
     -9.8675e-05    -0.000108284
    -0.000477164    -0.000618863
    -0.000907799     -0.00156176
    -0.000267217     -0.00024792
    -0.000302727    -0.000349206
    -0.000273491    -0.000300231
     -8.7441e-05    -7.74529e-05
    -0.000278379    -0.000322149
      -0.0018597     -0.00147483
    -0.000204648    -0.000206447
    -0.000157649    -0.000171335
    -0.000704048     -0.00131828
     -8.6114e-05    -7.79313e-05
    -0.000107447    -0.000101063
     -7.8654e-05    -7.62424e-05
     -0.00125727      -0.0010904
     -9.3236e-05    -0.000119417
     -0.00027223     -0.00024447
    -0.000234482    -0.000235115
    -0.000267388    -0.000254412
    -0.000822405    -0.000834874
     -0.00185213     -0.00152926
     -0.00182536     -0.00158137
     -0.00025277    -0.000228352
    -0.000303257    -0.000286476
    -0.000628646    -0.000558479
    -0.000375513    -0.000378381
     -0.00123353     -0.00119132
    -0.000582052     -0.00054948
    -0.000568978    -0.000516917
    -0.000288847    -0.000322196
    -0.000266374    -0.000269383
    -0.000705822    -0.000772869
    -0.000795273     -0.00148625
    -0.000477588    -0.000454814
    -0.000101963    -8.79071e-05
    -0.000488458    -0.000436704
     -0.00146054     -0.00123212
     -0.00019684    -0.000191631
    -0.000610652     -0.00059909
     -9.3196e-05     -8.5469e-05
    -0.000108366    -0.000105671
      -0.0001822    -0.000176461
     -0.00028849    -0.000277633
    -0.000139679    -0.000123605
    -0.000139402     -0.00015264
     -9.5066e-05    -9.10426e-05
    -0.000172084    -0.000161559
     -0.00124844     -0.00114279
    -0.000120525    -0.000149874
     -0.00028885    -0.000283721
