QM Energy	FF Energy
    -0.000137348    -0.000137489
    -0.000279345    -0.000292394
     -0.00111057    -0.000983275
    -0.000908055    -0.000781229
    -0.000422588    -0.000432087
    -0.000457841    -0.000449346
     -3.0642e-05    -3.24036e-05
    -0.000677841     -0.00066746
    -0.000440124    -0.000435714
    -0.000402371     -0.00040154
     -2.4664e-05    -2.61197e-05
    -0.000546729    -0.000542168
    -0.000561558     -0.00052104
     -0.00066884    -0.000637924
    -0.000134062    -0.000142157
    -0.000116448    -0.000129995
     -3.0412e-05     -3.4097e-05
    -0.000640968    -0.000562936
    -0.000428659    -0.000408126
    -0.000102913    -0.000100231
     -3.2648e-05    -3.72954e-05
     -4.8093e-05    -5.30676e-05
     -4.1274e-05    -4.58745e-05
    -0.000159704     -0.00015673
     -0.00114828     -0.00106672
     -3.0497e-05    -3.34863e-05
    -0.000331777    -0.000302999
     -2.0605e-05     -2.4827e-05
    -0.000727485    -0.000660523
       -3.01e-05     -3.4864e-05
    -0.000538703    -0.000548379
     -0.00101958     -0.00106463
    -0.000228576    -0.000222861
     -0.00110317     -0.00105184
    -0.000442113    -0.000440212
     -1.4141e-05    -1.61522e-05
     -9.4965e-05    -0.000108344
     -2.9739e-05    -3.48522e-05
    -0.000276893    -0.000269963
     -1.9877e-05    -2.33689e-05
     -1.8566e-05     -2.2584e-05
      -7.981e-06    -9.43654e-06
     -2.0642e-05    -2.40974e-05
     -2.4976e-05    -2.89769e-05
     -6.8051e-05    -7.51658e-05
     -2.7707e-05    -3.05873e-05
     -1.9871e-05    -2.32327e-05
    -0.000461869    -0.000472935
     -0.00124595     -0.00116461
    -0.000326081    -0.000332948
    -0.000872451    -0.000862608
    -0.000483837    -0.000480528
    -0.000458606    -0.000470538
    -0.000393482    -0.000376078
     -8.1206e-05    -8.71056e-05
    -0.000661674    -0.000633057
     -0.00025551    -0.000234591
    -0.000129801    -0.000136617
     -7.6437e-05    -7.66703e-05
     -5.3294e-05    -5.96338e-05
      -2.236e-05    -2.61718e-05
     -2.2527e-05    -2.43813e-05
    -0.000259247    -0.000242795
    -0.000574188     -0.00055955
    -0.000443029    -0.000404048
     -0.00108126      -0.0010596
    -0.000289692    -0.000297838
     -6.5293e-05    -7.02342e-05
    -0.000103076    -0.000104258
     -4.6686e-05    -5.29784e-05
     -8.6381e-05    -9.68348e-05
     -0.00149218     -0.00144334
     -0.00117875     -0.00109182
     -1.4689e-05    -1.72726e-05
     -4.6402e-05    -5.10707e-05
     -1.3456e-05    -1.56455e-05
    -0.000537106    -0.000535323
    -0.000324654    -0.000341255
     -0.00139958     -0.00133814
     -2.9702e-05    -3.45382e-05
    -0.000186947    -0.000190728
      -8.608e-06    -1.01484e-05
      -3.207e-05    -3.63004e-05
     -7.6994e-05    -8.43524e-05
    -0.000208708    -0.000200665
    -0.000521639    -0.000439358
     -0.00043091    -0.000446984
     -0.00153885     -0.00140432
    -0.000251474    -0.000260091
     -2.0823e-05    -2.44756e-05
    -0.000148518    -0.000155518
     -1.4075e-05    -1.59337e-05
     -6.1687e-05    -6.80492e-05
     -2.1197e-05    -2.47653e-05
     -2.6735e-05    -2.88289e-05
    -0.000148093    -0.000159597
      -5.591e-05    -5.87902e-05
     -2.4057e-05    -2.82695e-05
     -7.0505e-05    -7.63461e-05
     -9.3246e-05    -0.000103399
    -0.000176659    -0.000169856
     -1.5941e-05    -1.88023e-05
     -4.9342e-05    -5.36684e-05
    -0.000324893    -0.000324571
    -0.000714921    -0.000651178
    -0.000138142     -0.00015105
     -0.00114681     -0.00101972
    -0.000110862    -0.000115711
      -7.516e-06    -8.74925e-06
     -6.9188e-05     -7.7662e-05
     -0.00166517     -0.00200119
     -0.00095836    -0.000876563
     -6.8552e-05    -7.81592e-05
    -0.000294626    -0.000266042
    -0.000193715     -0.00019775
     -0.00103085    -0.000993512
    -0.000101674    -9.81459e-05
     -1.3191e-05    -1.61623e-05
    -0.000339273    -0.000342057
    -0.000985937    -0.000919823
    -0.000882531    -0.000836125
    -0.000178955    -0.000188452
     -2.5947e-05    -3.03772e-05
     -9.0019e-05    -9.52337e-05
    -0.000537932    -0.000547537
    -0.000529916    -0.000509074
    -0.000182089    -0.000183556
    -0.000118824    -0.000117454
     -6.1332e-05    -6.79316e-05
    -0.000125864    -0.000137483
     -0.00036503    -0.000381885
      -7.166e-06    -8.34235e-06
    -0.000953894    -0.000794207
     -7.0585e-05    -7.95962e-05
     -0.00141242     -0.00121581
      -0.0003333    -0.000309313
    -0.000790272    -0.000749926
    -0.000204259     -0.00021596
    -0.000354475    -0.000371554
     -0.00150851     -0.00145612
    -0.000590525    -0.000591406
     -4.4071e-05    -5.18083e-05
    -0.000741078    -0.000740549
    -0.000647335    -0.000599822
     -4.6439e-05    -5.23301e-05
     -8.1871e-05     -7.8889e-05
    -0.000540207    -0.000481715
      -0.0016413     -0.00177433
     -6.9606e-05    -7.79157e-05
    -0.000307311    -0.000300654
    -0.000100435    -0.000112116
      -4.159e-05    -4.85531e-05
     -0.00174067     -0.00168398
    -0.000570185    -0.000528318
     -1.4104e-05    -1.64228e-05
    -0.000498246    -0.000482511
    -0.000111652    -0.000119347
     -8.0556e-05    -8.84009e-05
     -3.1005e-05    -3.24505e-05
    -0.000146429    -0.000147755
     -9.1421e-05    -0.000102371
    -0.000544229    -0.000498215
