QM Energy	FF Energy
    -0.000784729    -0.000877938
    -0.000906428    -0.000941026
     -0.00574304     -0.00608036
     -0.00466608     -0.00512473
     -0.00171622     -0.00176666
     -0.00216202     -0.00230318
    -0.000181607    -0.000214974
     -0.00233451     -0.00238621
     -0.00165293     -0.00174993
     -0.00189526     -0.00185332
    -0.000143945    -0.000185398
     -0.00219243     -0.00211505
     -0.00280034     -0.00305222
     -0.00316346     -0.00312409
    -0.000708054    -0.000677718
    -0.000301967    -0.000347895
    -0.000179514    -0.000200857
     -0.00321819     -0.00354557
     -0.00221525     -0.00230146
    -0.000625531    -0.000745166
    -0.000212203    -0.000205791
    -0.000294455    -0.000349729
     -0.00022581     -0.00023808
    -0.000823151    -0.000912701
     -0.00497659     -0.00502187
    -0.000183466    -0.000198399
     -0.00208914     -0.00233921
     -7.7815e-05    -7.57006e-05
     -0.00389072     -0.00411737
    -0.000166763    -0.000162091
      -0.0011836     -0.00144987
      -0.0067667     -0.00651196
     -0.00123697     -0.00131868
     -0.00558442     -0.00578629
     -0.00172968      -0.0017243
     -6.3424e-05     -8.9764e-05
    -0.000147911    -0.000221296
    -0.000187064    -0.000166731
     -0.00123087     -0.00133356
    -0.000140085    -0.000135456
     -5.8943e-05    -5.85142e-05
     -5.5848e-05    -7.16727e-05
    -0.000115091    -0.000114217
    -0.000141291    -0.000142965
    -0.000327901    -0.000334469
    -0.000181782     -0.00020418
    -0.000143587    -0.000163199
     -0.00117637     -0.00133638
     -0.00733291     -0.00751756
     -0.00171498     -0.00170659
     -0.00525308      -0.0051644
     -0.00141889     -0.00161829
     -0.00230983      -0.0023167
     -0.00188158      -0.0019651
    -0.000310228    -0.000378014
     -0.00324062     -0.00329931
     -0.00159824     -0.00181514
    -0.000591083     -0.00062413
    -0.000427282    -0.000513832
    -0.000172968     -0.00020178
    -0.000112894    -0.000129475
    -0.000133079    -0.000167059
     -0.00143974     -0.00163116
     -0.00185256     -0.00203781
     -0.00240994     -0.00259228
     -0.00459178     -0.00467868
     -0.00115413     -0.00116488
     -0.00028389    -0.000353256
      -0.0005605    -0.000659332
    -0.000239056     -0.00024367
    -0.000284893    -0.000318699
     -0.00788473     -0.00758321
     -0.00488626     -0.00497985
    -0.000125013    -0.000140566
    -0.000302347    -0.000314521
     -4.5074e-05    -6.49132e-05
     -0.00178374     -0.00199194
    -0.000741737    -0.000897773
     -0.00758615      -0.0075978
    -0.000120791    -0.000152816
     -0.00089547    -0.000932199
     -3.3601e-05     -5.2658e-05
    -0.000147385    -0.000166351
    -0.000317938    -0.000377532
     -0.00101525     -0.00114774
     -0.00307028     -0.00348178
    -0.000832108     -0.00110402
     -0.00844431     -0.00864988
    -0.000977041     -0.00102573
     -0.00011309    -0.000126364
    -0.000661061    -0.000741235
     -9.9822e-05    -0.000121854
    -0.000342691    -0.000358763
    -0.000154746    -0.000154907
    -0.000200297    -0.000238566
    -0.000578336    -0.000585943
    -0.000342109    -0.000384145
    -0.000159275    -0.000146493
    -0.000377661    -0.000395982
    -0.000369116    -0.000375737
    -0.000941466     -0.00110771
    -0.000102018    -9.65282e-05
    -0.000222368    -0.000282435
     -0.00162654     -0.00167784
      -0.0037806     -0.00391031
    -0.000387799    -0.000453367
      -0.0072218     -0.00753942
    -0.000450085    -0.000517224
     -5.6817e-05    -7.49004e-05
    -0.000301562    -0.000337921
      -0.0133908      -0.0124846
     -0.00495559     -0.00501706
    -0.000157269    -0.000198654
     -0.00163566     -0.00185096
     -0.00107366     -0.00107516
     -0.00304305     -0.00325544
    -0.000593759    -0.000713086
      -5.348e-06    -1.89231e-05
     -0.00156236      -0.0015179
     -0.00558735     -0.00580714
      -0.0043381      -0.0043687
    -0.000651623    -0.000703678
     -0.00016534    -0.000161283
    -0.000604062     -0.00069153
     -0.00228405     -0.00239636
     -0.00268424     -0.00282366
    -0.000918491     -0.00102855
    -0.000661105    -0.000761236
    -0.000277806    -0.000291456
    -0.000493929    -0.000505601
    -0.000764994    -0.000972329
     -7.7891e-05    -9.14648e-05
     -0.00563021     -0.00615849
    -0.000338737    -0.000313608
     -0.00804302     -0.00856836
     -0.00176025     -0.00190408
     -0.00310984     -0.00328558
    -0.000733464     -0.00075939
    -0.000696253      -0.0009186
     -0.00733004      -0.0073942
     -0.00183737     -0.00206519
    -0.000112619    -0.000128034
     -0.00147791      -0.0019023
     -0.00296788     -0.00312127
    -0.000170189    -0.000213872
    -0.000484794    -0.000601416
     -0.00278752     -0.00300745
      -0.0101112     -0.00931893
     -0.00034695    -0.000330176
     -0.00141055     -0.00145785
    -0.000311997     -0.00033971
    -0.000132321    -0.000141941
     -0.00883531     -0.00860148
      -0.0027839     -0.00289804
     -5.4724e-05    -8.00075e-05
     -0.00236722      -0.0023998
    -0.000502104    -0.000553427
    -0.000409731    -0.000393071
    -0.000193755    -0.000232253
    -0.000886781    -0.000965975
    -0.000275828    -0.000306381
     -0.00255442     -0.00269055
     -0.00077105    -0.000855969
     -0.00304967     -0.00306923
    -0.000336493    -0.000411328
     -8.4326e-05    -7.62835e-05
    -0.000177278    -0.000227058
     -7.5559e-05    -8.52214e-05
      -0.0113278       -0.011139
     -4.4451e-05    -5.91284e-05
      -0.0051988      -0.0052851
     -0.00034914    -0.000379026
    -0.000402414     -0.00041408
     -0.00785664     -0.00823211
     -6.9843e-05    -7.43182e-05
     -0.00685178     -0.00690134
     -0.00818672     -0.00822886
     -0.00111391     -0.00118252
    -0.000137813     -0.00016869
     -0.00179552     -0.00195447
     -0.00144642     -0.00158221
     -0.00646134     -0.00623735
    -0.000221713     -0.00019774
    -0.000185064    -0.000189935
     -8.8812e-05    -7.92981e-05
     -9.8135e-05    -0.000134018
     -5.1281e-05    -7.22719e-05
     -0.00638036     -0.00632477
     -0.00561073     -0.00548923
    -0.000357638    -0.000405049
    -0.000178291    -0.000186427
    -0.000216687    -0.000248983
    -0.000334661    -0.000388534
     -0.00287047     -0.00283763
    -0.000344033    -0.000331465
    -0.000557222    -0.000631358
     -0.00558188     -0.00611744
    -0.000107169    -0.000151822
    -0.000200237     -0.00029745
    -0.000167842    -0.000217022
      -0.0140557      -0.0131281
     -0.00390587     -0.00382189
     -0.00670922     -0.00664696
     -0.00120313      -0.0012373
    -0.000420044    -0.000421338
     -0.00179538     -0.00191429
      -0.0037679     -0.00374309
      -2.821e-05     -4.2329e-05
    -0.000104657    -0.000139719
     -0.00701714     -0.00695451
      -0.0151969      -0.0156432
     -0.00022724    -0.000282496
     -0.00451433     -0.00502229
     -0.00100053     -0.00116985
      -0.0011821     -0.00126288
     -0.00045113    -0.000459483
     -0.00012723     -0.00015175
     -0.00130079     -0.00141133
     -0.00681188     -0.00691271
     -0.00011065     -0.00010993
     -0.00024926     -0.00025274
     -9.0019e-05    -0.000101911
     -2.4756e-05     -3.1635e-05
     -0.00119785     -0.00127731
     -1.2115e-05    -2.25957e-05
     -7.7288e-05    -9.19596e-05
     -0.00082564    -0.000870379
     -7.0423e-05     -7.6355e-05
     -0.00337955     -0.00356788
     -7.9667e-05    -9.65459e-05
    -0.000127696    -0.000133041
    -0.000324089    -0.000364674
     -0.00313527     -0.00347036
    -0.000165882    -0.000194573
    -0.000349262     -0.00038511
    -0.000671382    -0.000635844
     -0.00537811     -0.00547826
     -1.7988e-05    -2.96539e-05
    -0.000257519    -0.000302105
     -0.00230827     -0.00239108
    -0.000124818     -0.00012856
     -0.00279384     -0.00271079
    -0.000434078    -0.000476841
     -2.4296e-05    -3.72344e-05
     -8.1822e-05    -0.000107094
     -5.4854e-05     -7.4593e-05
     -7.7903e-05     -8.0247e-05
     -8.5138e-05    -0.000114028
     -7.8728e-05    -0.000104831
     -0.00234091     -0.00272584
     -0.00010856    -0.000137368
       -0.008062     -0.00842342
     -0.00096936     -0.00106601
    -0.000129251    -0.000139221
    -0.000118385    -0.000138336
     -0.00124396      -0.0015698
    -0.000142088    -0.000127937
    -0.000112973    -0.000130344
      -0.0055952     -0.00603116
     -0.00135362     -0.00135387
    -0.000663339    -0.000773342
    -0.000490699    -0.000585391
    -0.000474704    -0.000559666
     -0.00153533     -0.00169609
     -0.00016688    -0.000150343
    -0.000243547    -0.000301663
     -9.3645e-05    -0.000119564
     -0.00332699     -0.00358423
    -0.000664364    -0.000761826
    -0.000256686    -0.000292062
     -0.00147368     -0.00163635
     -0.00274659     -0.00277052
    -0.000216493     -0.00027198
     -2.2142e-05    -2.52485e-05
     -0.00190124     -0.00194365
     -0.00827197     -0.00821092
      -0.0035301     -0.00366278
     -0.00526521     -0.00529374
     -0.00108426     -0.00104916
      -0.0046178     -0.00477489
     -0.00460178     -0.00497794
     -0.00440593     -0.00461382
    -0.000294406    -0.000345513
