QM Energy	FF Energy
    -0.000137348    -0.000137494
    -0.000279345    -0.000292385
     -0.00111057    -0.000983211
    -0.000908055    -0.000781238
    -0.000422588    -0.000432083
    -0.000457841    -0.000449299
     -3.0642e-05    -3.24204e-05
    -0.000677841    -0.000667456
    -0.000440124     -0.00043571
    -0.000402371     -0.00040153
     -2.4664e-05    -2.61108e-05
    -0.000546729    -0.000542179
    -0.000561558    -0.000521128
     -0.00066884     -0.00063791
    -0.000134062    -0.000142146
    -0.000116448    -0.000129993
     -3.0412e-05    -3.40946e-05
    -0.000640968    -0.000562918
    -0.000428659    -0.000408127
    -0.000102913    -0.000100231
     -3.2648e-05    -3.72959e-05
     -4.8093e-05     -5.3053e-05
     -4.1274e-05    -4.58705e-05
    -0.000159704    -0.000156732
     -0.00114828     -0.00106672
     -3.0497e-05    -3.34799e-05
    -0.000331777    -0.000303061
     -2.0605e-05    -2.48274e-05
    -0.000727485    -0.000660534
       -3.01e-05    -3.48652e-05
    -0.000538703    -0.000548382
     -0.00101958     -0.00106467
    -0.000228576     -0.00022286
     -0.00110317     -0.00105184
    -0.000442113    -0.000440217
     -1.4141e-05    -1.61433e-05
     -9.4965e-05    -0.000108345
     -2.9739e-05    -3.48501e-05
    -0.000276893    -0.000269972
     -1.9877e-05    -2.33688e-05
     -1.8566e-05    -2.25834e-05
      -7.981e-06     -9.4364e-06
     -2.0642e-05    -2.41018e-05
     -2.4976e-05    -2.89774e-05
     -6.8051e-05    -7.51655e-05
     -2.7707e-05    -3.05891e-05
     -1.9871e-05    -2.32327e-05
    -0.000461869    -0.000472939
     -0.00124595     -0.00116493
    -0.000326081    -0.000332962
    -0.000872451    -0.000862577
    -0.000483837    -0.000480545
    -0.000458606    -0.000470539
    -0.000393482    -0.000376079
     -8.1206e-05     -8.7104e-05
    -0.000661674     -0.00063304
     -0.00025551    -0.000234673
    -0.000129801    -0.000136621
     -7.6437e-05    -7.66731e-05
     -5.3294e-05    -5.96346e-05
      -2.236e-05    -2.61692e-05
     -2.2527e-05    -2.43862e-05
    -0.000259247    -0.000242722
    -0.000574188    -0.000559541
    -0.000443029     -0.00040405
     -0.00108126     -0.00105953
    -0.000289692    -0.000297825
     -6.5293e-05    -7.02318e-05
    -0.000103076    -0.000104243
     -4.6686e-05    -5.29734e-05
     -8.6381e-05    -9.68373e-05
     -0.00149218     -0.00144334
     -0.00117875      -0.0010918
     -1.4689e-05     -1.7275e-05
     -4.6402e-05    -5.10821e-05
     -1.3456e-05    -1.56396e-05
    -0.000537106     -0.00053532
    -0.000324654    -0.000341256
     -0.00139958     -0.00133806
     -2.9702e-05     -3.4539e-05
    -0.000186947    -0.000190726
      -8.608e-06    -1.01479e-05
      -3.207e-05    -3.63006e-05
     -7.6994e-05    -8.43565e-05
    -0.000208708    -0.000200669
    -0.000521639    -0.000439381
     -0.00043091    -0.000446989
     -0.00153885     -0.00140433
    -0.000251474    -0.000260097
     -2.0823e-05    -2.44797e-05
