QM Energy	FF Energy
     -0.00225855     -0.00228444
     -0.00214937     -0.00211989
     -0.00642693     -0.00632233
     -0.00574968     -0.00572245
     -0.00352689     -0.00349477
       -0.004316     -0.00430675
     -0.00134842     -0.00136882
     -0.00362349     -0.00353975
     -0.00313988     -0.00311949
     -0.00330409     -0.00331221
     -0.00120143     -0.00121722
     -0.00341078      -0.0033668
     -0.00497486     -0.00497154
     -0.00430361     -0.00427324
     -0.00187079     -0.00187309
      -0.0013116     -0.00128011
     -0.00101173     -0.00100738
     -0.00494999     -0.00496047
     -0.00393133     -0.00394679
     -0.00203889      -0.0020661
    -0.000944978    -0.000933632
     -0.00149504     -0.00149781
     -0.00110241     -0.00109748
     -0.00206863     -0.00209447
     -0.00560498     -0.00542413
     -0.00119687     -0.00120665
     -0.00439766     -0.00445748
    -0.000637026    -0.000610695
     -0.00574064     -0.00571493
    -0.000893154     -0.00087822
     -0.00273479     -0.00263265
      -0.0073048     -0.00712278
     -0.00275673     -0.00278165
     -0.00718505     -0.00700117
     -0.00298559     -0.00295922
    -0.000862708    -0.000862584
     -0.00113864     -0.00109867
    -0.000875301    -0.000857138
     -0.00253578     -0.00255741
    -0.000790989    -0.000779645
    -0.000587858    -0.000558957
    -0.000686376    -0.000688212
    -0.000746711    -0.000733479
    -0.000991429    -0.000984495
     -0.00132163     -0.00131231
    -0.000910514    -0.000907189
    -0.000928456    -0.000922674
     -0.00260762     -0.00253345
     -0.00757705      -0.0073646
      -0.0032711     -0.00328593
     -0.00660789     -0.00651731
     -0.00320486     -0.00315587
       -0.004304     -0.00428721
     -0.00326864     -0.00328313
     -0.00169271     -0.00169489
     -0.00466093     -0.00463334
     -0.00382498     -0.00388401
     -0.00167011     -0.00167223
      -0.0017935     -0.00180973
     -0.00112817     -0.00111848
    -0.000891074    -0.000880927
    -0.000976343    -0.000982906
     -0.00348599     -0.00352219
     -0.00330994      -0.0032587
     -0.00404371     -0.00407798
     -0.00613213      -0.0059068
     -0.00247444     -0.00246681
      -0.0016505     -0.00165276
     -0.00221851     -0.00223647
    -0.000995881    -0.000982657
      -0.0014189     -0.00139851
     -0.00759819     -0.00728441
     -0.00550754     -0.00531662
    -0.000742149    -0.000736712
     -0.00118553     -0.00118224
    -0.000866502    -0.000865693
     -0.00380053     -0.00373602
      -0.0021205     -0.00206459
     -0.00792592      -0.0076113
     -0.00113339     -0.00111978
     -0.00208379     -0.00209412
    -0.000712017    -0.000710801
    -0.000906944    -0.000897133
      -0.0017564      -0.0017455
      -0.0024346     -0.00246592
     -0.00518042     -0.00523067
     -0.00246288     -0.00237917
     -0.00853051     -0.00820148
     -0.00229831     -0.00229176
     -0.00084737    -0.000836078
     -0.00236207     -0.00235848
    -0.000754185    -0.000752468
     -0.00158789     -0.00159518
    -0.000784615    -0.000773269
    -0.000932935    -0.000935227
     -0.00165296     -0.00163958
     -0.00124827     -0.00125343
    -0.000819408     -0.00080451
     -0.00130298     -0.00130054
     -0.00144199     -0.00142666
     -0.00302681     -0.00305927
    -0.000717622    -0.000706635
     -0.00148971     -0.00149032
     -0.00323958     -0.00325348
      -0.0050668      -0.0050547
     -0.00170694     -0.00168489
     -0.00799909     -0.00785114
     -0.00180523     -0.00181191
    -0.000624737    -0.000624776
     -0.00161932     -0.00160169
      -0.0110773      -0.0103161
     -0.00588892     -0.00581185
     -0.00110169     -0.00107663
      -0.0033878     -0.00343847
      -0.0024814      -0.0024968
     -0.00428193      -0.0040704
     -0.00185416      -0.0018841
    -0.000538321    -0.000513813
     -0.00289765     -0.00290506
     -0.00724684     -0.00714269
     -0.00529092     -0.00521518
     -0.00217576     -0.00217508
    -0.000880461    -0.000865829
     -0.00207974     -0.00209948
     -0.00449915     -0.00444549
     -0.00471302     -0.00470458
     -0.00274179     -0.00275981
     -0.00232884     -0.00235874
     -0.00119121     -0.00118347
     -0.00168563     -0.00167136
     -0.00231414      -0.0022478
    -0.000535125    -0.000530385
     -0.00703004     -0.00698595
     -0.00121064     -0.00119303
     -0.00836351      -0.0081355
     -0.00341841     -0.00345372
      -0.0047197      -0.0046254
     -0.00188271     -0.00186616
     -0.00223071     -0.00216522
      -0.0076268     -0.00724129
     -0.00389972     -0.00380888
    -0.000841731    -0.000810144
     -0.00318231     -0.00301574
     -0.00450249     -0.00448308
      -0.0013168     -0.00130464
     -0.00206412     -0.00209159
     -0.00440043     -0.00442665
     -0.00894132     -0.00840416
     -0.00123127     -0.00121721
     -0.00289448      -0.0029143
     -0.00127198     -0.00124711
    -0.000888802    -0.000864899
     -0.00799428     -0.00754025
      -0.0040647     -0.00406912
    -0.000824173    -0.000821633
     -0.00374169     -0.00373663
      -0.0018184       -0.001817
      -0.0014602     -0.00145908
     -0.00142756      -0.0014533
     -0.00260738     -0.00264083
     -0.00123445     -0.00121034
     -0.00397574     -0.00399941
     -0.00254639     -0.00251799
      -0.0043793     -0.00436011
     -0.00173543     -0.00174356
    -0.000569042    -0.000551847
     -0.00135485     -0.00135138
    -0.000691374    -0.000684844
     -0.00945469     -0.00880972
    -0.000618735    -0.000616966
     -0.00672097     -0.00649261
