QM Energy	FF Energy
    -0.000784729    -0.000905492
    -0.000906428    -0.000925611
     -0.00574304     -0.00626846
     -0.00466608     -0.00530472
     -0.00171622     -0.00169813
     -0.00216202      -0.0022117
    -0.000181607    -0.000191381
     -0.00233451     -0.00237966
     -0.00165293     -0.00174233
     -0.00189526     -0.00188048
    -0.000143945    -0.000171024
     -0.00219243     -0.00214645
     -0.00280034     -0.00296947
     -0.00316346     -0.00322509
    -0.000708054    -0.000705516
    -0.000301967    -0.000318169
    -0.000179514    -0.000211082
     -0.00321819     -0.00358469
     -0.00221525     -0.00232092
    -0.000625531    -0.000778369
    -0.000212203    -0.000227628
    -0.000294455    -0.000352548
     -0.00022581    -0.000246667
    -0.000823151     -0.00096905
     -0.00497659     -0.00515582
    -0.000183466     -0.00018771
     -0.00208914     -0.00228794
     -7.7815e-05     -7.2336e-05
     -0.00389072     -0.00408238
    -0.000166763     -0.00016958
      -0.0011836     -0.00133449
      -0.0067667     -0.00662439
     -0.00123697     -0.00136388
     -0.00558442     -0.00566263
     -0.00172968     -0.00176067
     -6.3424e-05    -7.83954e-05
    -0.000147911    -0.000164904
    -0.000187064    -0.000181435
     -0.00123087     -0.00139497
    -0.000140085     -0.00014977
     -5.8943e-05    -5.16306e-05
     -5.5848e-05    -7.23287e-05
    -0.000115091    -0.000120304
    -0.000141291    -0.000136492
    -0.000327901    -0.000338976
    -0.000181782    -0.000228168
    -0.000143587    -0.000175631
     -0.00117637     -0.00126285
     -0.00733291     -0.00771064
     -0.00171498     -0.00173514
     -0.00525308     -0.00512471
     -0.00141889     -0.00150195
     -0.00230983     -0.00224458
     -0.00188158     -0.00204728
    -0.000310228    -0.000335277
     -0.00324062     -0.00335427
     -0.00159824     -0.00177068
    -0.000591083    -0.000658202
    -0.000427282    -0.000513617
    -0.000172968    -0.000178742
    -0.000112894    -0.000126837
    -0.000133079    -0.000170012
     -0.00143974     -0.00160605
     -0.00185256     -0.00201225
     -0.00240994     -0.00266831
     -0.00459178     -0.00455932
     -0.00115413     -0.00117078
     -0.00028389    -0.000319654
      -0.0005605    -0.000631063
    -0.000239056    -0.000266129
    -0.000284893    -0.000286812
     -0.00788473     -0.00770828
     -0.00488626     -0.00511518
    -0.000125013    -0.000164107
    -0.000302347    -0.000345786
     -4.5074e-05    -4.34942e-05
