QM Energy	FF Energy
     -3.5505e-05    -7.13273e-05
    -0.000135511     -0.00014635
    -0.000486956     -0.00053433
    -0.000365773    -0.000435861
    -0.000152817    -0.000207436
    -0.000123624     -0.00022195
      -6.664e-06    -1.88474e-05
    -0.000328914    -0.000328436
    -0.000192112    -0.000220163
     -0.00015191    -0.000190737
       -5.72e-06    -1.58997e-05
    -0.000241679    -0.000258062
    -0.000159603    -0.000266043
    -0.000264656     -0.00030808
     -4.8757e-05     -6.8118e-05
     -6.2115e-05     -6.8612e-05
     -1.1562e-05    -1.87601e-05
    -0.000209029    -0.000308904
     -0.00012705    -0.000208854
     -2.5035e-05     -5.6996e-05
     -1.3385e-05    -1.89739e-05
     -1.0259e-05    -2.70182e-05
     -1.6797e-05     -2.4466e-05
     -6.1812e-05    -8.53556e-05
    -0.000538315    -0.000526324
      -8.137e-06    -1.81854e-05
     -5.6249e-05    -0.000158477
     -1.1133e-05    -1.32959e-05
    -0.000220471    -0.000338696
     -1.3694e-05    -1.81251e-05
    -0.000298563    -0.000293279
    -0.000406393    -0.000506171
     -6.7653e-05    -0.000114491
    -0.000405593    -0.000525846
    -0.000193549    -0.000212429
      -4.078e-06    -9.14548e-06
     -5.5308e-05    -6.05839e-05
     -1.2862e-05    -1.71217e-05
    -0.000112677    -0.000139524
      -7.905e-06    -1.18644e-05
     -1.0498e-05    -1.23654e-05
      -2.617e-06    -6.04418e-06
      -9.702e-06    -1.30144e-05
       -8.19e-06    -1.48392e-05
     -2.8512e-05    -3.85197e-05
     -1.2302e-05    -1.79218e-05
      -5.882e-06    -1.21906e-05
    -0.000244829    -0.000246101
    -0.000570906    -0.000614844
    -0.000100819    -0.000155848
    -0.000305766    -0.000415791
    -0.000221496    -0.000248055
    -0.000124423     -0.00022104
    -0.000139439    -0.000186378
     -2.5725e-05    -4.45412e-05
    -0.000243111    -0.000316002
     -4.1007e-05    -0.000123994
     -5.5642e-05     -6.9401e-05
      -1.987e-05    -4.27733e-05
      -2.388e-05    -3.16654e-05
      -8.488e-06     -1.3993e-05
       -8.05e-06    -1.52734e-05
     -5.2767e-05    -0.000127361
    -0.000277522    -0.000289486
    -0.000130324    -0.000215093
    -0.000459714    -0.000516086
    -0.000127986    -0.000147421
     -1.7335e-05    -3.60293e-05
      -2.067e-05    -5.37272e-05
     -2.0701e-05    -2.64787e-05
     -3.7609e-05    -4.91088e-05
    -0.000770788    -0.000725947
    -0.000567906    -0.000541857
      -5.476e-06    -9.35994e-06
     -1.6801e-05    -2.63959e-05
      -3.752e-06    -8.63695e-06
    -0.000218573    -0.000269107
    -0.000176432    -0.000181652
     -0.00065787    -0.000684608
      -8.076e-06    -1.70072e-05
     -7.0764e-05    -9.34544e-05
      -2.541e-06    -5.80798e-06
      -1.502e-05    -2.01901e-05
     -1.9293e-05    -4.01657e-05
     -7.5753e-05    -0.000108966
    -0.000115805    -0.000250956
    -0.000239205    -0.000243401
    -0.000770424    -0.000766054
    -0.000106269    -0.000127982
      -8.225e-06    -1.30816e-05
     -3.8411e-05    -7.48329e-05
      -5.754e-06    -1.00124e-05
     -1.5682e-05    -3.30924e-05
      -8.679e-06    -1.26577e-05
     -1.1798e-05    -1.82542e-05
     -6.7616e-05    -7.88356e-05
     -2.3699e-05    -3.37188e-05
      -9.938e-06     -1.4042e-05
     -3.0429e-05    -3.98824e-05
     -4.1341e-05    -5.19774e-05
     -3.3465e-05     -8.9532e-05
       -7.08e-06    -1.01554e-05
     -1.2302e-05    -2.78528e-05
    -0.000102311    -0.000159526
    -0.000245932    -0.000336889
     -6.2005e-05    -7.69542e-05
    -0.000426685    -0.000566896
     -4.0517e-05    -6.10056e-05
      -2.989e-06    -5.92482e-06
     -1.9013e-05     -3.7032e-05
     -0.00127435    -0.000986814
    -0.000374283    -0.000453642
     -3.4907e-05    -4.13125e-05
     -7.9517e-05     -0.00014741
     -5.8122e-05    -9.55255e-05
    -0.000547921    -0.000499662
     -3.2938e-05    -5.75797e-05
      -7.501e-06    -9.23535e-06
    -0.000137459    -0.000165563
    -0.000300408    -0.000463347
    -0.000367195    -0.000411298
     -6.6516e-05    -9.26985e-05
     -1.0832e-05    -1.55032e-05
     -1.5683e-05    -4.85176e-05
    -0.000162033    -0.000259367
     -0.00014118    -0.000253228
     -4.4474e-05    -9.21073e-05
     -2.6972e-05     -6.2971e-05
     -2.5584e-05    -3.41012e-05
     -5.3933e-05    -6.82243e-05
    -0.000196258     -0.00020429
       -3.83e-06     -6.0024e-06
    -0.000304578    -0.000462616
     -3.1167e-05    -3.86173e-05
    -0.000654247     -0.00070355
     -9.6268e-05    -0.000164118
    -0.000331736     -0.00037753
     -9.4776e-05    -0.000107018
    -0.000195281    -0.000201769
    -0.000786264    -0.000745343
     -0.00025155    -0.000297531
     -2.4397e-05    -2.79882e-05
    -0.000426759    -0.000402859
    -0.000241223    -0.000305098
     -1.4002e-05    -2.56823e-05
     -1.5947e-05    -4.61706e-05
    -0.000175292    -0.000257176
     -0.00101236     -0.00084735
      -3.116e-05    -3.84969e-05
    -0.000110069    -0.000149431
     -5.1161e-05    -5.80031e-05
     -2.0703e-05     -2.5095e-05
     -0.00103098    -0.000841251
    -0.000206545    -0.000265574
      -4.605e-06    -9.30182e-06
    -0.000182086    -0.000233412
     -3.8847e-05    -6.01793e-05
     -3.0078e-05    -4.27547e-05
      -6.052e-06    -1.93784e-05
     -2.8546e-05    -7.43116e-05
     -4.6519e-05    -5.33729e-05
    -0.000211865    -0.000259904
     -7.7216e-05    -0.000113323
    -0.000276918    -0.000315828
     -1.8615e-05    -3.96086e-05
      -5.051e-06    -6.71544e-06
     -1.0597e-05    -2.32055e-05
       -4.96e-06    -8.10222e-06
      -0.0013499     -0.00104666
      -2.339e-06    -5.05696e-06
    -0.000473158    -0.000570626
      -3.588e-05    -5.07992e-05
     -6.2312e-05    -6.99666e-05
    -0.000459927    -0.000594776
      -3.696e-06    -5.43912e-06
    -0.000602127    -0.000706368
    -0.000602379    -0.000719639
    -0.000101756    -0.000145195
      -5.958e-06    -1.22589e-05
    -0.000242926    -0.000271179
    -0.000114553    -0.000161414
    -0.000539025    -0.000573038
     -1.3646e-05    -1.95088e-05
     -1.2466e-05     -1.7568e-05
      -9.627e-06    -1.16691e-05
      -7.182e-06    -1.58429e-05
      -4.558e-06    -9.45571e-06
    -0.000736283    -0.000684587
    -0.000750236    -0.000648318
     -3.7473e-05    -5.14275e-05
     -1.7588e-05    -2.23428e-05
      -9.905e-06    -1.94176e-05
     -1.3878e-05    -2.95374e-05
    -0.000249447    -0.000286103
     -3.2839e-05    -4.06715e-05
     -2.7923e-05    -5.92485e-05
     -0.00038981    -0.000497551
     -3.4494e-05    -3.95187e-05
     -7.1814e-05     -7.7969e-05
     -2.0417e-05    -3.18661e-05
     -0.00127887    -0.000982655
    -0.000340484    -0.000389252
    -0.000521914    -0.000621454
    -0.000131658    -0.000150562
     -2.6132e-05    -3.87718e-05
     -5.9943e-05    -0.000143636
    -0.000300951    -0.000355503
      -1.735e-06    -4.11026e-06
      -7.066e-06    -1.53044e-05
    -0.000652343    -0.000749015
     -0.00144685     -0.00117778
     -1.6126e-05     -3.2051e-05
    -0.000225004    -0.000380189
     -3.9195e-05    -9.42948e-05
    -0.000147736    -0.000173968
     -3.3581e-05    -4.59067e-05
      -4.443e-06    -1.39728e-05
     -7.9919e-05    -0.000130245
    -0.000646785    -0.000693975
     -1.1085e-05     -1.4309e-05
     -2.8045e-05    -3.38904e-05
      -3.226e-06    -6.05662e-06
      -2.737e-06    -5.39698e-06
      -6.636e-05    -0.000115702
       -1.92e-06    -4.58248e-06
       -6.74e-06    -1.08118e-05
      -4.835e-05    -7.73185e-05
      -3.604e-06    -5.97488e-06
    -0.000551921    -0.000506164
      -3.048e-06    -6.50088e-06
     -1.1855e-05    -1.51553e-05
     -5.6818e-05    -6.48094e-05
     -0.00017746    -0.000282204
     -1.1406e-05    -2.17865e-05
     -2.5539e-05    -4.49019e-05
     -4.2392e-05    -6.26899e-05
    -0.000361857    -0.000500277
      -6.374e-06      -9.553e-06
     -5.6384e-05    -6.34026e-05
    -0.000107178    -0.000194047
     -1.2545e-05    -1.61475e-05
    -0.000217341    -0.000267368
      -3.189e-05    -5.67184e-05
      -3.943e-06     -6.9046e-06
      -8.108e-06    -1.50617e-05
      -4.216e-06    -8.47829e-06
      -4.407e-06    -6.13436e-06
      -3.419e-06    -8.64765e-06
      -4.393e-06    -1.07555e-05
    -0.000533795    -0.000494576
       -6.68e-06    -1.40123e-05
    -0.000996834    -0.000843495
     -6.6126e-05    -9.83684e-05
      -6.123e-06    -1.07476e-05
     -1.4579e-05    -1.97581e-05
    -0.000336228    -0.000326983
     -1.0273e-05    -1.31558e-05
     -1.4861e-05     -2.0005e-05
    -0.000276437    -0.000444825
    -0.000121965    -0.000151947
     -2.5495e-05    -6.36664e-05
    -0.000115405    -0.000122208
     -4.5327e-05    -6.90031e-05
    -0.000207016    -0.000229258
     -1.2975e-05    -1.65415e-05
      -4.307e-05     -5.5631e-05
       -5.59e-06    -1.15254e-05
    -0.000187955    -0.000298651
     -3.0794e-05    -6.42722e-05
     -4.7186e-05    -5.37522e-05
     -6.9989e-05    -0.000145424
    -0.000244312    -0.000295081
      -4.347e-05    -5.42144e-05
      -1.781e-06    -4.41018e-06
    -0.000163312     -0.00021639
    -0.000812243    -0.000864078
    -0.000220697    -0.000310962
    -0.000598522     -0.00057186
     -8.3685e-05    -0.000111537
    -0.000748943    -0.000655305
    -0.000171754    -0.000339581
    -0.000318002    -0.000423405
     -1.9304e-05    -2.84875e-05
    -0.000153847    -0.000203592
    -0.000237008    -0.000355761
    -0.000196738    -0.000354497
      -9.683e-06    -1.14035e-05
    -0.000594848    -0.000629282
      -8.622e-06    -1.20286e-05
      -8.363e-06    -1.16668e-05
     -3.2478e-05    -4.03866e-05
    -0.000979962    -0.000962387
     -2.9983e-05    -3.62334e-05
