QM Energy	FF Energy
    -0.000519025    -0.000770889
      6.3128e-05     1.62904e-05
       0.0049983      0.00465146
      0.00350109      0.00328102
      0.00103475     0.000620713
       0.0014301     0.000938201
    -0.000794588    -0.000793799
      0.00165745      0.00166105
     0.000729528     0.000581618
      0.00071006     0.000374807
    -0.000760887     -0.00078232
      0.00117574     0.000985216
      0.00190059      0.00172097
      0.00203515      0.00156135
    -0.000466753    -0.000655027
    -0.000329246    -0.000351236
    -0.000627785    -0.000702425
       0.0020151      0.00177223
      0.00102367     0.000512123
    -0.000692029    -0.000892008
    -0.000601308    -0.000669327
    -0.000716879    -0.000871723
    -0.000625245    -0.000691361
    -0.000518573    -0.000645502
      0.00446056      0.00422007
    -0.000711354    -0.000753445
     0.000600563     0.000549078
    -0.000425379    -0.000435916
      0.00303893      0.00278543
    -0.000560605    -0.000606817
      0.00100142      0.00125045
      0.00698998      0.00524494
    -0.000138978     -0.00047107
       0.0060302      0.00556769
     0.000665324     0.000494712
    -0.000601156    -0.000637212
    -0.000291687    -0.000285009
    -0.000563493    -0.000613152
     -8.2901e-05    -0.000225645
      -0.0005608    -0.000612507
    -0.000394283     -0.00039661
    -0.000541807    -0.000576364
    -0.000520274    -0.000550544
    -0.000614548     -0.00066742
    -0.000580421    -0.000670321
    -0.000624137    -0.000679158
    -0.000628101     -0.00071186
     0.000718287     0.000848116
      0.00728627      0.00635869
     0.000523487    -2.01916e-07
      0.00497923      0.00434263
     0.000989409     0.000997856
      0.00162774     0.000919958
     0.000542496     0.000184248
    -0.000585674     -0.00067986
      0.00231606      0.00171887
      5.5862e-05     1.36347e-05
    -0.000489967    -0.000613487
    -0.000733267    -0.000839057
    -0.000524293    -0.000568319
    -0.000570363    -0.000630923
    -0.000660352    -0.000703901
      6.3733e-05    -0.000180782
      0.00113482      0.00121941
     0.000981026     0.000536025
      0.00513192      0.00460933
      9.8612e-05    -4.59612e-05
    -0.000659407     -0.00076357
    -0.000647008    -0.000781671
    -0.000558102    -0.000636449
    -0.000452427    -0.000550713
       0.0082123      0.00749024
      0.00438899       0.0042848
     -0.00056745    -0.000638331
     -0.00066458    -0.000777507
    -0.000590512    -0.000610823
      0.00148361      0.00127385
     0.000275825     0.000358516
      0.00821564      0.00750512
    -0.000616987    -0.000697891
    -0.000334529    -0.000563431
    -0.000534326    -0.000560694
    -0.000556539    -0.000600269
    -0.000576294    -0.000731719
     -0.00033406    -0.000493368
      0.00160695      0.00146212
     0.000722636     0.000884747
      0.00892766      0.00880682
     -2.2584e-05    -0.000211621
    -0.000560345    -0.000618906
     -0.00033889    -0.000588386
    -0.000573546    -0.000619008
    -0.000668263    -0.000783799
    -0.000562575    -0.000625467
    -0.000665305    -0.000732958
    -0.000365401    -0.000469274
    -0.000696396     -0.00077763
    -0.000557727    -0.000607354
    -0.000619817    -0.000715129
    -0.000478616    -0.000567528
    -0.000351255     -0.00041221
    -0.000524976    -0.000550814
    -0.000689927    -0.000780271
     0.000448589    -1.11814e-05
      0.00263642      0.00203919
    -0.000284134    -0.000383001
      0.00699736      0.00636598
    -0.000518173    -0.000618018
    -0.000510532    -0.000547509
    -0.000569399    -0.000732097
       0.0162656       0.0143668
      0.00418666      0.00355746
    -0.000408527    -0.000446932
      8.5945e-05     -0.00014346
    -0.000234958    -0.000571477
      0.00300513      0.00337919
    -0.000716994    -0.000852497
    -0.000352798    -0.000354424
     0.000327069     9.35969e-05
      0.00558933      0.00506836
       0.0035367      0.00293432
    -0.000213741    -0.000351883
    -0.000575198    -0.000636385
    -0.000657913    -0.000937524
      0.00202192       0.0013747
      0.00187186      0.00127951
     -0.00026685    -0.000496881
     -0.00062177    -0.000723267
    -0.000564128      -0.0006469
    -0.000396457    -0.000521064
     0.000491297      0.00057064
    -0.000472891    -0.000510679
      0.00473358      0.00449531
    -0.000539904    -0.000615877
      0.00793059      0.00791279
     0.000343011    -1.87636e-05
      0.00266438      0.00246901
     -0.00019976    -0.000298557
     0.000445374     0.000557375
      0.00817697      0.00772661
      0.00176702      0.00157059
    -0.000417213    -0.000429894
      0.00172751      0.00220591
      0.00194824      0.00169882
    -0.000604432    -0.000698884
    -0.000790927    -0.000854664
      0.00139694      0.00113703
       0.0117044       0.0103493
    -0.000560574    -0.000640682
     0.000170795    -3.47438e-05
     -0.00040204    -0.000446917
    -0.000461191    -0.000494466
      0.00943448       0.0091485
      0.00145954      0.00100468
     -0.00056862    -0.000606414
      0.00118695     0.000727565
    -0.000491436    -0.000673675
     -0.00057269    -0.000679285
    -0.000838393    -0.000815659
    -0.000455768    -0.000676591
      -0.0004149    -0.000457034
      0.00117865      0.00108164
      6.5597e-05    -0.000209734
      0.00199802      0.00184003
    -0.000673203     -0.00078382
    -0.000458427    -0.000482128
     -0.00067065    -0.000754845
    -0.000521685    -0.000557634
       0.0126107       0.0123367
    -0.000497466    -0.000531316
      0.00608034      0.00528715
    -0.000487936    -0.000598294
    -0.000360785    -0.000402552
       0.0078739      0.00762952
    -0.000440809     -0.00047009
      0.00882621       0.0078406
      0.00992651      0.00908426
     0.000314899    -7.17702e-06
    -0.000640011    -0.000713689
       0.0012376      0.00114371
     0.000212336      9.8475e-05
      0.00697003      0.00602208
    -0.000596923    -0.000663146
    -0.000604057    -0.000658248
    -0.000445142    -0.000457239
    -0.000659557    -0.000694494
    -0.000561722    -0.000601213
      0.00720915      0.00690622
      0.00564427      0.00572349
    -0.000510806    -0.000622261
    -0.000536156    -0.000592685
    -0.000671884    -0.000787668
    -0.000739327    -0.000873162
      0.00169017      0.00129867
    -0.000533828    -0.000620572
    -0.000494923    -0.000713141
      0.00460023      0.00433252
    -0.000370096    -0.000387215
    -0.000224408    -0.000213994
     -0.00055316    -0.000630021
       0.0173004       0.0149342
      0.00329423      0.00269117
      0.00756998      0.00653117
       7.953e-05    -6.06527e-05
     -0.00061027    -0.000769641
     0.000478279    -0.000198433
      0.00270522      0.00218157
    -0.000488618    -0.000514196
    -0.000637388    -0.000696412
      0.00973532      0.00845066
       0.0174554       0.0177961
    -0.000645233    -0.000727252
      0.00329581      0.00302719
    -0.000364967    -0.000549471
     0.000380335     0.000217312
    -0.000587833        -0.00072
    -0.000789945    -0.000764156
      2.7413e-05    -0.000172919
      0.00771073      0.00710791
    -0.000498418     -0.00053455
    -0.000518468    -0.000576079
    -0.000521098    -0.000581558
    -0.000487543    -0.000500261
    -0.000116997    -0.000391298
    -0.000509546     -0.00051009
    -0.000527923    -0.000572968
    -0.000465785    -0.000714062
    -0.000482802     -0.00051626
      0.00326498      0.00359361
    -0.000543689    -0.000601556
    -0.000505444    -0.000546579
    -0.000366602    -0.000414088
        0.001725      0.00145776
    -0.000612826    -0.000709232
    -0.000520392    -0.000689604
    -0.000483886    -0.000694748
      0.00578038      0.00495078
      -0.0004609    -0.000470323
    -0.000330838    -0.000353698
      0.00101982     0.000700209
    -0.000499031    -0.000540087
      0.00172288      0.00123827
     -0.00041432    -0.000632843
     -0.00047531    -0.000501608
