QM Energy	FF Energy
    -0.000137348    -0.000137586
    -0.000279345    -0.000293029
     -0.00111057    -0.000979523
    -0.000908055    -0.000778248
    -0.000422588     -0.00043283
    -0.000457841    -0.000449849
     -3.0642e-05    -3.25346e-05
    -0.000677841    -0.000667806
    -0.000440124    -0.000435465
    -0.000402371    -0.000401109
     -2.4664e-05    -2.62042e-05
    -0.000546729    -0.000542188
    -0.000561558    -0.000522325
     -0.00066884    -0.000636962
    -0.000134062     -0.00014212
    -0.000116448    -0.000130472
     -3.0412e-05    -3.40746e-05
    -0.000640968    -0.000562174
    -0.000428659    -0.000407905
    -0.000102913    -0.000100294
     -3.2648e-05     -3.7274e-05
     -4.8093e-05    -5.31553e-05
     -4.1274e-05    -4.58303e-05
    -0.000159704    -0.000156232
     -0.00114828     -0.00106465
     -3.0497e-05    -3.35489e-05
    -0.000331777    -0.000304134
     -2.0605e-05    -2.48776e-05
    -0.000727485    -0.000661523
       -3.01e-05    -3.48494e-05
    -0.000538703    -0.000551667
     -0.00101958     -0.00106632
    -0.000228576    -0.000222689
     -0.00110317     -0.00105398
    -0.000442113      -0.0004403
     -1.4141e-05    -1.61682e-05
     -9.4965e-05    -0.000108945
     -2.9739e-05    -3.48518e-05
    -0.000276893    -0.000269352
     -1.9877e-05      -2.337e-05
     -1.8566e-05    -2.26416e-05
      -7.981e-06    -9.45327e-06
     -2.0642e-05    -2.40842e-05
     -2.4976e-05    -2.90007e-05
     -6.8051e-05    -7.51229e-05
     -2.7707e-05    -3.05104e-05
     -1.9871e-05    -2.32363e-05
    -0.000461869    -0.000475016
     -0.00124595     -0.00116332
    -0.000326081    -0.000333138
    -0.000872451    -0.000864405
    -0.000483837    -0.000481826
    -0.000458606    -0.000471179
    -0.000393482    -0.000375761
     -8.1206e-05    -8.72476e-05
    -0.000661674    -0.000632113
     -0.00025551    -0.000235477
    -0.000129801    -0.000136493
     -7.6437e-05    -7.66889e-05
     -5.3294e-05    -5.96979e-05
      -2.236e-05    -2.61912e-05
     -2.2527e-05    -2.43813e-05
    -0.000259247    -0.000243237
    -0.000574188    -0.000559534
    -0.000443029    -0.000403743
     -0.00108126     -0.00106136
    -0.000289692    -0.000297668
     -6.5293e-05    -7.03678e-05
    -0.000103076    -0.000104485
     -4.6686e-05    -5.30072e-05
     -8.6381e-05    -9.69959e-05
     -0.00149218     -0.00143891
     -0.00117875     -0.00108936
     -1.4689e-05    -1.72724e-05
     -4.6402e-05    -5.10476e-05
     -1.3456e-05    -1.56805e-05
    -0.000537106    -0.000537205
    -0.000324654    -0.000342992
     -0.00139958     -0.00133711
     -2.9702e-05    -3.45829e-05
    -0.000186947    -0.000190658
      -8.608e-06    -1.01605e-05
      -3.207e-05    -3.62765e-05
     -7.6994e-05    -8.44366e-05
    -0.000208708    -0.000200212
    -0.000521639    -0.000440217
     -0.00043091    -0.000450037
     -0.00153885     -0.00140167
    -0.000251474     -0.00026026
     -2.0823e-05    -2.44905e-05
    -0.000148518    -0.000155694
     -1.4075e-05    -1.59102e-05
     -6.1687e-05    -6.81516e-05
     -2.1197e-05    -2.47577e-05
     -2.6735e-05    -2.87219e-05
    -0.000148093    -0.000159754
      -5.591e-05    -5.86018e-05
     -2.4057e-05    -2.82703e-05
     -7.0505e-05    -7.62172e-05
     -9.3246e-05    -0.000103467
    -0.000176659    -0.000170432
     -1.5941e-05    -1.87887e-05
     -4.9342e-05    -5.37703e-05
    -0.000324893    -0.000324665
    -0.000714921    -0.000650333
    -0.000138142    -0.000151452
     -0.00114681      -0.0010209
    -0.000110862    -0.000115757
      -7.516e-06    -8.74862e-06
     -6.9188e-05    -7.77258e-05
     -0.00166517     -0.00200363
     -0.00095836    -0.000875131
     -6.8552e-05    -7.84042e-05
    -0.000294626    -0.000265929
    -0.000193715    -0.000197754
     -0.00103085    -0.000995662
    -0.000101674    -9.79643e-05
     -1.3191e-05    -1.61811e-05
    -0.000339273    -0.000341443
    -0.000985937    -0.000921865
    -0.000882531    -0.000834182
    -0.000178955    -0.000188857
     -2.5947e-05    -3.03614e-05
     -9.0019e-05    -9.54534e-05
    -0.000537932    -0.000548498
    -0.000529916    -0.000509494
    -0.000182089    -0.000183907
    -0.000118824    -0.000117655
     -6.1332e-05    -6.79715e-05
    -0.000125864    -0.000137597
     -0.00036503    -0.000384112
      -7.166e-06    -8.30861e-06
    -0.000953894    -0.000794728
     -7.0585e-05    -7.96721e-05
     -0.00141242     -0.00121323
      -0.0003333    -0.000309224
    -0.000790272    -0.000749779
    -0.000204259    -0.000216269
    -0.000354475    -0.000373866
     -0.00150851     -0.00145454
    -0.000590525    -0.000593686
     -4.4071e-05    -5.19874e-05
    -0.000741078    -0.000746125
    -0.000647335    -0.000599361
     -4.6439e-05    -5.24034e-05
     -8.1871e-05    -7.90893e-05
    -0.000540207    -0.000481208
      -0.0016413       -0.001772
     -6.9606e-05    -7.79052e-05
    -0.000307311    -0.000300534
    -0.000100435    -0.000112401
      -4.159e-05    -4.86611e-05
