QM Energy	FF Energy
     -3.5505e-05    -7.12048e-05
    -0.000135511    -0.000145494
    -0.000486956    -0.000527196
    -0.000365773    -0.000427896
    -0.000152817    -0.000210192
    -0.000123624    -0.000224276
      -6.664e-06    -1.83486e-05
    -0.000328914    -0.000328188
    -0.000192112    -0.000218342
     -0.00015191    -0.000193751
       -5.72e-06    -1.52803e-05
    -0.000241679    -0.000261502
    -0.000159603    -0.000267394
    -0.000264656    -0.000311698
     -4.8757e-05    -6.90354e-05
     -6.2115e-05    -6.68924e-05
     -1.1562e-05    -1.82279e-05
    -0.000209029      -0.0003036
     -0.00012705    -0.000208257
     -2.5035e-05    -5.55551e-05
     -1.3385e-05    -1.88502e-05
     -1.0259e-05    -2.71571e-05
     -1.6797e-05    -2.39444e-05
     -6.1812e-05    -8.33683e-05
    -0.000538315    -0.000529107
      -8.137e-06    -1.79213e-05
     -5.6249e-05    -0.000159591
     -1.1133e-05    -1.29142e-05
    -0.000220471    -0.000340487
     -1.3694e-05    -1.78135e-05
    -0.000298563     -0.00028422
    -0.000406393    -0.000519134
     -6.7653e-05    -0.000114165
    -0.000405593     -0.00053073
    -0.000193549    -0.000214342
      -4.078e-06    -8.89963e-06
     -5.5308e-05     -5.7863e-05
     -1.2862e-05    -1.71647e-05
    -0.000112677    -0.000138136
      -7.905e-06    -1.18048e-05
     -1.0498e-05    -1.19208e-05
      -2.617e-06    -5.69033e-06
      -9.702e-06    -1.26576e-05
       -8.19e-06    -1.47702e-05
     -2.8512e-05    -3.80493e-05
     -1.2302e-05    -1.71126e-05
      -5.882e-06    -1.20824e-05
    -0.000244829    -0.000241022
    -0.000570906    -0.000612947
    -0.000100819    -0.000159702
    -0.000305766    -0.000425098
    -0.000221496    -0.000244339
    -0.000124423     -0.00022652
    -0.000139439    -0.000187578
     -2.5725e-05    -4.44428e-05
    -0.000243111    -0.000316775
     -4.1007e-05    -0.000124485
     -5.5642e-05    -6.88729e-05
      -1.987e-05    -4.19012e-05
      -2.388e-05    -3.09501e-05
      -8.488e-06     -1.3705e-05
       -8.05e-06    -1.44237e-05
     -5.2767e-05    -0.000127324
    -0.000277522    -0.000284388
    -0.000130324    -0.000213343
    -0.000459714    -0.000521523
    -0.000127986    -0.000147012
     -1.7335e-05    -3.60509e-05
      -2.067e-05    -5.39569e-05
     -2.0701e-05    -2.64118e-05
     -3.7609e-05    -4.86342e-05
    -0.000770788    -0.000724886
    -0.000567906      -0.0005433
      -5.476e-06    -9.16732e-06
     -1.6801e-05     -2.6171e-05
      -3.752e-06    -8.47478e-06
    -0.000218573    -0.000268691
    -0.000176432    -0.000176444
     -0.00065787    -0.000685687
      -8.076e-06    -1.71852e-05
     -7.0764e-05    -9.41333e-05
      -2.541e-06    -5.63813e-06
      -1.502e-05    -1.94514e-05
     -1.9293e-05    -4.10389e-05
     -7.5753e-05    -0.000106619
    -0.000115805    -0.000246823
    -0.000239205    -0.000234453
    -0.000770424    -0.000752645
    -0.000106269    -0.000128292
      -8.225e-06    -1.27988e-05
     -3.8411e-05     -7.6154e-05
      -5.754e-06    -9.41922e-06
     -1.5682e-05     -3.3648e-05
      -8.679e-06    -1.25654e-05
     -1.1798e-05    -1.71315e-05
     -6.7616e-05    -7.87949e-05
     -2.3699e-05    -3.24205e-05
      -9.938e-06    -1.40506e-05
     -3.0429e-05    -3.92415e-05
     -4.1341e-05    -5.15858e-05
     -3.3465e-05    -8.95532e-05
       -7.08e-06    -9.89563e-06
     -1.2302e-05    -2.78125e-05
    -0.000102311    -0.000160834
    -0.000245932    -0.000336004
     -6.2005e-05    -7.61112e-05
    -0.000426685    -0.000560732
     -4.0517e-05    -6.00403e-05
      -2.989e-06    -5.47776e-06
     -1.9013e-05    -3.76993e-05
     -0.00127435     -0.00100175
    -0.000374283    -0.000451154
     -3.4907e-05    -4.03147e-05
     -7.9517e-05    -0.000145006
