QM Energy	FF Energy
    -0.000137348    -0.000137493
    -0.000279345    -0.000292382
     -0.00111057    -0.000983267
    -0.000908055    -0.000781199
    -0.000422588    -0.000432082
    -0.000457841    -0.000449351
     -3.0642e-05    -3.24033e-05
    -0.000677841    -0.000667464
    -0.000440124    -0.000435721
    -0.000402371    -0.000401551
     -2.4664e-05    -2.61237e-05
    -0.000546729    -0.000542187
    -0.000561558    -0.000521121
     -0.00066884    -0.000637932
    -0.000134062    -0.000142154
    -0.000116448    -0.000129995
     -3.0412e-05    -3.40957e-05
    -0.000640968    -0.000562944
    -0.000428659    -0.000408129
    -0.000102913    -0.000100229
     -3.2648e-05    -3.72963e-05
     -4.8093e-05     -5.3062e-05
     -4.1274e-05    -4.58683e-05
    -0.000159704    -0.000156734
     -0.00114828     -0.00106673
     -3.0497e-05    -3.34908e-05
    -0.000331777    -0.000302928
     -2.0605e-05    -2.48218e-05
    -0.000727485    -0.000660556
       -3.01e-05    -3.48552e-05
    -0.000538703    -0.000548385
     -0.00101958     -0.00106463
    -0.000228576    -0.000222862
     -0.00110317     -0.00105172
    -0.000442113    -0.000440219
     -1.4141e-05    -1.61523e-05
     -9.4965e-05    -0.000108344
     -2.9739e-05    -3.48499e-05
    -0.000276893    -0.000269928
     -1.9877e-05    -2.33705e-05
     -1.8566e-05    -2.25705e-05
      -7.981e-06    -9.43373e-06
     -2.0642e-05    -2.40964e-05
     -2.4976e-05    -2.89773e-05
     -6.8051e-05     -7.5162e-05
     -2.7707e-05    -3.05884e-05
     -1.9871e-05     -2.3228e-05
    -0.000461869    -0.000472943
     -0.00124595     -0.00116483
    -0.000326081    -0.000332971
    -0.000872451    -0.000862575
    -0.000483837    -0.000480527
    -0.000458606    -0.000470553
    -0.000393482    -0.000376069
     -8.1206e-05    -8.71047e-05
    -0.000661674    -0.000633059
     -0.00025551    -0.000234622
    -0.000129801    -0.000136617
     -7.6437e-05    -7.66711e-05
     -5.3294e-05    -5.96267e-05
      -2.236e-05     -2.6157e-05
     -2.2527e-05    -2.43842e-05
    -0.000259247    -0.000242778
    -0.000574188    -0.000559539
    -0.000443029     -0.00040405
     -0.00108126     -0.00105959
    -0.000289692    -0.000297841
     -6.5293e-05    -7.02274e-05
    -0.000103076    -0.000104264
     -4.6686e-05    -5.29835e-05
     -8.6381e-05    -9.68309e-05
     -0.00149218     -0.00144334
     -0.00117875     -0.00109183
     -1.4689e-05    -1.72788e-05
     -4.6402e-05    -5.10815e-05
     -1.3456e-05    -1.56445e-05
    -0.000537106    -0.000535321
    -0.000324654    -0.000341258
     -0.00139958     -0.00133822
