QM Energy	FF Energy
    -0.000784729     -0.00090549
    -0.000906428    -0.000925608
     -0.00574304     -0.00626845
     -0.00466608     -0.00530471
     -0.00171622     -0.00169812
     -0.00216202     -0.00221169
    -0.000181607    -0.000191381
     -0.00233451     -0.00237965
     -0.00165293     -0.00174232
     -0.00189526     -0.00188047
    -0.000143945    -0.000171023
     -0.00219243     -0.00214644
     -0.00280034     -0.00296946
     -0.00316346     -0.00322509
    -0.000708054    -0.000705514
    -0.000301967    -0.000318167
    -0.000179514    -0.000211082
     -0.00321819     -0.00358468
     -0.00221525     -0.00232091
    -0.000625531    -0.000778367
    -0.000212203    -0.000227628
    -0.000294455    -0.000352547
     -0.00022581    -0.000246666
    -0.000823151    -0.000969048
     -0.00497659      -0.0051558
    -0.000183466     -0.00018771
     -0.00208914     -0.00228793
     -7.7815e-05    -7.23357e-05
     -0.00389072     -0.00408236
    -0.000166763    -0.000169579
      -0.0011836     -0.00133449
      -0.0067667     -0.00662437
     -0.00123697     -0.00136387
     -0.00558442     -0.00566262
     -0.00172968     -0.00176066
     -6.3424e-05     -7.8395e-05
    -0.000147911    -0.000164903
    -0.000187064    -0.000181435
     -0.00123087     -0.00139497
    -0.000140085    -0.000149769
     -5.8943e-05    -5.16304e-05
     -5.5848e-05    -7.23285e-05
    -0.000115091    -0.000120304
    -0.000141291    -0.000136492
    -0.000327901    -0.000338975
    -0.000181782    -0.000228168
    -0.000143587     -0.00017563
     -0.00117637     -0.00126284
     -0.00733291     -0.00771062
     -0.00171498     -0.00173514
     -0.00525308      -0.0051247
     -0.00141889     -0.00150195
     -0.00230983     -0.00224458
     -0.00188158     -0.00204728
    -0.000310228    -0.000335276
     -0.00324062     -0.00335426
     -0.00159824     -0.00177068
    -0.000591083      -0.0006582
    -0.000427282    -0.000513616
    -0.000172968    -0.000178741
    -0.000112894    -0.000126837
    -0.000133079    -0.000170012
     -0.00143974     -0.00160604
     -0.00185256     -0.00201225
     -0.00240994      -0.0026683
     -0.00459178      -0.0045593
     -0.00115413     -0.00117078
     -0.00028389    -0.000319653
      -0.0005605    -0.000631061
    -0.000239056    -0.000266128
    -0.000284893    -0.000286811
     -0.00788473     -0.00770826
     -0.00488626     -0.00511516
    -0.000125013    -0.000164107
    -0.000302347    -0.000345785
     -4.5074e-05    -4.34938e-05
     -0.00178374     -0.00185635
    -0.000741737    -0.000821544
     -0.00758615     -0.00764295
    -0.000120791    -0.000131019
     -0.00089547    -0.000989944
     -3.3601e-05    -4.21989e-05
    -0.000147385    -0.000169467
    -0.000317938    -0.000334309
     -0.00101525     -0.00119253
     -0.00307028     -0.00349222
    -0.000832108     -0.00096144
     -0.00844431     -0.00869173
    -0.000977041     -0.00103528
     -0.00011309    -0.000127992
    -0.000661061    -0.000694577
     -9.9822e-05     -0.00013402
    -0.000342691    -0.000343853
    -0.000154746    -0.000177682
    -0.000200297    -0.000274951
    -0.000578336    -0.000596979
    -0.000342109    -0.000425342
    -0.000159275     -0.00016091
    -0.000377661    -0.000428132
    -0.000369116    -0.000362919
    -0.000941466     -0.00103956
    -0.000102018    -0.000101264
    -0.000222368    -0.000254419
     -0.00162654     -0.00169782
      -0.0037806     -0.00402418
    -0.000387799    -0.000396025
      -0.0072218     -0.00762668
    -0.000450085    -0.000490683
     -5.6817e-05    -8.13458e-05
    -0.000301562    -0.000305157
      -0.0133908      -0.0125828
     -0.00495559      -0.0051316
    -0.000157269    -0.000163345
     -0.00163566     -0.00189717
     -0.00107366     -0.00111166
     -0.00304305     -0.00320294
    -0.000593759    -0.000761934
