QM Energy	FF Energy
     -3.5505e-05    -7.13267e-05
    -0.000135511     -0.00014635
    -0.000486956    -0.000534333
    -0.000365773    -0.000435864
    -0.000152817    -0.000207436
    -0.000123624     -0.00022195
      -6.664e-06    -1.88473e-05
    -0.000328914    -0.000328437
    -0.000192112    -0.000220163
     -0.00015191    -0.000190738
       -5.72e-06    -1.58991e-05
    -0.000241679    -0.000258062
    -0.000159603    -0.000266044
    -0.000264656    -0.000308082
     -4.8757e-05    -6.81181e-05
     -6.2115e-05    -6.86119e-05
     -1.1562e-05    -1.87602e-05
    -0.000209029    -0.000308909
     -0.00012705    -0.000208856
     -2.5035e-05    -5.69961e-05
     -1.3385e-05    -1.89739e-05
     -1.0259e-05    -2.70189e-05
     -1.6797e-05     -2.4466e-05
     -6.1812e-05     -8.5356e-05
    -0.000538315    -0.000526326
      -8.137e-06    -1.81854e-05
     -5.6249e-05    -0.000158477
     -1.1133e-05    -1.32959e-05
    -0.000220471    -0.000338677
     -1.3694e-05    -1.81254e-05
    -0.000298563    -0.000293278
    -0.000406393    -0.000506177
     -6.7653e-05    -0.000114491
    -0.000405593    -0.000525849
    -0.000193549     -0.00021243
      -4.078e-06    -9.14528e-06
     -5.5308e-05    -6.05838e-05
     -1.2862e-05    -1.71217e-05
    -0.000112677    -0.000139524
      -7.905e-06    -1.18644e-05
     -1.0498e-05    -1.23654e-05
      -2.617e-06    -6.04429e-06
      -9.702e-06    -1.30145e-05
       -8.19e-06    -1.48394e-05
     -2.8512e-05    -3.85197e-05
     -1.2302e-05    -1.79221e-05
      -5.882e-06    -1.21907e-05
    -0.000244829    -0.000246101
    -0.000570906    -0.000614829
    -0.000100819    -0.000155848
    -0.000305766    -0.000415799
    -0.000221496    -0.000248056
    -0.000124423    -0.000221041
    -0.000139439     -0.00018638
     -2.5725e-05    -4.45416e-05
    -0.000243111    -0.000316003
     -4.1007e-05       -0.000124
     -5.5642e-05    -6.94015e-05
      -1.987e-05    -4.27735e-05
      -2.388e-05    -3.16653e-05
      -8.488e-06     -1.3993e-05
       -8.05e-06    -1.52734e-05
     -5.2767e-05    -0.000127363
    -0.000277522    -0.000289486
    -0.000130324    -0.000215095
    -0.000459714     -0.00051609
    -0.000127986    -0.000147421
     -1.7335e-05    -3.60307e-05
      -2.067e-05    -5.37271e-05
     -2.0701e-05    -2.64792e-05
     -3.7609e-05    -4.91089e-05
    -0.000770788    -0.000725948
    -0.000567906    -0.000541856
      -5.476e-06    -9.36022e-06
     -1.6801e-05     -2.6396e-05
      -3.752e-06    -8.63681e-06
    -0.000218573    -0.000269108
    -0.000176432    -0.000181652
     -0.00065787    -0.000684563
      -8.076e-06    -1.70072e-05
     -7.0764e-05     -9.3455e-05
      -2.541e-06    -5.80782e-06
      -1.502e-05    -2.01901e-05
     -1.9293e-05    -4.01651e-05
     -7.5753e-05    -0.000108966
