QM Energy	FF Energy
    -0.000301723    -0.000283498
    -0.000310831     -0.00031993
     -0.00132208     -0.00153269
    -0.000785112    -0.000962296
    -0.000384575    -0.000360843
    -0.000137791    -0.000135354
    -0.000462245     -0.00044803
    -0.000378536    -0.000390503
    -0.000570952    -0.000794667
     -0.00104386     -0.00124981
     -7.4041e-05    -7.29603e-05
    -0.000279875    -0.000267223
     -9.6801e-05    -8.58422e-05
    -0.000174735    -0.000164409
    -0.000128503    -0.000104456
     -0.00048394    -0.000654991
     -4.1106e-05    -3.90827e-05
    -0.000396856    -0.000395864
    -0.000409046    -0.000429529
      -0.0006134     -0.00046857
     -4.8943e-05    -4.51834e-05
     -6.7329e-05    -7.12247e-05
     -4.1605e-05    -4.01665e-05
     -4.3768e-05    -4.47486e-05
     -0.00106345     -0.00117248
     -6.7508e-05    -6.43796e-05
    -0.000963488     -0.00111134
    -0.000747461     -0.00100202
    -0.000228144    -0.000219808
    -0.000135379     -0.00014958
    -0.000366816    -0.000417626
    -0.000525877    -0.000341034
    -0.000137019    -0.000130411
      -7.181e-05     -6.5358e-05
    -0.000122007    -0.000119216
    -0.000501162    -0.000543375
     -8.1212e-05    -7.37975e-05
     -0.00121485     -0.00112495
    -0.000240777    -0.000269915
    -0.000272485     -0.00030218
    -0.000295339    -0.000338292
    -0.000189108    -0.000189509
     -7.1167e-05    -9.07143e-05
    -0.000153869    -0.000114288
    -0.000158381    -0.000145168
    -0.000793815     -0.00100974
    -0.000286314    -0.000203555
    -0.000106245    -8.90288e-05
    -0.000493268     -0.00065735
      -7.679e-05    -7.26257e-05
    -0.000696595    -0.000752995
     -0.00118144     -0.00182101
     -0.00100779     -0.00100532
    -0.000467939    -0.000520609
     -9.2321e-05    -8.68869e-05
    -0.000676984    -0.000792778
    -0.000149168    -0.000138726
    -0.000257208    -0.000191777
    -0.000107714     -0.00010744
    -0.000941124     -0.00109033
    -0.000756387    -0.000529019
    -0.000233974    -0.000250059
    -0.000273268    -0.000301103
     -0.00193164     -0.00171882
    -0.000212846    -0.000125213
    -0.000901492     -0.00161382
    -0.000457727    -0.000442552
    -0.000186011    -0.000195605
     -0.00017668    -0.000167566
    -0.000183183    -0.000183425
     -3.5968e-05    -3.66149e-05
     -0.00107475     -0.00129186
    -0.000416847      -0.0004383
     -0.00135218       -0.001415
    -0.000128909    -0.000127409
    -0.000526533    -0.000568216
    -0.000527812    -0.000737537
     -0.00023694    -0.000185701
    -0.000404361    -0.000403053
     -0.00195153     -0.00206388
     -0.00103547    -0.000864009
     -0.00037774    -0.000301408
     -0.00112145      -0.0011409
     -0.00109802     -0.00104935
    -0.000658233    -0.000713752
    -0.000407081    -0.000404061
     -0.00112957     -0.00107281
    -0.000399429    -0.000457608
    -0.000150035    -0.000144923
     -9.1257e-05    -9.37231e-05
    -0.000120708    -0.000113954
    -0.000326083    -0.000254214
     -0.00146593     -0.00139499
    -0.000132866     -0.00012947
    -0.000298057    -0.000195616
     -7.5777e-05    -7.32165e-05
    -0.000242477    -0.000228677
    -0.000403807    -0.000479168
    -0.000123377     -0.00011969
      -0.0014157     -0.00145187
    -0.000589034    -0.000588762
     -0.00015835    -0.000137378
    -0.000258966     -0.00030309
     -6.5249e-05     -6.4586e-05
    -0.000241221    -0.000155659
     -0.00108127     -0.00106205
    -0.000503312    -0.000501479
    -0.000133443    -0.000106333
     -8.4533e-05    -6.80118e-05
     -7.8142e-05    -8.36354e-05
    -0.000721504     -0.00081428
    -0.000107161    -0.000105396
    -0.000376083    -0.000353552
    -0.000727884    -0.000900161
    -0.000812145    -0.000579993
      -0.0001223    -0.000130461
    -0.000215761    -0.000196165
    -0.000326602    -0.000368939
    -0.000914364     -0.00104576
    -0.000345664    -0.000277975
    -0.000486459    -0.000529277
    -0.000328371    -0.000386999
    -0.000135083    -0.000122901
    -0.000713894    -0.000705717
     -0.00238887     -0.00214816
    -0.000125399    -0.000127204
    -0.000188516     -0.00019356
    -0.000911475     -0.00091016
