QM Energy	FF Energy
     -9.4842e-05    -0.000104338
    -0.000188105    -0.000164303
     -0.00158697      -0.0014745
     -0.00130564     -0.00125706
    -0.000692019    -0.000640518
     -2.7416e-05    -2.52228e-05
    -0.000230709    -0.000273782
    -0.000906923    -0.000782158
    -0.000320263    -0.000200754
     -0.00178556       -0.001646
     -1.5144e-05     -1.6631e-05
    -0.000265895    -0.000256302
      -3.713e-06    -6.16423e-06
     -5.5352e-05    -8.10732e-05
     -1.1211e-05    -1.29424e-05
    -0.000686459    -0.000558865
     -3.7541e-05    -3.80286e-05
    -0.000164852    -0.000165611
    -0.000176971    -0.000160474
    -0.000224555    -0.000215026
     -3.0828e-05     -3.2359e-05
     -3.6834e-05    -4.37275e-05
     -4.2041e-05    -4.22537e-05
      -7.017e-06    -1.13963e-05
     -0.00160349     -0.00151029
      -9.606e-06    -1.24168e-05
     -0.00137557     -0.00149183
    -0.000706824    -0.000664217
     -3.9103e-05    -7.06226e-05
     -9.9609e-05    -0.000105436
    -0.000302335    -0.000299153
    -0.000830149    -0.000778335
     -2.4824e-05    -3.65724e-05
      -3.018e-05    -3.63526e-05
     -1.9529e-05    -1.96689e-05
    -0.000260497    -0.000297334
      -9.157e-06    -1.50766e-05
     -0.00086491     -0.00102896
     -5.8011e-05     -7.2718e-05
     -5.4885e-05    -5.21064e-05
    -0.000325844    -0.000333018
     -9.7763e-05    -0.000107193
    -0.000121284     -0.00012131
     -1.7875e-05    -2.21278e-05
    -0.000267763    -0.000256329
     -0.00112597     -0.00101399
     -5.5624e-05    -4.93039e-05
     -1.4528e-05     -2.0621e-05
    -0.000771249    -0.000737774
     -2.1507e-05    -3.11818e-05
    -0.000648421    -0.000626532
       -0.001531     -0.00140545
     -0.00164294     -0.00147819
    -0.000534528    -0.000602953
    -0.000103784    -0.000111336
    -0.000827191    -0.000745036
     -1.8818e-05    -2.53325e-05
     -2.2346e-05    -4.15223e-05
     -4.8934e-05    -4.81141e-05
    -0.000524905    -0.000396306
     -0.00108958     -0.00106168
    -0.000163667    -0.000163996
      -0.0002069    -0.000208137
     -0.00250319     -0.00270194
     -4.6539e-05    -5.44541e-05
     -0.00102232    -0.000673365
    -0.000180313    -0.000228349
     -8.3409e-05    -0.000126028
     -1.3723e-05    -1.24623e-05
     -6.8507e-05      -6.062e-05
     -3.9962e-05    -4.19337e-05
     -0.00173382     -0.00173344
    -0.000166759    -0.000213153
     -0.00179557     -0.00177761
    -0.000155597    -0.000159731
    -0.000336257    -0.000314483
     -0.00045662    -0.000298225
     -4.9363e-05    -5.44039e-05
    -0.000163469    -0.000149522
      -0.0021761     -0.00237342
     -0.00201078     -0.00153801
    -0.000427931    -0.000489705
     -0.00146098     -0.00130819
    -0.000302826    -0.000296167
    -0.000454471    -0.000403588
    -0.000390146    -0.000392662
    -0.000660956    -0.000660055
    -0.000349364    -0.000392563
     -2.6894e-05    -2.59445e-05
     -3.3735e-05    -3.75999e-05
      -4.724e-06    -5.18687e-06
     -7.3451e-05    -0.000107595
    -0.000906531    -0.000744985
       1.883e-06     2.73238e-06
     -6.4492e-05    -0.000101333
      -7.324e-06    -8.70957e-06
      -5.672e-05    -8.86589e-05
     -6.3304e-05    -3.60738e-05
    -0.000166765    -0.000171034
     -0.00121007    -0.000843943
    -0.000245697    -0.000306928
     -1.9999e-05    -3.22987e-05
    -0.000181312    -0.000191897
     -1.2746e-05    -1.62546e-05
     -5.5626e-05    -6.45806e-05
     -0.00143409     -0.00154505
    -0.000388452    -0.000348281
     -1.2534e-05    -1.53183e-05
      -4.574e-06    -7.27135e-06
     -1.7434e-05    -2.53703e-05
    -0.000425923     -0.00032189
     -1.1654e-05    -1.50122e-05
    -0.000127787    -0.000158419
      -0.0013004     -0.00114409
     -0.00145128     -0.00128053
      -3.614e-06    -9.40002e-06
     -4.0492e-05    -4.38766e-05
    -0.000304043    -0.000306247
    -0.000874192     -0.00104417
    -0.000643485    -0.000616205
    -0.000457841    -0.000462055
    -0.000267967    -0.000297079
    -0.000147132    -0.000168909
    -0.000461312     -0.00050315
     -0.00294279     -0.00321082
      -9.923e-06    -1.91326e-05
     -1.2129e-05    -1.05204e-05
    -0.000467625    -0.000462685
      -0.0011565    -0.000856869
     -0.00219688     -0.00262997
     -0.00230375     -0.00276312
     -0.00015568     -0.00015994
     -0.00149457     -0.00132608
     -3.6223e-05    -4.44134e-05
     -4.9004e-05    -6.69052e-05
       -1.71e-06    -2.94694e-06
     -1.7736e-05    -2.44346e-05
     -6.4963e-05    -6.58773e-05
     -1.8467e-05    -2.15907e-05
    -0.000376976    -0.000413199
       1.338e-06     3.30118e-06
    -0.000632991    -0.000732633
     -2.7421e-05    -3.27176e-05
     -7.1048e-05    -8.40026e-05
    -0.000340216    -0.000305215
     -0.00018488    -0.000174753
     -3.1097e-05    -4.11452e-05
     -9.3405e-05    -9.22367e-05
    -0.000226208    -0.000243708
      -1.345e-05    -1.47808e-05
     -5.9176e-05    -5.59904e-05
     -0.00150579     -0.00126823
     -5.0561e-05    -6.92852e-05
     -2.1085e-05    -3.72801e-05
      -4.448e-06     -6.0374e-06
      -5.586e-06    -7.43533e-06
     -1.0862e-05    -1.16703e-05
      -8.784e-06    -9.60828e-06
     -3.6876e-05    -5.53755e-05
      -2.249e-05    -2.48689e-05
    -0.000607115    -0.000608933
     -6.3101e-05    -5.37782e-05
     -2.1304e-05    -1.83155e-05
     -2.5731e-05    -2.82619e-05
    -0.000554999    -0.000623545
     -4.0889e-05    -5.54128e-05
     -1.9559e-05    -1.81554e-05
     -0.00107198    -0.000960579
    -0.000865918     -0.00086231
     -7.3107e-05    -7.39883e-05
    -0.000834524    -0.000866646
     -1.2456e-05    -1.67728e-05
     -0.00156942     -0.00154524
    -0.000279661    -0.000293608
     -1.4076e-05    -1.53097e-05
     -8.2991e-05    -8.34817e-05
     -0.00133581     -0.00105831
     -0.00122748    -0.000828946
     -0.00110454     -0.00109765
     -5.2019e-05    -5.77835e-05
     -5.1397e-05    -7.42707e-05
    -0.000833679    -0.000807119
     -0.00114501    -0.000918672
    -0.000299589    -0.000334493
     -0.00148441     -0.00112024
     -2.1251e-05    -2.79035e-05
    -0.000793077    -0.000788423
    -0.000365525     -0.00037731
     -1.5841e-05    -1.57498e-05
     -2.2948e-05    -2.70697e-05
     -2.5442e-05      -2.965e-05
      -1.379e-05    -1.99887e-05
     -8.0276e-05    -8.50586e-05
      -8.058e-06    -9.63209e-06
     -0.00109648    -0.000994025
    -0.000117576    -0.000124217
    -0.000391033     -0.00038545
    -0.000549258    -0.000545375
      -7.703e-06    -1.15801e-05
     -0.00156536     -0.00178756
    -0.000428277    -0.000412891
     -6.8069e-05    -8.68799e-05
    -0.000258177    -0.000259218
    -0.000897717     -0.00076805
    -0.000732269    -0.000697718
     -7.9241e-05    -8.90854e-05
    -0.000323143    -0.000318115
     -1.2775e-05    -1.44593e-05
    -0.000489051    -0.000518729
    -0.000147674    -0.000188625
     -0.00125588     -0.00129235
    -0.000687802    -0.000776342
    -0.000430132    -0.000350165
     -1.1835e-05    -1.68592e-05
      -8.857e-05    -8.77264e-05
    -0.000931992    -0.000812857
     -4.4292e-05    -5.29504e-05
    -0.000840439     -0.00073197
    -0.000616251    -0.000457773
    -0.000171314    -0.000173005
     -3.5759e-05    -4.38565e-05
     -0.00103928    -0.000862659
    -0.000379869    -0.000356267
     -1.9398e-05    -2.24876e-05
     -0.00126658     -0.00109597
     -1.5577e-05    -2.09011e-05
     -4.7713e-05    -4.52721e-05
     -0.00170048     -0.00138253
      -6.435e-06    -5.90533e-06
     -2.1839e-05    -2.24271e-05
      -9.661e-06    -1.11808e-05
     -0.00158515     -0.00172764
    -0.000475978    -0.000397847
    -0.000184654    -0.000183201
      -4.476e-06     7.39996e-07
    -0.000186161    -0.000194152
     -1.4195e-05    -1.70508e-05
     -1.6594e-05    -1.75603e-05
    -0.000121401    -0.000142523
    -0.000472407    -0.000389434
    -0.000446071    -0.000345284
     -0.00104826     -0.00110689
      -1.622e-05    -2.37056e-05
     -5.4927e-05    -5.44696e-05
      -9.705e-06    -1.44835e-05
     -0.00186643     -0.00164978
     -8.0303e-05     -0.00010711
     -0.00148106     -0.00127729
     -7.9601e-05    -9.16201e-05
    -0.000271229    -0.000247266
      -9.675e-05    -0.000129925
     -3.0623e-05    -3.78447e-05
     -7.6277e-05    -0.000103613
     -1.6568e-05    -1.66038e-05
    -0.000154334    -0.000138421
    -0.000368533    -0.000381455
      -8.652e-06    -1.01172e-05
     -1.1748e-05     -1.6248e-05
       -5.18e-05    -6.23554e-05
      -5.597e-06    -1.02203e-05
     -1.5997e-05    -2.01084e-05
    -0.000961355    -0.000899014
     -0.00090991    -0.000934318
     -0.00020402    -0.000239989
     -5.3083e-05      -5.703e-05
    -0.000388268    -0.000366008
    -0.000376794    -0.000348614
     -0.00159165     -0.00174892
      -0.0011509      -0.0010193
    -0.000236047    -0.000252474
     -1.6321e-05    -1.91348e-05
     -0.00145811     -0.00177566
    -0.000119924    -0.000115215
     -0.00022617    -0.000226305
     -2.0951e-05    -2.50689e-05
    -0.000706202    -0.000581579
    -0.000139545    -0.000136509
    -0.000609422    -0.000554735
     -3.4858e-05    -4.54264e-05
       -4.51e-06     4.84977e-07
       -9.27e-05    -0.000102383
     -5.0433e-05    -5.37951e-05
    -0.000924768    -0.000605472
      -8.799e-05    -8.70504e-05
     -9.2545e-05    -9.67913e-05
     -0.00150341     -0.00136726
     -2.4485e-05     -2.9781e-05
    -0.000897723    -0.000728734
    -0.000257866    -0.000264039
     -0.00190761     -0.00191007
    -0.000375376    -0.000359443
    -0.000443823    -0.000552861
    -0.000545113    -0.000486016
      -8.664e-06    -1.16737e-05
    -0.000115398    -0.000100017
    -0.000824188     -0.00092283
    -0.000169251    -0.000159806
