QM Energy	FF Energy
     -9.4842e-05     -0.00010434
    -0.000188105    -0.000164301
     -0.00158697     -0.00147451
     -0.00130564     -0.00125714
    -0.000692019    -0.000640519
     -2.7416e-05    -2.52213e-05
    -0.000230709    -0.000273839
    -0.000906923     -0.00078216
    -0.000320263    -0.000200755
     -0.00178556     -0.00164592
     -1.5144e-05     -1.6632e-05
    -0.000265895    -0.000256307
      -3.713e-06    -6.16317e-06
     -5.5352e-05    -8.11079e-05
     -1.1211e-05    -1.29455e-05
    -0.000686459    -0.000558874
     -3.7541e-05    -3.80205e-05
    -0.000164852    -0.000165723
    -0.000176971    -0.000160474
    -0.000224555    -0.000215029
     -3.0828e-05    -3.23604e-05
     -3.6834e-05    -4.37281e-05
     -4.2041e-05    -4.22512e-05
      -7.017e-06    -1.13958e-05
     -0.00160349     -0.00151028
      -9.606e-06    -1.24171e-05
     -0.00137557     -0.00149183
    -0.000706824    -0.000664214
     -3.9103e-05    -7.06246e-05
     -9.9609e-05    -0.000105435
    -0.000302335     -0.00029918
    -0.000830149    -0.000778332
     -2.4824e-05    -3.65691e-05
      -3.018e-05    -3.63507e-05
     -1.9529e-05    -1.96672e-05
    -0.000260497     -0.00029733
      -9.157e-06    -1.50704e-05
     -0.00086491     -0.00102893
     -5.8011e-05    -7.27178e-05
     -5.4885e-05    -5.21061e-05
    -0.000325844     -0.00033299
     -9.7763e-05    -0.000107194
    -0.000121284    -0.000121316
     -1.7875e-05    -2.21309e-05
    -0.000267763    -0.000256329
     -0.00112597     -0.00101397
     -5.5624e-05    -4.93047e-05
     -1.4528e-05    -2.06183e-05
    -0.000771249    -0.000737779
     -2.1507e-05    -3.11812e-05
    -0.000648421    -0.000626535
       -0.001531     -0.00140545
     -0.00164294     -0.00147817
    -0.000534528    -0.000602951
    -0.000103784    -0.000111336
    -0.000827191    -0.000745035
     -1.8818e-05    -2.53357e-05
     -2.2346e-05    -4.15225e-05
     -4.8934e-05    -4.81126e-05
    -0.000524905    -0.000396306
     -0.00108958     -0.00106169
    -0.000163667     -0.00016399
      -0.0002069    -0.000208132
     -0.00250319     -0.00270195
     -4.6539e-05    -5.44531e-05
     -0.00102232    -0.000673363
    -0.000180313    -0.000228348
     -8.3409e-05    -0.000126028
     -1.3723e-05    -1.24705e-05
     -6.8507e-05    -6.06265e-05
     -3.9962e-05     -4.1914e-05
     -0.00173382     -0.00173332
    -0.000166759    -0.000213153
     -0.00179557     -0.00177762
    -0.000155597    -0.000159731
    -0.000336257     -0.00031447
     -0.00045662    -0.000298211
     -4.9363e-05    -5.44021e-05
    -0.000163469    -0.000149508
      -0.0021761     -0.00237336
     -0.00201078     -0.00153797
    -0.000427931    -0.000489708
     -0.00146098     -0.00130819
    -0.000302826     -0.00029618
    -0.000454471    -0.000403589
    -0.000390146    -0.000392651
    -0.000660956    -0.000660051
    -0.000349364     -0.00039261
     -2.6894e-05     -2.5945e-05
     -3.3735e-05    -3.76058e-05
      -4.724e-06    -5.18772e-06
     -7.3451e-05    -0.000107594
    -0.000906531     -0.00074499
       1.883e-06     2.73122e-06
     -6.4492e-05    -0.000101327
      -7.324e-06    -8.70867e-06
      -5.672e-05    -8.86487e-05
     -6.3304e-05    -3.61126e-05
    -0.000166765    -0.000171036
     -0.00121007     -0.00084394
    -0.000245697    -0.000306951
     -1.9999e-05    -3.22976e-05
    -0.000181312    -0.000191901
     -1.2746e-05    -1.62578e-05
     -5.5626e-05    -6.45846e-05
     -0.00143409     -0.00154501
    -0.000388452     -0.00034829
     -1.2534e-05    -1.53189e-05
      -4.574e-06    -7.26808e-06
     -1.7434e-05    -2.53721e-05
    -0.000425923    -0.000321887
     -1.1654e-05    -1.50131e-05
    -0.000127787    -0.000158421
      -0.0013004     -0.00114407
     -0.00145128     -0.00128052
      -3.614e-06    -9.40063e-06
     -4.0492e-05    -4.38817e-05
    -0.000304043    -0.000306246
    -0.000874192     -0.00104418
    -0.000643485    -0.000616211
    -0.000457841    -0.000462051
    -0.000267967    -0.000297063
    -0.000147132    -0.000168909
    -0.000461312    -0.000503178
     -0.00294279     -0.00321101
      -9.923e-06    -1.91327e-05
     -1.2129e-05    -1.05496e-05
    -0.000467625    -0.000462718
      -0.0011565    -0.000856856
     -0.00219688     -0.00263012
     -0.00230375     -0.00276318
     -0.00015568    -0.000159944
     -0.00149457     -0.00132609
     -3.6223e-05    -4.44224e-05
     -4.9004e-05    -6.69043e-05
       -1.71e-06    -2.94905e-06
     -1.7736e-05    -2.45157e-05
     -6.4963e-05    -6.58764e-05
     -1.8467e-05    -2.15834e-05
    -0.000376976    -0.000413226
       1.338e-06     3.31007e-06
    -0.000632991    -0.000732637
     -2.7421e-05    -3.26949e-05
     -7.1048e-05     -8.4037e-05
    -0.000340216     -0.00030523
     -0.00018488     -0.00017475
     -3.1097e-05    -4.11455e-05
     -9.3405e-05    -9.22413e-05
    -0.000226208    -0.000243704
      -1.345e-05     -1.4778e-05
     -5.9176e-05     -5.5991e-05
     -0.00150579     -0.00126823
     -5.0561e-05    -6.92999e-05
     -2.1085e-05    -3.72943e-05
      -4.448e-06    -6.03485e-06
      -5.586e-06    -7.45712e-06
     -1.0862e-05    -1.16698e-05
      -8.784e-06    -9.57905e-06
     -3.6876e-05    -5.53776e-05
      -2.249e-05    -2.48608e-05
    -0.000607115     -0.00060898
     -6.3101e-05      -5.378e-05
     -2.1304e-05    -1.83199e-05
     -2.5731e-05    -2.82639e-05
    -0.000554999    -0.000623549
     -4.0889e-05    -5.54159e-05
     -1.9559e-05    -1.81559e-05
     -0.00107198    -0.000960542
    -0.000865918    -0.000862342
     -7.3107e-05    -7.40036e-05
    -0.000834524    -0.000866638
     -1.2456e-05    -1.67688e-05
     -0.00156942      -0.0015451
    -0.000279661    -0.000293609
     -1.4076e-05    -1.53119e-05
     -8.2991e-05    -8.34846e-05
     -0.00133581      -0.0010583
     -0.00122748    -0.000828864
     -0.00110454     -0.00109756
     -5.2019e-05    -5.77796e-05
     -5.1397e-05    -7.42722e-05
    -0.000833679    -0.000807135
     -0.00114501    -0.000918673
    -0.000299589    -0.000334517
     -0.00148441     -0.00112017
     -2.1251e-05    -2.79027e-05
    -0.000793077    -0.000788365
    -0.000365525    -0.000377302
     -1.5841e-05    -1.57493e-05
     -2.2948e-05    -2.70672e-05
     -2.5442e-05     -2.9645e-05
      -1.379e-05    -1.99887e-05
     -8.0276e-05    -8.50563e-05
      -8.058e-06    -9.63136e-06
     -0.00109648    -0.000994024
    -0.000117576    -0.000124224
    -0.000391033    -0.000385445
    -0.000549258    -0.000545391
      -7.703e-06    -1.15798e-05
     -0.00156536     -0.00178757
    -0.000428277    -0.000412907
     -6.8069e-05    -8.68702e-05
    -0.000258177    -0.000259215
    -0.000897717    -0.000768055
    -0.000732269    -0.000697716
     -7.9241e-05    -8.90867e-05
    -0.000323143    -0.000318118
     -1.2775e-05    -1.44573e-05
    -0.000489051    -0.000518734
    -0.000147674    -0.000188624
     -0.00125588     -0.00129233
    -0.000687802    -0.000776331
    -0.000430132    -0.000350157
     -1.1835e-05    -1.68583e-05
      -8.857e-05    -8.77251e-05
    -0.000931992     -0.00081286
     -4.4292e-05    -5.29469e-05
    -0.000840439    -0.000731953
    -0.000616251    -0.000457772
    -0.000171314    -0.000173005
     -3.5759e-05    -4.38567e-05
     -0.00103928    -0.000862632
    -0.000379869    -0.000356297
     -1.9398e-05    -2.24891e-05
     -0.00126658     -0.00109596
     -1.5577e-05    -2.09052e-05
     -4.7713e-05    -4.52747e-05
     -0.00170048      -0.0013825
      -6.435e-06    -5.91345e-06
     -2.1839e-05    -2.24273e-05
      -9.661e-06    -1.11815e-05
     -0.00158515     -0.00172778
    -0.000475978    -0.000397766
    -0.000184654    -0.000183189
      -4.476e-06     7.43807e-07
    -0.000186161    -0.000194155
     -1.4195e-05    -1.70557e-05
     -1.6594e-05    -1.75552e-05
    -0.000121401    -0.000142522
    -0.000472407    -0.000389436
    -0.000446071    -0.000345285
     -0.00104826     -0.00110691
      -1.622e-05    -2.37046e-05
     -5.4927e-05    -5.44733e-05
      -9.705e-06    -1.44899e-05
     -0.00186643     -0.00164978
     -8.0303e-05    -0.000107115
     -0.00148106     -0.00127729
     -7.9601e-05    -9.16144e-05
    -0.000271229    -0.000247259
      -9.675e-05    -0.000129924
     -3.0623e-05    -3.78537e-05
     -7.6277e-05    -0.000103614
     -1.6568e-05    -1.66024e-05
    -0.000154334    -0.000138405
    -0.000368533    -0.000381455
      -8.652e-06      -1.012e-05
     -1.1748e-05    -1.62435e-05
       -5.18e-05    -6.23558e-05
      -5.597e-06    -1.02134e-05
     -1.5997e-05    -2.01251e-05
    -0.000961355    -0.000899019
     -0.00090991    -0.000934316
     -0.00020402     -0.00023999
     -5.3083e-05    -5.70255e-05
    -0.000388268    -0.000366006
    -0.000376794    -0.000348613
     -0.00159165     -0.00174903
      -0.0011509      -0.0010193
    -0.000236047    -0.000252489
     -1.6321e-05    -1.91353e-05
     -0.00145811     -0.00177557
    -0.000119924    -0.000115222
     -0.00022617    -0.000226311
     -2.0951e-05    -2.50713e-05
    -0.000706202    -0.000581581
    -0.000139545    -0.000136506
    -0.000609422    -0.000554699
     -3.4858e-05    -4.54273e-05
       -4.51e-06     4.96836e-07
       -9.27e-05    -0.000102366
     -5.0433e-05    -5.37985e-05
    -0.000924768     -0.00060547
      -8.799e-05    -8.70541e-05
     -9.2545e-05    -9.67904e-05
     -0.00150341     -0.00136729
     -2.4485e-05    -2.97764e-05
    -0.000897723    -0.000728758
    -0.000257866    -0.000264082
     -0.00190761     -0.00191032
    -0.000375376    -0.000359411
    -0.000443823    -0.000552864
    -0.000545113    -0.000485979
      -8.664e-06    -1.16738e-05
    -0.000115398    -0.000100018
    -0.000824188    -0.000922824
    -0.000169251    -0.000159801
     -0.00043588    -0.000519904
    -0.000129739    -0.000179333
     -3.3598e-05    -3.77649e-05
    -0.000843195    -0.000593798
     -9.5024e-05    -0.000116143
    -0.000105357    -9.05737e-05
     -0.00125114      -0.0014974
     -8.5652e-05    -7.13424e-05
     -4.4711e-05    -4.84112e-05
    -0.000621319    -0.000638371
     -2.9096e-05     -2.3778e-05
      -1.178e-05    -1.53154e-05
     -5.0453e-05    -4.71041e-05
     -6.5685e-05    -6.09868e-05
    -0.000206124    -0.000198999
     -0.00155774     -0.00152302
    -0.000749063     -0.00068962
     -0.00034955    -0.000314671
      -1.148e-05    -1.90215e-05
      -5.916e-06    -6.52126e-06
    -0.000647266    -0.000612988
    -0.000287204    -0.000286224
     -0.00141346     -0.00150201
    -0.000136082    -0.000153189
    -0.000145541     -0.00016756
     -0.00061119    -0.000635622
    -0.000137072    -0.000173019
     -7.8506e-05    -8.38962e-05
     -0.00011581    -0.000113867
    -0.000600956    -0.000709045
     -6.1617e-05    -6.42431e-05
     -9.8999e-05    -0.000140563
     -0.00179654     -0.00202532
      -0.0006515    -0.000704459
     -0.00037643     -0.00041958
       -0.001332    -0.000932814
    -0.000652894    -0.000719947
     -9.5239e-05    -9.40394e-05
    -0.000248074    -0.000309977
     -6.3504e-05    -5.88928e-05
    -0.000255639    -0.000218075
     -6.9511e-05    -7.67107e-05
    -0.000187474    -0.000187999
     -1.3251e-05    -2.77742e-05
    -0.000123409     -6.4447e-05
    -0.000587506    -0.000527559
     -4.0478e-05    -4.41034e-05
    -0.000356316    -0.000331243
    -0.000913353     -0.00098458
    -0.000506608    -0.000530823
     -7.2727e-05    -7.29186e-05
    -0.000745809    -0.000866739
     -5.5686e-05    -5.58557e-05
    -0.000108914    -0.000104686
     -0.00015495    -0.000142109
     -1.7197e-05     -1.8641e-05
     -0.00010757     -0.00011286
       -0.001179     -0.00123292
     -1.3298e-05    -1.65214e-05
     -4.0078e-05    -4.79117e-05
    -0.000394835    -0.000396444
     -2.3958e-05    -3.19857e-05
     -2.7577e-05     -3.0601e-05
     -0.00115962    -0.000974166
    -0.000139192     -0.00013401
    -0.000410608    -0.000419861
     -1.1453e-05    -1.12874e-05
     -0.00102636     -0.00107759
     -1.0058e-05    -1.37757e-05
     -2.0183e-05    -2.25083e-05
     -2.2754e-05    -2.27653e-05
     -7.3365e-05       -7.72e-05
     -0.00151403     -0.00187412
     -3.1769e-05    -3.15097e-05
    -0.000159072    -0.000120439
     -0.00029538    -0.000302395
     -0.00132498     -0.00111883
     -0.00012626    -0.000131391
    -0.000190178    -0.000169668
     -0.00058837    -0.000550998
    -0.000323015    -0.000227911
    -0.000814611    -0.000785895
      -8.479e-06    -1.06373e-05
     -3.6479e-05    -4.53815e-05
     -0.00240401     -0.00313551
       -8.36e-06    -1.29142e-05
    -0.000236651    -0.000253381
       -1.67e-06    -3.05161e-06
     -3.3705e-05    -5.10993e-05
     -1.6077e-05    -1.75593e-05
     -7.9678e-05    -7.79303e-05
    -0.000550929     -0.00064047
    -0.000530969    -0.000630115
    -0.000583115    -0.000424085
     -3.0772e-05      -4.443e-05
     -6.9736e-05    -7.60271e-05
    -0.000131724    -0.000139667
    -0.000546004    -0.000520995
    -0.000403432    -0.000397202
    -0.000493334    -0.000356891
    -0.000583887    -0.000681045
     -4.2434e-05    -4.77516e-05
    -0.000756906    -0.000683928
    -0.000709652    -0.000618113
     -1.4637e-05    -1.77258e-05
    -0.000225701     -0.00024054
     -0.00175443     -0.00148109
    -0.000137398    -0.000147738
     -6.0254e-05     -5.2783e-05
     -1.0564e-05    -9.58293e-06
    -0.000266414    -0.000236752
     -0.00118862     -0.00106596
    -0.000585191    -0.000667087
    -0.000527062    -0.000506015
     -2.5797e-05    -1.53842e-05
     -6.2391e-05    -6.04323e-05
    -0.000173042    -0.000185341
    -0.000364385    -0.000345185
    -0.000429458    -0.000404512
    -0.000585312    -0.000641335
    -0.000238628    -0.000242378
      -2.258e-05    -1.85747e-05
     -0.00171992     -0.00149869
     -0.00121749      -0.0013392
    -0.000194564    -0.000206215
     -2.8782e-05    -3.65583e-05
      -0.0013642    -0.000898692
     -3.4977e-05    -3.92133e-05
     -3.5958e-05    -4.39421e-05
      -2.584e-06    -8.58054e-06
     -5.0661e-05    -5.21446e-05
    -0.000293217    -0.000286572
      -6.576e-06    -1.37667e-05
     -5.6695e-05    -6.62901e-05
     -0.00226238     -0.00209697
     -1.5465e-05    -1.65718e-05
    -0.000103957    -0.000105092
     -1.7137e-05    -2.21992e-05
     -1.0215e-05    -1.61921e-05
    -0.000385499    -0.000339776
     -1.0718e-05    -1.55157e-05
    -0.000466846    -0.000471333
     -0.00123871     -0.00129376
     -1.2882e-05     -1.3565e-05
      -9.432e-06    -1.50824e-05
     -0.00150491     -0.00193052
     -1.7207e-05    -2.24312e-05
      -2.766e-06    -2.55497e-06
     -4.8589e-05    -6.73911e-05
     -2.5342e-05    -3.22364e-05
     -0.00101286    -0.000653217
     -7.0362e-05    -6.50756e-05
    -0.000533561    -0.000484184
    -0.000902301     -0.00101287
     -2.6855e-05    -3.48237e-05
     -0.00212004     -0.00218296
     -1.8985e-05    -1.68633e-05
    -0.000143394    -0.000139336
    -0.000193515     -0.00015545
     -0.00110775    -0.000857804
     -8.1795e-05    -9.12379e-05
     -0.00105474    -0.000985785
     -0.00277095     -0.00309291
    -0.000615211    -0.000545016
     -4.5556e-05     -5.1134e-05
    -0.000844414    -0.000909862
    -0.000353826    -0.000340989
     -8.8653e-05    -0.000100967
    -0.000826053    -0.000777516
      -6.693e-06    -1.51122e-05
    -0.000300193    -0.000331479
     -2.0853e-05    -2.84641e-05
     -0.00027437     -0.00027809
     -8.3821e-05      -6.672e-05
     -7.7287e-05    -7.92034e-05
    -0.000625096    -0.000597034
     -1.5065e-05    -2.14756e-05
     -3.4178e-05    -3.32621e-05
     -0.00128408     -0.00121051
     -0.00135963     -0.00114247
    -0.000526334    -0.000406661
    -0.000126032    -0.000137126
    -0.000183407    -0.000194972
     -0.00164481     -0.00165179
     -4.8063e-05    -6.02406e-05
     -1.9154e-05    -2.18629e-05
      -8.913e-06    -2.23191e-05
    -0.000109167    -0.000110696
     -6.8675e-05    -7.81149e-05
    -0.000481135    -0.000388751
     -0.00107148     -0.00110147
     -1.3188e-05     -1.6906e-05
     -3.7369e-05    -2.94948e-05
       -6.44e-07     9.37778e-07
     -3.2589e-05    -5.37358e-05
    -0.000201881    -0.000192943
     -0.00036273    -0.000380369
     -0.00050687     -0.00048258
    -0.000449186    -0.000459678
     -4.1545e-05    -4.84642e-05
     -0.00166088     -0.00155657
     -0.00126824     -0.00129319
     -7.3571e-05    -8.02765e-05
    -0.000278863    -0.000319115
     -4.7292e-05    -5.10811e-05
    -0.000411831    -0.000498653
     -1.6438e-05    -1.89748e-05
    -0.000381394    -0.000381321
     -5.7789e-05    -6.50114e-05
     -1.0919e-05    -1.05682e-05
     -7.0727e-05    -7.43915e-05
     -1.3035e-05    -1.62315e-05
     -3.5161e-05    -4.81381e-05
    -0.000943966    -0.000847214
    -0.000446196    -0.000418101
     -4.0871e-05     -3.9086e-05
    -0.000224189    -0.000198032
    -0.000607185    -0.000469645
     -9.2594e-05    -8.07727e-05
     -1.0796e-05    -1.11639e-05
      -8.658e-06    -1.49656e-05
     -1.2288e-05    -1.64169e-05
      -3.419e-06    -5.65595e-06
      -0.0017985     -0.00206313
     -2.2303e-05    -2.15774e-05
     -0.00065366    -0.000701141
    -0.000141802     -0.00016254
     -2.1451e-05    -2.84487e-05
    -0.000174057    -0.000176333
     -3.2775e-05    -4.22684e-05
      -3.333e-06    -2.68312e-06
      -9.251e-06    -1.02024e-05
     -1.0459e-05    -9.87137e-06
    -0.000768253    -0.000655433
      -9.725e-06    -1.15017e-05
     -1.8045e-05    -2.31993e-05
      -9.474e-06    -1.28951e-05
    -0.000100222    -0.000121954
    -0.000125897    -0.000138451
     -7.9895e-05    -5.64244e-05
    -0.000421126    -0.000427891
    -0.000359907    -0.000333673
    -0.000650635    -0.000544236
     -1.5517e-05    -2.29024e-05
    -0.000733021    -0.000673343
     -0.00124668     -0.00128678
    -0.000322823    -0.000419748
     -6.4971e-05    -8.68485e-05
    -0.000299697     -0.00026251
     -5.3392e-05    -7.61878e-05
    -0.000141814     -0.00017799
     -0.00046635    -0.000462303
     -0.00152881     -0.00164384
     -2.0727e-05     -3.1208e-05
     -6.2677e-05    -7.03011e-05
      -8.842e-06    -1.46841e-05
     -0.00100787    -0.000956788
     -8.5847e-05    -0.000110226
     -4.5226e-05    -7.56066e-05
     -6.0467e-05    -6.22368e-05
     -1.2427e-05    -1.46984e-05
     -7.7742e-05    -0.000108754
     -0.00123591     -0.00106183
      -9.071e-06    -1.18336e-05
     -4.8932e-05    -5.78212e-05
      -7.407e-06    -8.46757e-06
      -1.589e-05    -2.21398e-05
     -4.5944e-05    -4.73818e-05
     -0.00157592     -0.00112598
    -0.000108143    -0.000100609
     -0.00157975     -0.00142029
    -0.000701035    -0.000613933
    -0.000184549    -0.000188161
      -5.638e-05    -7.25864e-05
     -2.8633e-05    -2.91579e-05
     -0.00134149     -0.00144109
     -1.1566e-05    -1.85615e-05
    -0.000534467    -0.000525584
    -0.000213322    -0.000220764
      -4.981e-05    -5.85102e-05
     -3.6867e-05    -2.81779e-05
     -0.00101834     -0.00119021
    -0.000605703    -0.000548732
     -1.3402e-05    -1.76292e-05
    -0.000275217    -0.000254393
      -7.636e-05     -9.3832e-05
    -0.000814566     -0.00104985
      -9.386e-05    -0.000116689
    -0.000142128    -0.000149034
     -3.9658e-05    -4.49374e-05
     -4.0538e-05    -4.79859e-05
    -0.000282785    -0.000257036
     -3.7408e-05    -4.48422e-05
      -1.251e-05    -1.46436e-05
    -0.000668374    -0.000533566
     -2.9377e-05    -3.04463e-05
    -0.000463249    -0.000423422
    -0.000344654    -0.000260328
     -1.8723e-05    -3.29419e-05
     -1.0215e-05     -1.5952e-05
    -0.000241663    -0.000297699
    -0.000207797    -0.000193874
     -2.8084e-05    -3.77842e-05
    -0.000261327    -0.000214127
    -0.000118289    -0.000142234
      -9.903e-06    -1.08258e-05
     -5.6197e-05    -8.28577e-05
      -7.411e-06    -9.66354e-06
     -1.8508e-05    -2.15343e-05
      -8.217e-05    -9.38086e-05
     -9.5064e-05    -0.000108895
     -0.00130302      -0.0015214
     -0.00059478    -0.000420204
     -4.3076e-05    -5.89157e-05
     -3.9367e-05    -4.85693e-05
     -9.2563e-05    -0.000106358
    -0.000128265    -0.000109914
     -1.2006e-05    -1.58882e-05
      -1.021e-05    -1.43934e-05
      -5.107e-05    -4.36945e-05
    -0.000109397    -0.000118816
    -0.000247383     -0.00025397
     -2.2475e-05    -2.58192e-05
    -0.000828285     -0.00084213
      -6.973e-06    -1.05917e-05
    -0.000896595    -0.000765635
    -0.000164265    -0.000175166
    -0.000561612    -0.000520762
      -7.225e-05    -9.51695e-05
     -6.8799e-05    -8.51325e-05
     -1.8794e-05    -3.89332e-05
     -1.4391e-05    -1.23162e-05
    -0.000230014    -0.000204215
    -0.000376009    -0.000319097
    -0.000928642    -0.000993246
     -3.0816e-05    -2.59029e-05
     -0.00151923     -0.00149422
     -8.9401e-05    -0.000114724
    -0.000828373    -0.000770679
      -9.534e-06    -9.46276e-06
     -0.00020787    -0.000202197
     -6.4506e-05    -7.80273e-05
     -5.2969e-05    -7.48024e-05
     -9.7306e-05    -8.56884e-05
    -0.000209618    -0.000191898
    -0.000254151    -0.000190417
    -0.000121477    -0.000107217
    -0.000293309    -0.000284696
    -0.000413436    -0.000337249
       -1.43e-05    -1.86939e-05
     -0.00122452     -0.00123556
     -2.5216e-05    -4.15122e-05
    -0.000173429    -0.000176941
    -0.000309202    -0.000286632
      -2.357e-05    -2.71998e-05
    -0.000708189    -0.000687092
    -0.000703684    -0.000760659
     -8.5363e-05    -0.000104277
     -2.1034e-05    -2.66095e-05
      -1.407e-05    -2.31072e-05
    -0.000174227    -0.000186405
      -3.495e-06     -5.6018e-06
     -0.00030127     -0.00026849
      -4.998e-05    -4.80009e-05
     -1.1954e-05    -1.72951e-05
     -1.7434e-05    -1.69319e-05
     -1.4451e-05    -2.14863e-05
     -0.00238749      -0.0027976
     -6.1732e-05    -7.65615e-05
     -0.00165187     -0.00165527
     -6.7274e-05     -8.1716e-05
    -0.000169839    -0.000222705
       -9.94e-06    -1.09849e-05
    -0.000203056    -0.000183875
    -0.000165129    -0.000161189
     -1.9989e-05    -2.86072e-05
     -0.00049076    -0.000437089
    -0.000596776    -0.000563431
    -0.000174274    -0.000154645
      -9.444e-06    -1.57066e-05
     -0.00091459    -0.000696192
     -0.00159327     -0.00116658
     -6.6597e-05    -6.59203e-05
     -6.4275e-05    -6.07079e-05
    -0.000906214    -0.000857182
     -2.8302e-05    -3.65257e-05
    -0.000108154    -0.000120579
    -0.000103261    -0.000133734
     -4.7487e-05    -3.71814e-05
     -1.3188e-05    -1.36201e-05
      -0.0011154    -0.000983416
    -0.000348239    -0.000323501
      -8.812e-06    -1.39558e-05
    -0.000159752    -0.000143977
    -0.000235908    -0.000220105
     -9.5302e-05    -9.46547e-05
     -0.00031978    -0.000327234
     -1.5374e-05    -1.75451e-05
     -0.00214925     -0.00221204
    -0.000807897    -0.000739078
     -7.4383e-05    -0.000103108
    -0.000176127    -0.000160361
    -0.000114361    -0.000155558
    -0.000153876    -0.000179087
