# Eelst 		 Emultipole 
      0.00166943       0.00212599
     -0.00166333      -0.00082267
     -0.00597302       0.00442234
     -0.00829776      -0.00152548
     -0.00254062       0.00041789
     -0.00101791      -0.00062971
     -0.00407505      -0.00233858
     -0.00439232       0.00011285
      0.00254427       0.00373212
     -0.01176731      -0.00158607
     -0.00011024       0.00007121
     -0.00121690       0.00025258
      0.00103250       0.00094970
      0.00024964       0.00042322
      0.00200909       0.00190382
     -0.00267715       0.00191406
     -0.00021430      -0.00024463
     -0.00076808      -0.00010259
     -0.00227916      -0.00021058
     -0.00315300      -0.00220561
      0.00020668       0.00050287
     -0.00058877      -0.00043373
      0.00019934       0.00047475
      0.00005016      -0.00003575
     -0.01025143      -0.00204196
      0.00001334       0.00023747
     -0.00744596      -0.00106006
     -0.00299032       0.00170486
      0.00141816       0.00166481
     -0.00000282       0.00057821
     -0.00243211      -0.00069312
     -0.00174444       0.00001045
      0.00117125       0.00177268
     -0.00086227      -0.00080623
     -0.00077957      -0.00069921
      0.00109952       0.00156450
     -0.00101203      -0.00111787
     -0.00828530      -0.00395695
     -0.00029268      -0.00095342
      0.00030354       0.00135294
     -0.00245571      -0.00120567
      0.00103768       0.00187344
     -0.00073374      -0.00018046
     -0.00151799      -0.00163132
     -0.00071261       0.00070187
     -0.00765640      -0.00101290
     -0.00248243      -0.00177339
     -0.00111809      -0.00098781
     -0.00363610      -0.00022977
      0.00018061       0.00043713
     -0.00213589      -0.00029785
     -0.00435964       0.00550055
     -0.00853641      -0.00154556
     -0.00313119      -0.00152932
     -0.00071352      -0.00035980
     -0.00507456      -0.00160509
      0.00023089      -0.00002225
      0.00237289       0.00224359
     -0.00050647      -0.00032235
     -0.00081920       0.00100146
     -0.00165784       0.00038915
     -0.00117021       0.00006719
     -0.00090621       0.00021979
     -0.01387903      -0.00159791
     -0.00341728      -0.00247556
     -0.00001715       0.00499935
     -0.00176687      -0.00033782
      0.00056783       0.00094523
      0.00115706       0.00169130
     -0.00110749      -0.00086946
     -0.00041543      -0.00032557
     -0.01221351      -0.00186924
      0.00120005       0.00140914
     -0.01001846       0.00063453
     -0.00049401       0.00020927
     -0.00089434       0.00118127
     -0.00059602       0.00120664
     -0.00190623      -0.00101718
     -0.00036993       0.00070216
     -0.01651108       0.00176678
     -0.00937756       0.00072385
     -0.00170671      -0.00094510
     -0.00597003       0.00065808
      0.00173376       0.00268130
     -0.00301134      -0.00104545
     -0.00179439       0.00076010
     -0.00725768      -0.00584654
     -0.00269251      -0.00192383
      0.00033688       0.00065076
     -0.00105054      -0.00094709
      0.00182743       0.00162505
      0.00162052       0.00195385
     -0.00772329      -0.00628147
      0.00206026       0.00204788
      0.00304327       0.00316201
     -0.00049943      -0.00056550
     -0.00158591      -0.00185502
      0.00313381       0.00382336
     -0.00067308       0.00004387
     -0.00515911       0.00053090
      0.00046775       0.00094769
      0.00025946       0.00012996
     -0.00106986       0.00045879
     -0.00044644      -0.00051339
     -0.00266706      -0.00210390
     -0.00664997       0.00042272
     -0.00513882      -0.00305064
     -0.00147271      -0.00169603
      0.00138449       0.00114412
     -0.00008998      -0.00003847
     -0.00152336       0.00080120
     -0.00066800      -0.00058561
      0.00039035       0.00032443
     -0.00731554      -0.00074588
     -0.00603450       0.00001778
      0.00092966       0.00042030
      0.00240141       0.00258718
     -0.00165173       0.00068388
     -0.00630326      -0.00081515
     -0.00180747       0.00026222
     -0.00267551      -0.00122104
     -0.00167869      -0.00073970
     -0.00058267      -0.00008146
     -0.00527436      -0.00185863
     -0.02145883      -0.00132837
      0.00096426       0.00115613
      0.00109821       0.00180054
     -0.00104692       0.00010251
     -0.00691361      -0.00295684
     -0.01110672       0.00695462
     -0.01982918      -0.00234906
     -0.00026470      -0.00090979
     -0.00246449       0.00721523
     -0.00078116      -0.00073225
     -0.00133917      -0.00077484
      0.00167066       0.00157452
      0.00019802       0.00039648
     -0.00066979      -0.00000614
      0.00024592       0.00090485
     -0.00040007       0.00172675
      0.00250873       0.00255594
     -0.00090225       0.00150146
      0.00048951       0.00059052
     -0.00120327      -0.00108678
     -0.00224058      -0.00060392
      0.00362022       0.00413513
      0.00023503       0.00031883
     -0.00046788      -0.00036175
     -0.00052262       0.00010575
     -0.00061822      -0.00083825
     -0.00093621      -0.00079716
     -0.00611047       0.00087409
      0.00065391       0.00052429
     -0.00117477      -0.00154444
     -0.00022988      -0.00037085
     -0.00042293      -0.00060994
     -0.00050942      -0.00010925
      0.00134630       0.00159370
      0.00031306       0.00048196
     -0.00021574      -0.00014684
     -0.00254436       0.00369346
     -0.00131420      -0.00062909
     -0.00164050      -0.00133712
     -0.00122877      -0.00140311
     -0.00338346      -0.00154124
     -0.00123789      -0.00121223
     -0.00077872      -0.00060827
     -0.00763029      -0.00279895
     -0.00317815      -0.00107073
     -0.00198419      -0.00124956
     -0.00381196      -0.00132739
     -0.00083708      -0.00081019
     -0.00953658      -0.00250828
     -0.00044691       0.00106849
     -0.00071550      -0.00066929
     -0.00214207      -0.00160776
     -0.00527273       0.00143034
     -0.01052694      -0.00447214
     -0.00395191       0.00393279
     -0.00065603      -0.00053444
