QM Energy	FF Energy
     -0.00278533     -0.00272331
     -0.00186303     -0.00176461
      -0.0074393     -0.00742342
     -0.00888611     -0.00901539
      -0.0051216     -0.00532202
    -0.000788802    -0.000722107
     -0.00373315     -0.00369903
      -0.0058866     -0.00583507
     -0.00308166     -0.00305013
     -0.00960757     -0.00958368
    -0.000604534    -0.000541353
     -0.00228524     -0.00219114
    -0.000545397     -0.00049329
     -0.00150316     -0.00151149
    -0.000885473    -0.000807546
     -0.00588958     -0.00594112
     -0.00105532     -0.00099529
     -0.00298029      -0.0028862
     -0.00239843     -0.00236814
      -0.0022407     -0.00222814
      -0.0010692    -0.000998263
     -0.00134337     -0.00130847
     -0.00115155     -0.00110623
    -0.000660784    -0.000631243
     -0.00795585     -0.00801464
     -0.00073898    -0.000681215
      -0.0072659     -0.00733608
     -0.00460476     -0.00464031
     -0.00179263     -0.00180448
     -0.00242767       -0.002448
     -0.00415617     -0.00418776
     -0.00354112     -0.00334319
     -0.00126549     -0.00124635
     -0.00124389     -0.00118357
    -0.000673225    -0.000598783
     -0.00258369     -0.00264773
     -0.00061447    -0.000591212
     -0.00659135     -0.00664183
     -0.00122318     -0.00119104
     -0.00153114     -0.00148092
     -0.00285632     -0.00276871
     -0.00249914     -0.00251295
     -0.00223058     -0.00220534
     -0.00101101    -0.000969427
     -0.00281113     -0.00279529
     -0.00628544     -0.00627711
     -0.00109681     -0.00103366
    -0.000907545    -0.000888308
     -0.00514999     -0.00521893
     -0.00138087     -0.00137659
     -0.00390112     -0.00381604
     -0.00682686     -0.00702199
     -0.00783853     -0.00786292
     -0.00379892     -0.00381975
     -0.00152025     -0.00148144
     -0.00413698     -0.00407754
     -0.00104375      -0.0010019
      -0.0010605     -0.00103455
     -0.00139422     -0.00132942
     -0.00359976     -0.00363191
     -0.00399981      -0.0038114
     -0.00267098     -0.00259908
     -0.00194591     -0.00190172
      -0.0115474      -0.0115339
     -0.00131777     -0.00123467
      -0.0051901     -0.00533472
      -0.0029066     -0.00289021
     -0.00155674     -0.00158219
     -0.00126829     -0.00122822
     -0.00166329      -0.0015867
     -0.00123253     -0.00119438
      -0.0085471     -0.00841003
       -0.002499     -0.00256214
      -0.0106823      -0.0108875
     -0.00234079     -0.00231411
