QM Energy	FF Energy
     -9.4842e-05    -0.000104319
    -0.000188105    -0.000164302
     -0.00158697      -0.0014745
     -0.00130564     -0.00125717
    -0.000692019    -0.000640516
     -2.7416e-05    -2.52235e-05
    -0.000230709    -0.000273841
    -0.000906923    -0.000782167
    -0.000320263    -0.000200751
     -0.00178556     -0.00164596
     -1.5144e-05    -1.66317e-05
    -0.000265895    -0.000256302
      -3.713e-06    -6.16658e-06
     -5.5352e-05    -8.10903e-05
     -1.1211e-05    -1.29454e-05
    -0.000686459    -0.000558867
     -3.7541e-05    -3.80283e-05
    -0.000164852    -0.000165677
    -0.000176971    -0.000160473
    -0.000224555    -0.000215025
     -3.0828e-05    -3.23627e-05
     -3.6834e-05    -4.37287e-05
     -4.2041e-05    -4.22506e-05
      -7.017e-06    -1.13963e-05
     -0.00160349      -0.0015103
      -9.606e-06    -1.24157e-05
     -0.00137557     -0.00149182
    -0.000706824    -0.000664203
     -3.9103e-05    -7.06255e-05
     -9.9609e-05    -0.000105435
    -0.000302335     -0.00029918
    -0.000830149    -0.000778348
     -2.4824e-05    -3.65676e-05
      -3.018e-05    -3.63794e-05
     -1.9529e-05    -1.96692e-05
    -0.000260497    -0.000297335
      -9.157e-06    -1.50708e-05
     -0.00086491     -0.00102895
     -5.8011e-05    -7.27133e-05
     -5.4885e-05    -5.20956e-05
    -0.000325844    -0.000333006
     -9.7763e-05    -0.000107212
    -0.000121284    -0.000121313
     -1.7875e-05    -2.21275e-05
    -0.000267763     -0.00025633
     -0.00112597       -0.001014
     -5.5624e-05       -4.93e-05
     -1.4528e-05    -2.06189e-05
    -0.000771249    -0.000737787
     -2.1507e-05    -3.11816e-05
    -0.000648421    -0.000626534
       -0.001531     -0.00140544
     -0.00164294     -0.00147816
    -0.000534528    -0.000602952
    -0.000103784    -0.000111336
    -0.000827191    -0.000745033
     -1.8818e-05    -2.53355e-05
     -2.2346e-05    -4.15204e-05
     -4.8934e-05    -4.81136e-05
    -0.000524905    -0.000396308
     -0.00108958      -0.0010617
    -0.000163667    -0.000163995
      -0.0002069    -0.000208132
     -0.00250319     -0.00270194
     -4.6539e-05    -5.44537e-05
     -0.00102232    -0.000673355
    -0.000180313    -0.000228342
     -8.3409e-05    -0.000126029
     -1.3723e-05    -1.24513e-05
     -6.8507e-05    -6.06234e-05
     -3.9962e-05    -4.19299e-05
     -0.00173382     -0.00173324
    -0.000166759    -0.000213147
     -0.00179557     -0.00177763
    -0.000155597    -0.000159732
    -0.000336257     -0.00031448
     -0.00045662    -0.000298198
     -4.9363e-05    -5.44089e-05
    -0.000163469    -0.000149532
      -0.0021761     -0.00237341
     -0.00201078     -0.00153798
    -0.000427931     -0.00048971
     -0.00146098     -0.00130819
    -0.000302826    -0.000296161
    -0.000454471    -0.000403584
    -0.000390146    -0.000392649
    -0.000660956    -0.000660046
    -0.000349364    -0.000392463
     -2.6894e-05    -2.59384e-05
     -3.3735e-05     -3.7604e-05
      -4.724e-06    -5.18544e-06
     -7.3451e-05    -0.000107594
    -0.000906531    -0.000744986
       1.883e-06     2.73458e-06
     -6.4492e-05    -0.000101328
      -7.324e-06    -8.70977e-06
      -5.672e-05    -8.86528e-05
     -6.3304e-05    -3.61119e-05
    -0.000166765    -0.000171038
     -0.00121007    -0.000843948
    -0.000245697    -0.000306961
     -1.9999e-05    -3.22958e-05
    -0.000181312    -0.000191897
     -1.2746e-05    -1.62562e-05
     -5.5626e-05    -6.45842e-05
     -0.00143409       -0.001545
    -0.000388452     -0.00034828
     -1.2534e-05    -1.53283e-05
      -4.574e-06    -7.26524e-06
     -1.7434e-05    -2.53698e-05
    -0.000425923    -0.000321847
     -1.1654e-05    -1.50125e-05
    -0.000127787    -0.000158423
      -0.0013004     -0.00114406
     -0.00145128      -0.0012805
      -3.614e-06    -9.40007e-06
     -4.0492e-05    -4.38793e-05
    -0.000304043    -0.000306248
    -0.000874192     -0.00104416
    -0.000643485    -0.000616209
    -0.000457841    -0.000462035
    -0.000267967    -0.000297039
    -0.000147132    -0.000168916
    -0.000461312    -0.000503185
