QM Energy	FF Energy
     -9.4842e-05    -0.000104333
    -0.000188105    -0.000164303
     -0.00158697     -0.00147449
     -0.00130564     -0.00125713
    -0.000692019    -0.000640525
     -2.7416e-05    -2.52238e-05
    -0.000230709    -0.000273794
    -0.000906923    -0.000782167
    -0.000320263    -0.000200749
     -0.00178556     -0.00164597
     -1.5144e-05    -1.66309e-05
    -0.000265895    -0.000256295
      -3.713e-06    -6.16441e-06
     -5.5352e-05    -8.10966e-05
     -1.1211e-05    -1.29312e-05
    -0.000686459    -0.000558871
     -3.7541e-05    -3.80303e-05
    -0.000164852     -0.00016571
    -0.000176971    -0.000160472
    -0.000224555    -0.000215027
     -3.0828e-05    -3.23533e-05
     -3.6834e-05    -4.37283e-05
     -4.2041e-05    -4.22527e-05
      -7.017e-06    -1.13965e-05
     -0.00160349     -0.00151027
      -9.606e-06    -1.24169e-05
     -0.00137557     -0.00149183
    -0.000706824    -0.000664206
     -3.9103e-05    -7.06253e-05
     -9.9609e-05    -0.000105431
    -0.000302335    -0.000299183
    -0.000830149    -0.000778338
     -2.4824e-05    -3.65675e-05
      -3.018e-05    -3.63746e-05
     -1.9529e-05    -1.96688e-05
    -0.000260497    -0.000297335
      -9.157e-06    -1.50634e-05
     -0.00086491     -0.00102895
     -5.8011e-05    -7.27125e-05
     -5.4885e-05    -5.20975e-05
    -0.000325844    -0.000332978
     -9.7763e-05     -0.00010721
    -0.000121284    -0.000121315
     -1.7875e-05    -2.21241e-05
    -0.000267763    -0.000256331
     -0.00112597     -0.00101396
     -5.5624e-05    -4.93045e-05
     -1.4528e-05    -2.06189e-05
    -0.000771249    -0.000737796
     -2.1507e-05    -3.11777e-05
    -0.000648421    -0.000626537
       -0.001531     -0.00140544
     -0.00164294     -0.00147817
    -0.000534528    -0.000602955
    -0.000103784    -0.000111336
    -0.000827191    -0.000745038
     -1.8818e-05     -2.5334e-05
     -2.2346e-05    -4.15219e-05
     -4.8934e-05    -4.81139e-05
    -0.000524905    -0.000396308
     -0.00108958      -0.0010617
    -0.000163667    -0.000163996
      -0.0002069    -0.000208136
     -0.00250319     -0.00270195
     -4.6539e-05    -5.44537e-05
     -0.00102232     -0.00067336
    -0.000180313    -0.000228348
     -8.3409e-05    -0.000126023
     -1.3723e-05    -1.24555e-05
     -6.8507e-05    -6.06244e-05
     -3.9962e-05    -4.19315e-05
     -0.00173382     -0.00173335
    -0.000166759    -0.000213154
     -0.00179557     -0.00177762
    -0.000155597    -0.000159733
    -0.000336257     -0.00031449
     -0.00045662    -0.000298217
     -4.9363e-05    -5.44051e-05
    -0.000163469    -0.000149514
      -0.0021761     -0.00237339
     -0.00201078     -0.00153803
    -0.000427931    -0.000489696
     -0.00146098     -0.00130819
    -0.000302826    -0.000296154
    -0.000454471    -0.000403573
    -0.000390146    -0.000392662
    -0.000660956     -0.00066005
    -0.000349364    -0.000392465
     -2.6894e-05    -2.59453e-05
     -3.3735e-05    -3.76033e-05
      -4.724e-06    -5.18812e-06
     -7.3451e-05    -0.000107593
    -0.000906531    -0.000744989
       1.883e-06     2.73791e-06
     -6.4492e-05    -0.000101325
      -7.324e-06     -8.7084e-06
      -5.672e-05    -8.86688e-05
     -6.3304e-05    -3.60855e-05
    -0.000166765    -0.000171039
     -0.00121007    -0.000843936
    -0.000245697     -0.00030693
