QM Energy	FF Energy
    -0.000301723    -0.000265671
    -0.000310831    -0.000291018
     -0.00132208     -0.00151851
    -0.000785112     -0.00103789
    -0.000384575    -0.000390196
    -0.000137791    -0.000129438
    -0.000462245    -0.000430403
    -0.000378536    -0.000433256
    -0.000570952    -0.000708802
     -0.00104386      -0.0011707
     -7.4041e-05    -6.39176e-05
    -0.000279875    -0.000240366
     -9.6801e-05    -7.99244e-05
    -0.000174735    -0.000176648
    -0.000128503    -9.54501e-05
     -0.00048394    -0.000669123
     -4.1106e-05    -4.12616e-05
    -0.000396856    -0.000375162
    -0.000409046    -0.000408759
      -0.0006134    -0.000473136
     -4.8943e-05    -5.22881e-05
     -6.7329e-05    -9.50314e-05
     -4.1605e-05    -4.38915e-05
     -4.3768e-05    -5.36381e-05
     -0.00106345     -0.00129651
     -6.7508e-05    -6.60531e-05
    -0.000963488     -0.00118089
    -0.000747461    -0.000881792
    -0.000228144    -0.000227466
    -0.000135379    -0.000170522
    -0.000366816    -0.000397357
    -0.000525877    -0.000243984
    -0.000137019    -0.000139942
      -7.181e-05    -6.81297e-05
    -0.000122007     -0.00012517
    -0.000501162     -0.00054191
     -8.1212e-05    -7.85176e-05
     -0.00121485     -0.00111713
    -0.000240777    -0.000261214
    -0.000272485    -0.000337703
    -0.000295339     -0.00032874
    -0.000189108    -0.000194974
     -7.1167e-05    -0.000112853
    -0.000153869    -0.000114351
    -0.000158381    -0.000153066
    -0.000793815    -0.000984957
    -0.000286314    -0.000205844
    -0.000106245    -9.14766e-05
    -0.000493268    -0.000744064
      -7.679e-05    -8.72668e-05
    -0.000696595    -0.000784926
     -0.00118144     -0.00166237
     -0.00100779     -0.00108852
    -0.000467939    -0.000538208
     -9.2321e-05    -0.000104999
    -0.000676984    -0.000832696
    -0.000149168    -0.000134399
    -0.000257208     -0.00021337
    -0.000107714    -0.000108522
    -0.000941124     -0.00103563
    -0.000756387    -0.000366886
    -0.000233974    -0.000272023
    -0.000273268     -0.00026505
     -0.00193164     -0.00143595
    -0.000212846    -0.000141079
    -0.000901492     -0.00140777
    -0.000457727    -0.000478483
    -0.000186011    -0.000207082
     -0.00017668    -0.000168608
    -0.000183183    -0.000177346
     -3.5968e-05    -4.38245e-05
     -0.00107475     -0.00127913
    -0.000416847     -0.00044079
     -0.00135218     -0.00147428
    -0.000128909    -0.000137737
    -0.000526533     -0.00061141
    -0.000527812    -0.000611833
     -0.00023694    -0.000185059
    -0.000404361    -0.000441183
     -0.00195153     -0.00191553
     -0.00103547     -0.00105387
     -0.00037774    -0.000274667
     -0.00112145     -0.00101239
     -0.00109802     -0.00103599
    -0.000658233    -0.000670764
    -0.000407081    -0.000438721
     -0.00112957     -0.00100757
    -0.000399429    -0.000530302
    -0.000150035    -0.000140546
     -9.1257e-05    -0.000106674
    -0.000120708    -0.000102393
    -0.000326083    -0.000306756
     -0.00146593     -0.00118362
    -0.000132866    -0.000126333
    -0.000298057     -0.00025352
     -7.5777e-05    -7.46268e-05
    -0.000242477    -0.000240404
    -0.000403807    -0.000471562
    -0.000123377    -0.000143088
      -0.0014157     -0.00155465
    -0.000589034    -0.000596448
     -0.00015835    -0.000140912
    -0.000258966    -0.000339465
     -6.5249e-05    -7.90805e-05
    -0.000241221    -0.000152362
     -0.00108127    -0.000944027
    -0.000503312    -0.000478504
    -0.000133443    -0.000107627
     -8.4533e-05    -6.45448e-05
     -7.8142e-05    -0.000107352
    -0.000721504    -0.000792216
    -0.000107161    -0.000101804
    -0.000376083    -0.000364823
    -0.000727884    -0.000789836
    -0.000812145    -0.000561428
      -0.0001223     -0.00013354
    -0.000215761    -0.000180398
    -0.000326602    -0.000394694
    -0.000914364    -0.000980211
    -0.000345664     -0.00027596
    -0.000486459    -0.000522769
    -0.000328371    -0.000450432
    -0.000135083     -0.00013072
    -0.000713894    -0.000734876
     -0.00238887     -0.00228085
    -0.000125399    -0.000131654
    -0.000188516    -0.000209332
    -0.000911475    -0.000937513
     -0.00165834     -0.00133273
     -0.00190133     -0.00199408
     -0.00212999     -0.00150998
    -0.000420419    -0.000469462
    -0.000976804     -0.00131052
    -0.000122346    -0.000128691
    -0.000276289    -0.000247917
     -8.2808e-05    -6.35749e-05
    -0.000128033     -0.00011031
    -0.000222265    -0.000213014
    -0.000196056     -0.00020275
    -0.000477389    -0.000446591
    -0.000167911    -0.000171136
    -0.000928698     -0.00104685
     -8.1048e-05    -7.83852e-05
    -0.000120879    -0.000117366
    -0.000358763    -0.000485028
    -0.000390436    -0.000348289
     -7.1722e-05    -7.61064e-05
    -0.000263408    -0.000277024
    -0.000456916    -0.000511653
    -0.000135843     -9.1662e-05
    -0.000166431    -0.000147294
    -0.000736226    -0.000565871
    -0.000200967    -0.000217222
    -0.000134212    -0.000145084
    -0.000107697    -8.64339e-05
    -0.000104405    -7.63051e-05
    -0.000117893    -9.40422e-05
    -0.000154852    -0.000140194
    -0.000105941    -0.000109237
     -7.1904e-05    -6.50977e-05
    -0.000878612     -0.00124026
    -0.000276053    -0.000203198
    -0.000164192    -0.000114586
    -0.000174754    -0.000132985
    -0.000495144     -0.00048746
    -0.000140125    -0.000146333
      -8.057e-05    -6.64335e-05
     -0.00106897     -0.00096232
    -0.000692748    -0.000504848
    -0.000201373    -0.000174945
    -0.000746819    -0.000725003
    -0.000146373     -0.00011741
      -0.0012062      -0.0013799
    -0.000303197    -0.000302996
    -0.000118956    -0.000112587
    -0.000207737     -0.00019881
     -0.00142016     -0.00144676
     -0.00185008     -0.00128261
     -0.00091923     -0.00122822
     -8.3182e-05    -7.94047e-05
    -0.000273367    -0.000238215
     -0.00084327     -0.00104104
    -0.000651507    -0.000686919
    -0.000479394    -0.000418831
    -0.000903127     -0.00133876
      -9.516e-05    -0.000112483
    -0.000813305    -0.000913933
    -0.000627564    -0.000594861
     -1.7805e-05    -3.22453e-05
     -0.00016444    -0.000112635
     -7.4505e-05     -7.1279e-05
    -0.000113045    -0.000103909
    -0.000228196     -0.00020672
     -6.8975e-05    -5.81483e-05
    -0.000624714    -0.000502141
    -0.000132845    -0.000133575
    -0.000608065    -0.000655975
    -0.000452088     -0.00045683
    -0.000118476    -9.80537e-05
     -0.00179614     -0.00226221
    -0.000283288    -0.000332976
    -0.000270364    -0.000263551
    -0.000283577    -0.000377792
    -0.000364327    -0.000410755
    -0.000461022    -0.000230163
     -0.00042403    -0.000395357
    -0.000202973    -0.000209835
     -6.2113e-05    -5.89736e-05
    -0.000653733    -0.000702102
    -0.000407418    -0.000327233
     -0.00141587     -0.00140458
    -0.000554598    -0.000761751
    -0.000535026    -0.000583377
    -0.000139184    -0.000122795
    -0.000304008     -0.00026116
    -0.000777765    -0.000922419
    -0.000222005    -0.000196379
    -0.000890257    -0.000915395
    -0.000211761    -0.000309189
    -0.000363774    -0.000396187
     -7.2655e-05    -5.68772e-05
      -0.0014412     -0.00151188
    -0.000332954    -0.000458375
    -0.000136834    -0.000126492
    -0.000684387    -0.000539144
     -5.0965e-05    -5.17511e-05
    -0.000167128    -0.000169652
    -0.000846736     -0.00103368
    -0.000148387    -0.000124851
    -0.000134684    -0.000147364
     -4.7121e-05    -5.65068e-05
     -0.00140883     -0.00145273
    -0.000687158    -0.000802947
    -0.000143891    -0.000216852
    -0.000226292    -0.000232757
    -0.000365262    -0.000412498
     -2.7467e-05    -3.46369e-05
      -8.959e-05    -8.73625e-05
    -0.000277994    -0.000282879
    -0.000546291    -0.000530507
    -0.000887725    -0.000631692
    -0.000992318     -0.00111519
    -0.000109186    -0.000118734
    -0.000209444    -0.000184904
     -8.8103e-05    -7.53078e-05
     -0.00129429      -0.0012568
    -0.000307243    -0.000307925
     -0.00171572     -0.00118287
    -0.000137663    -0.000148205
     -0.00056453    -0.000610693
    -0.000381202     -0.00043312
    -0.000186072    -0.000158605
    -0.000211751    -0.000231532
    -0.000118255    -0.000113169
    -0.000338015    -0.000387809
    -0.000879611    -0.000771382
     -6.9613e-05    -6.50991e-05
    -0.000109688    -0.000102676
    -0.000195503    -0.000213646
     -7.3416e-05    -5.45736e-05
    -0.000127758    -0.000118049
      -0.0012906     -0.00116192
      -0.0011367     -0.00129492
    -0.000225226     -0.00017942
     -4.9226e-05    -4.53679e-05
    -0.000230275    -0.000176407
    -0.000171298    -0.000205457
     -0.00130276     -0.00151076
    -0.000671064    -0.000918109
    -0.000234043    -0.000227538
     -3.0043e-05    -3.98295e-05
     -0.00171077     -0.00167969
    -0.000258629    -0.000264063
    -0.000522727    -0.000507213
     -3.3421e-05    -3.89926e-05
     -0.00106972     -0.00117889
    -0.000295239    -0.000258819
    -0.000852912    -0.000967685
    -0.000190529    -0.000166526
    -0.000217726    -0.000222164
    -0.000181754    -0.000178028
     -4.3157e-05    -5.96662e-05
     -0.00147205    -0.000971705
    -0.000325621    -0.000349635
     -0.00033671    -0.000280231
     -0.00109967      -0.0014543
    -0.000139636    -0.000134101
    -0.000312043    -0.000422346
    -0.000294429     -0.00028836
     -0.00171017     -0.00247049
    -0.000299681    -0.000275291
    -0.000836612    -0.000568619
    -0.000669261    -0.000757741
     -7.7502e-05    -8.07637e-05
    -0.000215418    -0.000215301
     -0.00132515     -0.00115472
    -0.000328818    -0.000328185
    -0.000907447    -0.000884159
    -0.000178476    -0.000163502
     -8.6568e-05    -7.80276e-05
     -0.00133801     -0.00148074
    -0.000383204    -0.000313748
    -0.000308834    -0.000272769
     -0.00111913     -0.00128867
    -0.000284686    -0.000276629
    -0.000174676    -0.000170982
    -0.000618503    -0.000604303
    -0.000241961    -0.000237303
