QM Energy	FF Energy
     -9.4842e-05    -0.000101802
    -0.000188105    -0.000167863
     -0.00158697     -0.00145985
     -0.00130564      -0.0012232
    -0.000692019    -0.000644492
     -2.7416e-05    -2.65791e-05
    -0.000230709    -0.000280809
    -0.000906923    -0.000791472
    -0.000320263    -0.000187477
     -0.00178556     -0.00160677
     -1.5144e-05     -1.7404e-05
    -0.000265895    -0.000263677
      -3.713e-06    -5.75316e-06
     -5.5352e-05    -8.06557e-05
     -1.1211e-05    -1.19761e-05
    -0.000686459    -0.000563153
     -3.7541e-05    -3.76897e-05
    -0.000164852    -0.000160081
    -0.000176971    -0.000180063
    -0.000224555    -0.000214658
     -3.0828e-05     -3.2971e-05
     -3.6834e-05    -4.25218e-05
     -4.2041e-05    -4.25571e-05
      -7.017e-06    -1.04307e-05
     -0.00160349     -0.00143794
      -9.606e-06    -1.26362e-05
     -0.00137557     -0.00145943
    -0.000706824    -0.000647655
     -3.9103e-05    -7.02882e-05
     -9.9609e-05    -0.000105795
    -0.000302335    -0.000300943
    -0.000830149    -0.000766684
     -2.4824e-05    -3.75504e-05
      -3.018e-05    -3.64609e-05
     -1.9529e-05    -1.97568e-05
    -0.000260497    -0.000291759
      -9.157e-06    -1.46032e-05
     -0.00086491     -0.00103283
     -5.8011e-05    -6.87507e-05
     -5.4885e-05    -6.11047e-05
    -0.000325844    -0.000333086
     -9.7763e-05    -0.000108794
    -0.000121284    -0.000122303
     -1.7875e-05    -2.19976e-05
    -0.000267763     -0.00025796
     -0.00112597     -0.00102908
     -5.5624e-05    -4.97393e-05
     -1.4528e-05    -2.06263e-05
    -0.000771249    -0.000733837
     -2.1507e-05    -3.18891e-05
    -0.000648421    -0.000621676
       -0.001531     -0.00138214
     -0.00164294     -0.00146746
    -0.000534528    -0.000603519
    -0.000103784    -0.000109336
    -0.000827191     -0.00074885
     -1.8818e-05    -2.48564e-05
     -2.2346e-05    -4.09415e-05
     -4.8934e-05    -4.72207e-05
    -0.000524905    -0.000405439
     -0.00108958     -0.00103792
    -0.000163667    -0.000164205
      -0.0002069    -0.000217347
     -0.00250319     -0.00276079
     -4.6539e-05    -5.50482e-05
     -0.00102232    -0.000637775
    -0.000180313    -0.000236889
     -8.3409e-05    -0.000125683
     -1.3723e-05    -1.33069e-05
     -6.8507e-05    -6.02478e-05
     -3.9962e-05    -4.16747e-05
     -0.00173382     -0.00167882
    -0.000166759    -0.000211638
     -0.00179557     -0.00180298
    -0.000155597    -0.000160452
    -0.000336257    -0.000317464
     -0.00045662     -0.00027862
     -4.9363e-05    -5.48904e-05
    -0.000163469    -0.000153526
      -0.0021761     -0.00247064
     -0.00201078     -0.00157426
    -0.000427931    -0.000480321
     -0.00146098     -0.00139216
    -0.000302826    -0.000289287
    -0.000454471    -0.000408987
    -0.000390146    -0.000398123
    -0.000660956     -0.00065112
    -0.000349364    -0.000367619
     -2.6894e-05    -2.61118e-05
     -3.3735e-05    -3.66067e-05
      -4.724e-06     -4.2256e-06
     -7.3451e-05    -0.000107329
    -0.000906531      -0.0007348
       1.883e-06     2.97069e-06
     -6.4492e-05     -0.00010008
      -7.324e-06    -7.98198e-06
      -5.672e-05    -8.44339e-05
     -6.3304e-05    -3.52069e-05
    -0.000166765    -0.000172339
     -0.00121007    -0.000856927
    -0.000245697    -0.000304296
     -1.9999e-05    -3.20888e-05
    -0.000181312    -0.000203344
     -1.2746e-05    -1.52587e-05
     -5.5626e-05    -6.45115e-05
     -0.00143409     -0.00156562
    -0.000388452    -0.000355004
     -1.2534e-05    -1.51286e-05
      -4.574e-06    -6.82669e-06
     -1.7434e-05    -2.58747e-05
    -0.000425923    -0.000327961
     -1.1654e-05    -1.53311e-05
    -0.000127787    -0.000156675
      -0.0013004     -0.00115483
     -0.00145128     -0.00129281
      -3.614e-06    -8.54556e-06
     -4.0492e-05    -4.19687e-05
    -0.000304043     -0.00031141
    -0.000874192     -0.00103387
    -0.000643485    -0.000616854
    -0.000457841    -0.000447802
    -0.000267967    -0.000285797
    -0.000147132    -0.000168185
    -0.000461312    -0.000516276
     -0.00294279     -0.00309671
      -9.923e-06    -1.91653e-05
     -1.2129e-05    -1.46406e-05
    -0.000467625    -0.000453638
      -0.0011565    -0.000886144
     -0.00219688     -0.00265424
     -0.00230375     -0.00279636
     -0.00015568    -0.000151642
     -0.00149457     -0.00130012
     -3.6223e-05     -4.4032e-05
     -4.9004e-05    -6.86548e-05
       -1.71e-06    -2.44712e-06
     -1.7736e-05    -2.53728e-05
     -6.4963e-05    -6.99909e-05
     -1.8467e-05    -2.37244e-05
    -0.000376976    -0.000428648
       1.338e-06     3.08588e-06
    -0.000632991    -0.000713381
     -2.7421e-05    -3.28055e-05
     -7.1048e-05    -8.34521e-05
    -0.000340216    -0.000305871
     -0.00018488    -0.000169232
     -3.1097e-05    -4.12421e-05
     -9.3405e-05    -9.13997e-05
    -0.000226208    -0.000244157
      -1.345e-05    -1.35995e-05
     -5.9176e-05    -5.65331e-05
     -0.00150579     -0.00129077
     -5.0561e-05    -6.61375e-05
     -2.1085e-05    -3.49583e-05
      -4.448e-06    -5.60506e-06
      -5.586e-06    -6.93505e-06
     -1.0862e-05    -1.17111e-05
      -8.784e-06    -8.82883e-06
     -3.6876e-05    -5.34098e-05
      -2.249e-05    -2.50144e-05
    -0.000607115    -0.000667762
     -6.3101e-05    -5.51974e-05
     -2.1304e-05    -1.85769e-05
     -2.5731e-05    -2.80185e-05
    -0.000554999    -0.000617031
     -4.0889e-05    -5.52033e-05
     -1.9559e-05    -1.86528e-05
     -0.00107198    -0.000965787
    -0.000865918    -0.000847726
     -7.3107e-05    -7.59725e-05
    -0.000834524    -0.000841701
     -1.2456e-05    -1.67229e-05
     -0.00156942     -0.00155387
    -0.000279661    -0.000301027
     -1.4076e-05    -1.58365e-05
     -8.2991e-05    -8.41773e-05
     -0.00133581     -0.00107442
     -0.00122748     -0.00084673
     -0.00110454     -0.00107469
     -5.2019e-05    -5.77603e-05
     -5.1397e-05    -7.61264e-05
    -0.000833679    -0.000797927
     -0.00114501    -0.000929755
    -0.000299589    -0.000342385
     -0.00148441      -0.0010781
     -2.1251e-05    -2.74816e-05
    -0.000793077    -0.000771398
    -0.000365525    -0.000373431
     -1.5841e-05    -1.59398e-05
     -2.2948e-05    -2.67357e-05
     -2.5442e-05    -2.93964e-05
      -1.379e-05    -2.02899e-05
     -8.0276e-05    -8.71815e-05
      -8.058e-06    -9.43739e-06
     -0.00109648    -0.000992584
    -0.000117576    -0.000122814
    -0.000391033    -0.000385197
    -0.000549258     -0.00056076
      -7.703e-06    -1.14752e-05
     -0.00156536     -0.00176826
    -0.000428277    -0.000405203
     -6.8069e-05    -8.47205e-05
    -0.000258177     -0.00026337
    -0.000897717    -0.000779147
    -0.000732269     -0.00068787
     -7.9241e-05    -8.75782e-05
    -0.000323143    -0.000317182
     -1.2775e-05    -1.55552e-05
    -0.000489051    -0.000530911
    -0.000147674    -0.000188967
     -0.00125588     -0.00131127
    -0.000687802    -0.000769606
    -0.000430132    -0.000335586
     -1.1835e-05    -1.71425e-05
      -8.857e-05    -8.46702e-05
    -0.000931992    -0.000833973
     -4.4292e-05    -5.20887e-05
    -0.000840439    -0.000738864
    -0.000616251    -0.000465875
    -0.000171314     -0.00017376
     -3.5759e-05    -4.31097e-05
     -0.00103928    -0.000863695
    -0.000379869    -0.000351572
     -1.9398e-05    -2.40468e-05
     -0.00126658     -0.00109906
     -1.5577e-05    -2.06177e-05
     -4.7713e-05    -4.65665e-05
     -0.00170048     -0.00131706
      -6.435e-06     -4.9982e-06
     -2.1839e-05    -2.46171e-05
      -9.661e-06    -1.19206e-05
     -0.00158515     -0.00175406
    -0.000475978    -0.000405738
    -0.000184654    -0.000181858
