QM Energy	FF Energy
     -9.4842e-05    -0.000101799
    -0.000188105    -0.000167864
     -0.00158697     -0.00145984
     -0.00130564     -0.00122323
    -0.000692019    -0.000644489
     -2.7416e-05    -2.65787e-05
    -0.000230709    -0.000280854
    -0.000906923    -0.000791465
    -0.000320263    -0.000187477
     -0.00178556     -0.00160677
     -1.5144e-05    -1.74039e-05
    -0.000265895    -0.000263676
      -3.713e-06    -5.75234e-06
     -5.5352e-05     -8.0661e-05
     -1.1211e-05    -1.19768e-05
    -0.000686459    -0.000563146
     -3.7541e-05    -3.76936e-05
    -0.000164852     -0.00016001
    -0.000176971    -0.000180062
    -0.000224555    -0.000214657
     -3.0828e-05    -3.29716e-05
     -3.6834e-05    -4.25186e-05
     -4.2041e-05    -4.25571e-05
      -7.017e-06    -1.04307e-05
     -0.00160349     -0.00143786
      -9.606e-06    -1.26357e-05
     -0.00137557     -0.00145942
    -0.000706824    -0.000647656
     -3.9103e-05    -7.02892e-05
     -9.9609e-05    -0.000105791
    -0.000302335    -0.000300947
    -0.000830149    -0.000766676
     -2.4824e-05    -3.75525e-05
      -3.018e-05    -3.64593e-05
     -1.9529e-05    -1.97542e-05
    -0.000260497    -0.000291757
      -9.157e-06    -1.46067e-05
     -0.00086491      -0.0010328
     -5.8011e-05    -6.87483e-05
     -5.4885e-05    -6.11052e-05
    -0.000325844    -0.000333087
     -9.7763e-05    -0.000108781
    -0.000121284    -0.000122303
     -1.7875e-05    -2.19981e-05
    -0.000267763    -0.000257962
     -0.00112597     -0.00102906
     -5.5624e-05    -4.97396e-05
     -1.4528e-05    -2.06268e-05
    -0.000771249    -0.000733833
     -2.1507e-05     -3.1889e-05
    -0.000648421    -0.000621673
       -0.001531     -0.00138214
     -0.00164294     -0.00146745
    -0.000534528     -0.00060353
    -0.000103784    -0.000109336
    -0.000827191    -0.000748852
     -1.8818e-05    -2.48568e-05
     -2.2346e-05    -4.09414e-05
     -4.8934e-05    -4.72155e-05
    -0.000524905    -0.000405436
     -0.00108958     -0.00103791
    -0.000163667    -0.000164169
      -0.0002069    -0.000217347
     -0.00250319     -0.00276078
     -4.6539e-05    -5.50491e-05
     -0.00102232    -0.000637772
    -0.000180313    -0.000236887
     -8.3409e-05    -0.000125679
     -1.3723e-05    -1.33137e-05
     -6.8507e-05     -6.0247e-05
     -3.9962e-05     -4.1676e-05
     -0.00173382     -0.00167889
    -0.000166759    -0.000211637
     -0.00179557     -0.00180297
    -0.000155597    -0.000160451
    -0.000336257    -0.000317453
     -0.00045662    -0.000278618
     -4.9363e-05    -5.48903e-05
    -0.000163469    -0.000153537
      -0.0021761     -0.00247063
     -0.00201078     -0.00157425
    -0.000427931    -0.000480318
     -0.00146098     -0.00139216
    -0.000302826    -0.000289278
    -0.000454471    -0.000408985
    -0.000390146    -0.000398121
    -0.000660956    -0.000651117
    -0.000349364    -0.000367742
     -2.6894e-05     -2.6112e-05
     -3.3735e-05    -3.66026e-05
      -4.724e-06    -4.22573e-06
     -7.3451e-05    -0.000107328
    -0.000906531    -0.000734799
       1.883e-06     2.97378e-06
     -6.4492e-05     -0.00010008
      -7.324e-06    -7.98327e-06
      -5.672e-05    -8.44262e-05
     -6.3304e-05     -3.5203e-05
    -0.000166765    -0.000172341
     -0.00121007    -0.000856919
    -0.000245697    -0.000304283
     -1.9999e-05    -3.20885e-05
    -0.000181312    -0.000203343
     -1.2746e-05    -1.52577e-05
     -5.5626e-05    -6.45116e-05
     -0.00143409     -0.00156561
    -0.000388452    -0.000355003
     -1.2534e-05    -1.51273e-05
      -4.574e-06    -6.82929e-06
     -1.7434e-05    -2.58749e-05
    -0.000425923    -0.000327962
     -1.1654e-05    -1.53314e-05
    -0.000127787    -0.000156671
      -0.0013004     -0.00115486
     -0.00145128      -0.0012928
      -3.614e-06    -8.54507e-06
     -4.0492e-05    -4.19679e-05
    -0.000304043    -0.000311409
    -0.000874192     -0.00103381
    -0.000643485     -0.00061685
    -0.000457841    -0.000447797
    -0.000267967    -0.000285797
    -0.000147132    -0.000168169
    -0.000461312    -0.000516273
     -0.00294279     -0.00309656
