QM Energy	FF Energy
      0.00166943      0.00166736
     -0.00166333     -0.00150689
     -0.00597302      -0.0049419
     -0.00829776     -0.00857109
     -0.00254062     -0.00281672
     -0.00101791    -0.000940163
     -0.00407505     -0.00393411
     -0.00439232     -0.00356338
      0.00254427      0.00255507
      -0.0117673      -0.0103511
    -0.000110237    -9.19161e-05
      -0.0012169     -0.00100796
       0.0010325     0.000978635
     0.000249635     0.000196435
      0.00200909      0.00204355
     -0.00267715      -0.0019838
    -0.000214302    -0.000198183
    -0.000768081    -0.000800246
     -0.00227916      -0.0022202
       -0.003153     -0.00312732
      0.00020668     0.000264682
    -0.000588768    -0.000590397
     0.000199338     0.000256225
      5.0163e-05     5.62905e-05
      -0.0102514      -0.0101488
      1.3344e-05     1.25632e-05
     -0.00744596     -0.00798036
     -0.00299032     -0.00316288
      0.00141816      0.00131957
      -2.825e-06    -6.32273e-05
     -0.00243211     -0.00234462
     -0.00174444     -0.00201055
      0.00117125      0.00118112
    -0.000862269    -0.000830521
    -0.000779572    -0.000741761
      0.00109952     0.000980005
     -0.00101203      -0.0010988
      -0.0082853     -0.00881913
    -0.000292684    -0.000386991
     0.000303536     0.000326225
     -0.00245571     -0.00245821
      0.00103768      0.00104051
    -0.000733743    -0.000619967
     -0.00151799     -0.00156291
    -0.000712612    -0.000577277
      -0.0076564     -0.00661008
     -0.00248243     -0.00237004
     -0.00111809     -0.00116783
      -0.0036361     -0.00397298
     0.000180612     0.000134448
     -0.00213589       -0.001781
     -0.00435964     -0.00635364
     -0.00853641     -0.00915921
     -0.00313119       -0.003207
     -0.00071352    -0.000711811
     -0.00507456     -0.00496092
     0.000230888     0.000125363
      0.00237289      0.00244471
    -0.000506465    -0.000433454
    -0.000819205    -0.000831165
     -0.00165784     -0.00227777
     -0.00117021    -0.000999112
    -0.000906213    -0.000992496
       -0.013879      -0.0149389
     -0.00341728     -0.00319995
     -1.7153e-05    -0.000190346
     -0.00176687     -0.00233274
     0.000567827     0.000406467
      0.00115706      0.00125527
     -0.00110749    -0.000998822
    -0.000415429    -0.000374879
      -0.0122135      -0.0104596
      0.00120005     0.000906709
      -0.0100185       -0.010345
    -0.000494015     -0.00041741
    -0.000894341     -0.00056896
    -0.000596017    -5.38624e-05
     -0.00190623     -0.00162988
     -0.00036993    -0.000739535
      -0.0165111      -0.0173777
     -0.00937756     -0.00962593
     -0.00170671     -0.00204476
     -0.00597003     -0.00658825
      0.00173376      0.00194839
     -0.00301134     -0.00295866
     -0.00179439     -0.00180328
     -0.00725768     -0.00786766
     -0.00269251     -0.00298514
     0.000336878     0.000391249
     -0.00105054     -0.00106739
      0.00182743       0.0018115
      0.00162052       0.0016967
     -0.00772329     -0.00823449
      0.00206026      0.00205177
      0.00304327      0.00312043
    -0.000499432    -0.000427758
     -0.00158591     -0.00176264
      0.00313381      0.00314905
    -0.000673078    -0.000710193
     -0.00515911      -0.0054538
     0.000467752     0.000121467
     0.000259456     0.000108541
     -0.00106986     -0.00131529
    -0.000446437    -0.000455879
     -0.00266706     -0.00256872
     -0.00664997     -0.00723019
     -0.00513882     -0.00516335
     -0.00147271     -0.00153452
      0.00138449      0.00131797
     -8.9981e-05    -0.000147998
     -0.00152336    -0.000981418
    -0.000668005    -0.000697456
     0.000390348     8.87458e-05
     -0.00731554     -0.00636603
      -0.0060345     -0.00532994
     0.000929659     0.000922323
      0.00240141      0.00250573
     -0.00165173     -0.00161858
     -0.00630326     -0.00688443
     -0.00180747     -0.00184504
     -0.00267551     -0.00272989
     -0.00167869      -0.0020717
    -0.000582666    -0.000590901
     -0.00527436     -0.00515624
      -0.0214588      -0.0212074
     0.000964264     0.000964203
      0.00109821      0.00112947
     -0.00104692     -0.00169029
     -0.00691361     -0.00707815
      -0.0111067      -0.0129778
      -0.0198292      -0.0182111
    -0.000264704    -0.000319822
     -0.00246449     -0.00242058
     -0.00078116    -0.000761194
     -0.00133917     -0.00123079
      0.00167066      0.00169383
     0.000198018     0.000218092
    -0.000669787    -0.000622801
     0.000245923      0.00031049
    -0.000400074    -0.000719486
      0.00250873      0.00247166
    -0.000902248     -0.00128114
     0.000489506     0.000539745
     -0.00120327     -0.00126656
     -0.00224058     -0.00219049
      0.00362022      0.00384326
     0.000235032     0.000201086
    -0.000467884      -0.0005393
    -0.000522618    -0.000766508
    -0.000618221     -0.00061459
    -0.000936213     -0.00087254
