QM Energy	FF Energy
    -0.000301723    -0.000290835
    -0.000310831    -0.000325467
     -0.00132208      -0.0016106
    -0.000785112    -0.000983167
    -0.000384575    -0.000397363
    -0.000137791    -0.000135886
    -0.000462245     -0.00045352
    -0.000378536    -0.000435235
    -0.000570952    -0.000800235
     -0.00104386     -0.00130622
     -7.4041e-05    -7.39576e-05
    -0.000279875    -0.000279089
     -9.6801e-05    -8.68063e-05
    -0.000174735    -0.000174494
    -0.000128503     -0.00010759
     -0.00048394    -0.000677711
     -4.1106e-05    -4.04382e-05
    -0.000396856    -0.000399188
    -0.000409046    -0.000431084
      -0.0006134    -0.000460028
     -4.8943e-05    -4.73823e-05
     -6.7329e-05    -7.33663e-05
     -4.1605e-05    -4.22023e-05
     -4.3768e-05    -4.56789e-05
     -0.00106345     -0.00121523
     -6.7508e-05    -6.72619e-05
    -0.000963488     -0.00113619
    -0.000747461     -0.00101949
    -0.000228144    -0.000230051
    -0.000135379     -0.00015519
    -0.000366816    -0.000426112
    -0.000525877    -0.000325343
    -0.000137019    -0.000137956
      -7.181e-05    -6.98779e-05
    -0.000122007    -0.000119106
    -0.000501162    -0.000538392
     -8.1212e-05    -7.55734e-05
     -0.00121485     -0.00107391
    -0.000240777    -0.000256201
    -0.000272485    -0.000302113
    -0.000295339    -0.000350497
    -0.000189108    -0.000195118
     -7.1167e-05    -9.97508e-05
    -0.000153869    -0.000115317
    -0.000158381    -0.000153345
    -0.000793815     -0.00107386
    -0.000286314    -0.000206402
    -0.000106245    -9.30764e-05
    -0.000493268    -0.000616826
      -7.679e-05    -7.82868e-05
    -0.000696595    -0.000746688
     -0.00118144     -0.00184754
     -0.00100779    -0.000969956
    -0.000467939    -0.000541669
     -9.2321e-05    -8.72794e-05
    -0.000676984    -0.000775632
    -0.000149168    -0.000141816
    -0.000257208    -0.000175082
    -0.000107714    -0.000109175
    -0.000941124     -0.00104654
    -0.000756387    -0.000503703
    -0.000233974    -0.000270902
    -0.000273268    -0.000306587
     -0.00193164     -0.00167983
    -0.000212846    -0.000132346
    -0.000901492     -0.00161798
    -0.000457727    -0.000444116
    -0.000186011    -0.000206419
     -0.00017668    -0.000169224
    -0.000183183    -0.000188182
     -3.5968e-05    -3.89856e-05
     -0.00107475     -0.00131367
    -0.000416847    -0.000448671
     -0.00135218     -0.00149512
    -0.000128909    -0.000135777
    -0.000526533    -0.000583468
    -0.000527812    -0.000745806
     -0.00023694    -0.000192762
    -0.000404361    -0.000420891
     -0.00195153     -0.00207578
     -0.00103547     -0.00115026
     -0.00037774    -0.000301591
     -0.00112145     -0.00118096
     -0.00109802    -0.000821694
    -0.000658233    -0.000721878
    -0.000407081    -0.000438241
     -0.00112957    -0.000955552
    -0.000399429      -0.0004342
    -0.000150035    -0.000145215
     -9.1257e-05    -9.46137e-05
    -0.000120708    -0.000115168
    -0.000326083     -0.00025805
     -0.00146593     -0.00116523
    -0.000132866    -0.000129514
    -0.000298057    -0.000214607
     -7.5777e-05    -7.38459e-05
    -0.000242477    -0.000227377
    -0.000403807    -0.000479537
    -0.000123377    -0.000133427
      -0.0014157     -0.00152141
    -0.000589034    -0.000586038
     -0.00015835     -0.00014299
    -0.000258966    -0.000296021
     -6.5249e-05    -6.51543e-05
    -0.000241221    -0.000160632
     -0.00108127     -0.00105646
    -0.000503312    -0.000520395
    -0.000133443    -0.000106185
     -8.4533e-05    -7.02897e-05
     -7.8142e-05    -8.24177e-05
    -0.000721504    -0.000791807
    -0.000107161    -0.000106985
    -0.000376083    -0.000364346
    -0.000727884    -0.000907872
    -0.000812145    -0.000612964
      -0.0001223    -0.000130985
    -0.000215761    -0.000202387
    -0.000326602    -0.000402715
    -0.000914364     -0.00107528
    -0.000345664    -0.000282673
    -0.000486459    -0.000522572
    -0.000328371     -0.00037899
    -0.000135083    -0.000128714
    -0.000713894    -0.000710566
     -0.00238887     -0.00217055
    -0.000125399    -0.000131919
    -0.000188516    -0.000193974
    -0.000911475    -0.000875009
     -0.00165834     -0.00139045
     -0.00190133     -0.00214525
     -0.00212999     -0.00168824
    -0.000420419    -0.000480163
    -0.000976804     -0.00140578
    -0.000122346    -0.000123611
    -0.000276289    -0.000248566
     -8.2808e-05    -7.21534e-05
    -0.000128033     -0.00012085
    -0.000222265     -0.00023232
    -0.000196056    -0.000195723
    -0.000477389    -0.000509752
    -0.000167911    -0.000168087
    -0.000928698     -0.00100837
     -8.1048e-05    -7.69157e-05
    -0.000120879    -0.000114387
    -0.000358763    -0.000428571
    -0.000390436    -0.000354059
     -7.1722e-05    -7.17549e-05
    -0.000263408    -0.000278757
    -0.000456916    -0.000517246
    -0.000135843    -0.000108151
    -0.000166431    -0.000164982
    -0.000736226    -0.000591073
    -0.000200967    -0.000222147
    -0.000134212     -0.00013033
    -0.000107697    -8.85419e-05
    -0.000104405    -8.15341e-05
    -0.000117893    -9.57108e-05
    -0.000154852    -0.000152386
    -0.000105941     -0.00010697
     -7.1904e-05    -6.58537e-05
    -0.000878612     -0.00106945
    -0.000276053    -0.000209642
    -0.000164192    -0.000118369
    -0.000174754    -0.000136299
    -0.000495144    -0.000490542
    -0.000140125    -0.000143717
      -8.057e-05    -7.35209e-05
     -0.00106897    -0.000960669
    -0.000692748    -0.000562454
    -0.000201373    -0.000194386
    -0.000746819    -0.000732634
    -0.000146373    -0.000117056
      -0.0012062     -0.00131197
    -0.000303197    -0.000336144
    -0.000118956    -0.000117112
    -0.000207737    -0.000203359
     -0.00142016     -0.00140042
     -0.00185008     -0.00129096
     -0.00091923     -0.00135207
     -8.3182e-05    -8.37901e-05
    -0.000273367    -0.000238487
     -0.00084327     -0.00108575
    -0.000651507    -0.000692316
    -0.000479394    -0.000459301
    -0.000903127     -0.00159623
      -9.516e-05     -9.3935e-05
    -0.000813305    -0.000963378
    -0.000627564    -0.000548227
     -1.7805e-05    -2.29686e-05
     -0.00016444    -0.000120286
     -7.4505e-05    -7.32026e-05
    -0.000113045    -0.000101036
    -0.000228196     -0.00022365
     -6.8975e-05    -6.02235e-05
    -0.000624714    -0.000516191
    -0.000132845    -0.000132023
    -0.000608065    -0.000658922
    -0.000452088    -0.000513134
    -0.000118476    -0.000103076
     -0.00179614     -0.00211208
    -0.000283288    -0.000306462
    -0.000270364    -0.000275977
    -0.000283577    -0.000353529
    -0.000364327    -0.000395369
    -0.000461022    -0.000302296
     -0.00042403    -0.000324417
    -0.000202973    -0.000208037
     -6.2113e-05    -6.15799e-05
    -0.000653733    -0.000672092
    -0.000407418    -0.000346742
     -0.00141587     -0.00142551
    -0.000554598      -0.0006235
    -0.000535026     -0.00065253
    -0.000139184    -0.000122088
    -0.000304008    -0.000286674
    -0.000777765     -0.00086906
    -0.000222005    -0.000209267
    -0.000890257    -0.000943015
    -0.000211761    -0.000294627
    -0.000363774    -0.000396332
     -7.2655e-05    -6.24458e-05
      -0.0014412     -0.00143541
    -0.000332954    -0.000427078
    -0.000136834    -0.000139298
    -0.000684387    -0.000554983
     -5.0965e-05    -5.00961e-05
    -0.000167128    -0.000165948
    -0.000846736     -0.00103738
    -0.000148387    -0.000139202
    -0.000134684    -0.000141477
     -4.7121e-05    -5.09535e-05
     -0.00140883     -0.00148936
    -0.000687158    -0.000748103
    -0.000143891    -0.000192176
    -0.000226292     -0.00023557
    -0.000365262    -0.000381254
     -2.7467e-05    -2.76998e-05
      -8.959e-05    -8.79835e-05
    -0.000277994    -0.000285456
    -0.000546291    -0.000594478
    -0.000887725    -0.000641368
    -0.000992318     -0.00111469
    -0.000109186     -0.00010498
    -0.000209444    -0.000205736
     -8.8103e-05    -8.46564e-05
     -0.00129429     -0.00135943
    -0.000307243    -0.000277116
     -0.00171572     -0.00121989
    -0.000137663    -0.000149274
     -0.00056453    -0.000630069
    -0.000381202    -0.000406845
    -0.000186072    -0.000173962
    -0.000211751    -0.000218963
    -0.000118255    -0.000116116
    -0.000338015    -0.000362757
    -0.000879611    -0.000636728
     -6.9613e-05    -6.62555e-05
    -0.000109688    -9.76599e-05
    -0.000195503    -0.000222296
     -7.3416e-05    -5.58416e-05
    -0.000127758    -0.000118215
      -0.0012906     -0.00106151
      -0.0011367     -0.00125225
    -0.000225226    -0.000185889
     -4.9226e-05     -4.6697e-05
    -0.000230275    -0.000190125
    -0.000171298    -0.000194442
     -0.00130276     -0.00124547
    -0.000671064    -0.000844211
    -0.000234043    -0.000216916
     -3.0043e-05     -3.0878e-05
     -0.00171077     -0.00152674
    -0.000258629    -0.000279044
    -0.000522727    -0.000563988
     -3.3421e-05    -3.57268e-05
     -0.00106972     -0.00118049
    -0.000295239    -0.000296181
    -0.000852912    -0.000973517
    -0.000190529    -0.000181771
    -0.000217726    -0.000223315
    -0.000181754    -0.000185508
     -4.3157e-05    -4.97978e-05
     -0.00147205    -0.000982218
    -0.000325621    -0.000346616
     -0.00033671    -0.000284142
     -0.00109967      -0.0014928
    -0.000139636    -0.000138908
    -0.000312043     -0.00041902
    -0.000294429    -0.000305793
     -0.00171017     -0.00225431
    -0.000299681    -0.000312234
    -0.000836612    -0.000586577
    -0.000669261    -0.000745522
     -7.7502e-05    -8.24133e-05
    -0.000215418    -0.000225183
     -0.00132515     -0.00115563
    -0.000328818    -0.000317275
    -0.000907447    -0.000851264
    -0.000178476    -0.000163345
     -8.6568e-05    -7.88226e-05
     -0.00133801     -0.00152752
    -0.000383204     -0.00032845
    -0.000308834    -0.000312216
     -0.00111913     -0.00127697
    -0.000284686     -0.00027969
    -0.000174676    -0.000175832
