QM Energy	FF Energy
    -0.000998633    -0.000987007
     -2.4489e-05    -4.21432e-05
     -2.1186e-05    -2.09596e-05
    -0.000346003    -0.000342609
    -0.000134837    -0.000164697
     -0.00101185    -0.000933785
    -0.000520353    -0.000493442
    -0.000159636    -0.000203402
     -3.1517e-05    -6.11891e-05
     -1.3716e-05    -1.67042e-05
    -0.000186801    -0.000153913
     -2.2288e-05     -2.4471e-05
    -0.000733284    -0.000831669
     -2.2645e-05    -3.15065e-05
     -4.1983e-05    -3.89191e-05
    -0.000363973    -0.000343517
     -2.6951e-05    -4.17291e-05
    -0.000819335    -0.000844643
     -0.00166509     -0.00160775
    -0.000148531    -0.000165504
    -0.000123799    -0.000117336
    -0.000768351    -0.000763843
     -2.2587e-05    -1.98563e-05
    -0.000880925    -0.000550678
      -6.904e-05    -9.28074e-05
    -0.000688445    -0.000721887
    -0.000102651    -8.26907e-05
     -2.5456e-05    -3.78561e-05
     -0.00181489     -0.00173983
    -0.000267064    -0.000339927
    -0.000190833    -0.000178534
     -7.0831e-05    -8.11005e-05
    -0.000245142    -0.000335522
     -0.00079739    -0.000796465
     -0.00102549    -0.000960893
      -8.343e-06    -1.68456e-05
    -0.000221558    -0.000262301
    -0.000816525    -0.000862247
     -8.2387e-05    -7.90819e-05
     -7.3527e-05    -8.83357e-05
     -0.00116866     -0.00124307
    -0.000606529    -0.000477644
     -0.00110628     -0.00110701
    -0.000645109    -0.000464345
    -0.000590138    -0.000576576
     -8.9397e-05     -0.00013657
     -9.4269e-05    -0.000124029
     -0.00093865    -0.000990453
    -0.000884491    -0.000857981
    -0.000279325    -0.000415116
     -6.5947e-05     -0.00011303
     -3.7571e-05     -4.6098e-05
    -0.000276937    -0.000390395
     -1.5809e-05    -2.32178e-05
     -0.00130968     -0.00130288
    -0.000556269    -0.000507356
    -0.000319173    -0.000357495
    -0.000576428    -0.000540053
    -0.000355762    -0.000368157
     -5.4477e-05    -7.81723e-05
     -7.7732e-05    -0.000107002
    -0.000265514    -0.000298883
    -0.000628595    -0.000680207
     -1.7191e-05    -4.11918e-05
    -0.000225094    -0.000274931
     -4.1938e-05    -5.33851e-05
     -5.4366e-05    -7.43872e-05
    -0.000242164    -0.000235321
    -0.000118115    -0.000130129
     -0.00155235     -0.00134154
    -0.000273091    -0.000294366
     -6.5219e-05    -7.99999e-05
    -0.000799253    -0.000849789
     -6.3878e-05    -8.23387e-05
      -8.399e-05    -9.63234e-05
     -5.7255e-05    -8.61989e-05
     -0.00014567    -0.000122524
     -6.9417e-05    -9.25074e-05
     -3.0392e-05    -4.25389e-05
    -0.000313094    -0.000346406
    -0.000351217    -0.000360716
    -0.000295432    -0.000315675
    -0.000819228    -0.000761623
    -0.000313731    -0.000326728
     -6.7145e-05    -5.89305e-05
    -0.000397071    -0.000378962
     -0.00326901     -0.00340258
     -1.6008e-05    -1.93943e-05
     -9.4926e-05    -0.000102523
     -0.00157651     -0.00159271
    -0.000397373    -0.000378929
    -0.000601253    -0.000658053
    -0.000100648    -9.81086e-05
     -6.3844e-05    -8.41211e-05
    -0.000169249    -0.000267161
     -0.00010524    -9.87212e-05
    -0.000760899    -0.000756102
     -3.2595e-05    -3.84887e-05
    -0.000194795    -0.000261889
     -6.9765e-05    -9.52258e-05
    -0.000101806    -0.000156724
     -0.00016252    -0.000171893
     -3.1746e-05    -2.93187e-05
     -5.6011e-05    -9.14785e-05
     -8.0453e-05    -7.24848e-05
     -2.6701e-05     -4.0907e-05
    -0.000830144    -0.000723876
      -2.394e-05     -2.5715e-05
     -6.6761e-05    -0.000105721
     -0.00072055    -0.000697297
      -0.0013057     -0.00143024
    -0.000160864    -0.000150016
    -0.000318876    -0.000363849
    -0.000135906    -0.000168762
    -0.000459027     -0.00047425
    -0.000108392    -0.000146157
     -0.00185565     -0.00177624
      -4.711e-06    -9.07524e-06
     -0.00105888     -0.00118008
    -0.000169801    -0.000244875
     -0.00191635     -0.00182233
      -2.052e-05    -2.73388e-05
     -0.00103366     -0.00108296
    -0.000836785    -0.000831391
     -1.9471e-05    -3.08271e-05
     -1.5313e-05    -2.28357e-05
     -2.5863e-05    -3.75838e-05
    -0.000292733    -0.000224417
     -3.0075e-05    -3.35175e-05
     -9.8704e-05    -0.000109697
    -0.000447437    -0.000330171
     -0.00132196     -0.00124508
     -0.00153034     -0.00165177
      -6.353e-05    -7.80971e-05
     -5.5053e-05    -7.85239e-05
     -0.00194298     -0.00181914
     -1.3953e-05    -2.15238e-05
     -0.00137042     -0.00119595
    -0.000232723    -0.000274327
      -8.571e-06    -1.63288e-05
    -0.000411563    -0.000590385
    -0.000153571    -0.000213499
      -2.401e-05    -2.26635e-05
    -0.000120862    -0.000133386
     -9.2914e-05    -9.98977e-05
     -0.00176182     -0.00170058
      -0.0019328     -0.00195497
    -0.000266458    -0.000287921
    -0.000159176    -0.000260772
    -0.000401288    -0.000342565
    -0.000247965    -0.000300692
    -0.000456948    -0.000487721
    -0.000157455    -0.000193076
     -0.00216152     -0.00250054
    -0.000506403    -0.000565418
     -7.4657e-05    -0.000116549
      -3.345e-05    -6.84355e-05
     -7.2604e-05     -0.00010837
     -2.0547e-05    -3.30885e-05
     -0.00175218     -0.00191188
     -0.00118061      -0.0011091
     -8.3477e-05    -0.000169192
     -6.9402e-05    -9.13803e-05
     -9.6493e-05    -9.33549e-05
     -3.3505e-05    -5.07245e-05
     -0.00103474     -0.00111156
    -0.000126546    -0.000155995
     -8.1546e-05    -0.000109005
    -0.000289376    -0.000279672
     -0.00115754     -0.00101822
     -6.3259e-05    -5.43247e-05
     -0.00152262     -0.00143554
     -5.2071e-05    -8.21429e-05
    -0.000195081     -0.00024091
    -0.000290777    -0.000305543
     -1.4069e-05    -2.72973e-05
     -0.00102862     -0.00091226
    -0.000207338     -0.00025372
    -0.000899824     -0.00101038
     -0.00176824     -0.00163227
    -0.000255147    -0.000349802
    -0.000112176    -0.000127254
     -2.9881e-05    -2.80197e-05
     -3.6132e-05    -3.16869e-05
    -0.000141322    -0.000148987
     -6.0661e-05     -7.5574e-05
     -6.6996e-05    -9.29463e-05
     -4.7079e-05    -5.52176e-05
     -0.00247779     -0.00241175
     -1.3964e-05    -2.09159e-05
     -4.7738e-05    -6.91585e-05
     -0.00157637     -0.00137854
     -3.4436e-05    -3.10169e-05
    -0.000146776    -0.000146087
     -8.6716e-05    -0.000102639
     -0.00168909     -0.00148637
     -1.6805e-05    -1.68625e-05
    -0.000493759    -0.000424312
     -3.9114e-05    -4.88717e-05
     -2.6005e-05    -2.63045e-05
    -0.000342506    -0.000380822
     -4.5132e-05     -6.6336e-05
     -0.00171022     -0.00176134
    -0.000302906    -0.000264403
      -0.0024479     -0.00272189
      -7.372e-05    -8.34358e-05
    -0.000431575    -0.000458504
     -0.00119051     -0.00119699
     -3.7879e-05    -6.20231e-05
     -0.00110204     -0.00115573
    -0.000264512    -0.000304777
    -0.000122529    -0.000165269
    -0.000331161    -0.000364204
     -7.8898e-05    -7.64035e-05
    -0.000788674    -0.000914802
     -2.2276e-05     -3.4358e-05
    -0.000150822    -0.000197209
     -6.4975e-05    -6.07374e-05
     -0.00104078    -0.000904743
     -4.6788e-05    -4.73755e-05
      -0.0016069      -0.0013902
    -0.000101307    -0.000122013
     -2.7339e-05    -5.79338e-05
    -0.000223391     -0.00028513
     -6.4572e-05    -7.19163e-05
     -2.7428e-05    -3.86812e-05
    -0.000432839    -0.000325679
     -7.1914e-05    -6.91381e-05
    -0.000293034    -0.000344681
    -0.000253731      -0.0002554
     -2.8003e-05    -3.02739e-05
     -1.7709e-05    -2.90004e-05
     -9.7512e-05    -0.000134749
