QM Energy	FF Energy
     -0.00574405     -0.00566386
     -0.00108011     -0.00110337
     -0.00104925    -0.000983432
     -0.00289047     -0.00278971
     -0.00164529      -0.0015905
     -0.00577965     -0.00559491
     -0.00476226       -0.004591
     -0.00216034     -0.00225563
     -0.00169813     -0.00182138
    -0.000706396    -0.000644899
     -0.00227604     -0.00214017
     -0.00109565     -0.00103243
      -0.0048406     -0.00452584
     -0.00100537     -0.00101926
     -0.00160272     -0.00158351
     -0.00360595     -0.00350661
     -0.00114362     -0.00115744
     -0.00429124     -0.00410718
     -0.00956288      -0.0100492
     -0.00182555     -0.00173458
     -0.00180499     -0.00162078
     -0.00462618      -0.0046591
     -0.00111004     -0.00100869
     -0.00647535     -0.00613824
       -0.002072     -0.00227453
     -0.00523858     -0.00534936
     -0.00243674     -0.00243503
     -0.00123373     -0.00129316
     -0.00584976      -0.0056483
     -0.00336724     -0.00347885
     -0.00289263     -0.00273382
     -0.00161187     -0.00156076
     -0.00335687     -0.00338078
     -0.00640618     -0.00639459
     -0.00725878     -0.00720042
    -0.000615404    -0.000577945
     -0.00282256     -0.00264086
     -0.00461536     -0.00441491
     -0.00157615     -0.00152481
     -0.00188875     -0.00190114
     -0.00632822     -0.00658091
     -0.00534931     -0.00536388
     -0.00722561     -0.00740178
     -0.00510528     -0.00491058
     -0.00552874     -0.00583307
     -0.00145379     -0.00139798
      -0.0018616     -0.00191605
     -0.00550527     -0.00555768
     -0.00720985     -0.00772122
     -0.00353991      -0.0036681
     -0.00130828     -0.00126674
     -0.00147707     -0.00147925
     -0.00259975      -0.0026927
    -0.000756011    -0.000715734
     -0.00823103     -0.00887922
     -0.00475067     -0.00473114
     -0.00328528     -0.00306531
     -0.00527545     -0.00513877
     -0.00345777      -0.0034981
     -0.00190727     -0.00204359
     -0.00206909     -0.00210075
     -0.00291817     -0.00279401
     -0.00490559     -0.00488275
     -0.00131291     -0.00138209
      -0.0026918     -0.00278906
     -0.00179202     -0.00180658
     -0.00201669     -0.00197403
     -0.00404243     -0.00422258
     -0.00209448     -0.00208058
     -0.00621115     -0.00584587
     -0.00361254     -0.00365856
     -0.00165105     -0.00169539
     -0.00632356     -0.00660661
     -0.00149573     -0.00150055
     -0.00210618     -0.00207954
     -0.00138642     -0.00140012
     -0.00271739     -0.00263712
     -0.00212996     -0.00207066
