QM Energy	FF Energy
    -0.000998633    -0.000920609
     -2.4489e-05    -3.10648e-05
     -2.1186e-05    -2.19217e-05
    -0.000346003    -0.000310771
    -0.000134837    -0.000165741
     -0.00101185    -0.000878035
    -0.000520353    -0.000431436
    -0.000159636    -0.000214905
     -3.1517e-05    -4.07929e-05
     -1.3716e-05    -1.15306e-05
    -0.000186801    -0.000206512
     -2.2288e-05     -2.7255e-05
    -0.000733284     -0.00071119
     -2.2645e-05    -3.14626e-05
     -4.1983e-05    -5.50974e-05
    -0.000363973    -0.000279751
     -2.6951e-05    -3.64326e-05
    -0.000819335    -0.000901036
     -0.00166509     -0.00166568
    -0.000148531    -9.35512e-05
    -0.000123799    -0.000120867
    -0.000768351    -0.000729352
     -2.2587e-05    -2.14971e-05
    -0.000880925    -0.000692391
      -6.904e-05    -8.54853e-05
    -0.000688445    -0.000696848
    -0.000102651    -0.000108468
     -2.5456e-05    -4.67551e-05
     -0.00181489     -0.00120461
    -0.000267064    -0.000300102
    -0.000190833    -0.000216932
     -7.0831e-05    -9.92022e-05
    -0.000245142    -0.000248124
     -0.00079739    -0.000856987
     -0.00102549    -0.000834543
      -8.343e-06      -9.601e-06
    -0.000221558    -0.000240034
    -0.000816525    -0.000636105
     -8.2387e-05    -8.78015e-05
     -7.3527e-05    -7.43317e-05
     -0.00116866     -0.00118835
    -0.000606529    -0.000523194
     -0.00110628     -0.00127258
    -0.000645109    -0.000532408
    -0.000590138    -0.000565469
     -8.9397e-05    -0.000114889
     -9.4269e-05    -8.90678e-05
     -0.00093865    -0.000920666
    -0.000884491    -0.000872305
    -0.000279325    -0.000265795
     -6.5947e-05    -4.46923e-05
     -3.7571e-05    -4.51224e-05
    -0.000276937    -0.000254637
     -1.5809e-05    -2.85071e-05
     -0.00130968     -0.00128928
    -0.000556269    -0.000615924
    -0.000319173     -0.00032734
    -0.000576428    -0.000512929
    -0.000355762    -0.000339943
     -5.4477e-05    -8.88995e-05
     -7.7732e-05    -0.000131572
    -0.000265514    -0.000253311
    -0.000628595    -0.000700222
     -1.7191e-05    -2.76351e-05
    -0.000225094    -0.000188389
