QM Energy	FF Energy
    -0.000998633    -0.000916189
     -2.4489e-05    -3.01627e-05
     -2.1186e-05    -2.27009e-05
    -0.000346003    -0.000319238
    -0.000134837    -0.000163656
     -0.00101185    -0.000876493
    -0.000520353     -0.00044392
    -0.000159636    -0.000213332
     -3.1517e-05    -3.97786e-05
     -1.3716e-05    -1.19296e-05
    -0.000186801    -0.000203241
     -2.2288e-05     -2.8306e-05
    -0.000733284    -0.000707082
     -2.2645e-05    -3.09699e-05
     -4.1983e-05    -5.46442e-05
    -0.000363973    -0.000286342
     -2.6951e-05    -3.68675e-05
    -0.000819335    -0.000881831
     -0.00166509     -0.00168605
    -0.000148531    -9.63766e-05
    -0.000123799      -0.0001202
    -0.000768351    -0.000723037
     -2.2587e-05    -2.08875e-05
    -0.000880925     -0.00069334
      -6.904e-05      -8.631e-05
    -0.000688445    -0.000685608
    -0.000102651    -0.000105859
     -2.5456e-05    -4.63502e-05
     -0.00181489     -0.00131611
    -0.000267064    -0.000294229
    -0.000190833    -0.000217239
     -7.0831e-05    -9.99704e-05
    -0.000245142     -0.00024346
     -0.00079739    -0.000843959
     -0.00102549    -0.000847159
      -8.343e-06    -9.62588e-06
    -0.000221558     -0.00023607
    -0.000816525     -0.00063252
     -8.2387e-05    -8.64276e-05
     -7.3527e-05    -7.55161e-05
     -0.00116866     -0.00118633
    -0.000606529    -0.000511808
     -0.00110628     -0.00128081
    -0.000645109    -0.000527479
    -0.000590138     -0.00056875
     -8.9397e-05    -0.000113247
     -9.4269e-05      -8.838e-05
     -0.00093865    -0.000917245
    -0.000884491    -0.000870313
    -0.000279325    -0.000258306
     -6.5947e-05    -4.38646e-05
     -3.7571e-05    -4.39984e-05
    -0.000276937    -0.000250774
     -1.5809e-05    -2.87397e-05
     -0.00130968     -0.00130174
    -0.000556269    -0.000620696
    -0.000319173    -0.000322114
    -0.000576428    -0.000517736
    -0.000355762    -0.000346559
     -5.4477e-05    -8.92102e-05
     -7.7732e-05     -0.00012985
    -0.000265514    -0.000251692
    -0.000628595    -0.000694306
     -1.7191e-05    -2.67165e-05
    -0.000225094    -0.000187532
     -4.1938e-05    -5.69096e-05
     -5.4366e-05    -9.23896e-05
    -0.000242164    -0.000285193
    -0.000118115    -0.000140145
     -0.00155235     -0.00119823
    -0.000273091    -0.000263844
     -6.5219e-05     -9.1163e-05
    -0.000799253    -0.000756935
     -6.3878e-05    -8.95523e-05
      -8.399e-05    -0.000105964
     -5.7255e-05    -5.74228e-05
     -0.00014567    -0.000155643
     -6.9417e-05    -9.65853e-05
     -3.0392e-05    -3.61371e-05
    -0.000313094    -0.000370554
    -0.000351217    -0.000238793
    -0.000295432    -0.000263965
    -0.000819228    -0.000783083
    -0.000313731    -0.000277136
     -6.7145e-05    -8.14252e-05
    -0.000397071    -0.000358077
     -0.00326901     -0.00406639
     -1.6008e-05    -2.51229e-05
