QM Energy	FF Energy
    -0.000998633    -0.000916188
     -2.4489e-05    -3.01616e-05
     -2.1186e-05    -2.27249e-05
    -0.000346003    -0.000319234
    -0.000134837    -0.000163656
     -0.00101185    -0.000876501
    -0.000520353    -0.000443924
    -0.000159636    -0.000213335
     -3.1517e-05    -3.97561e-05
     -1.3716e-05    -1.19441e-05
    -0.000186801    -0.000203241
     -2.2288e-05    -2.82993e-05
    -0.000733284    -0.000707093
     -2.2645e-05    -3.09675e-05
     -4.1983e-05    -5.46444e-05
    -0.000363973    -0.000286338
     -2.6951e-05    -3.68625e-05
    -0.000819335    -0.000881816
     -0.00166509     -0.00168603
    -0.000148531    -9.63755e-05
    -0.000123799    -0.000120217
    -0.000768351    -0.000723026
     -2.2587e-05    -2.08944e-05
    -0.000880925    -0.000693379
      -6.904e-05    -8.63822e-05
    -0.000688445    -0.000685604
    -0.000102651    -0.000105859
     -2.5456e-05    -4.63498e-05
     -0.00181489     -0.00131612
    -0.000267064    -0.000294228
    -0.000190833     -0.00021724
     -7.0831e-05    -9.99611e-05
    -0.000245142    -0.000243461
     -0.00079739    -0.000843959
     -0.00102549    -0.000847233
      -8.343e-06    -9.63364e-06
    -0.000221558    -0.000236071
    -0.000816525    -0.000632527
     -8.2387e-05     -8.6431e-05
     -7.3527e-05    -7.55161e-05
     -0.00116866     -0.00118638
    -0.000606529    -0.000511776
     -0.00110628     -0.00128081
    -0.000645109    -0.000527488
    -0.000590138    -0.000568746
     -8.9397e-05    -0.000113221
     -9.4269e-05     -8.8384e-05
     -0.00093865    -0.000917274
    -0.000884491    -0.000870308
    -0.000279325    -0.000258261
     -6.5947e-05    -4.38659e-05
     -3.7571e-05    -4.39844e-05
    -0.000276937    -0.000250772
     -1.5809e-05    -2.87403e-05
     -0.00130968      -0.0013017
    -0.000556269     -0.00062066
    -0.000319173    -0.000322121
    -0.000576428    -0.000517735
    -0.000355762    -0.000346563
     -5.4477e-05    -8.92099e-05
     -7.7732e-05    -0.000129849
    -0.000265514     -0.00025168
    -0.000628595    -0.000694233
     -1.7191e-05    -2.67651e-05
    -0.000225094    -0.000187535
     -4.1938e-05    -5.68812e-05
     -5.4366e-05    -9.23789e-05
    -0.000242164      -0.0002852
    -0.000118115    -0.000140144
     -0.00155235     -0.00119822
    -0.000273091    -0.000263842
     -6.5219e-05    -9.11621e-05
    -0.000799253    -0.000756827
     -6.3878e-05    -8.95595e-05
      -8.399e-05    -0.000105951
     -5.7255e-05    -5.74136e-05
     -0.00014567    -0.000155644
     -6.9417e-05    -9.65872e-05
     -3.0392e-05      -3.615e-05
    -0.000313094     -0.00037055
    -0.000351217     -0.00023879
    -0.000295432    -0.000264165
    -0.000819228    -0.000783111
    -0.000313731    -0.000277101
     -6.7145e-05    -8.14251e-05
    -0.000397071    -0.000358073
     -0.00326901     -0.00406636
     -1.6008e-05     -2.5115e-05
     -9.4926e-05    -0.000121015
     -0.00157651      -0.0014779
    -0.000397373    -0.000224153
    -0.000601253    -0.000459272
    -0.000100648    -0.000109201
     -6.3844e-05     -8.0287e-05
    -0.000169249    -0.000195098
     -0.00010524    -7.42746e-05
    -0.000760899    -0.000698758
     -3.2595e-05    -4.30022e-05
    -0.000194795    -0.000158956
     -6.9765e-05    -0.000107756
    -0.000101806    -9.60736e-05
     -0.00016252    -0.000167863
     -3.1746e-05    -3.23155e-05
     -5.6011e-05    -5.92971e-05
     -8.0453e-05    -0.000102744
     -2.6701e-05     -4.7921e-05
    -0.000830144    -0.000520184
      -2.394e-05    -3.12619e-05
     -6.6761e-05    -8.56709e-05
     -0.00072055    -0.000765773
      -0.0013057     -0.00135071
    -0.000160864    -0.000212901
    -0.000318876    -0.000440538
    -0.000135906    -0.000194381
    -0.000459027    -0.000462344
    -0.000108392    -0.000132893
     -0.00185565     -0.00217986
      -4.711e-06    -7.96008e-06
     -0.00105888     -0.00101275
    -0.000169801    -0.000181971
     -0.00191635     -0.00167185
      -2.052e-05    -3.27453e-05
     -0.00103366     -0.00102283
    -0.000836785    -0.000775117
     -1.9471e-05    -3.71168e-05
     -1.5313e-05    -3.07859e-05
     -2.5863e-05    -2.60203e-05
    -0.000292733    -0.000166962
     -3.0075e-05    -3.59267e-05
     -9.8704e-05    -0.000123961
    -0.000447437    -0.000435015
     -0.00132196     -0.00112491
     -0.00153034     -0.00167904
      -6.353e-05    -6.58485e-05
     -5.5053e-05    -8.48949e-05
     -0.00194298     -0.00161783
     -1.3953e-05    -1.26139e-05
     -0.00137042    -0.000732204
    -0.000232723    -0.000297226
      -8.571e-06    -8.35831e-06
    -0.000411563    -0.000300691
    -0.000153571    -0.000149702
      -2.401e-05    -2.58411e-05
    -0.000120862    -0.000130321
     -9.2914e-05    -0.000104768
     -0.00176182    -0.000996434
      -0.0019328     -0.00177557
    -0.000266458    -0.000289288
    -0.000159176    -0.000130607
    -0.000401288    -0.000299657
    -0.000247965    -0.000295047
    -0.000456948    -0.000501402
    -0.000157455    -0.000200777
     -0.00216152     -0.00232256
    -0.000506403    -0.000570503
     -7.4657e-05     -7.3534e-05
      -3.345e-05    -3.63429e-05
     -7.2604e-05    -7.93709e-05
     -2.0547e-05    -2.41075e-05
     -0.00175218     -0.00186657
     -0.00118061     -0.00115342
     -8.3477e-05    -7.95231e-05
     -6.9402e-05    -0.000102291
     -9.6493e-05    -0.000111317
     -3.3505e-05    -5.92897e-05
     -0.00103474     -0.00105785
    -0.000126546    -0.000166228
     -8.1546e-05    -7.19369e-05
    -0.000289376    -0.000328077
     -0.00115754    -0.000903261
     -6.3259e-05    -4.98961e-05
     -0.00152262     -0.00146105
     -5.2071e-05    -5.10234e-05
    -0.000195081    -0.000238759
    -0.000290777     -0.00031733
     -1.4069e-05    -1.41102e-05
     -0.00102862    -0.000960479
    -0.000207338    -0.000198868
    -0.000899824     -0.00080671
     -0.00176824     -0.00166459
    -0.000255147    -0.000308609
    -0.000112176    -0.000142517
     -2.9881e-05    -1.65655e-05
     -3.6132e-05    -2.72911e-05
    -0.000141322    -0.000170753
     -6.0661e-05    -9.69613e-05
     -6.6996e-05    -8.34606e-05
     -4.7079e-05    -3.74296e-05
     -0.00247779     -0.00215535
     -1.3964e-05    -2.80252e-05
     -4.7738e-05     -4.9339e-05
     -0.00157637     -0.00126738
     -3.4436e-05    -2.57192e-05
    -0.000146776    -0.000129066
     -8.6716e-05    -0.000106932
     -0.00168909     -0.00150209
     -1.6805e-05    -1.85564e-05
    -0.000493759    -0.000447632
     -3.9114e-05    -4.32206e-05
     -2.6005e-05    -3.68145e-05
    -0.000342506     -0.00033363
     -4.5132e-05    -7.30824e-05
     -0.00171022     -0.00114838
    -0.000302906    -0.000401087
      -0.0024479     -0.00259176
      -7.372e-05    -9.40581e-05
    -0.000431575    -0.000421969
     -0.00119051     -0.00105875
     -3.7879e-05    -5.78781e-05
     -0.00110204     -0.00104067
    -0.000264512    -0.000309204
    -0.000122529    -0.000100968
    -0.000331161     -0.00047817
     -7.8898e-05    -8.84439e-05
    -0.000788674    -0.000763713
     -2.2276e-05    -3.40591e-05
    -0.000150822    -0.000195163
     -6.4975e-05    -4.73561e-05
     -0.00104078    -0.000749441
     -4.6788e-05    -3.09786e-05
      -0.0016069     -0.00147174
    -0.000101307    -0.000117979
     -2.7339e-05    -2.96184e-05
