QM Energy	FF Energy
    -0.000711156    -0.000731251
     -8.6555e-05    -7.44238e-05
    -0.000120507    -0.000110662
    -0.000292383     -0.00039329
     -8.0919e-05    -5.04896e-05
    -0.000985218    -0.000984085
    -0.000702346    -0.000772831
     -9.0345e-05    -8.20438e-05
      -9.939e-05     -8.8481e-05
      -5.754e-05    -4.18267e-05
    -0.000140077    -0.000124172
    -0.000100525    -9.07877e-05
    -0.000911427     -0.00086522
     -4.1155e-05    -3.66901e-05
     -4.4878e-05    -4.42819e-05
    -0.000471083    -0.000648654
      -6.739e-05    -6.67168e-05
    -0.000671806    -0.000671184
     -0.00151997     -0.00159304
    -0.000324052    -0.000215501
    -0.000175569    -0.000187819
    -0.000346839    -0.000280085
    -0.000191636    -0.000144624
    -0.000554731     -0.00064024
    -0.000171883    -0.000139841
    -0.000498934    -0.000514035
     -0.00017904    -0.000126888
     -2.8786e-05     -3.0735e-05
      -0.0014124     -0.00175243
    -0.000449021    -0.000449664
    -0.000405613    -0.000309368
    -0.000101443    -0.000111175
     -0.00028937    -0.000279901
    -0.000551826    -0.000720585
    -0.000901949    -0.000990445
      -4.692e-05    -3.72234e-05
    -0.000433598    -0.000337275
    -0.000909356     -0.00090992
     -8.1304e-05    -7.31488e-05
    -0.000179901     -0.00012641
     -0.00069442    -0.000656883
    -0.000646857    -0.000510693
    -0.000952028     -0.00101754
    -0.000554128     -0.00065083
    -0.000949022     -0.00081017
    -0.000134757    -0.000130935
    -0.000227577    -0.000162192
     -0.00051395    -0.000308514
      -0.0008843     -0.00105095
    -0.000369829    -0.000349535
    -0.000164164    -0.000112154
     -9.9466e-05    -9.40692e-05
    -0.000325303    -0.000325064
     -4.0839e-05    -4.28931e-05
    -0.000828935     -0.00114984
    -0.000645767    -0.000482762
    -0.000542524    -0.000444431
    -0.000782599    -0.000728905
    -0.000360207    -0.000476678
     -3.8757e-05    -4.84127e-05
     -7.2183e-05    -7.21553e-05
    -0.000305418    -0.000317908
    -0.000858876    -0.000838897
     -9.4315e-05    -7.37227e-05
    -0.000231998    -0.000234559
    -0.000178238     -0.00019487
    -0.000128138    -9.87973e-05
     -0.00024864     -0.00022762
     -4.5086e-05    -4.63625e-05
    -0.000973693     -0.00122442
    -0.000325398    -0.000297138
      -6.278e-05    -5.82121e-05
    -0.000740121    -0.000847624
      -5.218e-05    -3.69198e-05
    -0.000221592    -0.000161373
     -9.8367e-05    -9.18486e-05
     -4.0637e-05    -7.30131e-05
    -0.000149649    -0.000123657
     -5.1073e-05    -5.03639e-05
    -0.000516515    -0.000600949
    -0.000579236    -0.000334598
      -0.0004814    -0.000435977
    -0.000666679    -0.000707078
    -0.000486332    -0.000496067
     -7.7878e-05    -6.65047e-05
    -0.000235955    -0.000283235
     -0.00286392     -0.00254252
      -7.518e-05    -7.96304e-05
    -0.000107955     -0.00011644
    -0.000927723    -0.000692369
     -0.00069225    -0.000358693
    -0.000706024    -0.000575858
    -0.000231109    -0.000265845
    -0.000115986    -0.000111839
    -0.000419164    -0.000335253
    -0.000212306    -0.000134188
    -0.000772429    -0.000807447
     -9.1697e-05    -9.79693e-05
    -0.000222366    -0.000214705
     -4.8333e-05    -5.06048e-05
    -0.000144603    -0.000145192
    -0.000251596    -0.000272909
     -3.3823e-05    -3.44836e-05
    -0.000187177    -0.000125725
     -5.1876e-05    -5.18228e-05
     -2.9936e-05    -3.48303e-05
    -0.000928172     -0.00116823
    -0.000155891    -0.000153064
    -0.000113355    -0.000110676
    -0.000624623    -0.000722583
      -0.0014405     -0.00126503
     -9.2091e-05    -0.000130722
    -0.000447507    -0.000418945
    -0.000167319    -0.000195347
    -0.000198706    -0.000138802
    -0.000159653    -0.000169469
     -0.00179311     -0.00184992
     -3.0253e-05    -2.77838e-05
     -0.00113186     -0.00116928
    -0.000194025    -0.000197506
     -0.00160549     -0.00174531
     -5.0476e-05    -3.94759e-05
    -0.000459252    -0.000550543
    -0.000929734    -0.000752945
     -1.8136e-05    -1.93803e-05
     -3.8545e-05    -4.02414e-05
     -5.6604e-05    -5.01643e-05
    -0.000701208    -0.000708655
     -4.3549e-05    -4.30002e-05
      -5.424e-05     -5.6449e-05
    -0.000138287    -0.000253225
    -0.000601383    -0.000378388
     -0.00147381    -0.000976997
     -7.2118e-05    -6.82117e-05
    -0.000156069    -0.000124464
    -0.000921425    -0.000711166
     -3.9378e-05    -3.56306e-05
     -0.00133673    -0.000741441
    -0.000156248    -0.000184017
     -5.7779e-05    -3.30044e-05
    -0.000616309    -0.000530176
    -0.000195797    -0.000200811
      -0.0001761    -0.000152355
    -0.000293412    -0.000169155
    -0.000127136    -0.000126753
     -0.00179737      -0.0011705
     -0.00145585     -0.00158695
    -0.000104069    -9.14011e-05
    -0.000323505    -0.000239088
    -0.000724448    -0.000582407
    -0.000105823    -9.08365e-05
    -0.000236626    -0.000225287
     -0.00015063    -0.000147481
     -0.00196801     -0.00204981
     -0.00061185    -0.000641691
    -0.000102664    -0.000107296
    -0.000117615    -8.49094e-05
    -0.000167898    -0.000131287
      -5.628e-05    -5.16612e-05
      -0.0013693     -0.00206278
     -0.00123039     -0.00101197
    -0.000229147     -0.00017008
     -5.6869e-05    -6.09288e-05
    -0.000142523    -0.000101019
     -3.7347e-05    -3.91328e-05
    -0.000876208    -0.000615324
      -5.658e-05    -5.45596e-05
    -0.000192967    -0.000128395
     -0.00024887     -0.00019936
    -0.000732244    -0.000777416
    -0.000261364    -0.000163669
     -0.00104641     -0.00122951
     -8.8056e-05    -8.58555e-05
    -0.000103454    -8.55092e-05
    -0.000502431    -0.000326624
      -6.164e-05     -4.6457e-05
    -0.000710057    -0.000842401
     -0.00024783    -0.000242039
     -0.00111551     -0.00107795
    -0.000841192    -0.000949542
    -0.000387754    -0.000382821
    -0.000302668    -0.000369072
    -0.000145175    -7.19649e-05
    -0.000188869    -0.000120848
    -0.000187811    -0.000227442
     -5.3455e-05    -4.22393e-05
    -0.000101168    -9.15921e-05
    -0.000166537    -0.000120422
      -0.0023338     -0.00237706
     -6.4018e-05    -7.20102e-05
    -0.000152579    -0.000136681
    -0.000611345    -0.000682163
    -0.000224964      -0.0001662
    -0.000279182    -0.000345474
     -5.6734e-05    -4.35476e-05
     -0.00101409     -0.00135459
      -9.495e-05    -5.25829e-05
    -0.000424027    -0.000417002
    -0.000172059    -0.000120934
     -2.9931e-05    -2.88874e-05
    -0.000314392    -0.000321116
     -3.9928e-05    -3.90198e-05
     -0.00163953      -0.0023875
    -0.000183808     -0.00019087
     -0.00247088     -0.00266316
      -4.196e-05     -4.6705e-05
      -0.0002085    -0.000131959
     -0.00072693     -0.00126572
     -8.3314e-05    -7.86981e-05
    -0.000633167    -0.000494999
     -8.7071e-05    -0.000107149
    -0.000165556    -0.000150084
    -0.000296118    -0.000304755
    -0.000267751    -0.000245149
     -0.00083024    -0.000819449
     -7.6054e-05    -4.94438e-05
    -0.000144346    -8.82252e-05
    -0.000293112    -0.000222324
     -0.00114704    -0.000802896
    -0.000180245    -0.000122144
     -0.00133584      -0.0017724
    -0.000200868    -0.000183705
    -0.000119649    -7.86719e-05
    -0.000295358     -0.00023407
     -7.4922e-05    -8.40834e-05
     -0.00013267    -0.000116056
    -0.000165922    -0.000270976
    -0.000308122    -0.000247264
    -0.000178628    -0.000155183
     -7.7522e-05    -8.73773e-05
     -5.2149e-05    -4.44206e-05
     -4.3336e-05    -4.06424e-05
     -9.1371e-05    -8.49019e-05
     -6.9177e-05    -7.21134e-05
    -0.000802976     -0.00107332
     -7.2495e-05    -6.85323e-05
    -0.000434954     -0.00041306
    -0.000121621    -0.000123024
    -0.000100404    -9.85955e-05
    -0.000286119    -0.000232453
    -0.000525616    -0.000401802
     -9.0703e-05    -5.43745e-05
    -0.000974932     -0.00110861
      -5.962e-05    -6.91103e-05
     -0.00018241    -0.000180023
    -0.000187291    -0.000116794
    -0.000608313    -0.000638845
     -0.00016016    -0.000170248
     -0.00101627    -0.000916807
    -0.000308215    -0.000314872
     -0.00132935     -0.00136175
    -0.000715932    -0.000822062
    -0.000204121    -0.000209911
    -0.000289044    -0.000306778
    -0.000178864    -0.000119668
     -0.00138624     -0.00201676
     -2.6728e-05    -3.05818e-05
     -0.00024477    -0.000341984
     -0.00129306     -0.00189086
     -4.0784e-05     -5.5388e-05
     -4.7151e-05    -4.46145e-05
     -7.8998e-05    -9.11228e-05
    -0.000106322    -0.000108788
    -0.000489018    -0.000410855
    -0.000929531    -0.000886084
    -0.000329851    -0.000287868
    -0.000553287    -0.000662967
    -0.000579327    -0.000976762
    -0.000389418    -0.000332847
    -0.000537464    -0.000458206
    -0.000129929    -0.000180698
     -0.00164899      -0.0013946
    -0.000129323    -0.000148919
     -0.00183252      -0.0015487
     -0.00019526    -0.000183742
     -4.1658e-05    -3.64325e-05
    -0.000476038     -0.00053298
    -0.000170078     -0.00019002
    -0.000173129    -0.000156446
     -0.00183272     -0.00219011
    -0.000887195    -0.000700404
     -0.00035871     -0.00034718
     -5.5015e-05    -5.51397e-05
    -0.000252008     -0.00020146
    -0.000164738    -0.000243386
    -0.000344623    -0.000275762
    -0.000107891    -8.25236e-05
    -0.000739258     -0.00074961
    -0.000265601    -0.000318025
    -0.000223902    -0.000216866
     -3.2577e-05    -3.20531e-05
     -6.1033e-05    -6.75175e-05
      -7.576e-05    -4.52151e-05
     -9.9656e-05    -8.59115e-05
     -0.00179438     -0.00198665
    -0.000294429    -0.000190665
    -0.000579926    -0.000582703
    -0.000114942    -8.16796e-05
    -0.000268348     -0.00022162
     -2.7249e-05    -2.67749e-05
    -0.000194655    -0.000204427
     -0.00106528     -0.00140047
     -0.00059165    -0.000633609
    -0.000133435    -0.000118603
     -0.00108976      -0.0010064
    -0.000235384    -0.000290389
    -0.000233296    -0.000272342
    -0.000128479    -0.000108499
    -0.000101704    -0.000109681
     -6.5457e-05     -5.6009e-05
    -0.000133789    -0.000140178
    -0.000285115    -0.000220387
    -0.000291502    -0.000340471
    -0.000105011    -0.000110921
    -0.000164917    -0.000307748
    -0.000195772    -0.000125843
     -0.00026106     -0.00021087
    -0.000104602    -7.83976e-05
    -0.000215737    -0.000150293
    -0.000974675    -0.000829135
     -0.00018251    -0.000188729
     -8.9924e-05    -8.88579e-05
    -0.000160789    -0.000161375
    -0.000224971    -0.000163689
     -9.5432e-05    -9.97998e-05
     -7.1265e-05    -5.40911e-05
    -0.000117663    -7.20829e-05
     -7.6659e-05    -4.73719e-05
    -0.000187585    -0.000163982
     -5.0078e-05    -4.52314e-05
     -6.2648e-05    -4.56768e-05
    -0.000634461     -0.00066801
    -0.000111279    -0.000122005
     -0.00102769     -0.00132408
     -0.00166205     -0.00150328
     -5.3341e-05    -5.00623e-05
     -5.0307e-05    -5.07592e-05
     -0.00015492    -9.48128e-05
    -0.000519169    -0.000466429
      -8.002e-05    -6.53205e-05
    -0.000993102    -0.000998567
     -0.00089751     -0.00107974
     -4.1008e-05    -4.08176e-05
     -3.8298e-05    -3.32094e-05
     -9.6871e-05    -9.29326e-05
    -0.000650831    -0.000569776
    -0.000489805    -0.000560066
     -5.2318e-05    -5.25152e-05
    -0.000911624    -0.000756799
    -0.000637204     -0.00067378
     -5.5375e-05    -5.64904e-05
    -0.000312089    -0.000217989
    -0.000903905    -0.000911323
    -0.000122838    -8.39475e-05
    -0.000287222    -0.000288363
    -0.000206072    -0.000208554
    -0.000106471    -7.52969e-05
    -0.000156496    -0.000101113
    -0.000155322    -9.88873e-05
    -0.000433766    -0.000384321
    -0.000557783     -0.00059714
    -0.000258035    -0.000204805
    -0.000229704    -0.000137575
     -0.00042904    -0.000397756
    -0.000182246    -0.000190047
    -0.000149923    -0.000155169
      -0.0013159     -0.00131673
    -0.000115194    -0.000133166
    -0.000408836    -0.000328157
    -0.000381173    -0.000467463
    -0.000337945    -0.000468488
     -4.7746e-05    -4.70683e-05
    -0.000217675    -0.000222645
    -0.000378116    -0.000450418
