# Eelst 		 Emultipole 
     -0.00325136       0.00016170
     -0.00071367      -0.00063597
     -0.00066811      -0.00049498
     -0.00212090      -0.00049110
     -0.00042031      -0.00002314
     -0.00325377       0.00129350
     -0.00300892       0.00014942
     -0.00070732      -0.00012577
      0.00017765       0.00024773
     -0.00044546      -0.00042398
     -0.00074523       0.00016302
     -0.00072561      -0.00052655
      0.00117709       0.00378296
     -0.00013841      -0.00003886
     -0.00061239      -0.00039054
     -0.00234023      -0.00026609
     -0.00014578      -0.00007476
     -0.00162818       0.00074540
     -0.00886674      -0.00184565
     -0.00103723      -0.00048708
     -0.00049330       0.00012055
     -0.00261985       0.00002409
     -0.00047239      -0.00024168
     -0.00418574       0.00036800
     -0.00084291      -0.00064815
     -0.00302992      -0.00015339
     -0.00160949      -0.00107502
     -0.00004965       0.00008865
     -0.00803551      -0.00155035
      0.00072169       0.00208700
     -0.00240316      -0.00098080
     -0.00014196       0.00016474
     -0.00060188       0.00012639
     -0.00354100       0.00030386
     -0.00787026      -0.00059710
     -0.00011060      -0.00011211
      0.00212948       0.00316676
     -0.00074961       0.00172859
     -0.00054942      -0.00018237
     -0.00123475      -0.00107698
     -0.00450897      -0.00013369
     -0.00473840      -0.00195043
     -0.00431081       0.00054832
     -0.00526401      -0.00146954
     -0.00663133      -0.00344829
      0.00057151       0.00088111
     -0.00148685      -0.00126024
     -0.00279251       0.00017201
     -0.00435718      -0.00017401
      0.00042687       0.00145358
      0.00046365       0.00074712
     -0.00048428      -0.00026603
     -0.00043660       0.00032158
      0.00034689       0.00041107
     -0.00722825      -0.00116886
     -0.00571218      -0.00262929
      0.00191561       0.00329196
     -0.00268221       0.00047444
     -0.00187374      -0.00017379
     -0.00007264       0.00023372
     -0.00044052      -0.00006302
     -0.00082837       0.00032504
      0.00065855       0.00291622
      0.00048906       0.00053973
     -0.00082247       0.00001640
     -0.00018204       0.00002142
     -0.00078594      -0.00044020
     -0.00211900      -0.00075611
     -0.00037863       0.00014262
     -0.00666110      -0.00010970
     -0.00170679      -0.00079170
     -0.00045795      -0.00017558
     -0.00296928       0.00009622
     -0.00045700      -0.00022336
     -0.00187411      -0.00126003
     -0.00018509       0.00010176
     -0.00073261       0.00006284
     -0.00000623       0.00045113
     -0.00012329       0.00002893
     -0.00318518      -0.00174407
     -0.00454986      -0.00319790
     -0.00273658      -0.00158475
     -0.00329273      -0.00009266
     -0.00268504      -0.00091955
     -0.00041380      -0.00009708
     -0.00130246       0.00038306
     -0.03041422       0.00035927
      0.00044121       0.00050780
     -0.00073946      -0.00031547
     -0.00795107      -0.00100607
     -0.00478011      -0.00328192
     -0.00413383      -0.00188116
     -0.00104605      -0.00044582
     -0.00028536       0.00007157
      0.00166146       0.00248612
     -0.00143492      -0.00101094
     -0.00570463      -0.00292388
     -0.00016947       0.00000649
     -0.00055866       0.00002386
     -0.00016706       0.00018431
     -0.00008732       0.00030207
     -0.00094082      -0.00026082
     -0.00010699       0.00005536
      0.00161487       0.00188480
     -0.00047347       0.00002014
      0.00007685       0.00024026
      0.00297222       0.00850113
     -0.00015197       0.00019830
     -0.00014584       0.00007871
     -0.00461030      -0.00048343
     -0.00848650      -0.00284847
     -0.00129209      -0.00043294
      0.00048145       0.00230950
     -0.00060520       0.00003273
     -0.00164423       0.00003367
     -0.00030887       0.00002726
     -0.00392921       0.00652786
      0.00005230       0.00007586
     -0.00515412      -0.00159350
      0.00013503       0.00063562
     -0.00958804      -0.00126720
     -0.00058552      -0.00046412
     -0.00515117       0.00004823
     -0.00464191      -0.00184967
      0.00001648       0.00009599
     -0.00036643      -0.00025159
      0.00006505       0.00012545
      0.00161297       0.00381424
     -0.00036631      -0.00021794
     -0.00049629       0.00000869
     -0.00217081       0.00016042
     -0.00491372       0.00024868
     -0.00952279      -0.00358287
     -0.00016868       0.00012404
     -0.00141811      -0.00126382
     -0.00972008      -0.00009136
      0.00020473       0.00023162
     -0.00939041      -0.00423365
     -0.00122453      -0.00025748
      0.00025773       0.00033015
      0.00028057       0.00151341
     -0.00035822       0.00018950
     -0.00062571      -0.00032794
     -0.00328721      -0.00261631
     -0.00017091       0.00022521
     -0.01016620      -0.00408451
     -0.00799339      -0.00020536
     -0.00106466       0.00005038
      0.00121012       0.00172030
     -0.00470165      -0.00226944
     -0.00115897      -0.00007591
     -0.00190445       0.00013113
     -0.00081324      -0.00002278
     -0.01846597      -0.00019940
     -0.00004661       0.00187693
     -0.00005114       0.00019476
      0.00099288       0.00112850
     -0.00104140      -0.00090072
     -0.00053976      -0.00046491
     -0.01170828       0.00150336
     -0.00631125      -0.00163635
      0.00101307       0.00128603
     -0.00068163      -0.00030228
     -0.00023804       0.00031757
     -0.00030023      -0.00010376
     -0.00502418      -0.00130573
     -0.00040380       0.00013073
     -0.00170830      -0.00152505
     -0.00172035      -0.00051104
     -0.00505689      -0.00041427
     -0.00160512      -0.00132512
     -0.00643018      -0.00009623
      0.00010447       0.00029905
     -0.00091275      -0.00015963
     -0.00471781      -0.00311662
     -0.00016274      -0.00016619
     -0.00423958       0.00021479
     -0.00063501       0.00025410
     -0.00121155       0.00226414
     -0.01087051       0.00019884
     -0.00166599      -0.00079965
     -0.00132106      -0.00072035
     -0.00172757      -0.00156296
     -0.00140586      -0.00118086
     -0.00090883      -0.00027070
     -0.00027898       0.00001725
     -0.00008172       0.00023085
     -0.00048340      -0.00031259
     -0.01318243      -0.00193597
     -0.00014433      -0.00001112
     -0.00099414      -0.00084337
     -0.00732101      -0.00019284
     -0.00017929       0.00013676
     -0.00095136      -0.00005766
     -0.00029214       0.00000803
     -0.00801222      -0.00029637
     -0.00090131      -0.00076858
     -0.00307433      -0.00124610
     -0.00077524      -0.00062164
     -0.00007968       0.00008877
     -0.00068857       0.00048076
     -0.00005979       0.00011018
     -0.00883373       0.00687713
     -0.00145447      -0.00011989
     -0.01752515       0.00010126
     -0.00042918      -0.00008390
     -0.00131538       0.00005999
     -0.00718374       0.00037046
     -0.00068657      -0.00059178
     -0.00321403       0.00032032
     -0.00103116       0.00016609
     -0.00034033       0.00012005
     -0.00113636       0.00017637
     -0.00174708      -0.00109836
     -0.00244784      -0.00044053
      0.00025213       0.00040990
     -0.00024642       0.00027343
      0.00002089       0.00039146
     -0.00842926      -0.00312519
     -0.00131379      -0.00105265
     -0.00529375       0.00632928
     -0.00030359       0.00025144
      0.00105960       0.00117764
     -0.00100109      -0.00004080
     -0.00055153      -0.00021633
     -0.00083328      -0.00066686
     -0.00228691      -0.00016771
      0.00049435       0.00098969
     -0.00137934      -0.00017303
     -0.00108249       0.00008423
     -0.00004128       0.00017709
     -0.00001185       0.00004982
     -0.00052374      -0.00022285
     -0.00038297      -0.00015179
     -0.00630532       0.00068490
     -0.00023865      -0.00014290
     -0.00149211       0.00018013
     -0.00027248      -0.00013528
     -0.00022619       0.00010322
     -0.00161376      -0.00104148
      0.00197640       0.00315249
     -0.00025218      -0.00011275
     -0.00414040      -0.00054280
     -0.00031350       0.00020730
     -0.00046560       0.00006892
      0.00168258       0.00184222
     -0.00749575       0.00014089
     -0.00066659       0.00006521
     -0.00356075       0.00125745
     -0.00047316       0.00006078
     -0.01027744      -0.00020617
     -0.00476393      -0.00087994
     -0.00051082      -0.00017221
     -0.00172534      -0.00000994
     -0.00208090      -0.00181977
      0.00058486       0.01113331
     -0.00012544       0.00001840
     -0.00447806      -0.00000818
     -0.00079293       0.00822585
     -0.00040145       0.00002024
     -0.00016851      -0.00008886
     -0.00008503       0.00021247
     -0.00029754      -0.00011314
      0.00078956       0.00154673
      0.00096674       0.00403860
     -0.00093940       0.00039083
     -0.00253634      -0.00052197
     -0.00495273      -0.00001920
      0.00163854       0.00242680
     -0.00075583       0.00066807
     -0.00205421      -0.00013796
     -0.01702334       0.00017361
     -0.00150610       0.00011614
     -0.01708304      -0.00202961
     -0.00053145      -0.00016283
     -0.00015615      -0.00002031
     -0.00220646      -0.00029154
     -0.00003084       0.00029764
     -0.00024264       0.00028115
     -0.01163820       0.00168715
     -0.00488239      -0.00154325
     -0.00407811       0.00018166
      0.00018454       0.00030300
     -0.00086169      -0.00031816
     -0.00272806      -0.00013137
     -0.00140772      -0.00030874
     -0.00095817      -0.00091524
     -0.00243827      -0.00015711
     -0.00211322       0.00041110
     -0.00030860       0.00006868
     -0.00005253      -0.00005556
     -0.00009750       0.00001621
      0.00076666       0.00085270
      0.00110992       0.00119665
     -0.00668296       0.00040949
     -0.00156483      -0.00045752
     -0.00275974      -0.00113294
     -0.00057910      -0.00011231
     -0.00131127      -0.00063902
      0.00003056       0.00015363
     -0.00021375       0.00012429
     -0.00077021       0.00697348
     -0.00066153       0.00146667
     -0.00091404      -0.00080011
     -0.01310372      -0.00006838
     -0.00155398       0.00008368
     -0.00104337      -0.00010196
     -0.00005072       0.00029740
     -0.00003847       0.00021438
      0.00026895       0.00044610
     -0.00060659      -0.00001724
      0.00250531       0.00299875
     -0.00132452      -0.00019346
     -0.00011424       0.00014650
     -0.00309455      -0.00017040
      0.00199912       0.00224485
     -0.00151634       0.00028204
      0.00046343       0.00071022
      0.00081205       0.00108546
     -0.00035563       0.00173987
     -0.00041523       0.00021317
     -0.00016043       0.00003688
     -0.00061282      -0.00040753
     -0.00130455      -0.00069654
     -0.00048893      -0.00011544
     -0.00042753       0.00004470
     -0.00065499      -0.00004963
      0.00027655       0.00034087
     -0.00201718      -0.00006643
     -0.00003949       0.00001568
      0.00024799       0.00053464
     -0.00315929       0.00119172
     -0.00035808       0.00021859
     -0.00563373      -0.00146396
     -0.01251354      -0.00446521
     -0.00036735      -0.00024891
     -0.00062104      -0.00016449
     -0.00113750      -0.00095616
     -0.00562949      -0.00010202
     -0.00032855       0.00025310
     -0.00713748       0.00023592
     -0.00735643      -0.00022125
     -0.00010304      -0.00004739
     -0.00016489       0.00002546
     -0.00059802       0.00007292
     -0.00034192       0.00164435
     -0.00228618      -0.00099500
      0.00021779       0.00033417
     -0.00701483      -0.00152469
     -0.00320764       0.00022011
     -0.00018777       0.00005400
     -0.00234731      -0.00162859
     -0.00647993      -0.00038185
     -0.00166558      -0.00155786
     -0.00111648       0.00046861
     -0.00028887       0.00044080
      0.00018994       0.00054379
     -0.00090273      -0.00019728
      0.00068127       0.00084348
     -0.00078464       0.00081481
     -0.00326136      -0.00015270
      0.00123256       0.00160666
     -0.00151150      -0.00128065
     -0.00338190      -0.00082974
     -0.00043624      -0.00011875
     -0.00057403      -0.00016550
     -0.00430869       0.00119292
     -0.00083864      -0.00041483
      0.00220870       0.00277482
     -0.00159854      -0.00009907
     -0.00215313      -0.00053279
     -0.00008077      -0.00000848
     -0.00071636       0.00009477
     -0.00237154       0.00000288
     -0.00069496      -0.00012178
     -0.00885233      -0.00385710
      0.00149418       0.00209067
     -0.00122088      -0.00069259
     -0.00025587      -0.00008457
      0.00001648       0.00015709
     -0.00297335       0.00081351
     -0.01487124      -0.00405031
     -0.00899122      -0.00138026
     -0.00066451       0.00000410
     -0.00068643      -0.00044475
     -0.00102956       0.00024749
     -0.00049896      -0.00034603
     -0.00238825      -0.00045981
     -0.00279992      -0.00067705
     -0.00015199      -0.00002289
      0.00127164       0.00133002
     -0.00012314       0.00292389
     -0.00033203      -0.00031652
     -0.00303619       0.00018255
     -0.00323779      -0.00104427
     -0.00016731       0.00000525
     -0.00071391       0.00073238
      0.00110729       0.00160632
     -0.01013538      -0.00378454
     -0.00036389      -0.00022831
     -0.00258399       0.00040918
      0.00242021       0.00314511
     -0.00085825      -0.00067135
     -0.00006165       0.00002735
     -0.00134655       0.00001781
     -0.01152341       0.00155596
     -0.00225514      -0.00006016
     -0.00357393       0.00016347
     -0.00023253       0.00023717
     -0.00002503       0.00264438
     -0.00069648      -0.00053003
     -0.00130977       0.00241501
      0.00174271       0.00277205
     -0.00018672       0.00008097
     -0.01099958       0.00013816
     -0.00304418      -0.00007964
     -0.00256413       0.00607793
      0.00006740       0.00233580
     -0.00075581       0.00029467
     -0.00654130       0.00030188
     -0.00040794       0.00000239
     -0.01142837      -0.00469628
