QM Energy	FF Energy
    -0.000998633    -0.000987003
     -2.4489e-05    -4.21523e-05
     -2.1186e-05    -2.09613e-05
    -0.000346003    -0.000342613
    -0.000134837    -0.000164687
     -0.00101185    -0.000933805
    -0.000520353     -0.00049344
    -0.000159636    -0.000203401
     -3.1517e-05    -6.11767e-05
     -1.3716e-05    -1.67084e-05
    -0.000186801    -0.000153915
     -2.2288e-05    -2.44891e-05
    -0.000733284     -0.00083167
     -2.2645e-05    -3.14982e-05
     -4.1983e-05    -3.89028e-05
    -0.000363973    -0.000343517
     -2.6951e-05     -4.1733e-05
    -0.000819335    -0.000844642
     -0.00166509     -0.00160773
    -0.000148531    -0.000165506
    -0.000123799    -0.000117328
    -0.000768351    -0.000763825
     -2.2587e-05    -1.98691e-05
    -0.000880925    -0.000550675
      -6.904e-05    -9.28006e-05
    -0.000688445    -0.000721889
    -0.000102651    -8.26829e-05
     -2.5456e-05    -3.78542e-05
     -0.00181489     -0.00173983
    -0.000267064    -0.000339926
    -0.000190833    -0.000178549
     -7.0831e-05    -8.11075e-05
    -0.000245142    -0.000335515
     -0.00079739    -0.000796472
     -0.00102549    -0.000960876
      -8.343e-06    -1.68456e-05
    -0.000221558    -0.000262302
    -0.000816525    -0.000862248
     -8.2387e-05    -7.90824e-05
     -7.3527e-05    -8.83357e-05
     -0.00116866     -0.00124312
    -0.000606529     -0.00047764
     -0.00110628     -0.00110704
    -0.000645109    -0.000464355
    -0.000590138    -0.000576589
     -8.9397e-05    -0.000136582
     -9.4269e-05    -0.000124024
     -0.00093865    -0.000990468
    -0.000884491    -0.000857978
    -0.000279325    -0.000415166
     -6.5947e-05    -0.000113038
     -3.7571e-05    -4.60827e-05
    -0.000276937    -0.000390382
     -1.5809e-05    -2.32272e-05
     -0.00130968     -0.00130282
    -0.000556269    -0.000507355
    -0.000319173      -0.0003575
    -0.000576428     -0.00054004
    -0.000355762    -0.000368179
     -5.4477e-05     -7.8174e-05
     -7.7732e-05    -0.000107003
    -0.000265514    -0.000298881
    -0.000628595    -0.000680224
     -1.7191e-05    -4.11638e-05
    -0.000225094    -0.000274945
     -4.1938e-05    -5.33631e-05
     -5.4366e-05    -7.43708e-05
    -0.000242164    -0.000235321
    -0.000118115    -0.000130127
     -0.00155235     -0.00134154
    -0.000273091    -0.000294364
     -6.5219e-05    -8.00091e-05
    -0.000799253    -0.000849838
     -6.3878e-05    -8.23361e-05
      -8.399e-05    -9.63314e-05
     -5.7255e-05    -8.61991e-05
     -0.00014567    -0.000122518
     -6.9417e-05    -9.25128e-05
     -3.0392e-05    -4.25373e-05
    -0.000313094    -0.000346409
    -0.000351217      -0.0003607
    -0.000295432    -0.000315745
    -0.000819228    -0.000761571
    -0.000313731    -0.000326652
     -6.7145e-05    -5.89492e-05
    -0.000397071    -0.000378956
     -0.00326901     -0.00340247
     -1.6008e-05    -1.93956e-05
     -9.4926e-05     -0.00010252
     -0.00157651      -0.0015927
    -0.000397373    -0.000378931
    -0.000601253    -0.000658061
    -0.000100648      -9.813e-05
     -6.3844e-05    -8.41223e-05
    -0.000169249    -0.000267166
     -0.00010524    -9.87385e-05
    -0.000760899    -0.000756111
     -3.2595e-05    -3.84871e-05
    -0.000194795    -0.000261883
     -6.9765e-05    -9.52203e-05
    -0.000101806    -0.000156722
     -0.00016252    -0.000171876
     -3.1746e-05    -2.93192e-05
     -5.6011e-05    -9.14816e-05
     -8.0453e-05    -7.24884e-05
     -2.6701e-05    -4.09066e-05
    -0.000830144    -0.000723838
      -2.394e-05    -2.57379e-05
     -6.6761e-05    -0.000105732
     -0.00072055    -0.000697251
      -0.0013057     -0.00143026
    -0.000160864    -0.000149996
    -0.000318876    -0.000363818
    -0.000135906    -0.000168781
    -0.000459027    -0.000474289
    -0.000108392    -0.000146171
     -0.00185565     -0.00177629
      -4.711e-06    -9.08192e-06
     -0.00105888     -0.00118011
    -0.000169801    -0.000244873
     -0.00191635     -0.00182232
      -2.052e-05    -2.73562e-05
     -0.00103366     -0.00108295
    -0.000836785    -0.000831398
     -1.9471e-05     -3.0825e-05
     -1.5313e-05    -2.28429e-05
     -2.5863e-05    -3.75812e-05
    -0.000292733    -0.000224366
     -3.0075e-05    -3.35131e-05
     -9.8704e-05    -0.000109702
    -0.000447437    -0.000330158
     -0.00132196     -0.00124506
     -0.00153034     -0.00165172
      -6.353e-05    -7.80957e-05
     -5.5053e-05    -7.85207e-05
     -0.00194298     -0.00181912
     -1.3953e-05     -2.1523e-05
     -0.00137042     -0.00119594
    -0.000232723    -0.000274322
      -8.571e-06    -1.63259e-05
    -0.000411563    -0.000590375
    -0.000153571    -0.000213494
      -2.401e-05    -2.26424e-05
    -0.000120862    -0.000133384
     -9.2914e-05    -9.98975e-05
     -0.00176182      -0.0017006
      -0.0019328     -0.00195497
    -0.000266458     -0.00028792
    -0.000159176    -0.000260771
    -0.000401288     -0.00034257
    -0.000247965    -0.000300689
    -0.000456948    -0.000487716
    -0.000157455    -0.000193073
     -0.00216152     -0.00250057
    -0.000506403    -0.000565388
     -7.4657e-05    -0.000116546
      -3.345e-05    -6.84093e-05
     -7.2604e-05    -0.000108363
     -2.0547e-05    -3.31567e-05
     -0.00175218     -0.00191176
     -0.00118061     -0.00110898
     -8.3477e-05    -0.000169191
     -6.9402e-05    -9.13804e-05
     -9.6493e-05    -9.33608e-05
     -3.3505e-05    -5.07254e-05
     -0.00103474     -0.00111158
    -0.000126546    -0.000155987
     -8.1546e-05    -0.000109009
    -0.000289376    -0.000279667
     -0.00115754     -0.00101816
     -6.3259e-05    -5.43393e-05
     -0.00152262     -0.00143557
     -5.2071e-05     -8.2144e-05
    -0.000195081    -0.000240901
    -0.000290777    -0.000305545
     -1.4069e-05    -2.72974e-05
     -0.00102862    -0.000912241
    -0.000207338    -0.000253779
    -0.000899824     -0.00101036
     -0.00176824     -0.00163225
    -0.000255147    -0.000349809
    -0.000112176    -0.000127255
     -2.9881e-05    -2.80147e-05
     -3.6132e-05    -3.16922e-05
    -0.000141322    -0.000148989
     -6.0661e-05    -7.55754e-05
     -6.6996e-05    -9.29448e-05
     -4.7079e-05    -5.52092e-05
     -0.00247779     -0.00241165
     -1.3964e-05    -2.09156e-05
     -4.7738e-05    -6.91545e-05
     -0.00157637     -0.00137854
     -3.4436e-05     -3.1023e-05
    -0.000146776    -0.000146087
     -8.6716e-05    -0.000102639
     -0.00168909     -0.00148636
     -1.6805e-05    -1.68627e-05
    -0.000493759    -0.000424313
     -3.9114e-05    -4.88938e-05
     -2.6005e-05    -2.63041e-05
    -0.000342506     -0.00038081
     -4.5132e-05    -6.63363e-05
     -0.00171022     -0.00176139
    -0.000302906    -0.000264409
      -0.0024479     -0.00272071
      -7.372e-05    -8.34469e-05
    -0.000431575    -0.000458494
     -0.00119051     -0.00119702
     -3.7879e-05    -6.20325e-05
     -0.00110204     -0.00115574
    -0.000264512     -0.00030478
    -0.000122529    -0.000165267
    -0.000331161    -0.000364213
     -7.8898e-05    -7.63968e-05
    -0.000788674    -0.000914803
     -2.2276e-05    -3.43745e-05
    -0.000150822      -0.0001972
     -6.4975e-05     -6.0739e-05
     -0.00104078    -0.000904749
     -4.6788e-05    -4.73794e-05
      -0.0016069     -0.00139031
    -0.000101307    -0.000122014
     -2.7339e-05    -5.79316e-05
    -0.000223391    -0.000285003
     -6.4572e-05    -7.19075e-05
     -2.7428e-05    -3.87063e-05
    -0.000432839    -0.000325586
     -7.1914e-05    -6.91713e-05
    -0.000293034    -0.000344708
    -0.000253731    -0.000255412
     -2.8003e-05    -3.02722e-05
     -1.7709e-05    -2.90011e-05
     -9.7512e-05    -0.000134759
     -4.2905e-05    -5.77802e-05
     -0.00139197     -0.00109537
     -1.0701e-05     -1.6528e-05
    -0.000247587    -0.000259079
     -2.8757e-05    -3.09129e-05
     -7.3422e-05    -0.000100173
     -8.8049e-05    -9.40995e-05
    -0.000282241    -0.000323425
     -2.5516e-05    -2.42845e-05
    -0.000939266     -0.00100751
      -8.014e-05    -8.20392e-05
    -0.000165212    -0.000205879
     -6.1781e-05    -0.000134612
     -0.00139529     -0.00137204
    -0.000163226    -0.000194393
     -0.00102548    -0.000853341
    -0.000136995    -0.000185995
     -0.00182912     -0.00179542
    -0.000875107    -0.000797384
     -5.8312e-05    -5.99758e-05
    -0.000347617    -0.000387191
     -5.3774e-05    -6.40287e-05
     -0.00133656     -0.00118728
      -2.851e-05    -4.18514e-05
    -0.000991332    -0.000876756
      -0.0011648     -0.00100948
    -0.000100814    -0.000124279
     -1.9506e-05    -3.43964e-05
     -7.3669e-05    -0.000100447
     -4.2647e-05    -5.22154e-05
    -0.000241131    -0.000423537
    -0.000735537    -0.000769023
    -0.000229927    -0.000227513
    -0.000410007    -0.000355559
    -0.000842595    -0.000820977
    -0.000184715     -0.00019493
    -0.000337121    -0.000413671
    -0.000357065    -0.000373765
     -0.00245473     -0.00266809
    -0.000330814    -0.000318783
     -0.00189965     -0.00209431
    -0.000103284    -0.000176444
     -2.5336e-05    -2.28486e-05
    -0.000298424    -0.000289811
     -5.8867e-05    -6.25784e-05
    -0.000159899    -0.000195419
     -0.00189157     -0.00211441
    -0.000672591    -0.000705866
    -0.000955243    -0.000967609
     -2.5842e-05    -4.54314e-05
    -0.000138743    -0.000185743
    -0.000486014    -0.000538912
    -0.000166926     -0.00016497
     -2.8269e-05    -4.56474e-05
    -0.000836984    -0.000955343
    -0.000514834    -0.000540744
     -3.8722e-05    -5.36164e-05
       -9.14e-06    -1.62685e-05
     -2.3958e-05    -3.09513e-05
     -1.6383e-05    -3.52757e-05
     -3.0237e-05    -5.51769e-05
     -0.00195388     -0.00180732
    -0.000345315    -0.000407223
    -0.000591685    -0.000697322
    -0.000145886    -0.000184191
    -0.000108134    -0.000134765
     -2.0552e-05    -2.84369e-05
     -5.4057e-05    -5.18831e-05
     -0.00105412    -0.000878745
    -0.000553011    -0.000517015
     -3.5288e-05    -5.57458e-05
     -0.00189283     -0.00210417
    -0.000380413    -0.000396422
    -0.000181053    -0.000198049
      -4.805e-05     -6.4274e-05
     -7.5563e-05    -0.000111161
     -2.8799e-05    -2.75195e-05
    -0.000137763    -0.000164976
      -7.638e-05    -7.95188e-05
    -0.000225729    -0.000195789
     -7.5811e-05    -0.000118958
    -0.000506181    -0.000537939
     -5.3796e-05    -8.87676e-05
    -0.000502185    -0.000569125
     -4.3991e-05    -4.88186e-05
      -8.659e-05    -0.000128142
    -0.000738556    -0.000888462
    -0.000156044    -0.000195644
     -4.3174e-05    -6.11873e-05
     -2.7605e-05    -2.60183e-05
     -9.1972e-05    -7.47663e-05
     -7.5704e-05    -9.71412e-05
    -0.000125274    -0.000146458
    -0.000206271    -0.000248005
     -1.6747e-05    -3.41312e-05
    -0.000396554    -0.000297506
     -1.4944e-05    -2.58478e-05
     -4.5472e-05    -5.04667e-05
     -0.00086303    -0.000647471
     -0.00012825    -0.000147165
    -0.000973575    -0.000942783
     -0.00186691     -0.00165125
     -2.1187e-05    -3.28227e-05
     -0.00010434    -0.000126158
     -3.8758e-05    -3.83265e-05
     -0.00123195     -0.00120197
    -0.000128379    -0.000148082
     -0.00142975     -0.00149534
     -0.00145376      -0.0014987
     -1.7292e-05    -3.26727e-05
     -3.0012e-05    -3.48551e-05
    -0.000125653    -0.000119157
     -0.00057585     -0.00064372
    -0.000284366    -0.000269473
     -3.1933e-05    -4.60919e-05
      -0.0012995     -0.00126279
    -0.000742887    -0.000680718
     -4.4249e-05    -4.74737e-05
    -0.000104438    -8.72325e-05
     -0.00139095     -0.00129986
     -3.1277e-05     -4.4917e-05
    -0.000392025    -0.000385846
    -0.000206245    -0.000238971
     -6.0938e-05    -7.01625e-05
    -0.000232513    -0.000272012
     -4.0244e-05    -8.40843e-05
    -0.000343535    -0.000338565
    -0.000590065    -0.000645959
    -0.000124936    -0.000193567
     -4.4376e-05    -3.55974e-05
    -0.000520203    -0.000583391
     -4.5865e-05    -4.06335e-05
     -7.2285e-05     -8.4673e-05
     -0.00110776    -0.000900652
      -8.286e-05    -9.58425e-05
     -9.4113e-05    -8.18482e-05
    -0.000279021    -0.000285637
    -0.000398066     -0.00042692
     -1.0774e-05    -1.62576e-05
    -0.000143076    -0.000138133
    -0.000579812     -0.00059859
     -8.4563e-05    -9.94764e-05
     -0.00164268     -0.00154331
     -9.5169e-05    -0.000127303
    -0.000109613    -0.000106127
     -3.1679e-05    -3.12667e-05
     -4.3544e-05    -6.07571e-05
    -0.000690263    -0.000741132
     -0.00192373     -0.00163918
     -0.00135823     -0.00130382
    -0.000168237    -0.000179106
     -2.7083e-05    -2.41394e-05
    -0.000242153    -0.000274139
     -2.5416e-05    -2.42429e-05
     -0.00035758    -0.000300143
    -0.000462705    -0.000447267
     -2.5066e-05    -3.78705e-05
      -1.356e-05     -2.2893e-05
    -0.000581244    -0.000625926
     -2.7476e-05    -4.17438e-05
     -0.00101664    -0.000949121
    -0.000466935    -0.000372668
     -3.7208e-05     -4.2314e-05
    -0.000240699    -0.000294204
     -9.9361e-05    -0.000139316
     -0.00162068     -0.00149748
     -2.5097e-05    -2.38509e-05
     -0.00072914    -0.000783931
    -0.000146978    -0.000201418
     -1.9565e-05    -1.93136e-05
     -2.1972e-05    -3.36349e-05
    -0.000264962    -0.000313906
     -0.00216575     -0.00232741
    -0.000410384      -0.0003122
    -0.000688607    -0.000585643
    -0.000140642     -0.00018332
    -0.000773374    -0.000954512
     -2.9722e-05    -2.47121e-05
     -0.00091431    -0.000914805
    -0.000135171    -0.000121894
     -5.2819e-05    -7.20014e-05
     -0.00215919     -0.00190296
     -0.00034844    -0.000325206
     -0.00123807     -0.00108875
    -0.000315761      -0.0003144
    -0.000187654    -0.000181686
     -0.00169712     -0.00161701
     -9.8873e-05     -0.00012553
     -0.00183509     -0.00159626
     -0.00185358     -0.00158616
    -0.000712034    -0.000766197
     -1.9007e-05    -2.12266e-05
     -9.0571e-05    -9.87321e-05
    -0.000562695    -0.000708805
     -7.3635e-05    -6.52957e-05
    -0.000481584    -0.000442927
    -0.000473933    -0.000464657
     -1.4177e-05    -2.42487e-05
    -0.000521695    -0.000384354
     -0.00212039     -0.00218102
     -2.3918e-05    -3.39744e-05
    -0.000119704    -0.000141212
    -0.000398981    -0.000452037
    -0.000483048    -0.000510157
    -0.000404717    -0.000364847
     -3.2041e-05    -5.34262e-05
    -0.000230452    -0.000165109
    -0.000278671    -0.000342112
    -0.000247363    -0.000282723
    -0.000317422    -0.000326547
      -2.816e-05     -3.6167e-05
     -8.4147e-05    -8.03388e-05
     -0.00050604    -0.000383124
     -9.0826e-05    -0.000103849
     -2.6493e-05    -2.57854e-05
     -0.00028767    -0.000351389
    -0.000693051    -0.000641558
     -0.00118637     -0.00118704
    -0.000141415    -0.000171023
     -4.5233e-05    -6.66192e-05
    -0.000150368    -0.000152448
     -2.5323e-05     -3.9646e-05
     -0.00176912     -0.00164283
    -0.000184669     -0.00032115
     -0.00210835     -0.00193319
    -0.000179791    -0.000189862
     -6.9473e-05    -8.26953e-05
    -0.000143815    -0.000192081
    -0.000783912    -0.000824582
    -0.000935041    -0.000728038
    -0.000108287     -0.00010971
     -0.00217443     -0.00283794
     -1.2075e-05    -1.23205e-05
    -0.000192546    -0.000214751
     -2.2098e-05    -2.88272e-05
    -0.000151138    -0.000179925
     -0.00176828     -0.00159723
     -4.3296e-05    -5.31892e-05
    -0.000350586    -0.000381292
     -0.00106906     -0.00100511
    -0.000224145     -0.00020446
    -0.000720366    -0.000713948
      -5.114e-05    -6.95385e-05
      -0.0021403      -0.0021432
     -0.00280948      -0.0032079
     -6.8353e-05    -0.000111136
     -5.9031e-05     -9.3609e-05
     -3.1159e-05    -4.02022e-05
     -1.3584e-05    -2.85324e-05
    -0.000460651     -0.00055084
     -0.00017171    -0.000252782
     -1.4452e-05     -1.8066e-05
     -0.00132273     -0.00123256
