QM Energy	FF Energy
     -0.00325136     -0.00342746
    -0.000713667    -0.000739137
    -0.000668114    -0.000609227
      -0.0021209     -0.00209815
    -0.000420308    -0.000482301
     -0.00325377     -0.00255493
     -0.00300892     -0.00278952
    -0.000707316    -0.000775431
     0.000177652     3.06866e-05
    -0.000445458    -0.000480291
    -0.000745229    -0.000508693
    -0.000725605     -0.00065388
      0.00117709       0.0013506
    -0.000138412     -0.00014797
     -0.00061239    -0.000605875
     -0.00234023     -0.00228608
    -0.000145781    -0.000235671
     -0.00162818     -0.00188252
     -0.00886674     -0.00919391
     -0.00103723    -0.000983681
    -0.000493305    -0.000370597
     -0.00261985     -0.00268715
    -0.000472385    -0.000392108
     -0.00418574     -0.00298766
    -0.000842911     -0.00102289
     -0.00302992     -0.00297637
     -0.00160949     -0.00156167
     -4.9647e-05    -7.50676e-05
     -0.00803551     -0.00864372
     0.000721687     0.000801997
     -0.00240316      -0.0020406
    -0.000141955    -0.000224109
    -0.000601883    -0.000798552
       -0.003541     -0.00322247
     -0.00787026     -0.00761752
      -0.0001106    -0.000155884
      0.00212948      0.00215257
    -0.000749612     -0.00051684
    -0.000549417    -0.000488079
     -0.00123475     -0.00145951
     -0.00450897     -0.00487136
      -0.0047384      -0.0043563
     -0.00431081     -0.00490861
     -0.00526401     -0.00433459
     -0.00663133     -0.00693512
     0.000571508     0.000545452
     -0.00148685     -0.00160135
     -0.00279251     -0.00355106
     -0.00435718     -0.00464974
      0.00042687     0.000381861
     0.000463649     0.000541462
    -0.000484282    -0.000437633
      -0.0004366    -0.000518769
     0.000346892     0.000318571
     -0.00722825     -0.00765896
     -0.00571218     -0.00578793
      0.00191561      0.00181965
     -0.00268221     -0.00249566
     -0.00187374      -0.0020745
     -7.2643e-05    -0.000104281
    -0.000440517    -0.000464018
     -0.00082837     -0.00072015
     0.000658547     0.000475174
     0.000489056     0.000406295
    -0.000822469    -0.000730736
    -0.000182044    -0.000244256
    -0.000785942    -0.000782456
       -0.002119     -0.00214156
     -0.00037863    -0.000359403
      -0.0066611     -0.00570874
     -0.00170679     -0.00208411
    -0.000457948     -0.00046188
     -0.00296928     -0.00322815
    -0.000457004    -0.000488551
     -0.00187411     -0.00176876
    -0.000185088    -0.000124478
    -0.000732613     -0.00065645
      -6.229e-06    -1.00313e-05
    -0.000123292    -0.000102946
     -0.00318518     -0.00314141
     -0.00454986     -0.00454482
     -0.00273658      -0.0028904
     -0.00329273     -0.00325615
     -0.00268504     -0.00284985
      -0.0004138    -0.000349279
     -0.00130246    -0.000971796
      -0.0304142      -0.0299839
     0.000441208     0.000411709
    -0.000739457    -0.000715122
     -0.00795107     -0.00781756
     -0.00478011     -0.00474616
     -0.00413383      -0.0045919
     -0.00104605    -0.000914428
    -0.000285355     -0.00023593
      0.00166146      0.00175571
     -0.00143492     -0.00135885
     -0.00570463      -0.0059917
     -0.00016947    -0.000174291
    -0.000558656    -0.000539956
    -0.000167064    -0.000239792
     -8.7319e-05    -5.30005e-05
    -0.000940818    -0.000967675
    -0.000106987    -7.50996e-05
      0.00161487      0.00162844
    -0.000473473    -0.000398009
      7.6846e-05      5.5243e-05
      0.00297222      0.00166276
    -0.000151967     2.39681e-05
    -0.000145845    -0.000191749
      -0.0046103     -0.00485301
      -0.0084865     -0.00884122
     -0.00129209     -0.00117683
     0.000481447      0.00072315
    -0.000605203    -0.000653665
     -0.00164423     -0.00173878
    -0.000308869     -0.00057321
     -0.00392921     -0.00583531
      5.2305e-05     4.30002e-05
     -0.00515412     -0.00587102
      0.00013503     7.88382e-05
     -0.00958804     -0.00893529
    -0.000585523    -0.000552606
     -0.00515117     -0.00539466
     -0.00464191     -0.00495977
      1.6476e-05    -1.38844e-05
    -0.000366427     -0.00036035
       6.505e-05     2.99063e-05
      0.00161297      0.00179292
     -0.00036631    -0.000352998
    -0.000496286    -0.000437947
     -0.00217081     -0.00166523
     -0.00491372     -0.00486626
     -0.00952279      -0.0101924
    -0.000168676    -0.000141355
     -0.00141811     -0.00152755
     -0.00972008     -0.00895047
     0.000204725     0.000188598
     -0.00939041      -0.0088963
     -0.00122453     -0.00152408
     0.000257735     0.000292839
     0.000280566     0.000107923
    -0.000358222    -0.000555799
    -0.000625708    -0.000479971
     -0.00328721     -0.00333071
    -0.000170909    -0.000261891
      -0.0101662      -0.0101938
     -0.00799339     -0.00900613
     -0.00106466     -0.00101027
      0.00121012      0.00118208
     -0.00470165     -0.00412226
     -0.00115897     -0.00110507
     -0.00190445     -0.00197934
    -0.000813242    -0.000867789
       -0.018466      -0.0195721
     -4.6606e-05    -0.000259244
     -5.1143e-05     -7.2859e-05
     0.000992883     0.000979517
      -0.0010414     -0.00123004
    -0.000539757    -0.000549097
      -0.0117083      -0.0113802
     -0.00631125     -0.00673597
      0.00101307     0.000954508
    -0.000681626    -0.000639291
    -0.000238037    -0.000166277
    -0.000300232    -0.000334168
     -0.00502418     -0.00533374
      -0.0004038    -0.000488714
      -0.0017083     -0.00185743
     -0.00172035     -0.00187901
     -0.00505689     -0.00445653
     -0.00160512     -0.00161144
     -0.00643018     -0.00588099
     0.000104472     0.000122415
    -0.000912754    -0.000932112
     -0.00471781     -0.00465629
     -0.00016274    -0.000230779
     -0.00423958     -0.00372222
    -0.000635005    -0.000642948
     -0.00121155     -0.00108568
      -0.0108705      -0.0103629
     -0.00166599     -0.00186549
     -0.00132106     -0.00136733
     -0.00172757      -0.0016441
     -0.00140586     -0.00132524
    -0.000908832    -0.000920047
    -0.000278982    -0.000350377
     -8.1719e-05    -0.000118653
    -0.000483395    -0.000474077
      -0.0131824       -0.011602
