QM Energy	FF Energy
    -0.000998633    -0.000920604
     -2.4489e-05    -3.10728e-05
     -2.1186e-05     -2.1915e-05
    -0.000346003    -0.000310773
    -0.000134837    -0.000165787
     -0.00101185    -0.000878037
    -0.000520353    -0.000431438
    -0.000159636    -0.000214906
     -3.1517e-05    -4.07947e-05
     -1.3716e-05    -1.15304e-05
    -0.000186801    -0.000206508
     -2.2288e-05    -2.72487e-05
    -0.000733284    -0.000711182
     -2.2645e-05    -3.14626e-05
     -4.1983e-05    -5.50969e-05
    -0.000363973    -0.000279753
     -2.6951e-05    -3.64247e-05
    -0.000819335    -0.000901025
     -0.00166509     -0.00166571
    -0.000148531    -9.35465e-05
    -0.000123799    -0.000120868
    -0.000768351    -0.000729351
     -2.2587e-05    -2.15027e-05
    -0.000880925    -0.000692385
      -6.904e-05    -8.54931e-05
    -0.000688445    -0.000696823
    -0.000102651     -0.00010847
     -2.5456e-05    -4.67554e-05
     -0.00181489     -0.00120464
    -0.000267064    -0.000300111
    -0.000190833    -0.000216913
     -7.0831e-05    -9.91922e-05
    -0.000245142    -0.000248116
     -0.00079739    -0.000856946
     -0.00102549    -0.000834569
      -8.343e-06    -9.58626e-06
    -0.000221558    -0.000240028
    -0.000816525    -0.000636092
     -8.2387e-05    -8.78027e-05
     -7.3527e-05    -7.43376e-05
     -0.00116866      -0.0011883
    -0.000606529    -0.000523188
     -0.00110628     -0.00127258
    -0.000645109     -0.00053241
    -0.000590138    -0.000565471
     -8.9397e-05    -0.000114898
     -9.4269e-05    -8.90657e-05
     -0.00093865    -0.000920662
    -0.000884491    -0.000872302
    -0.000279325    -0.000265839
     -6.5947e-05    -4.46926e-05
     -3.7571e-05    -4.51314e-05
    -0.000276937    -0.000254636
     -1.5809e-05    -2.84994e-05
     -0.00130968     -0.00128921
    -0.000556269    -0.000615937
    -0.000319173    -0.000327343
    -0.000576428     -0.00051291
    -0.000355762    -0.000339951
     -5.4477e-05    -8.88584e-05
     -7.7732e-05    -0.000131598
    -0.000265514    -0.000253309
    -0.000628595    -0.000700222
     -1.7191e-05    -2.76402e-05
    -0.000225094    -0.000188411
     -4.1938e-05    -5.71693e-05
     -5.4366e-05    -9.28371e-05
    -0.000242164    -0.000289804
    -0.000118115    -0.000140846
     -0.00155235     -0.00118145
    -0.000273091    -0.000262922
     -6.5219e-05    -9.13751e-05
    -0.000799253    -0.000775471
     -6.3878e-05    -9.02032e-05
      -8.399e-05    -0.000102842
     -5.7255e-05    -5.71364e-05
     -0.00014567    -0.000154415
     -6.9417e-05    -9.56687e-05
     -3.0392e-05    -3.59837e-05
    -0.000313094     -0.00034463
    -0.000351217    -0.000233278
    -0.000295432    -0.000266986
    -0.000819228    -0.000790177
    -0.000313731    -0.000260237
     -6.7145e-05    -8.38186e-05
    -0.000397071    -0.000358295
     -0.00326901     -0.00409399
     -1.6008e-05    -2.57106e-05
     -9.4926e-05    -0.000122522
     -0.00157651     -0.00146597
    -0.000397373    -0.000211907
    -0.000601253    -0.000449257
    -0.000100648    -0.000106903
     -6.3844e-05    -8.10523e-05
    -0.000169249    -0.000194422
     -0.00010524    -7.53028e-05
    -0.000760899    -0.000667529
     -3.2595e-05    -4.20524e-05
    -0.000194795    -0.000160103
     -6.9765e-05    -0.000108563
    -0.000101806    -9.78479e-05
     -0.00016252    -0.000160091
     -3.1746e-05    -3.17762e-05
     -5.6011e-05    -6.01991e-05
     -8.0453e-05    -0.000102966
     -2.6701e-05    -4.77207e-05
    -0.000830144    -0.000576879
      -2.394e-05    -3.16615e-05
     -6.6761e-05    -8.64618e-05
     -0.00072055    -0.000764901
      -0.0013057     -0.00134525
    -0.000160864    -0.000212836
    -0.000318876    -0.000451607
    -0.000135906    -0.000199214
    -0.000459027    -0.000464434
    -0.000108392    -0.000132732
     -0.00185565     -0.00220813
      -4.711e-06    -7.96129e-06
     -0.00105888     -0.00102126
    -0.000169801    -0.000184241
     -0.00191635     -0.00162895
      -2.052e-05    -3.28563e-05
     -0.00103366     -0.00102108
    -0.000836785    -0.000780819
     -1.9471e-05    -3.76304e-05
     -1.5313e-05    -3.10316e-05
     -2.5863e-05    -2.64657e-05
    -0.000292733     -0.00017787
     -3.0075e-05    -3.60093e-05
     -9.8704e-05    -0.000124992
    -0.000447437     -0.00043274
     -0.00132196     -0.00112947
     -0.00153034     -0.00168912
      -6.353e-05    -6.51423e-05
     -5.5053e-05    -8.43549e-05
     -0.00194298     -0.00162077
     -1.3953e-05     -1.2832e-05
     -0.00137042    -0.000717525
    -0.000232723     -0.00030178
      -8.571e-06    -8.56692e-06
    -0.000411563    -0.000307798
    -0.000153571    -0.000151121
      -2.401e-05    -2.48639e-05
    -0.000120862    -0.000129605
     -9.2914e-05    -0.000106452
     -0.00176182     -0.00096435
      -0.0019328     -0.00176911
    -0.000266458    -0.000291533
    -0.000159176    -0.000131596
    -0.000401288    -0.000296206
    -0.000247965    -0.000296655
    -0.000456948    -0.000504273
    -0.000157455    -0.000202687
     -0.00216152      -0.0022831
    -0.000506403    -0.000579998
     -7.4657e-05    -7.30134e-05
      -3.345e-05    -3.73928e-05
     -7.2604e-05    -7.92545e-05
     -2.0547e-05    -2.41419e-05
     -0.00175218     -0.00192558
     -0.00118061     -0.00116963
     -8.3477e-05    -7.98278e-05
     -6.9402e-05    -0.000103149
     -9.6493e-05    -0.000111425
     -3.3505e-05    -5.96393e-05
     -0.00103474      -0.0010675
    -0.000126546     -0.00016697
     -8.1546e-05    -7.08727e-05
    -0.000289376    -0.000334665
     -0.00115754    -0.000901818
     -6.3259e-05    -4.93155e-05
     -0.00152262     -0.00146238
     -5.2071e-05     -5.1173e-05
    -0.000195081    -0.000241426
    -0.000290777    -0.000305899
     -1.4069e-05     -1.4103e-05
     -0.00102862    -0.000969399
    -0.000207338     -0.00020121
    -0.000899824    -0.000791518
     -0.00176824     -0.00168098
    -0.000255147    -0.000307879
    -0.000112176    -0.000138307
     -2.9881e-05    -1.59313e-05
     -3.6132e-05    -2.66221e-05
    -0.000141322    -0.000169857
     -6.0661e-05    -9.85398e-05
     -6.6996e-05    -8.42355e-05
     -4.7079e-05    -3.71833e-05
     -0.00247779     -0.00212731
     -1.3964e-05    -2.95661e-05
     -4.7738e-05    -4.84254e-05
     -0.00157637     -0.00125535
     -3.4436e-05     -2.6741e-05
    -0.000146776    -0.000130147
     -8.6716e-05    -0.000107997
     -0.00168909     -0.00152532
     -1.6805e-05    -1.82516e-05
    -0.000493759    -0.000446367
     -3.9114e-05    -4.25416e-05
     -2.6005e-05    -3.69938e-05
    -0.000342506     -0.00033653
     -4.5132e-05    -7.36609e-05
     -0.00171022     -0.00121549
    -0.000302906    -0.000404659
      -0.0024479     -0.00247432
      -7.372e-05    -9.40797e-05
    -0.000431575    -0.000424093
     -0.00119051     -0.00107665
     -3.7879e-05    -5.86158e-05
     -0.00110204     -0.00104494
    -0.000264512     -0.00030899
    -0.000122529    -0.000100698
    -0.000331161     -0.00048602
     -7.8898e-05    -8.94697e-05
    -0.000788674    -0.000755869
     -2.2276e-05    -3.47364e-05
    -0.000150822    -0.000198376
     -6.4975e-05    -4.79199e-05
     -0.00104078    -0.000732891
     -4.6788e-05    -2.85273e-05
      -0.0016069     -0.00151625
    -0.000101307    -0.000122211
     -2.7339e-05    -2.95442e-05
    -0.000223391    -0.000291187
     -6.4572e-05    -8.36436e-05
     -2.7428e-05    -3.98688e-05
    -0.000432839    -0.000361241
     -7.1914e-05    -6.62501e-05
    -0.000293034    -0.000362965
    -0.000253731    -0.000263531
     -2.8003e-05    -4.66526e-05
     -1.7709e-05    -2.26662e-05
     -9.7512e-05     -0.00014493
     -4.2905e-05    -5.91284e-05
     -0.00139197     -0.00123261
     -1.0701e-05    -2.27358e-05
    -0.000247587    -0.000238025
     -2.8757e-05    -3.06239e-05
     -7.3422e-05    -6.61289e-05
     -8.8049e-05    -7.94973e-05
    -0.000282241    -0.000247007
     -2.5516e-05    -2.33629e-05
    -0.000939266    -0.000871314
      -8.014e-05    -9.33862e-05
    -0.000165212    -0.000190647
     -6.1781e-05    -5.50736e-05
     -0.00139529      -0.0013278
    -0.000163226    -0.000198327
     -0.00102548    -0.000844066
    -0.000136995    -0.000143921
     -0.00182912     -0.00190935
    -0.000875107    -0.000764888
     -5.8312e-05    -5.16041e-05
    -0.000347617    -0.000415545
     -5.3774e-05    -5.99112e-05
     -0.00133656    -0.000833849
      -2.851e-05    -5.07903e-05
    -0.000991332    -0.000817834
      -0.0011648    -0.000725545
    -0.000100814    -0.000135723
     -1.9506e-05    -2.79622e-05
     -7.3669e-05    -0.000112123
     -4.2647e-05    -6.35407e-05
    -0.000241131     -0.00021777
    -0.000735537    -0.000683082
    -0.000229927    -0.000306795
    -0.000410007    -0.000335116
    -0.000842595    -0.000644027
    -0.000184715    -0.000200845
    -0.000337121    -0.000381036
    -0.000357065    -0.000426343
     -0.00245473     -0.00237845
    -0.000330814    -0.000328286
     -0.00189965     -0.00218955
    -0.000103284    -0.000126438
     -2.5336e-05    -3.46845e-05
    -0.000298424    -0.000270239
     -5.8867e-05    -6.48125e-05
    -0.000159899    -0.000151881
     -0.00189157     -0.00195926
    -0.000672591    -0.000632801
    -0.000955243    -0.000881672
     -2.5842e-05    -3.55118e-05
    -0.000138743    -0.000169237
    -0.000486014    -0.000567045
    -0.000166926    -0.000137451
     -2.8269e-05     -3.6268e-05
    -0.000836984    -0.000611194
    -0.000514834    -0.000597128
     -3.8722e-05    -5.98977e-05
       -9.14e-06    -1.03645e-05
     -2.3958e-05    -3.64324e-05
     -1.6383e-05    -1.13992e-05
     -3.0237e-05    -5.81294e-05
     -0.00195388      -0.0016999
    -0.000345315    -0.000408266
    -0.000591685    -0.000637493
    -0.000145886    -0.000190942
    -0.000108134     -0.00016579
     -2.0552e-05    -3.04413e-05
     -5.4057e-05    -4.35012e-05
     -0.00105412    -0.000748303
    -0.000553011    -0.000491921
     -3.5288e-05    -4.29083e-05
     -0.00189283     -0.00188872
    -0.000380413    -0.000447035
    -0.000181053    -0.000240175
      -4.805e-05    -8.04614e-05
     -7.5563e-05    -7.15767e-05
     -2.8799e-05    -3.17442e-05
    -0.000137763    -0.000128658
      -7.638e-05     -9.2077e-05
    -0.000225729    -0.000205608
     -7.5811e-05    -8.52651e-05
    -0.000506181    -0.000557629
     -5.3796e-05    -6.94678e-05
    -0.000502185    -0.000565177
     -4.3991e-05    -3.73657e-05
      -8.659e-05    -7.20176e-05
    -0.000738556    -0.000482926
    -0.000156044    -0.000187894
     -4.3174e-05    -7.66583e-05
     -2.7605e-05    -2.25122e-05
     -9.1972e-05    -7.30841e-05
     -7.5704e-05    -7.05221e-05
    -0.000125274    -0.000155346
    -0.000206271    -0.000243862
     -1.6747e-05    -1.35029e-05
    -0.000396554    -0.000430988
     -1.4944e-05    -1.64543e-05
     -4.5472e-05    -5.65915e-05
     -0.00086303    -0.000950014
     -0.00012825    -0.000183646
    -0.000973575    -0.000821063
     -0.00186691      -0.0020272
     -2.1187e-05    -2.12529e-05
