QM Energy	FF Energy
    -0.000711156    -0.000658602
     -8.6555e-05    -7.18835e-05
    -0.000120507    -8.07327e-05
    -0.000292383    -0.000289367
     -8.0919e-05    -4.99118e-05
    -0.000985218     -0.00104094
    -0.000702346    -0.000588097
     -9.0345e-05    -9.74076e-05
      -9.939e-05    -7.71631e-05
      -5.754e-05    -4.10309e-05
    -0.000140077    -0.000165986
    -0.000100525    -7.05843e-05
    -0.000911427     -0.00089693
     -4.1155e-05    -4.04215e-05
     -4.4878e-05    -5.98593e-05
    -0.000471083    -0.000467921
      -6.739e-05    -5.97564e-05
    -0.000671806    -0.000696427
     -0.00151997      -0.0017742
    -0.000324052    -0.000189189
    -0.000175569    -0.000149903
    -0.000346839    -0.000292296
    -0.000191636    -0.000119805
    -0.000554731    -0.000765079
    -0.000171883    -0.000133183
    -0.000498934    -0.000482988
     -0.00017904    -0.000149044
     -2.8786e-05    -3.08362e-05
      -0.0014124      -0.0012235
    -0.000449021    -0.000427692
    -0.000405613    -0.000308667
    -0.000101443    -9.20435e-05
     -0.00028937    -0.000271265
    -0.000551826    -0.000730851
    -0.000901949    -0.000923375
      -4.692e-05    -3.27173e-05
    -0.000433598    -0.000326913
    -0.000909356     -0.00093028
     -8.1304e-05    -9.21301e-05
    -0.000179901     -0.00012107
     -0.00069442     -0.00069563
    -0.000646857    -0.000601944
    -0.000952028     -0.00104322
    -0.000554128    -0.000677539
    -0.000949022    -0.000805137
    -0.000134757    -0.000115062
    -0.000227577    -0.000163841
     -0.00051395    -0.000313064
      -0.0008843    -0.000995359
    -0.000369829    -0.000347963
    -0.000164164    -0.000103877
     -9.9466e-05    -9.80693e-05
    -0.000325303    -0.000312917
     -4.0839e-05    -3.65144e-05
    -0.000828935     -0.00115242
    -0.000645767     -0.00056159
    -0.000542524    -0.000425441
    -0.000782599    -0.000659124
    -0.000360207    -0.000362236
     -3.8757e-05    -4.89599e-05
     -7.2183e-05    -7.83688e-05
    -0.000305418    -0.000276792
    -0.000858876    -0.000853359
     -9.4315e-05    -6.17252e-05
    -0.000231998     -0.00020116
    -0.000178238    -0.000161934
    -0.000128138    -0.000100843
     -0.00024864    -0.000266914
     -4.5086e-05       -4.63e-05
    -0.000973693     -0.00100638
    -0.000325398    -0.000320711
      -6.278e-05    -6.61432e-05
    -0.000740121    -0.000846117
      -5.218e-05    -4.23102e-05
    -0.000221592    -0.000133763
     -9.8367e-05    -8.44514e-05
     -4.0637e-05    -9.46618e-05
    -0.000149649    -0.000120884
     -5.1073e-05    -5.20861e-05
    -0.000516515    -0.000528279
    -0.000579236    -0.000319267
      -0.0004814     -0.00043361
    -0.000666679    -0.000671061
    -0.000486332    -0.000406933
     -7.7878e-05     -8.9457e-05
    -0.000235955    -0.000327311
     -0.00286392     -0.00269234
      -7.518e-05    -7.49013e-05
    -0.000107955    -0.000136285
    -0.000927723    -0.000659059
     -0.00069225    -0.000309413
    -0.000706024     -0.00055499
    -0.000231109     -0.00023848
    -0.000115986    -9.45712e-05
    -0.000419164    -0.000301567
    -0.000212306    -0.000141779
    -0.000772429    -0.000653427
     -9.1697e-05    -7.14682e-05
    -0.000222366    -0.000188455
     -4.8333e-05    -5.43451e-05
    -0.000144603    -0.000124162
    -0.000251596    -0.000204113
     -3.3823e-05    -4.27552e-05
    -0.000187177    -0.000116545
     -5.1876e-05    -7.24876e-05
     -2.9936e-05    -3.33668e-05
    -0.000928172    -0.000883281
    -0.000155891    -0.000129779
    -0.000113355    -9.83358e-05
    -0.000624623    -0.000780991
      -0.0014405      -0.0012277
     -9.2091e-05    -0.000166551
    -0.000447507    -0.000473396
    -0.000167319     -0.00020801
    -0.000198706    -0.000142904
    -0.000159653    -0.000157864
