QM Energy	FF Energy
    -0.000998633    -0.000916191
     -2.4489e-05    -3.01637e-05
     -2.1186e-05    -2.27137e-05
    -0.000346003    -0.000319238
    -0.000134837    -0.000163652
     -0.00101185    -0.000876515
    -0.000520353    -0.000443919
    -0.000159636    -0.000213335
     -3.1517e-05    -3.97524e-05
     -1.3716e-05    -1.19422e-05
    -0.000186801    -0.000203241
     -2.2288e-05    -2.82557e-05
    -0.000733284      -0.0007071
     -2.2645e-05    -3.09676e-05
     -4.1983e-05    -5.46431e-05
    -0.000363973    -0.000286336
     -2.6951e-05    -3.68573e-05
    -0.000819335    -0.000881828
     -0.00166509     -0.00168604
    -0.000148531    -9.63766e-05
    -0.000123799    -0.000120208
    -0.000768351     -0.00072299
     -2.2587e-05    -2.08923e-05
    -0.000880925    -0.000693345
      -6.904e-05    -8.64206e-05
    -0.000688445    -0.000685596
    -0.000102651    -0.000105858
     -2.5456e-05    -4.63345e-05
     -0.00181489     -0.00131608
    -0.000267064    -0.000294231
    -0.000190833    -0.000217226
     -7.0831e-05    -9.99507e-05
    -0.000245142    -0.000243462
     -0.00079739    -0.000843949
     -0.00102549    -0.000847169
      -8.343e-06    -9.63345e-06
    -0.000221558     -0.00023608
    -0.000816525    -0.000632538
     -8.2387e-05    -8.64312e-05
     -7.3527e-05    -7.55163e-05
     -0.00116866     -0.00118648
    -0.000606529    -0.000511806
     -0.00110628     -0.00128079
    -0.000645109    -0.000527494
    -0.000590138    -0.000568733
     -8.9397e-05    -0.000113242
     -9.4269e-05    -8.83847e-05
     -0.00093865    -0.000917256
    -0.000884491    -0.000870303
    -0.000279325    -0.000258237
     -6.5947e-05    -4.38686e-05
     -3.7571e-05    -4.40001e-05
    -0.000276937    -0.000250779
     -1.5809e-05    -2.87333e-05
     -0.00130968     -0.00130169
    -0.000556269    -0.000620674
    -0.000319173    -0.000322125
    -0.000576428     -0.00051773
    -0.000355762    -0.000346566
     -5.4477e-05     -8.9205e-05
     -7.7732e-05    -0.000129842
    -0.000265514    -0.000251689
    -0.000628595    -0.000694268
     -1.7191e-05     -2.6745e-05
    -0.000225094    -0.000187513
     -4.1938e-05    -5.69042e-05
     -5.4366e-05    -9.23848e-05
    -0.000242164    -0.000285189
    -0.000118115    -0.000140139
     -0.00155235     -0.00119819
    -0.000273091    -0.000263843
     -6.5219e-05    -9.11576e-05
    -0.000799253     -0.00075689
     -6.3878e-05    -8.95708e-05
      -8.399e-05     -0.00010594
     -5.7255e-05    -5.74216e-05
     -0.00014567    -0.000155629
     -6.9417e-05    -9.65822e-05
     -3.0392e-05    -3.61503e-05
    -0.000313094    -0.000370545
    -0.000351217    -0.000238785
    -0.000295432    -0.000264056
    -0.000819228     -0.00078306
    -0.000313731    -0.000277107
     -6.7145e-05    -8.14247e-05
    -0.000397071    -0.000358076
     -0.00326901     -0.00406632
     -1.6008e-05    -2.51174e-05
     -9.4926e-05    -0.000121011
